Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MD,MD,MD,MD,MD,MD
Date,,,,,,
1995-09-20,5.34375,5.34375,5.5625,5.125,5.375,15645600
1995-09-21,5.46875,5.46875,5.5625,5.3125,5.5,2330400
1995-09-22,5.34375,5.34375,5.5625,5.25,5.46875,1200000
1995-09-25,5.46875,5.46875,5.46875,5.3125,5.4375,1520800
1995-09-26,5.09375,5.09375,5.46875,5.0625,5.3125,1312800
1995-09-27,4.71875,4.71875,5.125,4.71875,5.0,1209200
1995-09-28,5.0,5.0,5.125,4.8125,4.8125,233600
1995-09-29,5.125,5.125,5.125,5.0,5.125,532000
1995-10-02,5.125,5.125,5.3125,5.09375,5.09375,570400
1995-10-03,4.875,4.875,5.25,4.75,5.25,271200
1995-10-04,4.8125,4.8125,5.0,4.8125,4.875,352000
1995-10-05,5.0,5.0,5.0,4.8125,4.8125,215600
1995-10-06,4.78125,4.78125,5.0,4.75,4.8125,418800
1995-10-09,4.8125,4.8125,4.8125,4.78125,4.78125,296400
1995-10-10,4.625,4.625,4.8125,4.625,4.78125,712400
1995-10-11,4.9375,4.9375,5.0625,4.625,4.625,666000
1995-10-12,4.9375,4.9375,5.0625,4.9375,5.0625,28000
1995-10-13,5.0625,5.0625,5.125,4.9375,5.0,806800
1995-10-16,4.9375,4.9375,5.0625,4.9375,5.0625,53200
1995-10-17,4.96875,4.96875,5.125,4.9375,4.9375,62800
1995-10-18,4.9375,4.9375,5.125,4.9375,4.96875,25600
1995-10-19,4.96875,4.96875,5.09375,4.90625,4.9375,264000
1995-10-20,5.125,5.125,5.125,4.875,4.875,467600
1995-10-23,5.125,5.125,5.125,4.9375,5.0,431200
1995-10-24,4.78125,4.78125,5.125,4.78125,4.9375,515600
1995-10-25,4.8125,4.8125,4.9375,4.78125,4.875,186000
1995-10-26,4.875,4.875,4.9375,4.8125,4.8125,70800
1995-10-27,4.8125,4.8125,4.9375,4.8125,4.8125,12400
1995-10-30,5.25,5.25,5.25,4.9375,4.9375,310400
1995-10-31,5.40625,5.40625,5.5,5.25,5.3125,746400
1995-11-01,5.4375,5.4375,5.5,5.375,5.40625,691600
1995-11-02,5.4375,5.4375,5.5625,5.375,5.5,727200
1995-11-03,5.375,5.375,5.5,5.25,5.375,73200
1995-11-06,5.09375,5.09375,5.375,5.0625,5.25,86800
1995-11-07,5.03125,5.03125,5.1875,4.9375,5.1875,126800
1995-11-08,4.9375,4.9375,5.0625,4.9375,5.0625,42800
1995-11-09,4.9375,4.9375,5.0625,4.9375,5.0625,102000
1995-11-10,5.0625,5.0625,5.0625,4.9375,4.9375,183200
1995-11-13,5.375,5.375,5.4375,5.125,5.1875,135600
1995-11-14,5.5625,5.5625,5.5625,5.3125,5.5,241200
1995-11-15,5.3125,5.3125,5.5625,5.25,5.46875,230000
1995-11-16,5.34375,5.34375,5.5,5.25,5.5,69600
1995-11-17,5.4375,5.4375,5.4375,5.25,5.25,68000
1995-11-20,5.3125,5.3125,5.4375,5.25,5.25,584400
1995-11-21,5.15625,5.15625,5.4375,5.0625,5.4375,613600
1995-11-22,5.25,5.25,5.25,5.0625,5.25,62800
1995-11-24,5.125,5.125,5.25,5.0625,5.25,142800
1995-11-27,5.125,5.125,5.1875,5.0625,5.125,117200
1995-11-28,5.125,5.125,5.125,5.0,5.0625,28000
1995-11-29,5.15625,5.15625,5.1875,5.0,5.125,42400
1995-11-30,5.125,5.125,5.15625,5.0,5.0,224400
1995-12-01,5.0,5.0,5.1875,5.0,5.15625,344800
1995-12-04,5.0625,5.0625,5.09375,4.96875,5.0625,1684800
1995-12-05,5.15625,5.15625,5.1875,4.96875,4.96875,1098800
1995-12-06,5.3125,5.3125,5.4375,5.0625,5.0625,247600
1995-12-07,5.375,5.375,5.5625,5.375,5.5,230000
1995-12-08,5.375,5.375,5.5625,5.3125,5.5625,49200
1995-12-11,5.5,5.5,5.5,5.3125,5.3125,81200
1995-12-12,5.375,5.375,5.5,5.3125,5.3125,336800
1995-12-13,5.4375,5.4375,5.875,5.375,5.375,644400
1995-12-14,5.5,5.5,5.6875,5.4375,5.4375,73200
1995-12-15,5.5625,5.5625,5.6875,5.4375,5.4375,58800
1995-12-18,5.4375,5.4375,5.53125,5.4375,5.5,92800
1995-12-19,5.5625,5.5625,5.5625,5.4375,5.53125,22000
1995-12-20,5.5,5.5,5.6875,5.4375,5.4375,76400
1995-12-21,5.625,5.625,5.6875,5.5,5.5,109600
1995-12-22,5.8125,5.8125,5.8125,5.5625,5.6875,103200
1995-12-26,6.21875,6.21875,6.375,5.75,5.75,330000
1995-12-27,6.625,6.625,6.6875,6.25,6.375,449200
1995-12-28,6.9375,6.9375,7.0,6.6875,6.6875,813600
1995-12-29,6.875,6.875,7.125,6.8125,6.8125,317600
1996-01-02,6.9375,6.9375,7.0,6.875,6.875,230800
1996-01-03,6.6875,6.6875,7.0,6.6875,6.875,1304000
1996-01-04,6.5,6.5,6.75,6.5,6.6875,405600
1996-01-05,6.4375,6.4375,6.625,6.4375,6.4375,163600
1996-01-08,6.625,6.625,6.625,6.625,6.625,10000
1996-01-09,6.25,6.25,6.53125,6.25,6.4375,599600
1996-01-10,6.0,6.0,6.4375,6.0,6.25,302400
1996-01-11,6.0,6.0,6.1875,5.625,6.0,196800
1996-01-12,6.125,6.125,6.25,6.03125,6.25,61600
1996-01-15,6.0,6.0,6.1875,6.0,6.0,49600
1996-01-16,6.9375,6.9375,7.0,6.0,6.1875,1241600
1996-01-17,7.125,7.125,7.375,6.8125,7.0,629600
1996-01-18,6.9375,6.9375,7.1875,6.875,7.1875,924800
1996-01-19,6.71875,6.71875,6.875,6.6875,6.75,237600
1996-01-22,6.875,6.875,6.875,6.6875,6.6875,147200
1996-01-23,6.6875,6.6875,6.9375,6.6875,6.8125,84000
1996-01-24,6.875,6.875,7.125,6.6875,6.6875,144800
1996-01-25,7.21875,7.21875,7.3125,7.0625,7.125,67600
1996-01-26,7.25,7.25,7.3125,7.0625,7.3125,11600
1996-01-29,7.875,7.875,7.875,7.0625,7.0625,316400
1996-01-30,8.125,8.125,8.125,7.875,7.875,1474000
1996-01-31,8.375,8.375,8.375,8.0625,8.125,509200
1996-02-01,8.125,8.125,8.5,8.125,8.25,3403200
1996-02-02,8.1875,8.1875,8.375,8.1875,8.375,260400
1996-02-05,8.71875,8.71875,8.8125,8.1875,8.1875,209600
1996-02-06,8.5625,8.5625,8.8125,8.5625,8.625,87200
1996-02-07,8.5,8.5,8.75,8.5,8.5625,42800
1996-02-08,8.5625,8.5625,8.75,8.5,8.75,27200
1996-02-09,8.6875,8.6875,8.75,8.5,8.75,21600
1996-02-12,8.625,8.625,8.6875,8.4375,8.4375,52800
1996-02-13,8.375,8.375,8.5625,8.375,8.5625,896000
1996-02-14,8.375,8.375,8.5,8.3125,8.375,439600
1996-02-15,8.4375,8.4375,8.4375,8.3125,8.4375,10400
1996-02-16,8.375,8.375,8.5,8.3125,8.5,89200
1996-02-20,8.3125,8.3125,8.5,8.3125,8.5,16800
1996-02-21,8.46875,8.46875,8.5625,8.3125,8.3125,300400
1996-02-22,8.5625,8.5625,8.5625,8.3125,8.5,135200
1996-02-23,9.25,9.25,10.0,8.5625,8.5625,974400
1996-02-26,9.8125,9.8125,10.1875,9.1875,9.375,1104000
1996-02-27,9.28125,9.28125,9.9375,9.25,9.875,402400
1996-02-28,9.3125,9.3125,9.5625,9.25,9.25,101600
1996-02-29,9.5625,9.5625,9.5625,9.3125,9.3125,255600
1996-03-01,9.5625,9.5625,9.5625,9.3125,9.5625,41200
1996-03-04,9.4375,9.4375,9.6875,9.3125,9.5625,76000
1996-03-05,9.5,9.5,9.75,9.4375,9.4375,170800
1996-03-06,9.75,9.75,9.75,9.4375,9.75,190000
1996-03-07,9.5625,9.5625,9.75,9.4375,9.5,312400
1996-03-08,9.5,9.5,9.625,9.25,9.5625,178000
1996-03-11,9.375,9.375,9.5,9.375,9.375,148800
1996-03-12,9.3125,9.3125,9.5,9.25,9.25,217200
1996-03-13,9.1875,9.1875,9.28125,9.1875,9.25,49600
1996-03-14,9.0625,9.0625,9.375,9.0625,9.125,83600
1996-03-15,9.25,9.25,9.3125,9.0625,9.09375,64400
1996-03-18,8.5625,8.5625,9.25,8.375,9.0625,237200
1996-03-19,8.75,8.75,8.875,8.5625,8.5625,332400
1996-03-20,9.1875,9.1875,9.4375,8.75,8.75,273600
1996-03-21,9.1875,9.1875,9.375,9.0625,9.1875,392000
1996-03-22,9.25,9.25,9.375,8.9375,9.375,212800
1996-03-25,8.875,8.875,9.25,8.875,9.0625,215600
1996-03-26,8.8125,8.8125,9.125,8.8125,8.8125,150800
1996-03-27,8.8125,8.8125,8.8125,8.8125,8.8125,8400
1996-03-28,8.8125,8.8125,9.125,8.8125,8.8125,128800
1996-03-29,8.875,8.875,9.125,8.8125,8.8125,275600
1996-04-01,9.25,9.25,9.375,8.875,8.875,164000
1996-04-02,9.28125,9.28125,9.3125,9.125,9.3125,168800
1996-04-03,9.5,9.5,9.5,9.125,9.125,63200
1996-04-04,10.25,10.25,10.28125,9.3125,9.3125,171600
1996-04-08,9.890625,9.890625,10.0625,9.875,9.875,141200
1996-04-09,9.8125,9.8125,10.25,9.75,10.125,393600
1996-04-10,9.625,9.625,9.9375,9.625,9.9375,74000
1996-04-11,9.625,9.625,9.875,9.625,9.6875,40000
1996-04-12,9.75,9.75,10.0,9.6875,9.9375,699600
1996-04-15,9.84375,9.84375,10.0,9.6875,9.71875,82000
1996-04-16,9.5625,9.5625,10.0,9.5625,9.6875,105200
1996-04-17,9.5,9.5,9.53125,9.5,9.5,112000
1996-04-18,9.28125,9.28125,9.5,9.25,9.5,48800
1996-04-19,8.9375,8.9375,9.375,8.8125,9.375,94000
1996-04-22,9.1875,9.1875,9.4375,8.875,9.125,490400
1996-04-23,10.4375,10.4375,10.9375,9.4375,9.5,619200
1996-04-24,10.65625,10.65625,10.875,10.3125,10.625,269200
1996-04-25,11.25,11.25,11.4375,10.8125,10.875,262400
1996-04-26,11.0,11.0,11.625,11.0,11.3125,373200
1996-04-29,11.0625,11.0625,11.125,10.75,10.8125,67200
1996-04-30,11.9375,11.9375,12.3125,10.875,11.0625,356400
1996-05-01,11.1875,11.1875,12.3125,11.1875,11.75,341200
1996-05-02,10.5625,10.5625,11.8125,10.4375,11.625,339600
1996-05-03,12.0,12.0,12.0625,10.5,10.5,488000
1996-05-06,13.1875,13.1875,13.1875,11.75,11.75,421600
1996-05-07,12.625,12.625,13.5625,12.1875,12.9375,316400
1996-05-08,12.4375,12.4375,12.5625,12.0625,12.375,431200
1996-05-09,13.125,13.125,13.375,12.4375,12.5,348000
1996-05-10,14.75,14.75,14.75,13.375,13.375,807600
1996-05-13,13.8125,13.8125,15.0,13.8125,14.5625,372800
1996-05-14,13.375,13.375,14.0,13.375,14.0,86800
1996-05-15,13.8125,13.8125,13.8125,13.375,13.375,506400
1996-05-16,13.9375,13.9375,14.0,13.625,13.625,155200
1996-05-17,14.0,14.0,14.375,14.0,14.0,612000
1996-05-20,14.0,14.0,14.375,14.0,14.0,584400
1996-05-21,14.5,14.5,14.5625,14.0,14.0,108400
1996-05-22,14.46875,14.46875,14.5625,14.25,14.25,56800
1996-05-23,15.1875,15.1875,15.1875,14.25,14.25,701200
1996-05-24,15.6875,15.6875,16.0,14.6875,15.1875,475200
1996-05-28,15.75,15.75,16.1875,14.9375,15.9375,1398400
1996-05-29,15.875,15.875,16.0,15.75,15.9375,518800
1996-05-30,15.625,15.625,16.0,15.5,16.0,40000
1996-05-31,15.75,15.75,15.75,15.4375,15.4375,294000
1996-06-03,15.75,15.75,15.75,15.4375,15.75,468400
1996-06-04,15.625,15.625,15.75,15.5,15.75,430800
1996-06-05,15.25,15.25,15.625,15.125,15.5,323200
1996-06-06,14.5625,14.5625,15.125,14.5625,15.0625,263600
1996-06-07,14.1875,14.1875,14.4375,13.9375,13.9375,626000
1996-06-10,14.5,14.5,14.5625,14.25,14.25,368000
1996-06-11,14.4375,14.4375,14.5625,14.3125,14.5625,142000
1996-06-12,14.5,14.5,14.5625,14.4375,14.5625,71200
1996-06-13,14.5,14.5,14.5625,14.25,14.5,138800
1996-06-14,13.9375,13.9375,14.4375,13.6875,14.4375,513600
1996-06-17,13.3125,13.3125,14.0,13.3125,14.0,127600
1996-06-18,13.3125,13.3125,13.625,13.3125,13.3125,65600
1996-06-19,12.8125,12.8125,13.5,12.8125,13.5,183200
1996-06-20,12.3125,12.3125,12.875,12.25,12.75,496800
1996-06-21,12.5625,12.5625,12.5625,12.25,12.25,73200
