Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LPX,LPX,LPX,LPX,LPX,LPX
Date,,,,,,
1995-01-03,18.31155014038086,28.375,28.375,27.0,27.0,223000
1995-01-04,18.553552627563477,28.75,28.75,28.125,28.375,307000
1995-01-05,18.553552627563477,28.75,29.25,28.25,28.5,229200
1995-01-06,18.553552627563477,28.75,29.25,28.625,28.875,324800
1995-01-09,18.634218215942383,28.875,29.375,28.5,28.5,370100
1995-01-10,18.71489143371582,29.0,29.5,28.875,29.0,698900
1995-01-11,18.876218795776367,29.25,29.375,28.625,29.375,282600
1995-01-12,18.795555114746094,29.125,29.375,28.875,29.25,122100
1995-01-13,18.876218795776367,29.25,29.375,28.625,29.0,310700
1995-01-16,19.198890686035156,29.75,29.75,29.125,29.375,421700
1995-01-17,19.440898895263672,30.125,30.25,29.5,29.5,427300
1995-01-18,19.198890686035156,29.75,30.5,29.625,30.125,384400
1995-01-19,19.118223190307617,29.625,30.0,29.5,29.875,135200
1995-01-20,18.95689582824707,29.375,29.625,29.25,29.625,180900
1995-01-23,18.876218795776367,29.25,29.25,28.625,29.0,216300
1995-01-24,18.230876922607422,28.25,29.125,27.875,29.0,527000
1995-01-25,18.069549560546875,28.0,28.5,27.625,28.0,480700
1995-01-26,17.827539443969727,27.625,28.125,27.5,27.875,293100
1995-01-27,17.424203872680664,27.0,27.875,26.625,27.5,368400
1995-01-30,17.26287078857422,26.75,26.875,26.5,26.875,274200
1995-01-31,17.02086639404297,26.375,26.875,26.25,26.75,395300
1995-02-01,17.504865646362305,27.125,27.375,26.375,26.625,273500
1995-02-02,17.908212661743164,27.75,27.875,27.125,27.375,205500
1995-02-03,17.988874435424805,27.875,28.0,27.5,27.875,283200
1995-02-06,18.230876922607422,28.25,28.5,27.75,27.875,341100
1995-02-07,18.15021514892578,28.125,28.375,27.75,28.25,261700
1995-02-08,18.393293380737305,28.375,28.5,27.875,28.125,514600
1995-02-09,18.231245040893555,28.125,28.5,28.125,28.5,341700
1995-02-10,18.231245040893555,28.125,28.5,27.75,28.375,326100
1995-02-13,18.55535316467285,28.625,28.75,28.0,28.125,370900
1995-02-14,18.474327087402344,28.5,28.5,27.625,28.25,294000
1995-02-15,18.63637924194336,28.75,29.125,28.375,28.5,515100
1995-02-16,18.879467010498047,29.125,29.125,28.5,28.875,408500
1995-02-17,18.798433303833008,29.0,29.25,29.0,29.125,606200
1995-02-21,18.960493087768555,29.25,29.25,28.875,28.875,219000
1995-02-22,18.960493087768555,29.25,29.25,29.0,29.125,256200
1995-02-23,18.960493087768555,29.25,29.75,29.125,29.25,520000
1995-02-24,18.798433303833008,29.0,29.25,28.75,29.25,306700
1995-02-27,18.474327087402344,28.5,29.0,28.5,29.0,198900
1995-02-28,18.312267303466797,28.25,28.5,27.875,28.375,256000
1995-03-01,17.988157272338867,27.75,28.625,27.75,28.625,234300
1995-03-02,17.583011627197266,27.125,27.625,27.0,27.5,324700
1995-03-03,17.501995086669922,27.0,27.25,26.75,27.0,393400
1995-03-06,17.826101303100586,27.5,27.5,26.625,26.875,206500
1995-03-07,17.501995086669922,27.0,27.625,27.0,27.25,305000
1995-03-08,17.583011627197266,27.125,27.375,26.875,27.125,265800
1995-03-09,17.501995086669922,27.0,27.25,27.0,27.125,310800
1995-03-10,18.231245040893555,28.125,28.125,27.125,27.125,291200
1995-03-13,17.664051055908203,27.25,28.125,27.125,28.0,505900
1995-03-14,17.74508285522461,27.375,27.875,27.25,27.375,312800
1995-03-15,17.501995086669922,27.0,27.5,26.875,27.5,340100
1995-03-16,17.33993911743164,26.75,27.0,26.625,26.75,421500
1995-03-17,17.33993911743164,26.75,27.0,26.625,26.875,444800
1995-03-20,16.934797286987305,26.125,26.875,26.125,26.75,519200
1995-03-21,16.529661178588867,25.5,26.25,25.5,26.25,882600
1995-03-22,16.1245174407959,24.875,25.75,24.75,25.625,1601200
1995-03-23,16.610687255859375,25.625,25.625,24.875,25.0,1255300
1995-03-24,16.691715240478516,25.75,25.75,25.125,25.625,1118300
1995-03-27,16.610687255859375,25.625,25.625,25.375,25.625,474200
1995-03-28,17.177879333496094,26.5,26.5,25.75,25.75,462500
1995-03-29,17.258907318115234,26.625,26.625,26.375,26.375,345100
1995-03-30,17.74508285522461,27.375,27.5,26.5,26.5,481700
1995-03-31,17.907127380371094,27.625,27.875,27.0,27.125,531800
1995-04-03,17.664051055908203,27.25,27.875,27.25,27.5,249100
1995-04-04,18.069183349609375,27.875,28.0,27.5,27.625,213200
1995-04-05,17.74508285522461,27.375,27.875,27.375,27.875,164300
1995-04-06,17.664051055908203,27.25,27.625,27.125,27.5,185500
1995-04-07,17.664051055908203,27.25,27.375,26.875,27.375,180100
1995-04-10,17.501995086669922,27.0,27.25,26.875,27.25,171000
1995-04-11,17.42096519470215,26.875,27.375,26.625,27.25,182600
1995-04-12,17.501995086669922,27.0,27.0,26.625,26.75,148700
1995-04-13,17.015825271606445,26.25,27.0,26.25,26.625,321800
1995-04-17,17.096851348876953,26.375,26.5,26.125,26.375,347000
1995-04-18,16.610687255859375,25.625,26.0,25.5,25.75,1024600
1995-04-19,16.691715240478516,25.75,26.0,25.5,25.625,307600
1995-04-20,16.448637008666992,25.375,25.75,25.25,25.75,397500
1995-04-21,16.529661178588867,25.5,25.75,25.125,25.375,567500
1995-04-24,16.448637008666992,25.375,25.5,25.0,25.5,392900
1995-04-25,16.691715240478516,25.75,25.75,25.375,25.375,308700
1995-04-26,16.691715240478516,25.75,26.0,25.625,25.75,126700
1995-04-27,16.691715240478516,25.75,25.75,25.5,25.625,215000
1995-04-28,16.448637008666992,25.375,25.875,25.25,25.875,449200
1995-05-01,16.448637008666992,25.375,25.5,25.125,25.5,266200
1995-05-02,16.610687255859375,25.625,25.625,25.0,25.375,384700
1995-05-03,16.853769302368164,26.0,26.0,25.25,25.625,296100
1995-05-04,16.853769302368164,26.0,26.125,25.875,25.875,468400
1995-05-05,16.772747039794922,25.875,26.125,25.75,26.0,441000
1995-05-08,17.583011627197266,27.125,27.375,25.875,25.875,804900
1995-05-09,17.826101303100586,27.5,27.625,27.125,27.125,786100
1995-05-10,18.069183349609375,27.875,28.0,27.5,27.625,719300
1995-05-11,18.069183349609375,27.875,27.875,27.625,27.875,229900
1995-05-12,18.567581176757812,28.5,28.625,27.625,27.625,469500
1995-05-15,18.649015426635742,28.625,28.875,27.75,28.625,332100
1995-05-16,18.649015426635742,28.625,29.0,28.5,28.625,362800
1995-05-17,18.404701232910156,28.25,28.625,28.0,28.625,213300
1995-05-18,17.590341567993164,27.0,28.25,26.75,28.25,312600
1995-05-19,18.07895851135254,27.75,27.875,26.875,27.0,421300
1995-05-22,17.75321388244629,27.25,27.375,26.75,27.375,396900
1995-05-23,17.75321388244629,27.25,27.375,27.0,27.25,339100
1995-05-24,17.427465438842773,26.75,27.375,26.625,27.25,290600
1995-05-25,14.821488380432129,22.75,23.125,22.0,22.0,4566000
1995-05-26,14.16999626159668,21.75,23.0,21.5,23.0,2227800
1995-05-30,13.925684928894043,21.375,21.75,20.875,21.75,1500200
1995-05-31,14.495743751525879,22.25,22.375,21.375,21.375,879100
1995-06-01,14.16999626159668,21.75,22.0,21.375,21.875,1122000
1995-06-02,14.332866668701172,22.0,22.375,21.25,21.625,486700
1995-06-05,14.7400541305542,22.625,22.875,21.75,21.75,712000
1995-06-06,15.472973823547363,23.75,23.75,22.125,22.625,1152100
1995-06-07,15.147241592407227,23.25,23.25,22.125,23.125,921100
1995-06-08,15.0657958984375,23.125,23.125,22.625,22.875,765700
1995-06-09,14.902928352355957,22.875,23.125,22.5,23.0,674200
