Price,Adj Close,Close,High,Low,Open,Volume
Ticker,OMX,OMX,OMX,OMX,OMX,OMX
Date,,,,,,
1995-01-03,27.0,27.0,27.0,26.625,26.75,132300
1995-01-04,27.25,27.25,27.25,27.0,27.0,159900
1995-01-05,27.375,27.375,27.875,27.25,27.3799991607666,169200
1995-01-06,27.75,27.75,27.875,27.125,27.3799991607666,618200
1995-01-09,28.625,28.625,28.75,27.75,27.8799991607666,282900
1995-01-10,28.75,28.75,29.625,28.625,29.0,435900
1995-01-11,28.375,28.375,28.625,28.125,28.625,300500
1995-01-12,28.5,28.5,28.625,28.25,28.25,413200
1995-01-13,29.25,29.25,29.625,28.625,28.6299991607666,817000
1995-01-16,30.125,30.125,30.625,29.125,29.1299991607666,754500
1995-01-17,29.875,29.875,30.25,29.125,30.25,467100
1995-01-18,30.0,30.0,30.75,29.5,29.8799991607666,855900
1995-01-19,29.75,29.75,29.875,29.5,29.6299991607666,184500
1995-01-20,29.375,29.375,29.75,29.25,29.75,347800
1995-01-23,28.75,28.75,29.0,28.375,29.0,366300
1995-01-24,29.0,29.0,29.0,28.625,28.75,250500
1995-01-25,29.0,29.0,29.125,28.75,29.0,340400
1995-01-26,28.625,28.625,29.0,28.5,29.0,88100
1995-01-27,27.875,27.875,28.75,27.875,28.6299991607666,124100
1995-01-30,26.25,26.25,27.875,26.25,27.875,420400
1995-01-31,26.875,26.875,27.0,26.5,26.75,193500
1995-02-01,27.5,27.5,27.5,26.875,27.0,182600
1995-02-02,27.875,27.875,28.0,27.25,27.25,125800
1995-02-03,27.75,27.75,28.125,27.375,27.8799991607666,231200
1995-02-06,27.875,27.875,28.0,27.625,28.0,94500
1995-02-07,27.75,27.75,28.0,27.5,27.8799991607666,219200
1995-02-08,27.875,27.875,28.125,27.625,27.6299991607666,177000
1995-02-09,27.75,27.75,28.0,27.75,28.0,160300
1995-02-10,27.75,27.75,27.875,27.625,27.875,91200
1995-02-13,28.625,28.625,28.75,27.5,27.75,364000
1995-02-14,28.375,28.375,28.75,27.875,28.6299991607666,559700
1995-02-15,29.875,29.875,30.0,28.625,28.6299991607666,692000
1995-02-16,30.375,30.375,30.625,29.75,30.1299991607666,1050200
1995-02-17,30.0,30.0,30.25,29.75,30.25,309100
1995-02-21,30.875,30.875,31.125,30.0,30.0,831500
1995-02-22,31.875,31.875,32.0,30.75,30.75,537800
1995-02-23,31.625,31.625,32.25,31.5,32.0,711500
1995-02-24,31.625,31.625,32.25,31.125,31.8799991607666,514800
1995-02-27,32.375,32.375,32.75,31.125,31.25,462900
1995-02-28,32.25,32.25,32.375,32.0,32.130001068115234,462700
1995-03-01,31.75,31.75,32.625,31.5,32.380001068115234,700100
1995-03-02,31.0,31.0,31.75,30.5,31.75,247100
1995-03-03,31.5,31.5,31.5,30.625,31.0,244100
1995-03-06,31.125,31.125,31.25,30.75,31.25,151600
1995-03-07,31.0,31.0,31.25,30.625,30.8799991607666,187400
1995-03-08,31.75,31.75,31.875,31.0,31.0,340300
1995-03-09,31.625,31.625,31.75,31.375,31.6299991607666,113600
1995-03-10,32.25,32.25,32.375,31.625,31.6299991607666,91700
1995-03-13,32.375,32.375,32.375,31.875,32.25,144500
1995-03-14,31.5,31.5,32.375,31.5,32.25,240000
1995-03-15,31.875,31.875,32.25,31.5,31.6299991607666,543000
1995-03-16,32.0,32.0,32.0,31.25,31.8799991607666,666900
1995-03-17,31.625,31.625,32.25,31.5,32.0,253600
1995-03-20,31.125,31.125,32.125,30.75,31.8799991607666,467900
1995-03-21,32.125,32.125,32.375,31.125,31.25,355100
1995-03-22,32.0,32.0,32.25,31.625,32.25,228100
1995-03-23,32.0,32.0,32.25,31.5,31.8799991607666,172600
1995-03-24,32.25,32.25,32.5,32.0,32.0,149500
1995-03-27,32.625,32.625,33.0,31.875,32.130001068115234,584900
1995-03-28,32.25,32.25,32.75,32.0,32.75,308000
1995-03-29,32.625,32.625,32.875,32.375,32.5,458000
1995-03-30,34.125,34.125,34.125,32.75,32.880001068115234,1063300
1995-03-31,34.75,34.75,35.375,33.25,34.0,505200
1995-04-03,34.625,34.625,35.0,34.375,34.630001068115234,263400
1995-04-04,35.75,35.75,35.75,34.75,34.880001068115234,435900
1995-04-05,35.625,35.625,35.875,35.5,35.630001068115234,197100
1995-04-06,35.75,35.75,35.875,35.125,35.5,252100
1995-04-07,35.875,35.875,36.0,35.625,35.630001068115234,217500
1995-04-10,36.0,36.0,36.5,35.75,36.0,227900
1995-04-11,35.5,35.5,36.875,35.375,36.5,449200
1995-04-12,34.875,34.875,35.25,34.625,34.75,363000
1995-04-13,34.25,34.25,34.75,33.625,34.75,408600
1995-04-17,32.875,32.875,34.5,32.875,34.5,270800
