Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ROH,ROH,ROH,ROH,ROH,ROH
Date,,,,,,
2000-01-04,14.75,14.75,15.0,14.75,15.0,8000
2000-01-05,14.0,14.0,17.0,14.0,17.0,0
2000-01-06,14.0,14.0,14.5,14.0,14.5,9000
2000-01-07,14.0,14.0,17.0,14.0,17.0,0
2000-01-10,14.0,14.0,14.25,14.0,14.25,15000
2000-01-11,14.0,14.0,14.25,14.0,14.25,8000
2000-01-12,13.75,13.75,13.75,13.75,13.75,2300
2000-01-13,13.75,13.75,17.0,13.75,17.0,0
2000-01-14,14.0,14.0,17.0,14.0,17.0,0
2000-01-18,13.5,13.5,17.0,13.5,17.0,0
2000-01-19,14.5,14.5,14.5,14.5,14.5,1000
2000-01-20,13.5,13.5,15.0,13.5,15.0,0
2000-01-21,13.5,13.5,16.25,13.5,16.25,0
2000-01-24,13.75,13.75,16.5,13.75,16.5,0
2000-01-25,15.0,15.0,16.5,15.0,16.0,809500
2000-01-26,15.5,15.5,15.5,15.5,15.5,2000
2000-01-27,16.0,16.0,16.0,16.0,16.0,2000
2000-01-28,15.5,15.5,17.0,15.5,17.0,0
2000-01-31,17.0,17.0,17.0,16.0,16.0,37500
2000-02-01,15.5,15.5,16.25,15.5,16.25,2400
2000-02-02,15.5,15.5,16.75,15.5,16.75,0
2000-02-03,16.0,16.0,16.0,16.0,16.0,2000
2000-02-04,16.0,16.0,16.0,16.0,16.0,32000
2000-02-07,15.5,15.5,17.0,15.5,17.0,0
2000-02-08,16.0,16.0,16.0,16.0,16.0,3000
2000-02-09,16.0,16.0,16.0,15.5,15.5,3000
2000-02-10,16.0,16.0,16.0,16.0,16.0,33000
2000-02-11,17.0,17.0,17.0,16.5,16.5,7000
2000-02-14,16.25,16.25,16.25,16.25,16.25,1000
2000-02-15,16.5,16.5,16.5,16.25,16.5,14000
2000-02-16,16.5,16.5,16.5,16.25,16.25,20600
2000-02-17,18.0,18.0,18.0,17.0,17.5,55800
2000-02-18,18.0,18.0,18.25,18.0,18.25,2600
2000-02-22,19.0,19.0,19.0,18.25,18.5,377500
2000-02-23,18.75,18.75,19.0,18.5,18.5,15500
2000-02-24,18.5,18.5,18.5,18.5,18.5,5800
2000-02-25,18.25,18.25,18.5,18.25,18.25,5000
2000-02-28,18.25,18.25,18.25,18.25,18.25,8000
2000-02-29,18.25,18.25,18.25,18.25,18.25,10000
2000-03-01,18.25,18.25,18.25,18.25,18.25,2000
2000-03-02,18.5,18.5,18.5,18.25,18.25,10500
2000-03-03,18.25,18.25,18.25,18.25,18.25,2000
2000-03-06,18.5,18.5,18.5,18.5,18.5,1000
2000-03-07,18.25,18.25,18.75,18.25,18.75,0
2000-03-08,19.0,19.0,19.0,18.25,18.25,23000
2000-03-09,20.0,20.0,20.0,18.5,18.5,6000
2000-03-10,21.5,21.5,25.0,18.5,25.0,2100
2000-03-13,21.0,21.0,21.0,18.75,18.75,1500
2000-03-14,19.0,19.0,20.25,19.0,20.25,0
2000-03-15,20.0,20.0,20.0,19.0,19.0,4500
2000-03-16,20.25,20.25,20.25,18.5,18.5,2100
2000-03-17,18.75,18.75,20.0,18.75,20.0,0
2000-03-20,18.75,18.75,19.75,18.75,19.75,0
2000-03-21,18.5,18.5,19.75,18.5,19.75,0
2000-03-22,18.5,18.5,20.0,18.5,20.0,0
2000-03-23,18.5,18.5,19.5,18.5,19.5,0
2000-03-24,19.75,19.75,19.75,18.5,18.5,22200
2000-03-27,19.5,19.5,19.5,19.5,19.5,13000
2000-03-28,20.0,20.0,20.0,19.5,19.5,24400
2000-03-29,20.0,20.0,20.0,20.0,20.0,37500
2000-03-30,20.5,20.5,20.5,19.75,20.0,35500
2000-03-31,22.0,22.0,22.0,20.25,20.25,22600
2000-04-03,18.5,18.5,18.5,18.25,18.25,3100
2000-04-04,18.5,18.5,20.0,18.5,20.0,0
2000-04-05,18.75,18.75,21.75,18.75,21.75,0
2000-04-06,18.75,18.75,18.75,18.75,18.75,0
2000-04-07,18.5,18.5,22.0,18.5,22.0,0
2000-04-10,18.0,18.0,18.25,18.0,18.25,4000
2000-04-11,18.5,18.5,18.5,18.0,18.0,9000
2000-04-12,18.0,18.0,18.5,18.0,18.5,0
2000-04-13,18.0,18.0,18.0,18.0,18.0,0
2000-04-14,18.0,18.0,18.0,18.0,18.0,0
2000-04-17,16.0,16.0,18.5,16.0,18.5,0
2000-04-18,16.5,16.5,18.5,16.5,18.5,0
2000-04-19,16.5,16.5,18.5,16.5,18.5,0
2000-04-20,18.5,18.5,18.5,18.5,18.5,5000
2000-04-24,20.0,20.0,20.0,20.0,20.0,3800
2000-04-25,20.5,20.5,20.5,20.5,20.5,2000
2000-04-26,20.0,20.0,20.0,20.0,20.0,1000
2000-04-27,22.0,22.0,22.0,20.0,20.0,74500
2000-04-28,22.0,22.0,22.0,22.0,22.0,23500
2000-05-01,22.0,22.0,22.0,22.0,22.0,0
2000-05-02,21.5,21.5,22.0,21.5,22.0,0
2000-05-03,22.0,22.0,22.0,21.5,22.0,28500
2000-05-04,22.0,22.0,22.0,22.0,22.0,3000
2000-05-05,22.0,22.0,22.0,22.0,22.0,0
2000-05-08,22.0,22.0,22.0,22.0,22.0,12300
2000-05-09,22.0,22.0,22.0,22.0,22.0,0
2000-05-10,21.75,21.75,22.0,21.5,22.0,71300
2000-05-11,22.0,22.0,22.0,21.75,21.75,4300
2000-05-12,22.0,22.0,22.0,22.0,22.0,36000
2000-05-15,22.25,22.25,22.25,22.0,22.0,3500
2000-05-16,21.0,21.0,21.0,21.0,21.0,100
2000-05-17,21.0,21.0,21.0,21.0,21.0,0
2000-05-18,22.0,22.0,22.25,22.0,22.25,0
2000-05-19,21.0,21.0,22.5,21.0,22.5,0
2000-05-22,20.25,20.25,22.0,20.25,22.0,0
2000-05-23,17.5,17.5,17.5,17.5,17.5,200
2000-05-24,18.0,18.0,21.75,18.0,21.75,0
2000-05-25,17.5,17.5,21.0,17.5,21.0,0
2000-05-26,18.25,18.25,19.75,18.25,19.75,0
2000-05-30,18.25,18.25,18.25,18.25,18.25,0
2000-05-31,18.25,18.25,18.25,18.25,18.25,1800
2000-06-01,17.5,17.5,21.0,17.5,21.0,0
2000-06-02,18.25,18.25,21.0,18.25,21.0,0
2000-06-05,16.25,16.25,21.75,16.25,21.75,0
2000-06-06,18.25,18.25,21.0,18.25,21.0,0
2000-06-07,18.75,18.75,21.0,18.75,21.0,0
2000-06-08,21.75,21.75,21.75,19.25,19.25,400
2000-06-09,18.25,18.25,21.25,18.25,21.25,0
2000-06-12,18.0,18.0,23.75,18.0,23.75,0
2000-06-13,18.25,18.25,22.5,18.25,22.5,0
2000-06-14,18.25,18.25,22.5,18.25,22.5,0
2000-06-15,19.25,19.25,22.0,19.25,22.0,0
2000-06-16,20.0,20.0,22.0,20.0,22.0,0
2000-06-19,19.5,19.5,21.75,19.5,21.75,0
2000-06-20,19.25,19.25,21.0,19.25,21.0,0
2000-06-21,19.75,19.75,22.0,19.75,22.0,0
2000-06-22,19.75,19.75,22.0,19.75,22.0,0
2000-06-23,19.75,19.75,22.0,19.75,22.0,0
2000-06-26,16.0,16.0,22.0,16.0,22.0,4000
2000-06-27,18.25,18.25,20.75,18.25,20.75,0
2000-06-28,20.75,20.75,20.75,20.75,20.75,200
2000-06-29,23.0,23.0,23.0,21.0,21.0,18000
2000-06-30,24.0,24.0,24.0,22.75,24.0,25500
2000-07-03,19.25,19.25,19.25,19.25,19.25,1000
2000-07-05,19.75,19.75,22.5,19.75,22.5,0
2000-07-06,20.0,20.0,23.5,20.0,23.5,0
2000-07-07,19.75,19.75,20.0,19.75,20.0,6000
2000-07-10,20.75,20.75,21.0,20.0,20.0,10500
2000-07-11,20.0,20.0,23.75,20.0,23.75,0
2000-07-12,20.0,20.0,23.0,20.0,23.0,0
2000-07-13,20.25,20.25,22.0,20.0,20.0,5700
2000-07-14,20.25,20.25,20.25,20.25,20.25,500
2000-07-17,20.25,20.25,20.25,20.25,20.25,0
2000-07-18,20.0,20.0,23.5,20.0,23.5,0
2000-07-19,20.0,20.0,23.5,20.0,23.5,0
2000-07-20,20.75,20.75,22.0,20.75,22.0,0
2000-07-21,20.5,20.5,22.5,20.5,22.5,0
2000-07-24,20.5,20.5,22.75,20.5,22.75,0
2000-07-25,20.0,20.0,22.0,20.0,22.0,0
2000-07-26,22.0,22.0,22.0,22.0,22.0,11000
2000-07-27,20.5,20.5,22.5,20.5,22.5,0
2000-07-28,22.0,22.0,22.0,22.0,22.0,2000
2000-07-31,22.0,22.0,22.0,22.0,22.0,1000
2000-08-01,22.0,22.0,22.0,22.0,22.0,5000
2000-08-02,21.0,21.0,22.25,21.0,22.25,0
2000-08-03,22.0,22.0,22.0,22.0,22.0,7900
2000-08-04,21.25,21.25,21.25,21.25,21.25,1000
2000-08-07,21.25,21.25,23.0,21.25,23.0,0
2000-08-08,21.25,21.25,23.75,21.25,23.75,0
2000-08-09,21.0,21.0,25.0,21.0,25.0,0
2000-08-10,21.0,21.0,24.0,21.0,24.0,0
2000-08-11,21.5,21.5,23.0,21.5,23.0,0
2000-08-14,21.5,21.5,21.5,21.5,21.5,0
2000-08-15,21.25,21.25,22.0,21.25,22.0,0
2000-08-16,22.0,22.0,22.0,22.0,22.0,1000
2000-08-17,21.0,21.0,22.5,21.0,22.5,0
2000-08-18,21.0,21.0,23.0,21.0,23.0,0
2000-08-21,21.5,21.5,21.5,21.5,21.5,10000
2000-08-22,21.25,21.25,22.5,21.25,22.5,0
2000-08-23,21.25,21.25,21.25,21.25,21.25,6000
2000-08-24,21.0,21.0,23.0,21.0,23.0,0
2000-08-25,21.25,21.25,22.75,21.25,22.75,0
2000-08-28,21.25,21.25,22.0,21.25,22.0,0
2000-08-29,21.25,21.25,22.0,21.25,22.0,0
2000-08-30,21.25,21.25,21.25,21.25,21.25,10000
