Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KBH,KBH,KBH,KBH,KBH,KBH
Date,,,,,,
1995-01-03,4.311479091644287,6.5625,6.5625,6.5,6.5,148000
1995-01-04,4.270417213439941,6.5,6.5625,6.4375,6.5625,237400
1995-01-05,4.3936052322387695,6.6875,6.75,6.5,6.5625,261800
1995-01-06,4.3936052322387695,6.6875,6.75,6.625,6.625,340000
1995-01-09,4.51678991317749,6.875,6.875,6.6875,6.6875,391400
1995-01-10,4.557852268218994,6.9375,7.0,6.8125,7.0,392400
1995-01-11,4.51678991317749,6.875,6.875,6.8125,6.8125,367400
1995-01-12,4.434665203094482,6.75,6.8125,6.6875,6.8125,456400
1995-01-13,4.352542877197266,6.625,6.75,6.625,6.75,273200
1995-01-16,4.352542877197266,6.625,6.6875,6.5,6.6875,275200
1995-01-17,4.311479091644287,6.5625,6.625,6.5,6.5625,238200
1995-01-18,4.352542877197266,6.625,6.625,6.5,6.5625,219000
1995-01-19,4.352542877197266,6.625,6.6875,6.5625,6.5625,102600
1995-01-20,4.229355335235596,6.4375,6.5625,6.375,6.5625,179400
1995-01-23,4.106171131134033,6.25,6.3125,6.1875,6.3125,427400
1995-01-24,4.147231101989746,6.3125,6.4375,6.25,6.25,271200
1995-01-25,4.188293933868408,6.375,6.4375,6.3125,6.3125,182000
1995-01-26,4.270417213439941,6.5,6.5,6.375,6.375,129800
1995-01-27,4.188293933868408,6.375,6.5,6.3125,6.5,236800
1995-01-30,4.188293933868408,6.375,6.4375,6.3125,6.375,171600
1995-01-31,4.311479091644287,6.5625,6.6875,6.375,6.375,420200
1995-02-01,4.311479091644287,6.5625,6.625,6.4375,6.5625,221200
1995-02-02,4.352542877197266,6.625,6.625,6.5,6.5,147400
1995-02-03,4.352542877197266,6.625,6.625,6.5625,6.625,99800
1995-02-06,4.51678991317749,6.875,6.9375,6.5625,6.625,591200
1995-02-07,4.722097873687744,7.1875,7.25,6.875,7.0,1200200
1995-02-08,4.746865272521973,7.1875,7.3125,7.1875,7.3125,469800
1995-02-09,4.705586910247803,7.125,7.25,7.125,7.1875,208200
1995-02-10,4.746865272521973,7.1875,7.375,7.1875,7.1875,206000
1995-02-13,4.788139820098877,7.25,7.25,7.125,7.25,115400
1995-02-14,4.746865272521973,7.1875,7.375,7.0625,7.3125,140800
1995-02-15,4.788139820098877,7.25,7.375,7.1875,7.1875,630400
1995-02-16,4.664309978485107,7.0625,7.25,7.0625,7.1875,237400
1995-02-17,4.664309978485107,7.0625,7.1875,7.0,7.0625,350400
1995-02-21,4.705586910247803,7.125,7.1875,7.0,7.0625,124600
1995-02-22,4.62303352355957,7.0,7.25,7.0,7.125,460200
1995-02-23,4.664309978485107,7.0625,7.1875,7.0,7.0,389400
1995-02-24,4.664309978485107,7.0625,7.1875,7.0,7.1875,431000
1995-02-27,4.788139820098877,7.25,7.3125,7.0625,7.0625,186600
1995-02-28,4.8294172286987305,7.3125,7.375,7.1875,7.1875,267600
1995-03-01,4.8294172286987305,7.3125,7.5625,7.25,7.4375,830800
1995-03-02,4.788139820098877,7.25,7.375,7.25,7.3125,303200
1995-03-03,4.788139820098877,7.25,7.375,7.25,7.25,351600
1995-03-06,4.664309978485107,7.0625,7.125,7.0625,7.125,543200
1995-03-07,4.499199867248535,6.8125,7.0625,6.8125,7.0,336200
1995-03-08,4.499199867248535,6.8125,6.9375,6.625,6.6875,112800
1995-03-09,4.499199867248535,6.8125,6.875,6.75,6.8125,108000
1995-03-10,4.62303352355957,7.0,7.0,6.75,6.75,190200
1995-03-13,4.540478229522705,6.875,7.0,6.75,7.0,178800
1995-03-14,4.416647911071777,6.6875,6.8125,6.5625,6.8125,240400
1995-03-15,4.292816162109375,6.5,6.6875,6.5,6.6875,185200
1995-03-16,4.416647911071777,6.6875,6.6875,6.5,6.5,356800
1995-03-17,4.334091663360596,6.5625,6.6875,6.5625,6.6875,178000
1995-03-20,4.334091663360596,6.5625,6.625,6.5,6.625,138400
1995-03-21,4.334091663360596,6.5625,6.625,6.4375,6.5,278200
1995-03-22,4.292816162109375,6.5,6.5625,6.4375,6.5,125800
1995-03-23,4.292816162109375,6.5,6.625,6.4375,6.5,645400
1995-03-24,3.7562150955200195,5.6875,6.375,5.5625,6.375,1093000
1995-03-27,3.6736598014831543,5.5625,5.875,5.5625,5.6875,612200
1995-03-28,3.838768243789673,5.8125,5.8125,5.625,5.625,534600
1995-03-29,3.838768243789673,5.8125,6.0,5.75,5.8125,277600
1995-03-30,3.962599754333496,6.0,6.0,5.8125,5.875,520400
1995-03-31,3.9213194847106934,5.9375,6.0,5.8125,5.9375,383400
1995-04-03,4.086428642272949,6.1875,6.1875,5.875,5.875,704000
1995-04-04,4.168982028961182,6.3125,6.3125,6.1875,6.1875,203600
1995-04-05,4.127706527709961,6.25,6.25,6.125,6.25,332600
1995-04-06,4.045154094696045,6.125,6.3125,6.125,6.25,166800
1995-04-07,4.127706527709961,6.25,6.25,6.125,6.125,209400
1995-04-10,4.21026086807251,6.375,6.4375,6.1875,6.1875,212400
1995-04-11,4.2515387535095215,6.4375,6.5,6.375,6.375,192400
1995-04-12,4.2515387535095215,6.4375,6.4375,6.375,6.4375,212200
1995-04-13,4.375368595123291,6.625,6.625,6.375,6.4375,383600
