Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NYT,NYT,NYT,NYT,NYT,NYT
Date,,,,,,
1995-01-03,7.486561298370361,11.0,11.125,10.9375,11.0,376200
1995-01-04,7.529098987579346,11.0625,11.125,10.9375,10.9375,275400
1995-01-05,7.614173889160156,11.1875,11.1875,11.0625,11.125,136400
1995-01-06,7.571634292602539,11.125,11.1875,11.0625,11.125,149600
1995-01-09,7.699246406555176,11.3125,11.3125,11.1875,11.1875,135600
1995-01-10,7.571634292602539,11.125,11.25,11.125,11.25,302400
1995-01-11,7.741784572601318,11.375,11.5,11.125,11.125,330200
1995-01-12,7.826861381530762,11.5,11.5,11.25,11.3125,116400
1995-01-13,7.784321308135986,11.4375,11.5,11.375,11.4375,462200
1995-01-16,7.826861381530762,11.5,11.5625,11.4375,11.5,269000
1995-01-17,7.741784572601318,11.375,11.5,11.375,11.4375,147600
1995-01-18,7.784321308135986,11.4375,11.5625,11.375,11.5,119800
1995-01-19,7.784321308135986,11.4375,11.5,11.375,11.375,121800
1995-01-20,7.826861381530762,11.5,11.5625,11.375,11.5625,156200
1995-01-23,7.656710147857666,11.25,11.375,11.25,11.375,244400
1995-01-24,7.486561298370361,11.0,11.3125,11.0,11.3125,361000
1995-01-25,7.444021224975586,10.9375,11.0625,10.875,11.0,715600
1995-01-26,7.401485443115234,10.875,10.9375,10.6875,10.9375,298000
1995-01-27,7.401485443115234,10.875,11.0,10.75,11.0,251000
1995-01-30,7.401485443115234,10.875,10.875,10.6875,10.8125,145200
1995-01-31,7.444021224975586,10.9375,10.9375,10.8125,10.8125,230000
1995-02-01,7.444021224975586,10.9375,11.0,10.75,11.0,238200
1995-02-02,7.2313385009765625,10.625,10.9375,10.5625,10.8125,260400
1995-02-03,7.1462626457214355,10.5,10.75,10.5,10.625,228400
1995-02-06,7.103725433349609,10.4375,10.5625,10.4375,10.5625,242600
1995-02-07,7.188802719116211,10.5625,10.5625,10.4375,10.5,439400
1995-02-08,7.188802719116211,10.5625,10.6875,10.4375,10.5,407800
1995-02-09,7.273876190185547,10.6875,10.6875,10.375,10.5625,139200
1995-02-10,7.273876190185547,10.6875,10.75,10.25,10.6875,258800
1995-02-13,7.358946800231934,10.8125,10.9375,10.75,10.9375,152600
