Price,Adj Close,Close,High,Low,Open,Volume
Ticker,R,R,R,R,R,R
Date,,,,,,
1995-01-03,10.785449981689453,22.5,22.5,21.75,22.0,135100
1995-01-04,10.965205192565918,22.875,23.0,22.75,22.75,152200
1995-01-05,10.905285835266113,22.75,23.0,22.75,22.875,209500
1995-01-06,10.905285835266113,22.75,23.125,22.75,22.75,40300
1995-01-09,10.965205192565918,22.875,23.125,22.75,22.75,152000
1995-01-10,10.785449981689453,22.5,22.875,22.5,22.875,229200
1995-01-11,10.545767784118652,22.0,22.625,22.0,22.625,193300
1995-01-12,10.425934791564941,21.75,22.125,21.5,22.125,226500
1995-01-13,10.425934791564941,21.75,21.875,21.5,21.875,236500
1995-01-16,10.905285835266113,22.75,22.75,21.875,22.0,191700
1995-01-17,11.02512264251709,23.0,23.0,22.625,22.75,106200
1995-01-18,10.965205192565918,22.875,23.0,22.875,23.0,77000
1995-01-19,11.204880714416504,23.375,23.5,22.75,22.75,203800
1995-01-20,10.785449981689453,22.5,23.25,22.5,23.25,226500
1995-01-23,10.605693817138672,22.125,22.25,22.0,22.0,172600
1995-01-24,10.425934791564941,21.75,22.125,21.75,22.125,233400
1995-01-25,10.485852241516113,21.875,22.0,21.375,21.625,302200
1995-01-26,10.485852241516113,21.875,22.125,21.875,22.0,69500
1995-01-27,10.545767784118652,22.0,22.0,21.75,21.875,211300
1995-01-30,10.425934791564941,21.75,22.25,21.75,22.25,130200
1995-01-31,10.306099891662598,21.5,21.75,21.4375,21.75,469400
1995-02-01,10.186254501342773,21.25,21.625,21.25,21.625,351000
1995-02-02,10.24618148803711,21.375,21.5,21.25,21.5,316200
1995-02-03,10.306099891662598,21.5,21.75,21.375,21.625,715600
1995-02-06,10.186254501342773,21.25,21.625,21.125,21.625,386900
1995-02-07,10.366016387939453,21.625,21.875,21.25,21.25,462400
1995-02-08,10.126338005065918,21.125,21.375,21.125,21.25,333600
1995-02-09,10.306099891662598,21.5,21.5,21.0,21.25,545800
1995-02-10,10.605693817138672,22.125,22.125,21.375,21.625,411600
1995-02-13,10.785449981689453,22.5,22.625,22.125,22.125,89500
1995-02-14,10.665611267089844,22.25,22.5,22.25,22.375,48100
1995-02-15,10.905285835266113,22.75,23.0,22.25,22.375,103700
1995-02-16,10.965205192565918,22.875,23.0,22.75,22.875,109200
1995-02-17,10.905285835266113,22.75,22.875,22.75,22.875,127500
1995-02-21,10.965205192565918,22.875,23.125,22.875,22.875,124300
1995-02-22,11.02512264251709,23.0,23.125,22.75,23.0,112300
1995-02-23,10.905285835266113,22.75,23.375,22.625,23.25,264300
1995-02-24,11.085049629211426,23.125,23.125,22.625,22.875,94300
1995-02-27,11.036796569824219,22.875,23.0,22.75,23.0,70900
1995-02-28,11.217726707458496,23.25,23.25,23.0,23.0,120200
1995-03-01,11.097102165222168,23.0,23.25,23.0,23.25,83900
1995-03-02,11.278035163879395,23.375,23.375,22.875,23.0,375400
1995-03-03,11.097102165222168,23.0,23.375,22.625,23.375,144200
1995-03-06,11.278035163879395,23.375,23.625,23.0,23.0,185900
1995-03-07,10.91617488861084,22.625,23.25,22.25,23.25,151100
1995-03-08,10.91617488861084,22.625,22.75,22.625,22.75,100000
1995-03-09,10.855866432189941,22.5,22.625,22.5,22.625,78800
1995-03-10,10.91617488861084,22.625,23.0,22.625,22.875,133200
1995-03-13,10.976482391357422,22.75,22.875,22.5,22.75,131200
1995-03-14,11.036796569824219,22.875,23.125,22.875,22.875,89700
1995-03-15,10.91617488861084,22.625,22.875,22.5,22.875,69400
1995-03-16,10.855866432189941,22.5,22.625,22.375,22.5,87200
1995-03-17,10.735246658325195,22.25,22.5,22.25,22.5,199700
1995-03-20,10.735246658325195,22.25,22.5,22.0,22.375,329000
1995-03-21,10.91617488861084,22.625,22.625,22.25,22.25,112900
1995-03-22,10.976482391357422,22.75,22.875,22.625,22.625,109000
1995-03-23,10.976482391357422,22.75,22.75,22.625,22.75,114200
1995-03-24,11.097102165222168,23.0,23.0,22.625,22.75,76000
1995-03-27,11.036796569824219,22.875,23.0,22.75,22.875,144400
1995-03-28,11.15742015838623,23.125,23.125,22.875,22.875,108400
1995-03-29,11.639896392822266,24.125,25.125,23.125,23.125,329500
1995-03-30,11.639896392822266,24.125,24.375,24.125,24.25,220500
1995-03-31,11.57959270477295,24.0,24.0,23.625,24.0,237700
1995-04-03,11.57959270477295,24.0,24.125,23.875,23.875,443800
1995-04-04,11.57959270477295,24.0,24.125,23.875,24.0,105000
1995-04-05,11.57959270477295,24.0,24.0,23.75,23.75,58500
1995-04-06,11.700212478637695,24.25,24.25,23.875,24.0,248800
1995-04-07,11.820833206176758,24.5,24.5,24.125,24.25,227500
1995-04-10,11.820833206176758,24.5,24.5,24.375,24.5,129100
1995-04-11,11.94145393371582,24.75,24.875,24.625,24.625,134000
1995-04-12,11.94145393371582,24.75,24.75,24.625,24.75,127000
1995-04-13,12.001763343811035,24.875,24.875,24.75,24.875,79900
1995-04-17,12.001763343811035,24.875,25.0,24.625,25.0,216300
1995-04-18,12.062070846557617,25.0,25.0,24.75,24.875,107900
1995-04-19,12.182696342468262,25.25,25.25,24.75,25.0,259900
1995-04-20,11.881138801574707,24.625,25.0,24.625,25.0,174800
1995-04-21,11.57959270477295,24.0,24.75,23.875,24.75,310300
1995-04-24,11.519271850585938,23.875,24.0,23.75,24.0,288000
1995-04-25,11.57959270477295,24.0,24.0,23.875,24.0,94800
1995-04-26,11.519271850585938,23.875,24.0,23.625,24.0,80100
1995-04-27,11.519271850585938,23.875,23.875,23.75,23.875,43200
1995-04-28,11.278035163879395,23.375,23.875,23.375,23.875,232300
1995-05-01,11.278035163879395,23.375,23.5,23.25,23.5,191100
1995-05-02,11.217726707458496,23.25,23.375,23.25,23.25,260900
1995-05-03,11.278035163879395,23.375,24.125,23.375,23.5,148900
1995-05-04,11.217726707458496,23.25,23.5,23.25,23.5,499500
1995-05-05,11.217726707458496,23.25,23.375,23.125,23.375,270400
1995-05-08,11.15742015838623,23.125,23.5,23.125,23.25,212100
1995-05-09,11.398655891418457,23.625,23.75,23.125,23.125,87300
1995-05-10,11.700212478637695,24.25,24.5,23.5,23.625,156400
1995-05-11,11.760513305664062,24.375,24.5,24.25,24.25,132900
1995-05-12,11.881138801574707,24.625,24.625,24.25,24.375,54400
1995-05-15,12.122384071350098,25.125,25.375,24.625,24.625,300000
1995-05-16,12.242998123168945,25.375,25.375,25.125,25.25,108500
1995-05-17,12.242998123168945,25.375,25.625,25.375,25.5,158300
1995-05-18,12.242998123168945,25.375,25.5,25.25,25.375,103800
1995-05-19,12.182696342468262,25.25,25.375,25.125,25.375,196700
1995-05-22,11.952140808105469,24.625,25.25,24.625,25.0,223000
1995-05-23,12.012811660766602,24.75,25.0,24.5,25.0,200600
1995-05-24,12.012811660766602,24.75,25.125,24.5,25.125,108100
1995-05-25,12.012811660766602,24.75,24.75,24.5,24.75,250000
1995-05-26,11.952140808105469,24.625,24.625,24.375,24.625,381100
1995-05-30,11.952140808105469,24.625,24.625,24.5,24.625,103000
1995-05-31,12.316166877746582,25.375,25.375,24.5,24.5,78900
1995-06-01,12.316166877746582,25.375,25.625,25.125,25.375,96400
1995-06-02,12.134160041809082,25.0,25.125,24.875,25.125,101300
1995-06-05,12.194825172424316,25.125,25.375,24.875,25.0,91900
1995-06-06,12.073482513427734,24.875,25.0,24.75,25.0,370400
1995-06-07,12.012811660766602,24.75,25.0,24.625,25.0,186200
1995-06-08,11.891471862792969,24.5,24.875,24.375,24.875,364800
1995-06-09,11.891471862792969,24.5,24.5,24.25,24.5,165800
1995-06-12,11.891471862792969,24.5,24.75,24.375,24.625,110600
1995-06-13,11.648794174194336,24.0,24.5,23.875,24.5,273600
1995-06-14,11.70945930480957,24.125,24.125,23.375,24.0,446900
1995-06-15,11.770136833190918,24.25,24.25,24.0,24.125,151200
1995-06-16,11.648794174194336,24.0,24.375,23.875,24.375,316800
1995-06-19,11.70945930480957,24.125,24.25,23.875,24.0,183100
1995-06-20,11.70945930480957,24.125,24.125,24.0,24.125,121700
1995-06-21,11.466777801513672,23.625,24.125,23.625,24.0,196300
1995-06-22,11.588117599487305,23.875,23.875,23.625,23.625,383300
1995-06-23,11.588117599487305,23.875,24.0,23.625,23.875,375500
1995-06-26,11.588117599487305,23.875,23.875,23.75,23.875,92900
1995-06-27,11.648794174194336,24.0,24.0,23.75,23.875,143400
1995-06-28,11.527453422546387,23.75,23.875,23.75,23.75,174500
1995-06-29,11.466777801513672,23.625,23.875,23.625,23.875,433400
1995-06-30,11.588117599487305,23.875,24.0,23.625,23.75,160700
1995-07-03,11.527453422546387,23.75,23.875,23.75,23.875,44700
1995-07-05,11.770136833190918,24.25,24.25,23.75,23.875,205800
1995-07-06,11.70945930480957,24.125,24.125,23.75,24.0,389300
1995-07-07,12.012811660766602,24.75,24.875,24.125,24.125,302300
1995-07-10,12.194825172424316,25.125,25.125,24.875,24.875,247600
1995-07-11,12.255502700805664,25.25,25.375,25.125,25.25,240500
1995-07-12,12.376839637756348,25.5,25.5,25.25,25.25,233200
1995-07-13,12.316166877746582,25.375,25.5,25.25,25.5,150400
1995-07-14,12.194825172424316,25.125,25.25,24.75,25.25,147100
1995-07-17,12.498186111450195,25.75,25.75,25.125,25.25,171000
1995-07-18,12.012811660766602,24.75,25.5,24.75,25.5,298800
1995-07-19,11.891471862792969,24.5,24.875,24.25,24.75,175700
1995-07-20,11.891471862792969,24.5,24.75,24.375,24.75,267800
1995-07-21,12.073482513427734,24.875,25.125,24.75,24.75,101800
1995-07-24,11.770136833190918,24.25,24.875,24.25,24.875,492000
1995-07-25,11.648794174194336,24.0,24.0,23.875,24.0,580100
1995-07-26,11.527453422546387,23.75,24.0,23.75,24.0,365500
1995-07-27,11.70945930480957,24.125,24.125,23.75,23.875,216000
1995-07-28,11.588117599487305,23.875,24.25,23.875,24.125,131900
1995-07-31,12.073482513427734,24.875,25.0,23.75,23.75,167500
1995-08-01,11.70945930480957,24.125,24.875,23.875,24.75,253100
1995-08-02,11.70945930480957,24.125,24.375,24.125,24.25,131200
1995-08-03,11.770136833190918,24.25,24.375,23.75,24.0,136900
1995-08-04,11.83080005645752,24.375,24.5,24.375,24.375,72500
1995-08-07,11.588117599487305,23.875,24.5,23.75,24.5,252800
1995-08-08,11.770136833190918,24.25,24.25,23.75,23.875,425900
1995-08-09,11.770136833190918,24.25,24.375,24.125,24.375,130100
1995-08-10,11.770136833190918,24.25,24.5,24.125,24.25,98400
1995-08-11,12.012811660766602,24.75,24.75,24.25,24.25,148600
1995-08-14,12.194825172424316,25.125,25.5,24.625,24.625,243900
1995-08-15,12.073482513427734,24.875,25.25,24.625,25.125,209800
1995-08-16,11.83080005645752,24.375,25.0,24.25,24.875,293100
1995-08-17,11.891471862792969,24.5,24.625,24.375,24.5,120300
1995-08-18,12.073482513427734,24.875,25.0,24.75,25.0,103100
1995-08-21,12.073482513427734,24.875,25.0,24.875,24.875,139900
1995-08-22,12.012811660766602,24.75,24.875,24.75,24.875,163900
1995-08-23,11.83080005645752,24.375,24.75,24.25,24.75,166300
1995-08-24,11.648794174194336,24.0,24.25,24.0,24.25,107800
1995-08-25,11.83080005645752,24.375,24.5,24.0,24.125,153800
1995-08-28,11.891471862792969,24.5,24.5,24.25,24.5,92600
1995-08-29,11.83080005645752,24.375,24.5,24.25,24.5,130000
1995-08-30,11.965104103088379,24.5,24.5,24.25,24.5,37000
1995-08-31,11.843016624450684,24.25,24.375,24.25,24.375,204500
1995-09-01,12.087193489074707,24.75,24.75,24.25,24.375,135600
1995-09-05,11.965104103088379,24.5,24.75,24.25,24.75,295200
1995-09-06,12.148240089416504,24.875,24.875,24.5,24.5,125800
1995-09-07,12.02614688873291,24.625,24.875,24.375,24.875,300500
1995-09-08,12.02614688873291,24.625,24.625,24.375,24.5,45900
1995-09-11,12.148240089416504,24.875,24.875,24.5,24.625,99000
1995-09-12,12.148240089416504,24.875,24.875,24.5,24.75,160800
1995-09-13,12.331387519836426,25.25,25.25,24.75,24.75,116200
1995-09-14,12.331387519836426,25.25,25.375,25.0,25.25,130200
1995-09-15,12.57557487487793,25.75,26.0,25.75,26.0,354200
1995-09-18,12.697661399841309,26.0,26.0,25.75,25.875,156200
1995-09-19,12.697661399841309,26.0,26.125,25.875,26.0,300900
1995-09-20,12.392426490783691,25.375,26.0,25.0,26.0,216400
1995-09-21,12.148240089416504,24.875,25.5,24.875,25.5,94700
1995-09-22,12.514528274536133,25.625,25.75,24.875,24.875,298200
