Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AET,AET,AET,AET,AET,AET
Date,,,,,,
1995-12-14,7.843270301818848,8.71875,8.71875,8.5625,8.5625,3943200
1995-12-15,8.025997161865234,8.921875,8.921875,8.796875,8.8125,2577000
1995-12-18,7.913547039031982,8.796875,8.90625,8.765625,8.90625,1046000
1995-12-19,7.89949369430542,8.78125,8.8125,8.71875,8.765625,1140000
1995-12-20,8.054110527038574,8.953125,8.984375,8.8125,8.8125,745400
1995-12-21,8.054110527038574,8.953125,9.0,8.9375,8.96875,646400
1995-12-22,8.124390602111816,9.03125,9.0625,8.953125,8.953125,828200
1995-12-26,8.082221984863281,8.984375,9.0,8.953125,8.984375,212600
1995-12-27,7.927603721618652,8.8125,8.96875,8.765625,8.953125,815800
1995-12-28,7.89949369430542,8.78125,8.78125,8.703125,8.765625,272800
1995-12-29,7.787045001983643,8.65625,8.78125,8.609375,8.78125,493400
1996-01-02,7.829212188720703,8.703125,8.75,8.546875,8.59375,1095000
1996-01-03,7.857326030731201,8.734375,8.734375,8.65625,8.71875,1899800
1996-01-04,7.843270301818848,8.71875,8.8125,8.671875,8.71875,1872400
1996-01-05,7.89949369430542,8.78125,8.78125,8.703125,8.71875,1389000
1996-01-08,7.857326030731201,8.734375,8.75,8.71875,8.75,397400
1996-01-09,7.815154075622559,8.6875,8.734375,8.65625,8.71875,455200
1996-01-10,7.604316711425781,8.453125,8.6875,8.453125,8.65625,1247600
1996-01-11,7.548090934753418,8.390625,8.5,8.359375,8.453125,1925200
1996-01-12,7.61837100982666,8.46875,8.46875,8.296875,8.40625,736800
1996-01-15,7.885435581207275,8.765625,8.765625,8.453125,8.46875,943400
1996-01-16,8.025997161865234,8.921875,8.9375,8.765625,8.765625,2128400
1996-01-17,8.025997161865234,8.921875,8.921875,8.84375,8.890625,1992200
1996-01-18,8.124390602111816,9.03125,9.125,8.921875,8.921875,2147800
1996-01-19,8.307117462158203,9.234375,9.421875,9.015625,9.03125,2725000
1996-01-22,8.307117462158203,9.234375,9.296875,9.140625,9.203125,1090600
1996-01-23,8.307117462158203,9.234375,9.234375,9.1875,9.234375,739800
1996-01-24,8.236837387084961,9.15625,9.25,9.125,9.125,1090800
1996-01-25,8.29306411743164,9.21875,9.234375,9.15625,9.171875,720800
1996-01-26,8.307117462158203,9.234375,9.25,9.15625,9.203125,647800
1996-01-29,8.377396583557129,9.3125,9.328125,9.21875,9.21875,502400
1996-01-30,8.377396583557129,9.3125,9.34375,9.234375,9.3125,1089200
1996-01-31,8.377396583557129,9.3125,9.34375,9.265625,9.28125,908600
1996-02-01,8.349284172058105,9.28125,9.3125,9.203125,9.3125,917000
1996-02-02,8.377396583557129,9.3125,9.328125,9.28125,9.328125,746000
1996-02-05,8.349284172058105,9.28125,9.3125,9.140625,9.28125,516200
1996-02-06,8.405512809753418,9.34375,9.375,9.25,9.3125,819600
1996-02-07,8.349284172058105,9.28125,9.390625,9.25,9.3125,1113600
1996-02-08,8.377396583557129,9.3125,9.328125,9.265625,9.28125,1408200
1996-02-09,8.180612564086914,9.09375,9.265625,9.03125,9.234375,1340400
1996-02-12,8.166556358337402,9.078125,9.078125,8.984375,9.03125,1867600
1996-02-13,8.33522891998291,9.265625,9.3125,9.078125,9.078125,1266800
1996-02-14,8.236837387084961,9.15625,9.34375,9.109375,9.28125,958400
1996-02-15,8.208724021911621,9.125,9.234375,9.109375,9.109375,591600
