Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HP,HP,HP,HP,HP,HP
Date,,,,,,
1995-01-03,2.3684287071228027,6.4375,6.46875,6.40625,6.40625,249200
1995-01-04,2.3569321632385254,6.40625,6.46875,6.375,6.4375,416400
1995-01-05,2.402921438217163,6.53125,6.59375,6.4375,6.4375,474000
1995-01-06,2.3914248943328857,6.5,6.59375,6.5,6.59375,132000
1995-01-09,2.3914248943328857,6.5,6.5625,6.5,6.5,146400
1995-01-10,2.3684287071228027,6.4375,6.53125,6.4375,6.53125,318400
1995-01-11,2.3684287071228027,6.4375,6.46875,6.40625,6.40625,292400
1995-01-12,2.3569321632385254,6.40625,6.46875,6.375,6.46875,107200
1995-01-13,2.3569321632385254,6.40625,6.5,6.40625,6.46875,101200
1995-01-16,2.3569321632385254,6.40625,6.53125,6.40625,6.46875,114800
1995-01-17,2.3914248943328857,6.5,6.5,6.40625,6.4375,63600
1995-01-18,2.3914248943328857,6.5,6.5,6.34375,6.4375,185600
1995-01-19,2.3914248943328857,6.5,6.5625,6.46875,6.5625,129200
1995-01-20,2.379926919937134,6.46875,6.46875,6.375,6.46875,248000
1995-01-23,2.3684287071228027,6.4375,6.46875,6.40625,6.4375,172400
1995-01-24,2.3569321632385254,6.40625,6.46875,6.40625,6.46875,160000
1995-01-25,2.345435857772827,6.375,6.46875,6.34375,6.46875,162400
1995-01-26,2.3339383602142334,6.34375,6.4375,6.3125,6.4375,77200
1995-01-27,2.3569321632385254,6.40625,6.4375,6.34375,6.375,181200
1995-01-30,2.345435857772827,6.375,6.4375,6.3125,6.4375,122400
1995-01-31,2.345435857772827,6.375,6.40625,6.3125,6.375,164000
1995-02-01,2.2994470596313477,6.25,6.40625,6.25,6.375,126800
1995-02-02,2.3339383602142334,6.34375,6.34375,6.25,6.25,46400
1995-02-03,2.322442054748535,6.3125,6.40625,6.3125,6.34375,206000
1995-02-06,2.345435857772827,6.375,6.375,6.28125,6.3125,122400
1995-02-07,2.3339383602142334,6.34375,6.34375,6.3125,6.34375,77200
1995-02-08,2.310943365097046,6.28125,6.34375,6.28125,6.34375,42000
1995-02-09,2.310943841934204,6.25,6.34375,6.25,6.25,142800
1995-02-10,2.2647247314453125,6.125,6.25,6.125,6.25,190400
1995-02-13,2.287832736968994,6.1875,6.21875,6.125,6.125,329200
1995-02-14,2.287832736968994,6.1875,6.1875,6.125,6.1875,87200
1995-02-15,2.287832736968994,6.1875,6.21875,6.15625,6.1875,160000
1995-02-16,2.2762794494628906,6.15625,6.21875,6.125,6.1875,80000
1995-02-17,2.3456079959869385,6.34375,6.34375,6.125,6.15625,133600
1995-02-21,2.368716239929199,6.40625,6.40625,6.25,6.375,257200
1995-02-22,2.3571622371673584,6.375,6.46875,6.375,6.40625,209600
1995-02-23,2.391826629638672,6.46875,6.53125,6.40625,6.40625,230800
1995-02-24,2.3802714347839355,6.4375,6.53125,6.4375,6.5,42800
1995-02-27,2.3571622371673584,6.375,6.4375,6.3125,6.40625,172800
1995-02-28,2.40338134765625,6.5,6.5625,6.34375,6.375,122400
1995-03-01,2.40338134765625,6.5,6.5625,6.4375,6.46875,110800
1995-03-02,2.40338134765625,6.5,6.5,6.46875,6.5,38000
1995-03-03,2.4611546993255615,6.65625,6.65625,6.4375,6.46875,258800
1995-03-06,2.4958181381225586,6.75,6.75,6.625,6.65625,266000
1995-03-07,2.438046932220459,6.59375,6.75,6.5625,6.71875,139200
1995-03-08,2.4495999813079834,6.625,6.6875,6.625,6.65625,56800
1995-03-09,2.5189270973205566,6.8125,6.84375,6.6875,6.6875,176800
1995-03-10,2.4842638969421387,6.71875,6.8125,6.71875,6.8125,194000
1995-03-13,2.542037010192871,6.875,6.875,6.75,6.75,78400
1995-03-14,2.4958181381225586,6.75,6.9375,6.75,6.84375,94400
1995-03-15,2.4495999813079834,6.625,6.71875,6.625,6.71875,103200
1995-03-16,2.4611546993255615,6.65625,6.71875,6.625,6.6875,74400
1995-03-17,2.4727084636688232,6.6875,6.71875,6.65625,6.6875,168800
1995-03-20,2.4611546993255615,6.65625,6.6875,6.59375,6.6875,51600
1995-03-21,2.426490306854248,6.5625,6.65625,6.53125,6.625,97600
1995-03-22,2.391826629638672,6.46875,6.53125,6.4375,6.53125,178400
1995-03-23,2.391826629638672,6.46875,6.5625,6.4375,6.4375,148400
1995-03-24,2.426490306854248,6.5625,6.59375,6.5,6.53125,57200
1995-03-27,2.4611546993255615,6.65625,6.65625,6.5625,6.625,143200
1995-03-28,2.4842638969421387,6.71875,6.71875,6.6875,6.6875,158400
1995-03-29,2.4611546993255615,6.65625,6.78125,6.53125,6.6875,214000
1995-03-30,2.4958181381225586,6.75,6.75,6.65625,6.6875,91600
1995-03-31,2.5073723793029785,6.78125,6.78125,6.6875,6.71875,42800
1995-04-03,2.4611546993255615,6.65625,6.8125,6.65625,6.78125,218800
1995-04-04,2.530482292175293,6.84375,6.84375,6.6875,6.6875,125200
1995-04-05,2.576702833175659,6.96875,6.96875,6.8125,6.8125,205200
1995-04-06,2.622919797897339,7.09375,7.09375,6.96875,6.96875,213600
1995-04-07,2.599811315536499,7.03125,7.125,6.96875,7.125,148000
