Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LNC,LNC,LNC,LNC,LNC,LNC
Date,,,,,,
1995-01-03,7.777939796447754,17.8125,17.9375,17.6875,17.75,388200
1995-01-04,7.817715167999268,17.6875,17.75,17.5625,17.625,221200
1995-01-05,7.790098667144775,17.625,17.6875,17.375,17.6875,222200
1995-01-06,7.790098667144775,17.625,17.75,17.5625,17.625,189200
1995-01-09,7.6795973777771,17.375,17.625,17.3125,17.625,339800
1995-01-10,7.6795973777771,17.375,17.5,17.375,17.5,163400
1995-01-11,7.817715167999268,17.6875,17.75,17.4375,17.4375,576800
1995-01-12,7.9005913734436035,17.875,17.875,17.625,17.75,650800
1995-01-13,7.872969627380371,17.8125,17.9375,17.8125,17.875,988600
1995-01-16,7.928218364715576,17.9375,18.0,17.75,17.875,816400
1995-01-17,7.9558424949646,18.0,18.0,17.8125,18.0,442000
1995-01-18,7.9005913734436035,17.875,18.1875,17.875,18.0,2146000
1995-01-19,7.9005913734436035,17.875,18.125,17.75,17.9375,309000
1995-01-20,7.9005913734436035,17.875,18.0625,17.875,18.0,904200
1995-01-23,7.872969627380371,17.8125,17.875,17.625,17.875,320600
1995-01-24,7.872969627380371,17.8125,18.0,17.75,17.75,379000
1995-01-25,7.845341682434082,17.75,17.9375,17.6875,17.9375,173800
1995-01-26,7.845341682434082,17.75,17.8125,17.6875,17.75,52800
1995-01-27,7.9005913734436035,17.875,17.9375,17.8125,17.875,202200
1995-01-30,7.928218364715576,17.9375,17.9375,17.875,17.9375,356200
1995-01-31,8.066339492797852,18.25,18.375,17.8125,17.9375,138200
1995-02-01,8.038712501525879,18.1875,18.375,17.875,18.1875,629600
1995-02-02,7.9005913734436035,17.875,18.25,17.8125,18.25,365800
1995-02-03,8.149209976196289,18.4375,18.6875,17.875,17.9375,2849800
1995-02-06,8.39783763885498,19.0,19.0625,18.5,18.5,980400
1995-02-07,8.480705261230469,19.1875,19.3125,19.0625,19.0625,417800
1995-02-08,8.591203689575195,19.4375,19.4375,19.1875,19.25,464400
1995-02-09,8.646455764770508,19.5625,19.8125,19.375,19.4375,1125400
1995-02-10,8.67408275604248,19.625,19.6875,19.5,19.5,361600
1995-02-13,8.480705261230469,19.1875,19.5625,19.125,19.5,285200
1995-02-14,8.618830680847168,19.5,19.5625,19.0625,19.3125,565200
1995-02-15,8.784575462341309,19.875,19.9375,19.375,19.5,361200
1995-02-16,8.729324340820312,19.75,19.9375,19.5625,19.9375,214600
1995-02-17,8.729324340820312,19.75,19.75,19.5625,19.75,133000
1995-02-21,8.646455764770508,19.5625,19.8125,19.5625,19.75,216600
1995-02-22,8.646455764770508,19.5625,19.9375,19.4375,19.5,290600
1995-02-23,8.950325965881348,20.25,20.5,19.625,19.6875,412600
1995-02-24,8.895071983337402,20.125,20.25,20.0,20.0,293000
1995-02-27,9.005572319030762,20.375,20.4375,20.0625,20.0625,370600
1995-02-28,8.922696113586426,20.1875,20.375,20.0625,20.375,152800
