Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WHR,WHR,WHR,WHR,WHR,WHR
Date,,,,,,
1995-01-03,21.971670150756836,50.375,50.875,50.125,50.375,159000
1995-01-04,21.699066162109375,49.75,50.125,49.625,50.125,365800
1995-01-05,21.753578186035156,49.875,50.0,49.25,49.875,410500
1995-01-06,21.917137145996094,50.25,50.25,49.875,50.0,192900
1995-01-09,21.971670150756836,50.375,50.375,49.625,50.125,180800
1995-01-10,21.917137145996094,50.25,51.25,50.25,50.375,157800
1995-01-11,21.699066162109375,49.75,50.625,49.75,50.5,266000
1995-01-12,21.753578186035156,49.875,50.125,49.25,49.25,70000
1995-01-13,21.862621307373047,50.125,50.25,49.75,50.0,128000
1995-01-16,21.808101654052734,50.0,50.375,50.0,50.125,228200
1995-01-17,22.080720901489258,50.625,51.0,50.0,50.25,196200
1995-01-18,21.862621307373047,50.125,51.0,50.125,50.375,369700
1995-01-19,22.026193618774414,50.5,50.5,50.0,50.0,254300
1995-01-20,22.026193618774414,50.5,51.25,50.5,50.5,183400
1995-01-23,21.808101654052734,50.0,50.375,49.75,50.125,250400
1995-01-24,21.808101654052734,50.0,50.25,49.75,50.0,190600
1995-01-25,22.026193618774414,50.5,50.75,49.875,49.875,175500
1995-01-26,21.862621307373047,50.125,51.25,50.0,50.5,185000
1995-01-27,22.026193618774414,50.5,50.875,50.25,50.375,122700
1995-01-30,21.699066162109375,49.75,50.625,49.625,50.5,240700
1995-01-31,21.753578186035156,49.875,50.125,49.375,49.5,291500
1995-02-01,22.026193618774414,50.5,50.75,49.875,50.125,334900
1995-02-02,22.135225296020508,50.75,51.0,50.5,51.0,288100
1995-02-03,22.407827377319336,51.375,51.5,51.0,51.125,355400
1995-02-06,22.789485931396484,52.25,52.625,51.625,51.875,205800
1995-02-07,22.898502349853516,52.5,52.875,52.125,52.125,231000
1995-02-08,23.0075626373291,52.75,53.375,52.5,52.5,419200
1995-02-09,23.28015899658203,53.375,53.375,52.375,52.375,328800
1995-02-10,23.116579055786133,53.0,53.75,52.25,53.5,172900
1995-02-13,23.116579055786133,53.0,53.0,52.5,52.75,287300
1995-02-14,23.116579055786133,53.0,53.875,52.75,53.875,197800
1995-02-15,23.22563934326172,53.25,53.375,53.0,53.0,229100
1995-02-16,23.116579055786133,53.0,53.125,53.0,53.125,86900
1995-02-17,23.389184951782227,53.625,53.75,53.0,53.125,130500
1995-02-21,23.389184951782227,53.625,53.875,52.75,53.625,245600
1995-02-22,23.607280731201172,54.125,54.25,53.5,53.75,210200
1995-02-23,23.770843505859375,54.5,54.75,54.125,54.375,404800
1995-02-24,23.825363159179688,54.625,54.625,54.0,54.5,221200
1995-02-27,23.8648624420166,54.375,54.875,54.0,54.25,190100
1995-02-28,23.8648624420166,54.375,54.5,54.25,54.25,108200
1995-03-01,23.919715881347656,54.5,54.625,54.375,54.375,147100
1995-03-02,23.80999755859375,54.25,54.375,53.875,54.25,225100
1995-03-03,23.59054946899414,53.75,54.0,53.625,54.0,199400
1995-03-06,23.425960540771484,53.375,53.625,53.125,53.5,108500
1995-03-07,22.822473526000977,52.0,53.25,51.75,53.125,303900
1995-03-08,22.822473526000977,52.0,52.375,51.75,52.25,359700
1995-03-09,22.65789031982422,51.625,52.0,51.5,52.0,210000
1995-03-10,23.316240310668945,53.125,53.25,51.5,51.625,158100
1995-03-13,23.151653289794922,52.75,53.25,52.75,53.0,67400
1995-03-14,23.261377334594727,53.0,53.375,52.75,52.875,124900
1995-03-15,23.20652198791504,52.875,53.375,52.5,53.0,213500
1995-03-16,23.480825424194336,53.5,53.625,52.625,52.625,121900
1995-03-17,23.70027732849121,54.0,54.0,53.625,53.75,269700
1995-03-20,23.53568458557129,53.625,53.875,53.125,53.75,99900
1995-03-21,23.04193115234375,52.5,54.0,52.375,53.625,290700
1995-03-22,23.261377334594727,53.0,53.0,51.625,52.375,268900
1995-03-23,23.096786499023438,52.625,53.0,52.125,53.0,207900
1995-03-24,23.316240310668945,53.125,54.25,52.5,52.625,245200
1995-03-27,23.316240310668945,53.125,53.375,52.875,53.125,131200
1995-03-28,23.70027732849121,54.0,54.0,53.125,53.375,192400
1995-03-29,24.029447555541992,54.75,55.5,54.125,54.25,394900
1995-03-30,24.029447555541992,54.75,54.875,54.5,54.5,168300
1995-03-31,24.029447555541992,54.75,54.875,54.0,54.5,139300
1995-04-03,24.08428955078125,54.875,55.25,54.75,54.75,144000
1995-04-04,24.08428955078125,54.875,55.0,53.875,54.625,274900
1995-04-05,24.139162063598633,55.0,55.0,54.5,54.875,213700
1995-04-06,24.029447555541992,54.75,55.375,54.625,55.0,139200
1995-04-07,24.194028854370117,55.125,55.125,54.375,54.625,107600
1995-04-10,24.194028854370117,55.125,55.375,55.0,55.0,297000
1995-04-11,24.139162063598633,55.0,55.125,54.5,54.875,152200
1995-04-12,24.139162063598633,55.0,55.25,54.75,54.75,397900
1995-04-13,23.59054946899414,53.75,54.375,53.125,54.375,559300
1995-04-17,23.80999755859375,54.25,54.375,53.5,53.75,225400
1995-04-18,23.80999755859375,54.25,54.75,54.125,54.25,123600
1995-04-19,24.08428955078125,54.875,55.5,54.125,54.5,95400
1995-04-20,24.632932662963867,56.125,56.25,55.0,55.0,186900
1995-04-21,24.742645263671875,56.375,57.25,56.375,56.75,394600
