Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ALL,ALL,ALL,ALL,ALL,ALL
Date,,,,,,
1995-01-03,6.049577236175537,12.125,12.125,11.75,11.75,503400
1995-01-04,6.01839542388916,12.0625,12.1875,12.0,12.0625,319000
1995-01-05,6.01839542388916,12.0625,12.1875,12.0625,12.0625,471800
1995-01-06,6.080760478973389,12.1875,12.25,12.0625,12.0625,243800
1995-01-09,6.174314498901367,12.375,12.375,12.125,12.125,473000
1995-01-10,6.174314498901367,12.375,12.4375,12.3125,12.3125,344000
1995-01-11,6.236677169799805,12.5,12.5625,12.375,12.375,381200
1995-01-12,6.111945629119873,12.25,12.4375,12.1875,12.375,362000
1995-01-13,6.111945629119873,12.25,12.25,12.0625,12.25,662600
1995-01-16,6.111945629119873,12.25,12.3125,12.125,12.1875,387800
1995-01-17,6.080760478973389,12.1875,12.3125,12.125,12.25,474400
1995-01-18,6.080760478973389,12.1875,12.1875,12.0,12.0,402400
1995-01-19,6.049577236175537,12.125,12.125,12.0625,12.0625,445200
1995-01-20,5.9248456954956055,11.875,12.0,11.875,12.0,341200
1995-01-23,6.01839542388916,12.0625,12.0625,11.875,11.9375,1031000
1995-01-24,6.049577236175537,12.125,12.1875,12.0625,12.1875,380400
1995-01-25,6.049577236175537,12.125,12.1875,12.0,12.0625,355000
1995-01-26,5.956027507781982,11.9375,12.1875,11.9375,12.125,655400
1995-01-27,5.956027507781982,11.9375,12.0625,11.9375,12.0625,343400
1995-01-30,5.98721170425415,12.0,12.125,11.875,11.875,590200
1995-01-31,6.01839542388916,12.0625,12.125,11.9375,11.9375,520800
1995-02-01,6.080760478973389,12.1875,12.25,12.0625,12.0625,446000
1995-02-02,6.143126964569092,12.3125,12.3125,12.25,12.25,292400
1995-02-03,6.392594337463379,12.8125,12.8125,12.25,12.25,702000
1995-02-06,6.423777580261231,12.875,12.875,12.75,12.875,234000
1995-02-07,6.330227851867676,12.6875,12.875,12.6875,12.8125,485800
1995-02-08,6.548514366149902,13.125,13.125,12.6875,12.75,1854200
1995-02-09,6.642063140869141,13.3125,13.4375,13.1875,13.1875,927200
1995-02-10,6.579696178436279,13.1875,13.375,13.1875,13.3125,474800
1995-02-13,6.610876083374023,13.25,13.25,13.125,13.25,947400
1995-02-14,6.642063140869141,13.3125,13.375,13.1875,13.25,300400
1995-02-15,6.548514366149902,13.125,13.25,13.0,13.25,578000
1995-02-16,6.423777580261231,12.875,13.0625,12.8125,13.0625,626400
1995-02-17,6.454959392547607,12.9375,13.0,12.875,12.875,1516200
1995-02-21,6.579696178436279,13.1875,13.1875,13.0,13.0625,800800
1995-02-22,6.610876083374023,13.25,13.25,13.125,13.1875,1015600
1995-02-23,6.642063140869141,13.3125,13.5,13.25,13.25,1590000
1995-02-24,6.735610961914063,13.5,13.5,13.3125,13.3125,1236200
1995-02-27,6.735610961914063,13.5,13.5,13.375,13.5,934200
1995-02-28,6.86034631729126,13.75,13.75,13.375,13.375,889400
1995-03-01,6.797981262207031,13.625,13.75,13.5625,13.75,960800
1995-03-02,6.735610961914063,13.5,13.625,13.4375,13.625,1152000
1995-03-03,6.72179126739502,13.375,13.4375,13.25,13.375,616800
1995-03-06,6.658970832824707,13.25,13.375,13.1875,13.3125,406000
1995-03-07,6.627562046051025,13.1875,13.3125,13.125,13.3125,554800
1995-03-08,6.627562046051025,13.1875,13.1875,13.0625,13.125,332600
1995-03-09,6.658970832824707,13.25,13.3125,13.125,13.125,336800
1995-03-10,6.690380573272705,13.3125,13.375,13.25,13.25,407200
1995-03-13,6.816022872924805,13.5625,13.5625,13.25,13.3125,533200
1995-03-14,6.878842353820801,13.6875,13.6875,13.5,13.5,514800
1995-03-15,6.816022872924805,13.5625,13.625,13.5625,13.625,655000
1995-03-16,6.784611701965332,13.5,13.5625,13.4375,13.5,471800
1995-03-17,6.878842353820801,13.6875,13.6875,13.4375,13.4375,783200
1995-03-20,6.9730730056762695,13.875,13.875,13.5625,13.625,523400
1995-03-21,7.035894870758057,14.0,14.25,13.875,13.875,1328600
1995-03-22,6.910252571105957,13.75,13.875,13.75,13.8125,764000
1995-03-23,7.067306518554688,14.0625,14.0625,13.8125,13.8125,366000
1995-03-24,7.161535739898682,14.25,14.25,14.0,14.0,710600
1995-03-27,7.161535739898682,14.25,14.3125,14.1875,14.1875,855400
1995-03-28,7.255766868591309,14.4375,14.4375,14.3125,14.3125,547200
1995-03-29,7.1929450035095215,14.3125,14.5,14.25,14.375,1026400
1995-03-30,7.287177085876465,14.5,14.5,14.25,14.25,510800
1995-03-31,7.2243571281433105,14.375,14.4375,14.25,14.4375,590000
1995-04-03,7.2243571281433105,14.375,14.4375,14.25,14.375,397400
1995-04-04,7.09871244430542,14.125,14.3125,14.0625,14.3125,277400
1995-04-05,7.255766868591309,14.4375,14.4375,14.1875,14.1875,527600
1995-04-06,7.2243571281433105,14.375,14.4375,14.375,14.375,255200
1995-04-07,7.130122184753418,14.1875,14.375,14.1875,14.3125,528000
1995-04-10,7.318586349487305,14.5625,14.625,14.125,14.1875,862000
1995-04-11,7.287177085876465,14.5,14.625,14.4375,14.5,1108200
1995-04-12,7.255766868591309,14.4375,14.5,14.375,14.5,308800
1995-04-13,7.2243571281433105,14.375,14.4375,14.3125,14.375,208600
1995-04-17,7.255766868591309,14.4375,14.4375,14.3125,14.3125,141800
1995-04-18,7.067306518554688,14.0625,14.375,14.0625,14.375,143200
1995-04-19,7.2243571281433105,14.375,14.375,14.125,14.125,624000
1995-04-20,7.444228172302246,14.8125,14.8125,14.5,14.6875,1517200
1995-04-21,7.538449764251709,15.0,15.1875,14.875,14.875,1837600
1995-04-24,7.6012797355651855,15.125,15.125,14.9375,15.0,1090800
