Price,Adj Close,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST,COST
Date,,,,,,
1995-01-03,4.323198795318604,6.4375,6.5625,6.375,6.4375,1007200
1995-01-04,4.407145023345947,6.5625,6.5625,6.3125,6.4375,2068600
1995-01-05,4.197280406951904,6.25,6.625,6.25,6.625,2233400
1995-01-06,4.197280406951904,6.25,6.5,6.125,6.3125,3450600
1995-01-09,4.197280406951904,6.25,6.3125,6.125,6.25,2344800
1995-01-10,4.197280406951904,6.25,6.375,6.1875,6.25,1291600
1995-01-11,4.113335132598877,6.125,6.3125,6.0625,6.1875,3387400
1995-01-12,4.113335132598877,6.125,6.1875,6.0,6.1875,3765800
1995-01-13,4.113335132598877,6.125,6.1875,6.0625,6.125,3483200
1995-01-16,4.176293849945068,6.21875,6.4375,6.125,6.125,5411200
1995-01-17,4.44911527633667,6.625,6.75,6.375,6.4375,5422800
1995-01-18,4.617007255554199,6.875,6.9375,6.625,6.6875,4684000
1995-01-19,4.617007255554199,6.875,6.9375,6.6875,6.9375,2845200
1995-01-20,4.533063888549805,6.75,7.0,6.75,6.9375,2469600
1995-01-23,4.658982276916504,6.9375,6.9375,6.625,6.75,2642000
1995-01-24,4.742924213409424,7.0625,7.0625,6.875,6.9375,2011800
1995-01-25,4.700952529907227,7.0,7.0625,6.8125,6.875,2256800
1995-01-26,4.721940040588379,7.03125,7.125,7.0,7.0,2933800
1995-01-27,4.784899711608887,7.125,7.125,7.0,7.0,869000
1995-01-30,4.575034141540527,6.8125,7.125,6.8125,7.0,1766800
1995-01-31,4.617007255554199,6.875,6.9375,6.8125,6.875,2167800
1995-02-01,4.742924213409424,7.0625,7.125,6.8125,6.875,3503400
1995-02-02,4.637993812561035,6.90625,7.0625,6.875,7.0,1976800
1995-02-03,4.617007255554199,6.875,6.9375,6.8125,6.875,2416400
1995-02-06,4.617007255554199,6.875,7.0,6.75,6.8125,1478200
1995-02-07,4.617007255554199,6.875,7.0,6.8125,6.875,694600
1995-02-08,4.617007255554199,6.875,6.875,6.75,6.8125,983000
1995-02-09,4.575034141540527,6.8125,6.9375,6.6875,6.8125,2646000
1995-02-10,4.700952529907227,7.0,7.0,6.8125,6.9375,1389800
1995-02-13,4.617007255554199,6.875,7.0625,6.875,6.9375,1315600
1995-02-14,4.617007255554199,6.875,7.0,6.875,6.875,2686600
1995-02-15,4.617007255554199,6.875,7.4375,6.75,7.0,2289200
1995-02-16,4.658982276916504,6.9375,7.0,6.5,6.8125,2253000
1995-02-17,4.575034141540527,6.8125,6.9375,6.8125,6.875,1415600
1995-02-21,4.596020221710205,6.84375,6.9375,6.8125,6.8125,1643600
1995-02-22,4.554048538208008,6.78125,6.9375,6.75,6.8125,1354000
1995-02-23,4.428129196166992,6.59375,6.9375,6.5625,6.8125,1787000
1995-02-24,4.491089344024658,6.6875,6.75,6.5625,6.625,804200
1995-02-27,4.407145023345947,6.5625,6.6875,6.5625,6.625,1229400
1995-02-28,4.575034141540527,6.8125,6.875,6.5625,6.5625,1547200
1995-03-01,4.44911527633667,6.625,6.8125,6.5625,6.75,1128400
1995-03-02,4.470103740692139,6.65625,6.75,6.5625,6.6875,1623800
1995-03-03,4.470103740692139,6.65625,6.75,6.625,6.6875,1179000
1995-03-06,4.491089344024658,6.6875,6.6875,6.5625,6.625,653600
1995-03-07,4.239251136779785,6.3125,6.6875,6.3125,6.6875,2051000
1995-03-08,4.197280406951904,6.25,6.375,6.125,6.375,1791200
1995-03-09,4.197280406951904,6.25,6.3125,6.0,6.125,4040200
1995-03-10,4.365170001983643,6.5,6.5625,6.25,6.3125,1605200
1995-03-13,4.239251136779785,6.3125,6.5,6.25,6.5,758000
1995-03-14,4.407145023345947,6.5625,6.625,6.4375,6.4375,2855600
