Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FDX,FDX,FDX,FDX,FDX,FDX
Date,,,,,,
1995-01-03,12.37140655517578,15.09375,15.125,14.96875,15.0625,639200
1995-01-04,12.345791816711426,15.0625,15.09375,14.96875,15.09375,740000
1995-01-05,12.473864555358888,15.21875,15.25,15.0625,15.0625,582800
1995-01-06,12.448247909545898,15.1875,15.25,15.15625,15.21875,396000
1995-01-09,12.499471664428713,15.25,15.25,15.125,15.21875,303200
1995-01-10,12.473864555358888,15.21875,15.4375,15.1875,15.21875,583200
1995-01-11,12.37140655517578,15.09375,15.28125,15.09375,15.25,637200
1995-01-12,12.294562339782717,15.0,15.15625,14.96875,15.15625,454400
1995-01-13,12.499471664428713,15.25,15.25,14.96875,15.0625,1176400
1995-01-16,12.627544403076172,15.40625,15.40625,15.25,15.28125,432000
1995-01-17,12.80683708190918,15.625,15.65625,15.40625,15.4375,646800
1995-01-18,12.934906005859377,15.78125,15.78125,15.65625,15.65625,834400
1995-01-19,12.98613452911377,15.84375,15.9375,15.75,15.78125,1018400
1995-01-20,12.80683708190918,15.625,15.8125,15.46875,15.8125,1330800
1995-01-23,12.72999668121338,15.53125,15.625,15.4375,15.4375,766400
1995-01-24,12.60193157196045,15.375,15.59375,15.34375,15.59375,214000
1995-01-25,12.858067512512209,15.6875,15.84375,15.3125,15.3125,295600
1995-01-26,12.550699234008787,15.3125,15.6875,15.3125,15.6875,299600
1995-01-27,12.60193157196045,15.375,15.5,15.34375,15.40625,424800
1995-01-30,12.704388618469238,15.5,15.625,15.40625,15.46875,269200
1995-01-31,12.448247909545898,15.1875,15.5,15.15625,15.5,683200
1995-02-01,12.448247909545898,15.1875,15.46875,15.125,15.1875,401200
1995-02-02,12.72999668121338,15.53125,15.53125,15.25,15.25,415200
1995-02-03,12.704388618469238,15.5,15.65625,15.5,15.53125,796800
1995-02-06,12.60193157196045,15.375,15.59375,15.3125,15.5625,312400
1995-02-07,12.5250883102417,15.28125,15.4375,15.25,15.4375,167200
1995-02-08,12.37140655517578,15.09375,15.3125,15.09375,15.28125,377600
1995-02-09,12.422635078430176,15.15625,15.25,15.03125,15.09375,1476400
1995-02-10,12.704388618469238,15.5,15.53125,15.125,15.15625,1040000
1995-02-13,13.191046714782717,16.09375,16.09375,15.65625,15.75,1476800
1995-02-14,12.858067512512209,15.6875,16.09375,15.65625,16.03125,722000
1995-02-15,12.858067512512209,15.6875,15.8125,15.625,15.75,1072800
1995-02-16,12.80683708190918,15.625,15.75,15.5,15.75,437200
1995-02-17,12.80683708190918,15.625,15.75,15.625,15.65625,406800
