Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH,UNH
Date,,,,,,
1995-01-03,4.443686008453369,5.390625,5.625,5.375,5.625,6892800
1995-01-04,4.392167568206787,5.328125,5.46875,5.3125,5.390625,7276000
1995-01-05,4.405043601989746,5.34375,5.375,5.296875,5.328125,6524800
1995-01-06,4.405043601989746,5.34375,5.46875,5.296875,5.359375,12976000
1995-01-09,4.624009132385254,5.609375,5.65625,5.34375,5.34375,9991200
1995-01-10,4.714170455932617,5.71875,5.828125,5.640625,5.8125,9035200
1995-01-11,4.675530910491943,5.671875,5.828125,5.53125,5.8125,4856000
1995-01-12,4.546727180480957,5.515625,5.71875,5.4375,5.703125,4885600
1995-01-13,4.55960750579834,5.53125,5.5625,5.421875,5.5625,6985600
1995-01-16,4.533847332000732,5.5,5.578125,5.484375,5.5,5084800
1995-01-17,4.533847332000732,5.5,5.609375,5.484375,5.53125,6314400
1995-01-18,4.546727180480957,5.515625,5.578125,5.5,5.5625,5168000
1995-01-19,4.727049827575684,5.734375,5.734375,5.515625,5.53125,10840000
1995-01-20,4.714170455932617,5.71875,5.71875,5.59375,5.71875,4441600
1995-01-23,4.649767875671387,5.640625,5.671875,5.59375,5.625,3944000
1995-01-24,4.624009132385254,5.609375,5.640625,5.5625,5.625,3475200
1995-01-25,4.520967960357666,5.484375,5.578125,5.46875,5.578125,6011200
1995-01-26,4.520967960357666,5.484375,5.578125,5.4375,5.5,4840000
1995-01-27,4.533847332000732,5.5,5.53125,5.375,5.515625,5033600
1995-01-30,4.84297513961792,5.875,5.921875,5.5,5.5,10353600
1995-01-31,4.997535705566406,6.0625,6.09375,5.828125,5.875,13500800
1995-02-01,5.049057483673096,6.125,6.203125,6.0,6.0625,7759200
1995-02-02,4.920254707336426,5.96875,6.203125,5.9375,6.140625,5815200
1995-02-03,5.087698936462402,6.171875,6.234375,5.96875,5.96875,11893600
1995-02-06,5.100579261779785,6.1875,6.234375,6.0625,6.21875,10712800
1995-02-07,5.036179065704346,6.109375,6.15625,6.046875,6.109375,3988800
1995-02-08,5.074817180633545,6.15625,6.171875,6.03125,6.046875,7611200
1995-02-09,4.946013927459717,6.0,6.140625,6.0,6.125,10384000
1995-02-10,4.984655857086182,6.046875,6.125,5.9375,6.046875,6481600
1995-02-13,4.920254707336426,5.96875,6.078125,5.953125,6.0625,1764800
1995-02-14,4.662649631500244,5.65625,5.8125,5.5625,5.5625,39053600
1995-02-15,4.598247528076172,5.578125,5.671875,5.5625,5.640625,15294400
1995-02-16,4.546727180480957,5.515625,5.59375,5.484375,5.5625,11510400
1995-02-17,4.430805206298828,5.375,5.5,5.328125,5.5,19148000
1995-02-21,4.314885139465332,5.234375,5.390625,5.21875,5.375,22363200
1995-02-22,4.482327461242676,5.4375,5.46875,5.28125,5.296875,17464000
1995-02-23,4.417924880981445,5.359375,5.5625,5.34375,5.46875,10020000
1995-02-24,4.469446182250977,5.421875,5.421875,5.3125,5.375,7736000
1995-02-27,4.417924880981445,5.359375,5.46875,5.296875,5.359375,5749600
1995-02-28,4.430805206298828,5.375,5.375,5.265625,5.359375,8917600
1995-03-01,4.546727180480957,5.515625,5.578125,5.40625,5.40625,6400800
1995-03-02,4.443686008453369,5.390625,5.53125,5.390625,5.5,7816800
1995-03-03,4.430805206298828,5.375,5.453125,5.3125,5.421875,7571200
1995-03-06,4.366405963897705,5.296875,5.34375,5.265625,5.34375,4715200
1995-03-07,4.379284381866455,5.3125,5.390625,5.21875,5.28125,8988800
1995-03-08,4.405043601989746,5.34375,5.4375,5.265625,5.4375,9488000
1995-03-09,4.353525161743164,5.28125,5.359375,5.265625,5.3125,9748800
1995-03-10,4.405043601989746,5.34375,5.4375,5.234375,5.28125,8998400
1995-03-13,4.456568717956543,5.40625,5.484375,5.359375,5.359375,4505600
1995-03-14,4.495206356048584,5.453125,5.5,5.453125,5.453125,5416000
1995-03-15,4.585367679595947,5.5625,5.578125,5.34375,5.46875,8839200
1995-03-16,4.83009147644043,5.859375,5.9375,5.5625,5.5625,16135200
1995-03-17,4.804332256317139,5.828125,5.859375,5.765625,5.859375,9641600
1995-03-20,4.765691757202148,5.78125,5.84375,5.734375,5.828125,2881600
1995-03-21,4.701291084289551,5.703125,5.75,5.671875,5.75,7248800
1995-03-22,4.714170455932617,5.71875,5.734375,5.671875,5.703125,5648800
1995-03-23,4.701291084289551,5.703125,5.703125,5.65625,5.6875,6253600
1995-03-24,4.778573513031006,5.796875,5.84375,5.703125,5.703125,7256800
1995-03-27,4.933136940002441,5.984375,6.015625,5.875,5.875,5320800
1995-03-28,5.013559341430664,6.078125,6.140625,5.96875,5.984375,8994400
1995-03-29,4.987781047821045,6.046875,6.25,5.984375,6.078125,15598400
1995-03-30,4.884675025939941,5.921875,6.09375,5.90625,6.078125,4005600
1995-03-31,4.820233345031738,5.84375,5.921875,5.796875,5.890625,6808000
1995-04-03,4.78156852722168,5.796875,5.84375,5.734375,5.828125,2620000
1995-04-04,4.78156852722168,5.796875,5.921875,5.6875,5.8125,6729600
1995-04-05,4.67846155166626,5.671875,5.75,5.640625,5.75,5285600
1995-04-06,4.61401891708374,5.59375,5.6875,5.53125,5.640625,10004800
1995-04-07,4.691348552703857,5.6875,5.6875,5.578125,5.578125,3857600
1995-04-10,4.626908779144287,5.609375,5.671875,5.578125,5.65625,5574400
1995-04-11,4.61401891708374,5.59375,5.640625,5.578125,5.609375,2949600
1995-04-12,4.691348552703857,5.6875,5.6875,5.5625,5.5625,4062400
1995-04-13,4.730016708374023,5.734375,5.796875,5.703125,5.703125,4421600
1995-04-17,4.639795780181885,5.625,5.796875,5.59375,5.71875,5584000
1995-04-18,4.498025417327881,5.453125,5.65625,5.40625,5.640625,15420000
1995-04-19,4.059821128845215,4.921875,5.390625,4.71875,5.375,77760800
1995-04-20,4.046933650970459,4.90625,4.90625,4.59375,4.78125,58239200
1995-04-21,4.162927627563477,5.046875,5.125,4.875,4.953125,18575200
1995-04-24,3.98249077796936,4.828125,5.078125,4.75,5.03125,17893600
1995-04-25,3.82783317565918,4.640625,4.90625,4.59375,4.875,21304800
1995-04-26,3.7376129627227774,4.53125,4.703125,4.5,4.578125,25675200
1995-04-27,3.8536064624786377,4.671875,4.6875,4.53125,4.59375,19688000
1995-04-28,3.750502586364746,4.546875,4.671875,4.515625,4.671875,16064800
1995-05-01,3.7891674041748047,4.59375,4.609375,4.46875,4.5,19492000
1995-05-02,3.9567174911499023,4.796875,4.828125,4.5625,4.65625,15804000
1995-05-03,3.90516209602356,4.734375,4.859375,4.703125,4.84375,13880800
1995-05-04,3.57006573677063,4.328125,4.5625,4.296875,4.5,44124000
1995-05-05,3.66028356552124,4.4375,4.453125,4.265625,4.390625,34224800
1995-05-08,3.711836338043213,4.5,4.546875,4.453125,4.453125,23605600
1995-05-09,3.7762796878814697,4.578125,4.625,4.53125,4.5625,14768800
1995-05-10,3.995380401611328,4.84375,4.875,4.625,4.640625,20340000
1995-05-11,4.021158218383789,4.875,4.890625,4.8125,4.890625,7718400
1995-05-12,3.90516209602356,4.734375,4.859375,4.71875,4.859375,7256000
1995-05-15,3.9567174911499023,4.796875,4.8125,4.671875,4.75,7862400
1995-05-16,3.9438259601593018,4.78125,4.84375,4.75,4.796875,4984800
1995-05-17,4.008268356323242,4.859375,4.890625,4.78125,4.78125,5903200
1995-05-18,3.98249077796936,4.828125,4.9375,4.796875,4.921875,10303200
1995-05-19,3.90516209602356,4.734375,4.796875,4.703125,4.765625,6233600
1995-05-22,3.763391971588135,4.5625,4.625,4.46875,4.59375,20612800
1995-05-23,3.711836338043213,4.5,4.59375,4.5,4.53125,19688000
1995-05-24,3.763391971588135,4.5625,4.65625,4.53125,4.5625,27839200
1995-05-25,3.7762796878814697,4.578125,4.609375,4.5,4.5625,10592800
1995-05-26,3.7247259616851807,4.515625,4.609375,4.484375,4.59375,7868000
1995-05-30,3.7762796878814697,4.578125,4.59375,4.53125,4.578125,5754400
1995-05-31,3.8407211303710938,4.65625,4.65625,4.546875,4.578125,6893600
1995-06-01,3.90516209602356,4.734375,4.765625,4.671875,4.6875,6764000
1995-06-02,3.995380401611328,4.84375,4.859375,4.6875,4.765625,7256800
1995-06-05,4.085599422454834,4.953125,5.015625,4.859375,4.875,9493600
1995-06-06,4.059821128845215,4.921875,4.96875,4.90625,4.9375,7547200
1995-06-07,4.266034126281738,5.171875,5.21875,5.078125,5.125,18305600
1995-06-08,4.291810989379883,5.203125,5.234375,5.171875,5.1875,15116000
1995-06-09,4.317588806152344,5.234375,5.234375,5.140625,5.203125,9519200
1995-06-12,4.278923988342285,5.1875,5.234375,5.125,5.21875,7086400
1995-06-13,4.369143486022949,5.296875,5.3125,5.125,5.1875,15579200
1995-06-14,4.124262809753418,5.0,5.078125,4.953125,5.0625,25392800
1995-06-15,4.150041103363037,5.03125,5.09375,5.0,5.03125,14764000
1995-06-16,4.124262809753418,5.0,5.046875,4.984375,5.046875,8520000
1995-06-19,4.201595306396484,5.09375,5.109375,4.96875,5.0,7788800
1995-06-20,4.137152194976807,5.015625,5.125,5.015625,5.078125,4287200
1995-06-21,4.343367099761963,5.265625,5.28125,5.046875,5.09375,17556800
1995-06-22,4.601133346557617,5.578125,5.578125,5.4375,5.5,36239200
1995-06-23,4.433583736419678,5.375,5.546875,5.3125,5.546875,13220000
1995-06-26,4.433583736419678,5.375,5.609375,5.34375,5.53125,30400000
1995-06-27,4.227370262145996,5.125,5.453125,5.109375,5.34375,35934400
1995-06-28,4.1887054443359375,5.078125,5.078125,4.9375,5.0,25974400
