Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PHM,PHM,PHM,PHM,PHM,PHM
Date,,,,,,
1995-01-03,2.264586925506592,2.875,2.875,2.84375,2.84375,369600
1995-01-04,2.252280712127685,2.859375,2.875,2.828125,2.875,423200
1995-01-05,2.1907432079315186,2.78125,2.890625,2.78125,2.875,535200
1995-01-06,2.1907432079315186,2.78125,2.828125,2.765625,2.796875,245600
1995-01-09,2.2399723529815674,2.84375,2.84375,2.703125,2.765625,666400
1995-01-10,2.203049421310425,2.796875,2.875,2.78125,2.859375,244800
1995-01-11,2.1538188457489014,2.734375,2.84375,2.734375,2.828125,213600
1995-01-12,2.116896867752075,2.6875,2.75,2.65625,2.75,500000
1995-01-13,2.1907432079315186,2.78125,2.796875,2.71875,2.71875,447200
1995-01-16,2.203049421310425,2.796875,2.828125,2.78125,2.8125,492000
1995-01-17,2.178433895111084,2.765625,2.8125,2.75,2.796875,360800
1995-01-18,2.09228253364563,2.65625,2.75,2.65625,2.75,573600
1995-01-19,2.0307435989379883,2.578125,2.65625,2.578125,2.65625,559200
1995-01-20,2.09228253364563,2.65625,2.65625,2.625,2.625,302400
1995-01-23,2.09228253364563,2.65625,2.65625,2.609375,2.625,187200
1995-01-24,2.055359601974488,2.609375,2.640625,2.601562976837158,2.640625,417600
1995-01-25,2.0307435989379883,2.578125,2.625,2.53125,2.625,232800
1995-01-26,1.993820786476136,2.53125,2.578125,2.515625,2.578125,182400
1995-01-27,2.043050765991211,2.59375,2.609375,2.546875,2.578125,263200
1995-01-30,2.0184359550476074,2.5625,2.609375,2.5625,2.609375,92800
1995-01-31,1.993820786476136,2.53125,2.578125,2.515625,2.578125,221600
1995-02-01,2.006129264831543,2.546875,2.5625,2.53125,2.546875,597600
1995-02-02,1.993820786476136,2.53125,2.5625,2.515625,2.53125,610400
1995-02-03,2.006129264831543,2.546875,2.5625,2.53125,2.53125,631200
1995-02-06,2.1415109634399414,2.71875,2.71875,2.578125,2.578125,940800
1995-02-07,2.2153573036193848,2.8125,2.8125,2.75,2.75,856800
1995-02-08,2.178433895111084,2.765625,2.8125,2.765625,2.8125,395200
1995-02-09,2.166127443313598,2.75,2.765625,2.734375,2.765625,816000
1995-02-10,2.203049421310425,2.796875,2.796875,2.757812976837158,2.765625,172000
1995-02-13,2.2153573036193848,2.8125,2.84375,2.78125,2.796875,596000
1995-02-14,2.227663993835449,2.828125,2.828125,2.765625,2.828125,397600
1995-02-15,2.264586925506592,2.875,2.90625,2.828125,2.84375,712800
1995-02-16,2.264586925506592,2.875,2.890625,2.84375,2.890625,420000
1995-02-17,2.264586925506592,2.875,2.90625,2.84375,2.875,544800
1995-02-21,2.289202928543091,2.90625,2.90625,2.859375,2.875,92800
1995-02-22,2.252280712127685,2.859375,2.921875,2.859375,2.890625,340000
1995-02-23,2.252280712127685,2.859375,2.90625,2.859375,2.890625,339200
1995-02-24,2.264586925506592,2.875,2.875,2.859375,2.875,755200
1995-02-27,2.252280712127685,2.859375,2.875,2.859375,2.875,152000
1995-02-28,2.264586925506592,2.875,2.890625,2.859375,2.859375,383200
1995-03-01,2.289202928543091,2.90625,2.90625,2.875,2.875,210400
1995-03-02,2.27689528465271,2.890625,2.90625,2.890625,2.90625,156800
1995-03-03,2.264586925506592,2.875,2.90625,2.875,2.890625,676000
1995-03-06,2.2399723529815674,2.84375,2.875,2.828125,2.875,213600
1995-03-07,2.227663993835449,2.828125,2.84375,2.8125,2.84375,235200
1995-03-08,2.2153573036193848,2.8125,2.84375,2.796875,2.84375,101600
1995-03-09,2.203049421310425,2.796875,2.8125,2.796875,2.8125,103200
1995-03-10,2.2153573036193848,2.8125,2.84375,2.796875,2.8125,991200
1995-03-13,2.221279621124268,2.8125,2.8125,2.796875,2.8125,836800
1995-03-14,2.221279621124268,2.8125,2.828125,2.796875,2.828125,625600
1995-03-15,2.221279621124268,2.8125,2.890625,2.8125,2.8125,1040800
1995-03-16,2.2459611892700195,2.84375,2.875,2.828125,2.828125,718400
1995-03-17,2.2459611892700195,2.84375,2.875,2.828125,2.875,474400
1995-03-20,2.233619451522827,2.828125,2.859375,2.828125,2.859375,74400
1995-03-21,2.2459611892700195,2.84375,2.84375,2.828125,2.84375,429600
1995-03-22,2.2583019733428955,2.859375,2.875,2.859375,2.859375,452000
1995-03-23,2.270642042160034,2.875,2.875,2.859375,2.859375,51200
1995-03-24,2.3323447704315186,2.953125,3.0,2.890625,2.90625,312800
1995-03-27,2.3323447704315186,2.953125,2.953125,2.9375,2.9375,84800
1995-03-28,2.3200035095214844,2.9375,2.953125,2.9375,2.9375,112800
1995-03-29,2.3323447704315186,2.953125,2.984375,2.921875,2.9375,311200
1995-03-30,2.295322895050049,2.90625,2.984375,2.90625,2.984375,294400
1995-03-31,2.3200035095214844,2.9375,2.953125,2.890625,2.90625,313600
1995-04-03,2.3323447704315186,2.953125,2.984375,2.9375,2.953125,412000
1995-04-04,2.3570258617401123,2.984375,2.984375,2.96875,2.984375,297600
1995-04-05,2.184257984161377,2.765625,2.984375,2.75,2.984375,432000
1995-04-06,2.110216856002808,2.671875,2.75,2.671875,2.71875,1310400
1995-04-07,2.110216856002808,2.671875,2.703125,2.671875,2.703125,683200
1995-04-10,2.0855345726013184,2.640625,2.703125,2.640625,2.6875,870400
1995-04-11,2.110216856002808,2.671875,2.6875,2.65625,2.671875,480800
1995-04-12,2.097876071929932,2.65625,2.6875,2.65625,2.671875,505600
1995-04-13,2.110216856002808,2.671875,2.6875,2.65625,2.65625,1110400
1995-04-17,2.0485126972198486,2.59375,2.671875,2.59375,2.671875,716800
1995-04-18,2.0608556270599365,2.609375,2.625,2.59375,2.59375,1429600
1995-04-19,2.0608556270599365,2.609375,2.640625,2.59375,2.625,820800
1995-04-20,2.0608556270599365,2.609375,2.625,2.578125,2.609375,554400
1995-04-21,2.023833513259888,2.5625,2.625,2.546875,2.625,796800
1995-04-24,2.110216856002808,2.671875,2.671875,2.546875,2.546875,520800
1995-04-25,2.0855345726013184,2.640625,2.671875,2.625,2.671875,152000
1995-04-26,2.097876071929932,2.65625,2.671875,2.640625,2.640625,227200
1995-04-27,2.171919584274292,2.75,2.765625,2.6875,2.703125,628000
1995-04-28,2.134896993637085,2.703125,2.734375,2.6875,2.734375,217600
1995-05-01,2.122556686401367,2.6875,2.71875,2.671875,2.71875,712000
1995-05-02,2.122556686401367,2.6875,2.6875,2.65625,2.671875,1983200
1995-05-03,2.122556686401367,2.6875,2.6875,2.65625,2.6875,892000
1995-05-04,2.110216856002808,2.671875,2.703125,2.671875,2.6875,1495200
1995-05-05,2.2583019733428955,2.859375,2.859375,2.671875,2.6875,6224000
1995-05-08,2.492770910263061,3.15625,3.1875,2.90625,2.90625,4668800
1995-05-09,2.59149432182312,3.28125,3.28125,3.15625,3.15625,4616800
1995-05-10,2.59149432182312,3.28125,3.34375,3.234375,3.34375,3492000
1995-05-11,2.5668132305145264,3.25,3.25,3.171875,3.1875,1972800
1995-05-12,2.529791593551636,3.203125,3.234375,3.1875,3.234375,2201600
1995-05-15,2.480429410934448,3.140625,3.21875,3.109375,3.21875,1491200
1995-05-16,2.616174697875977,3.3125,3.3125,3.140625,3.140625,1740000
1995-05-17,2.7148985862731934,3.4375,3.4375,3.375,3.375,1421600
1995-05-18,2.6408560276031494,3.34375,3.390625,3.328125,3.375,864800
1995-05-19,2.616174697875977,3.3125,3.328125,3.234375,3.3125,1047200
1995-05-22,2.6902172565460205,3.40625,3.40625,3.3125,3.3125,857600
1995-05-23,2.6902172565460205,3.40625,3.40625,3.375,3.40625,552000
1995-05-24,2.7148985862731934,3.4375,3.453125,3.421875,3.421875,2662400
1995-05-25,2.6902172565460205,3.40625,3.453125,3.390625,3.4375,570400
1995-05-26,2.579153537750244,3.265625,3.359375,3.25,3.359375,785600
1995-05-30,2.59149432182312,3.28125,3.296875,3.265625,3.28125,502400
1995-05-31,2.7025563716888428,3.421875,3.421875,3.296875,3.296875,311200
1995-06-01,2.801281690597534,3.546875,3.5625,3.40625,3.421875,2483200
1995-06-02,2.801281690597534,3.546875,3.5625,3.515625,3.515625,1020800
1995-06-05,2.8383028507232666,3.59375,3.59375,3.5625,3.5625,421600
