Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IFF,IFF,IFF,IFF,IFF,IFF
Date,,,,,,
1995-01-03,22.08763885498047,46.125,46.25,45.375,46.25,110000
1995-01-04,21.90806198120117,45.75,46.0,45.375,45.75,100700
1995-01-05,21.78833198547364,45.5,46.0,45.125,46.0,100600
1995-01-06,21.66863250732422,45.25,45.75,45.125,45.5,117500
1995-01-09,21.78833198547364,45.5,45.875,45.25,45.5,123600
1995-01-10,22.267213821411133,46.5,46.5,45.625,45.75,195500
1995-01-11,22.38691711425781,46.75,47.25,46.25,47.25,109500
1995-01-12,22.38691711425781,46.75,47.0,46.5,46.875,94800
1995-01-13,22.38691711425781,46.75,47.125,46.5,47.125,92000
1995-01-16,22.4467830657959,46.875,47.25,46.75,46.75,78400
1995-01-17,22.8059310913086,47.625,47.75,46.875,46.875,204900
1995-01-18,22.74607276916504,47.5,47.75,47.25,47.375,125900
1995-01-19,22.4467830657959,46.875,47.375,46.75,47.25,113800
1995-01-20,22.38691711425781,46.75,47.25,46.75,46.875,242400
1995-01-23,22.74607276916504,47.5,47.5,46.25,46.25,93100
1995-01-24,22.506641387939453,47.0,47.75,47.0,47.5,91300
1995-01-25,22.62635612487793,47.25,47.625,46.875,47.375,118400
1995-01-26,22.74607276916504,47.5,47.625,47.125,47.25,64300
1995-01-27,23.28480529785156,48.625,48.75,47.5,47.875,106600
1995-01-30,23.22494125366211,48.5,49.0,48.5,48.75,105800
1995-01-31,23.58409118652344,49.25,49.875,48.375,48.375,192500
1995-02-01,22.98550605773925,48.0,49.25,47.375,48.875,182900
1995-02-02,23.10522079467773,48.25,48.25,47.375,48.125,210600
1995-02-03,23.344650268554688,48.75,48.875,48.125,48.5,140500
1995-02-06,23.46437263488769,49.0,49.125,48.75,48.875,129600
1995-02-07,23.404512405395508,48.875,48.875,48.125,48.375,110900
1995-02-08,23.46437263488769,49.0,49.625,48.625,48.625,217400
1995-02-09,23.28480529785156,48.625,48.875,48.25,48.75,64700
1995-02-10,23.344650268554688,48.75,49.0,48.5,48.75,51300
1995-02-13,23.28480529785156,48.625,49.125,48.5,48.875,90900
1995-02-14,23.10522079467773,48.25,48.75,47.75,48.75,141700
1995-02-15,23.22494125366211,48.5,48.875,48.375,48.5,111700
1995-02-16,23.16507148742676,48.375,48.875,48.25,48.875,145200
1995-02-17,23.04536247253418,48.125,48.625,48.125,48.5,173700
1995-02-21,23.344650268554688,48.75,48.75,48.375,48.375,90700
1995-02-22,23.16507148742676,48.375,48.75,48.375,48.75,103400
1995-02-23,23.22494125366211,48.5,48.875,48.5,48.625,105600
1995-02-24,23.22494125366211,48.5,48.75,48.375,48.625,174100
1995-02-27,23.16507148742676,48.375,48.5,48.125,48.25,94700
1995-02-28,23.04536247253418,48.125,48.625,48.0,48.25,129000
1995-03-01,22.86579132080078,47.75,48.125,47.5,47.875,178300
1995-03-02,22.86579132080078,47.75,47.875,47.0,47.75,221900
1995-03-03,22.8059310913086,47.625,47.75,47.125,47.75,202500
1995-03-06,23.28480529785156,48.625,48.75,47.375,47.625,179000
1995-03-07,23.52423477172852,49.125,49.375,48.375,48.625,291000
1995-03-08,24.003097534179688,50.125,50.5,49.125,49.25,1995600
1995-03-09,23.76366233825684,49.625,50.125,49.25,50.125,304300
1995-03-10,24.18267059326172,50.5,50.75,49.75,50.0,286500
1995-03-13,24.003097534179688,50.125,50.5,50.0,50.5,242900
1995-03-14,24.72138786315918,51.625,51.75,50.5,50.5,183700
1995-03-15,24.841108322143555,51.875,52.0,51.375,51.625,141000
1995-03-16,24.96081924438477,52.125,52.375,51.625,51.625,122300
1995-03-17,24.90096473693848,52.0,52.25,51.5,52.125,269500
1995-03-20,24.90096473693848,52.0,52.375,51.75,52.125,95700
1995-03-21,25.05030059814453,52.0,52.75,51.5,52.125,245100
1995-03-22,24.869647979736328,51.625,52.125,51.25,52.0,197100
1995-03-23,24.869647979736328,51.625,52.375,51.5,51.5,112900
1995-03-24,25.23095703125,52.375,52.75,51.625,51.75,138900
1995-03-27,25.29117202758789,52.5,53.125,51.5,52.875,123000
1995-03-28,24.99008560180664,51.875,53.0,51.75,52.875,115900
1995-03-29,24.99008560180664,51.875,52.625,51.5,51.75,184900
1995-03-30,24.99008560180664,51.875,52.5,51.75,52.375,142300
1995-03-31,24.869647979736328,51.625,51.625,50.875,51.375,233200
1995-04-03,24.68900489807129,51.25,51.875,51.125,51.75,99800
1995-04-04,25.29117202758789,52.5,52.5,51.5,51.5,134200
1995-04-05,25.47182273864746,52.875,53.625,52.375,52.375,231300
1995-04-06,25.532026290893555,53.0,53.0,52.625,52.875,83700
1995-04-07,24.92986297607422,51.75,53.125,51.75,53.0,249600
1995-04-10,24.74921607971192,51.375,51.875,51.0,51.875,136700
1995-04-11,24.508350372314453,50.875,52.375,50.875,51.5,137000
1995-04-12,24.628772735595703,51.125,51.5,50.625,51.0,163200
1995-04-13,24.448118209838867,50.75,51.375,50.5,51.25,103600
1995-04-17,24.387910842895508,50.625,51.125,50.375,51.0,83800
1995-04-18,24.448118209838867,50.75,50.875,50.0,50.875,159600
1995-04-19,24.448118209838867,50.75,50.875,50.375,50.75,137400
1995-04-20,24.387910842895508,50.625,50.75,50.125,50.75,73500
1995-04-21,24.387910842895508,50.625,50.75,50.375,50.5,216700
1995-04-24,24.68900489807129,51.25,51.375,50.25,50.375,161900
1995-04-25,24.508350372314453,50.875,51.5,50.75,51.0,101500
1995-04-26,24.628772735595703,51.125,51.25,50.375,51.125,92700
1995-04-27,24.628772735595703,51.125,51.375,50.5,50.875,67200
1995-04-28,24.74921607971192,51.375,51.5,50.375,51.0,79200
1995-05-01,24.20726585388184,50.25,51.375,50.25,51.25,93000
1995-05-02,24.508350372314453,50.875,50.875,50.0,50.375,146300
1995-05-03,24.809431076049805,51.5,51.875,50.875,51.0,148900
1995-05-04,25.05030059814453,52.0,52.375,51.5,51.75,172600
1995-05-05,24.68900489807129,51.25,52.25,51.125,52.0,171400
