Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KEY,KEY,KEY,KEY,KEY,KEY
Date,,,,,,
1995-01-03,4.401875972747803,12.625,12.625,12.375,12.5,488600
1995-01-04,4.401875972747803,12.625,12.75,12.5,12.5625,1158400
1995-01-05,4.445456027984619,12.75,12.875,12.625,12.625,857000
1995-01-06,4.467251777648926,12.8125,12.8125,12.6875,12.6875,537400
1995-01-09,4.48904275894165,12.875,13.0625,12.8125,12.875,1371600
1995-01-10,4.445456027984619,12.75,13.0625,12.75,12.8125,659000
1995-01-11,4.4236674308776855,12.6875,12.8125,12.625,12.75,966000
1995-01-12,4.445456027984619,12.75,12.9375,12.6875,12.8125,883800
1995-01-13,4.532626628875732,13.0,13.125,12.8125,12.875,1073600
1995-01-16,4.619792461395264,13.25,13.375,13.125,13.125,1121000
1995-01-17,4.619792461395264,13.25,13.4375,13.25,13.3125,913600
1995-01-18,4.467251777648926,12.8125,13.3125,12.8125,13.25,719600
1995-01-19,4.467251777648926,12.8125,13.125,12.625,12.9375,906000
1995-01-20,4.467251777648926,12.8125,12.875,12.6875,12.8125,769800
1995-01-23,4.554415702819824,13.0625,13.125,12.6875,12.8125,934600
1995-01-24,4.663375377655029,13.375,13.625,13.125,13.125,1255200
1995-01-25,4.6851654052734375,13.4375,13.5,13.375,13.4375,1281200
1995-01-26,4.706955909729004,13.5,13.5625,13.375,13.375,790800
1995-01-27,4.772329807281494,13.6875,13.9375,13.5625,13.5625,1394400
1995-01-30,4.772329807281494,13.6875,13.75,13.625,13.6875,676600
1995-01-31,4.859498500823975,13.9375,13.9375,13.5625,13.6875,1155600
1995-02-01,4.881292343139648,14.0,14.0625,13.875,13.9375,1346200
1995-02-02,4.903078556060791,14.0625,14.1875,14.0,14.0,806600
1995-02-03,4.968454837799072,14.25,14.375,14.125,14.125,1394800
1995-02-06,4.968454837799072,14.25,14.375,14.1875,14.25,662800
1995-02-07,4.990245342254639,14.3125,14.375,14.25,14.375,514600
1995-02-08,4.881292343139648,14.0,14.25,13.9375,14.25,708200
1995-02-09,4.859498500823975,13.9375,14.0625,13.875,14.0,410600
1995-02-10,4.859498500823975,13.9375,14.0625,13.75,14.0,389800
1995-02-13,4.837707042694092,13.875,14.0,13.8125,13.9375,263200
1995-02-14,4.924871921539307,14.125,14.1875,13.875,13.875,899600
1995-02-15,4.990245342254639,14.3125,14.3125,14.0,14.125,422000
1995-02-16,4.903078556060791,14.0625,14.3125,13.9375,14.3125,641200
1995-02-17,4.881292343139648,14.0,14.1875,14.0,14.1875,698000
1995-02-21,4.837707042694092,13.875,14.0,13.875,14.0,664200
1995-02-22,4.879212379455566,13.8125,13.9375,13.75,13.75,730000
1995-02-23,4.967522621154785,14.0625,14.1875,13.8125,13.8125,695600
1995-02-24,5.077913284301758,14.375,14.375,14.0,14.0,594600
1995-02-27,5.077913284301758,14.375,14.4375,14.125,14.25,981400
1995-02-28,5.122068881988525,14.5,14.625,14.4375,14.4375,676800
1995-03-01,5.122068881988525,14.5,14.625,14.5,14.5,1440600
1995-03-02,5.166224956512451,14.625,14.625,14.5,14.5,704400
1995-03-03,5.166224956512451,14.625,14.625,14.5,14.5625,317600
1995-03-06,5.122068881988525,14.5,14.5,14.375,14.5,878800
1995-03-07,5.011677265167236,14.1875,14.4375,14.125,14.375,1505400
1995-03-08,5.077913284301758,14.375,14.375,14.125,14.1875,1143800
1995-03-09,5.077913284301758,14.375,14.375,14.125,14.25,1349600
1995-03-10,5.1883039474487305,14.6875,14.6875,14.3125,14.375,1359000
1995-03-13,5.166224956512451,14.625,14.6875,14.5625,14.6875,374800
1995-03-14,5.1883039474487305,14.6875,14.75,14.625,14.6875,1051400
1995-03-15,5.166224956512451,14.625,14.6875,14.4375,14.6875,745200
1995-03-16,5.1883039474487305,14.6875,14.75,14.5625,14.6875,411200
1995-03-17,5.122068881988525,14.5,14.6875,14.4375,14.6875,892200
1995-03-20,5.011677265167236,14.1875,14.5,14.125,14.4375,674800
1995-03-21,5.055834293365479,14.3125,14.3125,14.125,14.1875,1086600
1995-03-22,5.033757209777832,14.25,14.25,14.1875,14.25,806600
1995-03-23,4.945446968078613,14.0,14.1875,13.875,14.125,2060000
1995-03-24,4.967522621154785,14.0625,14.125,14.0,14.0625,821800
1995-03-27,4.9896016120910645,14.125,14.1875,14.0625,14.125,378000
1995-03-28,5.011677265167236,14.1875,14.1875,14.0625,14.125,810400
1995-03-29,4.9896016120910645,14.125,14.25,14.0625,14.125,1380400
1995-03-30,5.011677265167236,14.1875,14.25,14.0625,14.1875,1159800
1995-03-31,4.9896016120910645,14.125,14.1875,14.0625,14.1875,1202400
1995-04-03,4.9896016120910645,14.125,14.1875,14.0,14.125,571000
1995-04-04,5.09998893737793,14.4375,14.4375,14.0,14.125,1019000
1995-04-05,5.077913284301758,14.375,14.4375,14.3125,14.375,624000
1995-04-06,5.122068881988525,14.5,14.5,14.375,14.375,2022200
1995-04-07,5.122068881988525,14.5,14.5,14.375,14.5,574000
1995-04-10,5.077913284301758,14.375,14.4375,14.25,14.375,403600
1995-04-11,5.011677265167236,14.1875,14.375,14.0625,14.375,505800
1995-04-12,5.055834293365479,14.3125,14.3125,14.125,14.125,418200
1995-04-13,5.055834293365479,14.3125,14.4375,14.25,14.3125,656800
1995-04-17,4.9896016120910645,14.125,14.375,14.0625,14.375,495800
1995-04-18,4.945446968078613,14.0,14.1875,14.0,14.1875,331600
1995-04-19,4.9896016120910645,14.125,14.1875,14.0,14.0625,428600
1995-04-20,4.835054874420166,13.6875,14.125,13.6875,14.125,1047000
1995-04-21,4.7467427253723145,13.4375,13.75,13.375,13.75,2981800
1995-04-24,4.812978267669678,13.625,13.625,13.375,13.5,1296000
1995-04-25,4.768823623657227,13.5,13.625,13.4375,13.625,3209800
1995-04-26,4.70258903503418,13.3125,13.4375,13.0,13.4375,1528600
1995-04-27,4.768823623657227,13.5,13.5,13.25,13.25,1035800
1995-04-28,4.724668025970459,13.375,13.5,13.3125,13.5,691600
1995-05-01,4.7467427253723145,13.4375,13.5,13.375,13.375,965800
1995-05-02,4.790899276733398,13.5625,13.5625,13.375,13.4375,908000
1995-05-03,4.790899276733398,13.5625,13.625,13.5,13.5625,424600
1995-05-04,4.812978267669678,13.625,13.9375,13.5625,13.5625,2037200
1995-05-05,4.857132911682129,13.75,13.75,13.5625,13.6875,867200
1995-05-08,4.857132911682129,13.75,13.8125,13.5625,13.625,1146200
1995-05-09,4.857132911682129,13.75,14.0,13.75,13.8125,736400
1995-05-10,4.923367500305176,13.9375,13.9375,13.75,13.75,1221200
1995-05-11,4.945446968078613,14.0,14.125,13.875,13.9375,2428400
1995-05-12,4.923367500305176,13.9375,14.0625,13.9375,14.0,966200
1995-05-15,4.967522621154785,14.0625,14.125,13.9375,14.0,455400
1995-05-16,5.011677265167236,14.1875,14.25,14.125,14.1875,1165800
1995-05-17,5.055834293365479,14.3125,14.3125,14.125,14.25,1717400
1995-05-18,5.077913284301758,14.375,14.4375,14.1875,14.3125,1335600
1995-05-19,5.077913284301758,14.375,14.4375,14.1875,14.3125,1273600
1995-05-22,5.1883039474487305,14.6875,14.6875,14.375,14.375,1215400
1995-05-23,5.275025844573975,14.75,14.75,14.5,14.5,2204000
1995-05-24,5.297380447387695,14.8125,14.8125,14.6875,14.75,2133400
1995-05-25,5.342082977294922,14.9375,15.0625,14.75,14.8125,767800
1995-05-26,5.342082977294922,14.9375,14.9375,14.875,14.9375,1419800
1995-05-30,5.409136772155762,15.125,15.125,14.875,14.9375,1288400
1995-05-31,5.453843116760254,15.25,15.3125,15.0625,15.0625,1078000
1995-06-01,5.498544692993164,15.375,15.4375,15.25,15.3125,789000
1995-06-02,5.565600395202637,15.5625,15.75,15.1875,15.4375,1296400
1995-06-05,5.565600395202637,15.5625,15.6875,15.5625,15.625,2098800
1995-06-06,5.543247699737549,15.5,15.6875,15.5,15.5625,1890200
1995-06-07,5.5208940505981445,15.4375,15.5,15.375,15.4375,2032800
1995-06-08,5.386789321899414,15.0625,15.4375,15.0625,15.375,1361000
1995-06-09,5.275025844573975,14.75,15.0625,14.6875,15.0625,2443600
1995-06-12,5.297380447387695,14.8125,15.0,14.6875,14.8125,1264200
1995-06-13,5.386789321899414,15.0625,15.0625,14.875,14.9375,1316800
1995-06-14,5.431490898132324,15.1875,15.25,14.875,15.0,1270800
1995-06-15,5.409136772155762,15.125,15.25,15.125,15.1875,1241200
1995-06-16,5.453843116760254,15.25,15.375,14.8125,15.3125,1786400
1995-06-19,5.632654666900635,15.75,15.75,15.25,15.25,1199200
1995-06-20,5.677358150482178,15.875,15.9375,15.6875,15.6875,1150000
1995-06-21,5.632654666900635,15.75,15.9375,15.75,15.8125,1233000
1995-06-22,5.744415760040283,16.0625,16.0625,15.75,15.75,1300400
1995-06-23,5.744415760040283,16.0625,16.0625,15.875,16.0,951400
1995-06-26,5.722062110900879,16.0,16.0625,15.9375,16.0625,733200
1995-06-27,5.699710369110107,15.9375,16.0625,15.9375,15.9375,1039200
1995-06-28,5.722062110900879,16.0,16.0625,15.9375,15.9375,862200
1995-06-29,5.677358150482178,15.875,16.0,15.8125,15.9375,656800
1995-06-30,5.61030387878418,15.6875,15.9375,15.6875,15.875,817400
1995-07-03,5.65501070022583,15.8125,15.8125,15.75,15.8125,196200
1995-07-05,5.565600395202637,15.5625,15.6875,15.5625,15.625,1619600
1995-07-06,5.65501070022583,15.8125,15.8125,15.5,15.5625,1131400
1995-07-07,5.632654666900635,15.75,15.9375,15.6875,15.75,408600
1995-07-10,5.632654666900635,15.75,15.875,15.625,15.6875,560600
1995-07-11,5.61030387878418,15.6875,15.8125,15.5,15.625,804800
1995-07-12,5.61030387878418,15.6875,15.875,15.5,15.5625,689400
1995-07-13,5.61030387878418,15.6875,15.9375,15.6875,15.6875,1197200
