Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GWW,GWW,GWW,GWW,GWW,GWW
Date,,,,,,
1995-01-03,17.34576988220215,28.1875,28.8125,28.125,28.75,147000
1995-01-04,17.15345573425293,27.875,28.3125,27.875,28.1875,211200
1995-01-05,17.38422966003418,28.25,28.3125,28.0,28.0,156000
1995-01-06,17.230379104614258,28.0,28.25,27.875,28.25,97200
1995-01-09,17.230379104614258,28.0,28.1875,27.9375,28.125,304200
1995-01-10,17.26884651184082,28.0625,28.375,28.0,28.0625,329800
1995-01-11,17.538063049316406,28.5,28.5625,28.125,28.125,139600
1995-01-12,17.49960708618164,28.4375,28.5,28.1875,28.5,114400
1995-01-13,17.691909790039062,28.75,28.8125,28.5,28.5,142800
1995-01-16,18.114974975585938,29.4375,29.8125,28.8125,28.8125,604400
1995-01-17,18.268814086914062,29.6875,29.6875,29.3125,29.375,169000
1995-01-18,18.230365753173828,29.625,29.8125,29.625,29.6875,196000
1995-01-19,18.1534366607666,29.5,29.875,29.5,29.5625,167200
1995-01-20,18.268814086914062,29.6875,29.6875,29.375,29.5,150200
1995-01-23,18.34572982788086,29.8125,30.0,29.5,29.5,284800
1995-01-24,18.499595642089844,30.0625,30.0625,29.5625,29.625,209800
1995-01-25,18.57650375366211,30.1875,30.375,29.875,30.0625,256800
1995-01-26,18.65342330932617,30.3125,30.5,30.125,30.125,227600
1995-01-27,18.807268142700195,30.5625,30.875,30.4375,30.4375,196800
1995-01-30,18.69189071655273,30.375,30.5,30.25,30.4375,92800
1995-01-31,18.40633010864257,29.8125,30.3125,29.6875,30.3125,133000
1995-02-01,18.40633010864257,29.8125,29.9375,29.625,29.9375,239200
1995-02-02,18.52210235595703,30.0,30.1875,29.6875,29.75,112000
1995-02-03,18.48350715637207,29.9375,30.25,29.75,30.0,155400
1995-02-06,18.56070327758789,30.0625,30.125,29.9375,30.0,179600
1995-02-07,18.44491577148437,29.875,30.0,29.8125,30.0,105000
1995-02-08,18.44491577148437,29.875,30.125,29.8125,29.875,146800
1995-02-09,18.48350715637207,29.9375,30.0625,29.8125,29.9375,217600
1995-02-10,18.71503639221192,30.3125,30.625,30.0,30.0,382800
1995-02-13,18.83080673217773,30.5,30.625,30.3125,30.3125,90000
1995-02-14,18.94655418395996,30.6875,30.6875,30.0625,30.4375,270200
1995-02-15,19.13950729370117,31.0,31.0,30.5625,30.625,188600
1995-02-16,18.985164642333984,30.75,31.1875,30.625,31.125,181200
1995-02-17,19.13950729370117,31.0,31.125,30.6875,30.75,240000
1995-02-21,19.486797332763672,31.5625,31.5625,31.1875,31.1875,141800
1995-02-22,19.44820213317871,31.5,31.6875,31.375,31.5625,171800
1995-02-23,19.1780948638916,31.0625,31.4375,31.0625,31.375,206200
1995-02-24,19.216676712036133,31.125,31.1875,31.0,31.1875,95000
1995-02-27,18.94655418395996,30.6875,31.25,30.6875,31.1875,93400
1995-02-28,18.8693904876709,30.5625,30.875,30.375,30.6875,85600
1995-03-01,18.907974243164062,30.625,30.75,30.625,30.75,131800
1995-03-02,19.023744583129883,30.8125,30.8125,30.625,30.6875,208600
1995-03-03,18.985164642333984,30.75,30.875,30.625,30.6875,128600
1995-03-06,18.985164642333984,30.75,30.75,30.375,30.6875,175600
1995-03-07,18.63786506652832,30.1875,30.6875,29.625,30.625,234000
1995-03-08,18.8693904876709,30.5625,30.6875,30.3125,30.375,80400
1995-03-09,18.792213439941406,30.4375,30.6875,30.25,30.6875,125000
1995-03-10,18.8693904876709,30.5625,30.6875,30.375,30.5625,198800
1995-03-13,18.83080673217773,30.5,30.5625,30.3125,30.5625,112600
1995-03-14,18.907974243164062,30.625,30.6875,30.5,30.625,207400
1995-03-15,19.023744583129883,30.8125,30.875,30.5625,30.6875,265600
1995-03-16,19.255273818969727,31.1875,31.5,30.75,30.875,268600
1995-03-17,19.216676712036133,31.125,31.25,31.0625,31.25,351000
1995-03-20,19.44820213317871,31.5,31.5,31.1875,31.25,326600
1995-03-21,19.29385757446289,31.25,31.5,31.1875,31.5,110800
1995-03-22,19.1780948638916,31.0625,31.25,31.0,31.25,98200
1995-03-23,19.255273818969727,31.1875,31.1875,30.875,31.0625,113800
1995-03-24,19.486797332763672,31.5625,31.5625,31.25,31.25,160000
1995-03-27,19.83408737182617,32.125,32.1875,31.5625,31.5625,181400
1995-03-28,19.67972946166992,31.875,32.0625,31.875,32.0625,58800
1995-03-29,19.60256004333496,31.75,32.0,31.6875,31.875,309000
1995-03-30,19.371034622192383,31.375,31.9375,31.3125,31.9375,162000
1995-03-31,19.5253849029541,31.625,31.6875,31.25,31.4375,131000
1995-04-03,19.409618377685547,31.4375,31.75,31.25,31.75,80000
1995-04-04,19.718320846557617,31.9375,31.9375,31.4375,31.4375,172000
1995-04-05,19.29385757446289,31.25,31.875,31.25,31.8125,213400
1995-04-06,19.371034622192383,31.375,31.5625,31.375,31.375,105000
1995-04-07,19.60256004333496,31.75,31.75,31.5,31.5,79200
1995-04-10,19.409618377685547,31.4375,31.6875,31.375,31.6875,34800
1995-04-11,19.216676712036133,31.125,31.4375,31.125,31.375,119200
1995-04-12,19.332439422607425,31.3125,31.375,31.1875,31.25,102600
1995-04-13,19.29385757446289,31.25,31.25,31.0,31.125,64400
1995-04-17,18.907974243164062,30.625,31.3125,30.625,31.25,185000
1995-04-18,18.599271774291992,30.125,30.5,30.125,30.5,265800
1995-04-19,18.36775016784668,29.75,30.3125,29.75,30.1875,191000
1995-04-20,18.36775016784668,29.75,29.875,29.4375,29.875,289000
1995-04-21,18.48350715637207,29.9375,30.125,29.75,29.9375,229200
1995-04-24,18.8693904876709,30.5625,30.625,29.9375,30.0625,225200
1995-04-25,19.1780948638916,31.0625,31.0625,30.5625,30.5625,251800
1995-04-26,18.71503639221192,30.3125,31.3125,30.3125,30.9375,436800
1995-04-27,18.52210235595703,30.0,30.3125,29.5625,30.3125,235600
1995-04-28,18.67644500732422,30.25,30.3125,29.9375,30.125,185600
1995-05-01,18.599271774291992,30.125,30.25,30.0625,30.25,403600
1995-05-02,18.67054748535156,30.125,30.1875,29.9375,30.125,304200
1995-05-03,18.67054748535156,30.125,30.1875,29.9375,30.1875,123800
1995-05-04,18.67054748535156,30.125,30.375,30.0625,30.25,355200
1995-05-05,18.825498580932617,30.375,30.375,30.0,30.125,368600
1995-05-08,18.51560401916504,29.875,30.3125,29.6875,30.3125,222600
1995-05-09,18.24445343017578,29.4375,30.125,29.3125,29.6875,261200
1995-05-10,18.24445343017578,29.4375,29.5,29.1875,29.5,272600
1995-05-11,18.24445343017578,29.4375,29.4375,29.25,29.375,92200
1995-05-12,18.205718994140625,29.375,29.4375,29.1875,29.4375,460200
1995-05-15,18.321929931640625,29.5625,29.625,29.125,29.375,198200
1995-05-16,18.47687339782715,29.8125,30.0,29.625,29.6875,459800
1995-05-17,18.47687339782715,29.8125,30.0625,29.5625,29.9375,307400
1995-05-18,18.39940452575684,29.6875,29.9375,29.625,29.75,261400
1995-05-19,18.24445343017578,29.4375,29.5625,29.3125,29.5,402200
1995-05-22,18.012039184570312,29.0625,29.4375,28.9375,29.375,473000
1995-05-23,18.012039184570312,29.0625,29.25,28.9375,29.0,260600
1995-05-24,18.08951759338379,29.1875,29.25,29.0,29.1875,402200
1995-05-25,18.128257751464844,29.25,29.3125,29.125,29.1875,276000
1995-05-26,18.0507926940918,29.125,29.3125,29.0625,29.125,318400
1995-05-30,18.1669864654541,29.3125,29.375,28.9375,29.125,445200
1995-05-31,18.554351806640625,29.9375,29.9375,29.25,29.5,219200
1995-06-01,18.39940452575684,29.6875,29.9375,29.5625,29.875,267800
1995-06-02,18.08951759338379,29.1875,29.6875,29.1875,29.5625,368400
1995-06-05,18.59308242797852,30.0,30.0,29.25,29.5,195200
1995-06-06,18.631820678710938,30.0625,30.375,29.875,29.875,374000
1995-06-07,18.554351806640625,29.9375,30.0625,29.625,30.0625,228800
1995-06-08,18.283191680908203,29.5,30.0625,29.25,29.875,189600
1995-06-09,18.205718994140625,29.375,29.4375,29.1875,29.375,254400
1995-06-12,18.24445343017578,29.4375,29.5625,29.375,29.4375,254200
