Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KR,KR,KR,KR,KR,KR
Date,,,,,,
1995-01-03,2.200706958770752,3.046875,3.046875,2.953125,3.0,1802400
1995-01-04,2.21199369430542,3.0625,3.0625,2.984375,3.03125,2127200
1995-01-05,2.245849847793579,3.109375,3.109375,3.03125,3.046875,1120000
1995-01-06,2.245849847793579,3.109375,3.140625,3.078125,3.078125,4112800
1995-01-09,2.257136106491089,3.125,3.140625,3.078125,3.09375,984800
1995-01-10,2.245849847793579,3.109375,3.140625,3.109375,3.125,1106400
1995-01-11,2.21199369430542,3.0625,3.125,3.0625,3.109375,1833600
1995-01-12,2.2345645427703857,3.09375,3.09375,3.0625,3.078125,1269600
1995-01-13,2.2345645427703857,3.09375,3.125,3.078125,3.109375,2511200
1995-01-16,2.2345645427703857,3.09375,3.125,3.09375,3.109375,901600
1995-01-17,2.2345645427703857,3.09375,3.109375,3.078125,3.09375,1656800
1995-01-18,2.189422369003296,3.03125,3.09375,3.03125,3.078125,1815200
1995-01-19,2.2684202194213867,3.140625,3.15625,3.015625,3.015625,3144000
1995-01-20,2.245849847793579,3.109375,3.140625,3.09375,3.140625,1230400
1995-01-23,2.257136106491089,3.125,3.125,3.078125,3.109375,977600
1995-01-24,2.245849847793579,3.109375,3.125,3.09375,3.125,1724800
1995-01-25,2.257136106491089,3.125,3.140625,3.109375,3.125,1676800
1995-01-26,2.2232797145843506,3.078125,3.171875,3.078125,3.109375,1508000
1995-01-27,2.2345645427703857,3.09375,3.109375,3.0625,3.09375,1013600
1995-01-30,2.21199369430542,3.0625,3.109375,3.0625,3.109375,1247200
1995-01-31,2.132993459701538,2.953125,3.0625,2.921875,3.046875,5574400
1995-02-01,2.1442792415618896,2.96875,3.0,2.953125,2.984375,4007200
1995-02-02,2.200706958770752,3.046875,3.046875,2.96875,2.984375,5030400
1995-02-03,2.279707431793213,3.15625,3.15625,3.046875,3.0625,3152000
1995-02-06,2.290993452072144,3.171875,3.203125,3.125,3.125,5394400
1995-02-07,2.313563585281372,3.203125,3.234375,3.15625,3.1875,7111200
1995-02-08,2.3587069511413574,3.265625,3.265625,3.203125,3.21875,2332800
1995-02-09,2.324849843978882,3.21875,3.265625,3.21875,3.25,2372800
1995-02-10,2.3361353874206543,3.234375,3.265625,3.21875,3.234375,2264800
1995-02-13,2.313563585281372,3.203125,3.265625,3.203125,3.234375,1976000
1995-02-14,2.324849843978882,3.21875,3.234375,3.203125,3.234375,1627200
1995-02-15,2.324849843978882,3.21875,3.234375,3.1875,3.234375,1533600
1995-02-16,2.3587069511413574,3.265625,3.265625,3.21875,3.234375,2631200
1995-02-17,2.347420454025269,3.25,3.28125,3.234375,3.265625,1563200
1995-02-21,2.369992971420288,3.28125,3.28125,3.234375,3.265625,2622400
1995-02-22,2.392562866210937,3.3125,3.34375,3.265625,3.28125,3273600
1995-02-23,2.3812785148620605,3.296875,3.34375,3.28125,3.328125,3192800
1995-02-24,2.403849601745605,3.328125,3.359375,3.25,3.296875,4003200
1995-02-27,2.347420454025269,3.25,3.328125,3.25,3.328125,1697600
