Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMAT,AMAT,AMAT,AMAT,AMAT,AMAT
Date,,,,,,
1995-01-03,1.8405237197875977,2.515625,2.625,2.5,2.609375,18468800
1995-01-04,1.829092264175415,2.5,2.546875,2.34375,2.546875,69673600
1995-01-05,1.8519558906555176,2.53125,2.578125,2.46875,2.515625,31270400
1995-01-06,1.863388180732727,2.546875,2.578125,2.515625,2.546875,16537600
1995-01-09,1.9091156721115112,2.609375,2.609375,2.5625,2.59375,10670400
1995-01-10,1.966274857521057,2.6875,2.71875,2.625,2.625,41739200
1995-01-11,1.96055805683136,2.679687976837158,2.796875,2.644531011581421,2.75,43072000
1995-01-12,1.98913836479187,2.71875,2.75,2.671875,2.6875,12358400
1995-01-13,1.966274857521057,2.6875,2.765625,2.65625,2.734375,21753600
1995-01-16,2.034864902496338,2.78125,2.78125,2.703125,2.71875,23881600
1995-01-17,2.023433446884156,2.765625,2.8125,2.734375,2.765625,24392000
1995-01-18,2.012001276016236,2.75,2.8125,2.71875,2.765625,25321600
1995-01-19,1.9834219217300413,2.710937976837158,2.75,2.703125,2.734375,10937600
1995-01-20,1.931978821754456,2.640625,2.71875,2.59375,2.703125,26574400
1995-01-23,1.9033989906311035,2.601562976837158,2.609375,2.53125,2.609375,21577600
1995-01-24,1.96055805683136,2.679687976837158,2.6875,2.578125,2.609375,11374400
1995-01-25,1.8519558906555176,2.53125,2.609375,2.5,2.609375,58982400
1995-01-26,1.78336501121521,2.4375,2.578125,2.421875,2.546875,43891200
1995-01-27,1.846240878105164,2.523437976837158,2.546875,2.453125,2.46875,22891200
1995-01-30,1.7605010271072388,2.40625,2.53125,2.375,2.53125,23868800
1995-01-31,1.7605010271072388,2.40625,2.4375,2.3125,2.4375,47744000
1995-02-01,1.78336501121521,2.4375,2.484375,2.40625,2.421875,25305600
1995-02-02,1.8519558906555176,2.53125,2.53125,2.421875,2.4375,25203200
1995-02-03,1.8748193979263303,2.5625,2.640625,2.546875,2.5625,48137600
1995-02-06,1.9491273164749143,2.664062976837158,2.6875,2.5625,2.578125,37081600
1995-02-07,1.9434102773666384,2.65625,2.734375,2.640625,2.6875,25696000
1995-02-08,1.931978821754456,2.640625,2.703125,2.609375,2.6875,29150400
1995-02-09,1.994853377342224,2.726562976837158,2.765625,2.617187976837158,2.640625,58227200
1995-02-10,2.034864902496338,2.78125,2.828125,2.734375,2.75,59939200
1995-02-13,2.057727813720703,2.8125,2.875,2.75,2.765625,24276800
1995-02-14,2.046297788619995,2.796875,2.859375,2.734375,2.828125,33297600
1995-02-15,2.149183511734009,2.9375,2.984375,2.828125,2.921875,72252800
1995-02-16,2.149183511734009,2.9375,2.984375,2.921875,2.953125,21574400
1995-02-17,2.089167356491089,2.855468988418579,2.90625,2.832031011581421,2.890625,24758400
1995-02-21,2.092024803161621,2.859375,2.859375,2.765625,2.84375,23249600
1995-02-22,2.092024803161621,2.859375,2.859375,2.8125,2.828125,14033600
1995-02-23,2.114888429641724,2.890625,2.9375,2.84375,2.859375,24473600
1995-02-24,2.149183511734009,2.9375,2.9375,2.875,2.890625,27761600
1995-02-27,2.0805916786193848,2.84375,2.984375,2.8125,2.875,18664000
1995-02-28,2.109172344207764,2.882812976837158,2.890625,2.8125,2.859375,17294400
1995-03-01,2.1377511024475098,2.921875,3.0,2.890625,2.90625,30203200
1995-03-02,2.183478593826294,2.984375,3.0,2.9375,2.984375,16931200
1995-03-03,2.2177748680114746,3.03125,3.082031011581421,2.96875,2.984375,18940800
1995-03-06,2.2520697116851807,3.078125,3.09375,2.9375,3.0,20739200
1995-03-07,2.194910764694214,3.0,3.078125,2.953125,3.078125,24731200
1995-03-08,2.194910764694214,3.0,3.015625,2.953125,3.0,17441600
1995-03-09,2.2520697116851807,3.078125,3.125,3.015625,3.109375,40020800
1995-03-10,2.274933338165283,3.109375,3.125,3.046875,3.078125,25864000
1995-03-13,2.323518753051758,3.175781011581421,3.203125,3.125,3.15625,40020800
1995-03-14,2.394968032836914,3.273437976837158,3.28125,3.1875,3.1875,37174400
1995-03-15,2.3835363388061523,3.257812976837158,3.28125,3.21875,3.265625,85577600
1995-03-16,2.3692455291748047,3.238281011581421,3.265625,3.21875,3.234375,17353600
1995-03-17,2.503570795059204,3.421875,3.4375,3.25,3.273437976837158,45649600
1995-03-20,2.549297571182251,3.484375,3.484375,3.390625,3.40625,21564800
1995-03-21,2.612173080444336,3.570312976837158,3.625,3.5,3.5,67939200
1995-03-22,2.572161197662353,3.515625,3.578125,3.4375,3.546875,36462400
1995-03-23,2.640751838684082,3.609375,3.625,3.4375,3.53125,32156800
1995-03-24,2.709343433380127,3.703125,3.703125,3.640625,3.65625,47750400
1995-03-27,2.743637561798096,3.75,3.78125,3.671875,3.703125,28936000
1995-03-28,2.709343433380127,3.703125,3.75,3.65625,3.734375,23995200
1995-03-29,2.60645604133606,3.5625,3.75,3.53125,3.71875,40521600
1995-03-30,2.492138385772705,3.40625,3.609375,3.375,3.59375,49608000
1995-03-31,2.5207173824310303,3.445312976837158,3.46875,3.296875,3.328125,29129600
1995-04-03,2.5092861652374268,3.429687976837158,3.449218988418579,3.3125,3.445312976837158,24844800
1995-04-04,2.4578425884246826,3.359375,3.484375,3.328125,3.4375,26144000
1995-04-05,2.5264337062835693,3.453125,3.484375,3.296875,3.328125,28844800
1995-04-06,2.5264337062835693,3.453125,3.515625,3.4375,3.5,17795200
1995-04-07,2.60645604133606,3.5625,3.59375,3.453125,3.484375,22596800
1995-04-10,2.6293201446533203,3.59375,3.609375,3.53125,3.5625,27052800
1995-04-11,2.577877283096313,3.523437976837158,3.65625,3.515625,3.632812976837158,22785600
1995-04-12,2.6178882122039795,3.578125,3.578125,3.5,3.546875,11995200
