Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AEP,AEP,AEP,AEP,AEP,AEP
Date,,,,,,
1995-01-03,8.2384614944458,32.875,33.0,32.75,32.75,137600
1995-01-04,8.332439422607422,33.25,33.25,32.875,32.875,102100
1995-01-05,8.332439422607422,33.25,33.375,33.125,33.125,144500
1995-01-06,8.395088195800781,33.5,33.5,33.25,33.25,209900
1995-01-09,8.363760948181152,33.375,33.75,33.25,33.375,120900
1995-01-10,8.520391464233398,34.0,34.125,33.375,33.375,722200
1995-01-11,8.45773983001709,33.75,34.0,33.625,33.875,214400
1995-01-12,8.48906135559082,33.875,33.875,33.75,33.75,134800
1995-01-13,8.45773983001709,33.75,34.0,33.75,34.0,115400
1995-01-16,8.614364624023438,34.375,34.375,33.875,33.875,304000
1995-01-17,8.58304214477539,34.25,34.375,34.125,34.25,204600
1995-01-18,8.614364624023438,34.375,34.5,34.125,34.125,520000
1995-01-19,8.520391464233398,34.0,34.25,34.0,34.25,239300
1995-01-20,8.55171012878418,34.125,34.25,33.75,34.125,608600
1995-01-23,8.520391464233398,34.0,34.125,33.875,33.875,198100
1995-01-24,8.520391464233398,34.0,34.125,34.0,34.0,269500
1995-01-25,8.58304214477539,34.25,34.375,34.0,34.125,151200
1995-01-26,8.55171012878418,34.125,34.25,34.0,34.125,242500
1995-01-27,8.708337783813477,34.75,34.875,34.25,34.375,303600
1995-01-30,8.677018165588379,34.625,34.75,34.375,34.625,160100
1995-01-31,8.770990371704102,35.0,35.125,34.625,34.625,380400
1995-02-01,8.739663124084473,34.875,35.125,34.75,35.0,180300
1995-02-02,8.770990371704102,35.0,35.0,34.625,34.75,162500
1995-02-03,8.958937644958496,35.75,35.75,35.25,35.25,1273100
1995-02-06,8.888845443725586,34.875,35.125,34.75,35.0,390500
1995-02-07,8.952564239501953,35.125,35.25,34.875,34.875,647800
1995-02-08,8.825133323669434,34.625,35.375,34.5,35.125,980900
1995-02-09,8.697684288024902,34.125,34.5,33.875,34.5,386200
1995-02-10,8.538389205932617,33.5,34.125,33.25,34.125,611900
1995-02-13,8.474671363830566,33.25,33.625,33.25,33.5,150800
1995-02-14,8.602109909057617,33.75,33.875,33.375,33.5,344900
1995-02-15,8.633964538574219,33.875,34.0,33.625,33.875,348600
1995-02-16,8.697684288024902,34.125,34.125,33.625,33.75,435000
1995-02-17,8.665831565856934,34.0,34.375,34.0,34.125,1400100
1995-02-21,8.665831565856934,34.0,34.125,33.875,34.125,136000
1995-02-22,8.825133323669434,34.625,34.625,34.0,34.125,271100
1995-02-23,8.856986045837402,34.75,34.875,34.625,34.75,347500
1995-02-24,8.761409759521484,34.375,34.5,34.375,34.5,78900
1995-02-27,8.697684288024902,34.125,34.5,33.75,34.375,134100
1995-02-28,8.633964538574219,33.875,34.125,33.625,34.125,287200
1995-03-01,8.474671363830566,33.25,33.875,33.25,33.875,705800
1995-03-02,8.347235679626465,32.75,33.375,32.625,33.375,609800
1995-03-03,8.315375328063965,32.625,32.625,32.0,32.625,459000
1995-03-06,8.2197904586792,32.25,32.625,32.125,32.5,314400
1995-03-07,8.2197904586792,32.25,32.25,31.875,32.125,457500
1995-03-08,8.283514022827148,32.5,32.75,32.25,32.375,334400
1995-03-09,8.156075477600098,32.0,32.375,32.0,32.375,654900
1995-03-10,8.251654624938965,32.375,32.625,32.0,32.125,238200
1995-03-13,8.2197904586792,32.25,32.75,32.25,32.625,157700
1995-03-14,8.251654624938965,32.375,32.75,32.375,32.5,757400
1995-03-15,8.283514022827148,32.5,32.5,32.25,32.375,279700
1995-03-16,8.251654624938965,32.375,32.5,32.25,32.25,289100
1995-03-17,8.2197904586792,32.25,32.4375,32.125,32.375,406500
1995-03-20,8.156075477600098,32.0,32.375,31.875,32.125,132400
1995-03-21,8.124213218688965,31.875,32.375,31.75,32.0,109200
1995-03-22,8.124213218688965,31.875,31.875,31.5,31.75,438200
1995-03-23,8.092355728149414,31.75,31.875,31.625,31.75,130200
1995-03-24,8.187934875488281,32.125,32.25,31.875,31.875,207700
1995-03-27,8.124213218688965,31.875,32.375,31.875,32.25,422700
1995-03-28,8.060495376586914,31.625,32.0,31.5,31.875,224400
1995-03-29,8.124213218688965,31.875,32.0,31.5,31.625,473600
1995-03-30,8.092355728149414,31.75,31.875,31.75,31.875,193100
1995-03-31,8.092355728149414,31.75,31.75,31.25,31.625,352300
1995-04-03,8.156075477600098,32.0,32.125,31.625,31.625,209200
1995-04-04,8.283514022827148,32.5,32.625,32.125,32.125,668400
1995-04-05,8.410950660705566,33.0,33.0,32.375,32.5,697500
1995-04-06,8.410950660705566,33.0,33.0,32.875,33.0,428300
1995-04-07,8.379091262817383,32.875,33.125,32.625,33.0,252600
1995-04-10,8.379091262817383,32.875,32.875,32.5,32.875,169700
1995-04-11,8.347235679626465,32.75,33.0,32.625,32.875,211000
1995-04-12,8.251654624938965,32.375,32.625,32.25,32.625,136200
1995-04-13,8.251654624938965,32.375,32.625,32.25,32.375,228100
1995-04-17,8.092355728149414,31.75,32.625,31.5,32.5,327600
1995-04-18,8.156075477600098,32.0,32.0,31.75,31.75,267900
1995-04-19,8.156075477600098,32.0,32.125,31.75,32.0,177000
1995-04-20,8.124213218688965,31.875,32.125,31.875,32.0,95800
1995-04-21,8.2197904586792,32.25,32.25,31.875,32.125,295000
1995-04-24,8.315375328063965,32.625,32.625,32.125,32.125,244900
1995-04-25,8.379091262817383,32.875,32.875,32.5,32.5,339000
1995-04-26,8.347235679626465,32.75,32.875,32.75,32.75,183300
1995-04-27,8.379091262817383,32.875,33.0,32.75,32.75,234700
1995-04-28,8.347235679626465,32.75,32.875,32.625,32.75,245900
1995-05-01,8.251654624938965,32.375,32.625,32.375,32.625,258800
1995-05-02,8.2197904586792,32.25,32.375,32.125,32.375,229400
1995-05-03,8.315375328063965,32.625,32.875,32.375,32.375,1399700
1995-05-04,8.341338157653809,32.125,32.375,32.0,32.125,465500
1995-05-05,8.568533897399902,33.0,33.0,32.375,32.5,684500
1995-05-08,8.568533897399902,33.0,33.0,32.75,32.875,437800
1995-05-09,8.600991249084473,33.125,33.375,32.875,33.0,293400
1995-05-10,8.568533897399902,33.0,33.25,32.75,33.25,216400
1995-05-11,8.536076545715332,32.875,33.0,32.75,33.0,158800
1995-05-12,8.568533897399902,33.0,33.0,32.875,32.875,99300
1995-05-15,8.63344669342041,33.25,33.25,33.125,33.25,180700
1995-05-16,8.63344669342041,33.25,33.25,33.0,33.125,266700
1995-05-17,8.503622055053711,32.75,33.125,32.75,33.0,188800
1995-05-18,8.438706398010254,32.5,32.875,32.375,32.875,180400
1995-05-19,8.406253814697266,32.375,32.5,32.25,32.25,270900
