Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SWK,SWK,SWK,SWK,SWK,SWK
Date,,,,,,
1995-01-03,8.305572509765625,18.0,18.3125,17.9375,17.9375,131200
1995-01-04,8.2767333984375,17.9375,18.125,17.8125,18.0,221600
1995-01-05,8.33441162109375,18.0625,18.0625,17.875,17.9375,178800
1995-01-06,8.4497709274292,18.3125,18.625,18.125,18.125,191400
1995-01-09,8.363251686096191,18.125,18.3125,18.0625,18.25,64200
1995-01-10,8.709319114685059,18.875,19.0625,18.1875,18.1875,440600
1995-01-11,8.795836448669434,19.0625,19.125,18.875,18.875,95400
1995-01-12,8.940028190612793,19.375,19.5,19.0625,19.125,102000
1995-01-13,9.0265474319458,19.5625,19.625,19.4375,19.4375,118200
1995-01-16,9.0265474319458,19.5625,19.625,19.5,19.625,51600
1995-01-17,9.055378913879396,19.625,19.625,19.5625,19.5625,28200
1995-01-18,8.997705459594727,19.5,19.75,19.5,19.5625,32600
1995-01-19,8.96886920928955,19.4375,19.625,19.4375,19.5,83000
1995-01-20,9.084221839904783,19.6875,19.6875,19.375,19.5,43400
1995-01-23,8.82467269897461,19.125,19.625,19.0625,19.5625,134800
1995-01-24,8.766997337341309,19.0,19.125,18.875,19.125,142600
1995-01-25,8.940028190612793,19.375,19.4375,19.0625,19.0625,64000
1995-01-26,8.82467269897461,19.125,19.5,19.0,19.375,48400
1995-01-27,8.88235092163086,19.25,19.375,19.1875,19.1875,39800
1995-01-30,8.997705459594727,19.5,19.5,19.1875,19.1875,42600
1995-01-31,8.738155364990234,18.9375,19.875,18.875,19.5,116800
1995-02-01,8.88235092163086,19.25,19.4375,19.0,19.0,97400
1995-02-02,8.82467269897461,19.125,19.125,18.75,19.125,112400
1995-02-03,8.88235092163086,19.25,19.25,19.0625,19.0625,81600
1995-02-06,9.113061904907228,19.75,19.75,19.125,19.125,140800
1995-02-07,9.199578285217283,19.9375,20.0625,19.6875,19.6875,214200
1995-02-08,9.286092758178713,20.125,20.125,19.875,19.875,116200
1995-02-09,9.314932823181152,20.1875,20.25,20.0625,20.125,153000
1995-02-10,9.37261199951172,20.3125,20.375,20.125,20.25,503200
1995-02-13,9.343770027160645,20.25,20.4375,20.1875,20.3125,163400
1995-02-14,9.37261199951172,20.3125,20.375,20.1875,20.1875,66800
1995-02-15,9.37261199951172,20.3125,20.375,20.1875,20.3125,91600
1995-02-16,9.37261199951172,20.3125,20.375,20.25,20.3125,71200
1995-02-17,9.343770027160645,20.25,20.375,20.25,20.375,58600
1995-02-21,9.257257461547852,20.0625,20.3125,20.0,20.3125,69600
1995-02-22,9.343770027160645,20.25,20.25,19.5,20.0625,240600
1995-02-23,9.401448249816896,20.375,20.4375,20.25,20.3125,150000
1995-02-24,9.401448249816896,20.375,20.375,20.25,20.25,71800
1995-02-27,9.343770027160645,20.25,20.375,20.25,20.3125,24400
1995-02-28,9.314932823181152,20.1875,20.3125,20.1875,20.3125,51000
1995-03-01,9.170736312866213,19.875,20.25,19.875,20.25,413400
1995-03-02,9.343770027160645,20.25,20.25,19.75,19.75,279800
1995-03-03,9.257257461547852,20.0625,20.125,19.8125,20.125,64400
1995-03-06,9.257257461547852,20.0625,20.0625,19.8125,20.0,120000
1995-03-07,9.13506031036377,19.625,19.9375,19.5,19.9375,142800
1995-03-08,9.193249702453612,19.75,19.75,19.5625,19.625,167800
1995-03-09,9.164159774780272,19.6875,19.75,19.6875,19.75,94400
1995-03-10,9.484176635742188,20.375,20.375,19.75,19.8125,108400
1995-03-13,9.484176635742188,20.375,20.375,20.25,20.375,153200
1995-03-14,9.51326847076416,20.4375,20.8125,20.375,20.375,121600
1995-03-15,9.42599105834961,20.25,20.4375,20.25,20.375,72200
1995-03-16,9.42599105834961,20.25,20.3125,20.1875,20.25,77600
1995-03-17,9.309621810913086,20.0,20.25,19.9375,20.25,283800
1995-03-20,9.251436233520508,19.875,20.1875,19.8125,20.1875,201400
1995-03-21,9.164159774780272,19.6875,20.0,19.625,19.8125,209800
1995-03-22,9.13506031036377,19.625,19.9375,19.625,19.75,319200
1995-03-23,9.13506031036377,19.625,19.6875,19.5625,19.625,37800
1995-03-24,9.13506031036377,19.625,19.625,19.3125,19.5625,149600
1995-03-27,9.367806434631348,20.125,20.125,19.625,19.625,161400
1995-03-28,9.251436233520508,19.875,20.0625,19.8125,20.0625,114000
1995-03-29,9.280529975891112,19.9375,20.4375,19.9375,19.9375,139400
1995-03-30,9.193249702453612,19.75,20.0625,19.75,20.0625,231800
1995-03-31,9.164159774780272,19.6875,20.0,19.6875,19.8125,222800
1995-04-03,9.309621810913086,20.0,20.0,19.875,19.9375,85400
1995-04-04,9.542362213134766,20.5,20.5,19.9375,19.9375,136200
1995-04-05,9.658729553222656,20.75,20.75,20.3125,20.375,140200
1995-04-06,9.687823295593262,20.8125,20.8125,20.625,20.625,109400
1995-04-07,9.687823295593262,20.8125,20.875,20.71875,20.8125,99400
1995-04-10,9.658729553222656,20.75,20.8125,20.6875,20.75,63400
1995-04-11,9.658729553222656,20.75,20.84375,20.6875,20.75,102800
1995-04-12,9.687823295593262,20.8125,20.8125,20.6875,20.75,41200
1995-04-13,9.7169189453125,20.875,20.875,20.75,20.8125,51800
1995-04-17,9.658729553222656,20.75,20.9375,20.75,20.875,116000
1995-04-18,9.658729553222656,20.75,20.8125,20.75,20.8125,24600
1995-04-19,9.57144832611084,20.5625,20.8125,20.5,20.8125,243000
1995-04-20,9.484176635742188,20.375,20.5625,20.375,20.5,164800
1995-04-21,9.338715553283691,20.0625,20.4375,20.0625,20.4375,168800
1995-04-24,9.396899223327637,20.1875,20.3125,20.1875,20.25,87000
1995-04-25,9.42599105834961,20.25,20.3125,19.9375,20.0,193400
1995-04-26,9.455083847045898,20.3125,20.4375,20.125,20.3125,85600
1995-04-27,9.367806434631348,20.125,20.375,20.125,20.25,141200
1995-04-28,9.22234344482422,19.8125,20.125,19.8125,20.125,159800
1995-05-01,9.309621810913086,20.0,20.25,19.75,19.9375,110000
1995-05-02,9.309621810913086,20.0,20.0625,19.9375,20.0,82600
1995-05-03,9.367806434631348,20.125,20.1875,20.0,20.0625,70200
1995-05-04,9.455083847045898,20.3125,20.3125,20.125,20.1875,81200
1995-05-05,9.42599105834961,20.25,20.3125,20.0625,20.25,59000
1995-05-08,9.396899223327637,20.1875,20.25,20.125,20.1875,71400
1995-05-09,9.367806434631348,20.125,20.3125,19.875,20.3125,108200
1995-05-10,9.280529975891112,19.9375,20.1875,19.6875,20.125,88800
1995-05-11,9.309621810913086,20.0,20.0,19.875,19.875,135600
1995-05-12,9.309621810913086,20.0,20.0625,19.9375,20.0,236800
1995-05-15,9.251436233520508,19.875,20.125,19.875,20.0,242400
1995-05-16,9.280529975891112,19.9375,20.0,19.875,20.0,177800
1995-05-17,9.193249702453612,19.75,19.9375,19.6875,19.9375,122400
1995-05-18,8.902324676513672,19.125,19.8125,19.0625,19.8125,138400
1995-05-19,9.018694877624512,19.375,19.375,19.1875,19.25,177000
1995-05-22,9.164159774780272,19.6875,19.75,19.4375,19.625,148600
1995-05-23,9.280529975891112,19.9375,19.9375,19.5625,19.6875,106000
1995-05-24,9.309621810913086,20.0,20.1875,19.875,19.875,519600
1995-05-25,9.251436233520508,19.875,20.0625,19.6875,20.0625,97400
1995-05-26,9.193249702453612,19.75,19.9375,19.6875,19.8125,132200
1995-05-30,9.22234344482422,19.8125,19.9375,19.6875,19.875,95000
1995-05-31,9.309621810913086,20.0,20.0,19.75,19.75,102400
1995-06-01,9.338715553283691,20.0625,20.0625,19.8125,19.875,86800
1995-06-02,9.164159774780272,19.6875,20.25,19.625,20.0,81800
1995-06-05,9.455083847045898,20.3125,20.5,19.75,19.75,220000
1995-06-06,9.57144832611084,20.5625,20.5625,20.125,20.125,153200
1995-06-07,9.455083847045898,20.3125,20.8125,20.1875,20.375,170600
1995-06-08,9.478560447692873,20.1875,20.25,20.125,20.125,67000
1995-06-09,9.390527725219728,20.0,20.125,19.875,20.125,240000
1995-06-12,9.537250518798828,20.3125,20.375,20.0,20.0,63000
1995-06-13,9.507905006408691,20.25,20.4375,20.0625,20.375,173800
1995-06-14,9.478560447692873,20.1875,20.25,20.125,20.25,72400
1995-06-15,8.921000480651855,19.0,19.125,18.375,18.5,881000
1995-06-16,8.803611755371094,18.75,18.9375,18.5,18.9375,868000
1995-06-19,8.921000480651855,19.0,19.1875,18.75,18.75,236400
1995-06-20,8.950345039367676,19.0625,19.125,18.9375,18.9375,86000
1995-06-21,8.832962989807129,18.8125,18.875,18.5625,18.875,364200
1995-06-22,8.950345039367676,19.0625,19.125,18.75,18.75,167200
1995-06-23,8.832962989807129,18.8125,19.0625,18.625,19.0625,67800
1995-06-26,8.686237335205078,18.5,18.8125,18.4375,18.75,115000
1995-06-27,8.832962989807129,18.8125,19.375,18.4375,18.5625,233400
1995-06-28,8.65688705444336,18.4375,19.125,18.3125,18.8125,1345600
1995-06-29,8.65688705444336,18.4375,18.625,18.3125,18.5,283000
1995-06-30,8.891651153564453,18.9375,18.9375,18.4375,18.5625,177800
1995-07-03,8.891651153564453,18.9375,19.0625,18.8125,18.875,48600
1995-07-05,8.921000480651855,19.0,19.1875,18.75,18.8125,106000
1995-07-06,9.038381576538086,19.25,19.25,18.875,19.0625,119600
1995-07-07,9.27314281463623,19.75,19.75,19.25,19.375,528200
1995-07-10,9.41986846923828,20.0625,20.0625,19.6875,19.6875,159600
1995-07-11,9.41986846923828,20.0625,20.125,19.875,19.9375,166000
1995-07-12,9.243793487548828,19.6875,20.0,19.6875,19.9375,76200
1995-07-13,9.097068786621094,19.375,19.5625,19.375,19.5,102800
1995-07-14,9.097068786621094,19.375,19.4375,19.25,19.3125,87800
1995-07-17,9.067726135253906,19.3125,19.375,19.1875,19.375,84800
1995-07-18,9.038381576538086,19.25,19.5,19.125,19.125,92200
1995-07-19,8.921000480651855,19.0,19.1875,18.625,19.0,151400
1995-07-20,9.126418113708496,19.4375,19.4375,18.8125,18.875,235200
1995-07-21,9.449216842651367,20.125,20.1875,19.75,19.75,457800
1995-07-24,9.361178398132324,19.9375,20.125,19.8125,20.0625,181000
1995-07-25,9.331831932067873,19.875,19.9375,19.8125,19.875,172400
1995-07-26,9.331831932067873,19.875,19.9375,19.8125,19.8125,71800
1995-07-27,9.390527725219728,20.0,20.0,19.875,19.875,55400
1995-07-28,9.30248737335205,19.8125,19.9375,19.8125,19.9375,37200
1995-07-31,9.30248737335205,19.8125,19.875,19.75,19.8125,64400
1995-08-01,9.41986846923828,20.0625,20.0625,19.875,19.875,101400
1995-08-02,9.41986846923828,20.0625,20.25,20.0625,20.0625,101400
1995-08-03,9.41986846923828,20.0625,20.125,20.0,20.0,123600
1995-08-04,9.361178398132324,19.9375,20.125,19.9375,20.125,133200
1995-08-07,9.478560447692873,20.1875,20.1875,20.0,20.0625,98000
1995-08-08,9.449216842651367,20.125,20.3125,20.0625,20.1875,125000
1995-08-09,9.41986846923828,20.0625,20.25,20.0,20.1875,102200
1995-08-10,9.361178398132324,19.9375,20.1875,19.875,20.125,190600
1995-08-11,9.449216842651367,20.125,20.25,19.875,20.0,225400
1995-08-14,9.449216842651367,20.125,20.1875,19.9375,20.125,241000
1995-08-15,9.478560447692873,20.1875,20.1875,20.0625,20.1875,209200
1995-08-16,9.390527725219728,20.0,20.125,19.9375,20.125,152200
1995-08-17,9.41986846923828,20.0625,20.125,19.9375,20.0,522800
1995-08-18,9.537250518798828,20.3125,20.375,20.125,20.125,279400
1995-08-21,9.977434158325195,21.25,21.25,20.4375,20.4375,428200
1995-08-22,10.0067777633667,21.3125,21.5625,21.1875,21.25,603200
1995-08-23,9.977434158325195,21.25,21.4375,21.25,21.3125,245800
1995-08-24,10.212197303771973,21.75,22.0,21.25,21.25,301200
1995-08-25,10.270889282226562,21.875,22.0,21.6875,21.75,275600
1995-08-28,10.270889282226562,21.875,21.9375,21.875,21.9375,145400
1995-08-29,10.47630786895752,22.3125,22.4375,22.0,22.0,531600
1995-08-30,10.388264656066896,22.125,22.3125,22.125,22.3125,225200
1995-08-31,10.388264656066896,22.125,22.375,22.125,22.1875,334400
1995-09-01,10.47630786895752,22.3125,22.375,22.0625,22.0625,91200
1995-09-05,10.564336776733398,22.5,22.5,22.1875,22.25,205000
1995-09-06,10.564336776733398,22.5,22.875,22.375,22.5,213800
1995-09-07,10.501627922058104,22.1875,22.4375,22.1875,22.3125,51000
1995-09-08,10.708694458007812,22.625,22.6875,22.3125,22.3125,160400
1995-09-11,10.82702922821045,22.875,23.3125,22.625,22.6875,225200
1995-09-12,10.472041130065918,22.125,22.875,22.0625,22.875,308800
1995-09-13,10.590377807617188,22.375,22.4375,22.0625,22.0625,236800
1995-09-14,10.679118156433104,22.5625,22.9375,22.375,22.625,236200
1995-09-15,10.738277435302734,22.6875,22.9375,22.6875,22.9375,223600
1995-09-18,10.649531364440918,22.5,22.8125,22.375,22.625,54600
1995-09-19,10.560792922973633,22.3125,22.375,21.9375,22.375,212800
1995-09-20,10.531206130981444,22.25,22.4375,22.25,22.3125,93200
1995-09-21,10.442460060119627,22.0625,22.25,22.0,22.25,232600
1995-09-22,10.353718757629396,21.875,22.125,21.875,22.0,267000
1995-09-25,10.383299827575684,21.9375,21.9375,21.6875,21.875,49200
1995-09-26,10.176220893859863,21.5,21.875,21.25,21.875,394600
1995-09-27,10.117056846618652,21.375,21.375,21.25,21.375,230000
1995-09-28,10.235384941101074,21.625,21.6875,21.3125,21.375,213000
1995-09-29,10.264968872070312,21.6875,21.9375,21.5625,21.625,118200
1995-10-02,10.353718757629396,21.875,21.875,21.5,21.6875,113000
1995-10-03,10.294554710388184,21.75,22.125,21.6875,21.875,176000
1995-10-04,10.205804824829102,21.5625,21.8125,21.5,21.8125,42400
1995-10-05,10.353718757629396,21.875,21.875,21.5625,21.5625,82600
1995-10-06,10.945353507995604,23.125,23.1875,21.875,21.875,569600
1995-10-09,10.708694458007812,22.625,23.875,22.625,23.625,571000
1995-10-10,10.738277435302734,22.6875,22.8125,22.375,22.625,607800
1995-10-11,10.945353507995604,23.125,23.125,22.625,22.625,771200
1995-10-12,11.182016372680664,23.625,23.75,23.125,23.125,200200
1995-10-13,10.85661506652832,22.9375,23.625,22.875,23.5625,88800
1995-10-16,11.063687324523926,23.375,23.5,23.25,23.25,317400
1995-10-17,11.270755767822266,23.8125,23.875,23.25,23.4375,182200
1995-10-18,11.182016372680664,23.625,24.75,23.5625,23.6875,455800
1995-10-19,11.034099578857422,23.3125,23.5625,23.1875,23.5625,295800
1995-10-20,10.886191368103027,23.0,23.3125,22.9375,23.3125,380800
1995-10-23,10.945353507995604,23.125,23.375,22.875,23.0,109200
1995-10-24,10.82702922821045,22.875,23.1875,22.8125,23.1875,102000
1995-10-25,10.886191368103027,23.0,23.25,22.875,23.0,375200
1995-10-26,10.886191368103027,23.0,23.1875,22.875,23.0,390800
1995-10-27,11.182016372680664,23.625,23.625,22.8125,22.875,399400
1995-10-30,11.241174697875977,23.75,23.75,23.5,23.5625,113600
1995-10-31,11.300335884094238,23.875,24.5625,23.8125,23.8125,197400
1995-11-01,11.270755767822266,23.8125,24.0625,23.8125,23.9375,155600
1995-11-02,11.32992458343506,23.9375,24.125,23.75,23.9375,198200
