Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MO,MO,MO,MO,MO,MO
Date,,,,,,
1995-01-03,0.8506075143814087,19.20833206176757,19.33333206176757,19.041667938232425,19.166667938232425,3729900
1995-01-04,0.86905837059021,19.625,19.70833206176757,19.375,19.416667938232425,7878600
1995-01-05,0.8487622141838074,19.166667938232425,19.625,19.041667938232425,19.58333206176757,9940200
1995-01-06,0.8487622141838074,19.166667938232425,19.291667938232425,19.0,19.25,5511000
1995-01-09,0.8450719118118286,19.08333206176757,19.20833206176757,19.041667938232425,19.125,2875800
1995-01-10,0.8469173312187195,19.125,19.166667938232425,19.0,19.125,5844000
1995-01-11,0.8376913666725159,18.916667938232425,19.166667938232425,18.875,19.166667938232425,6196200
1995-01-12,0.8321560621261597,18.791667938232425,18.95833206176757,18.70833206176757,18.95833206176757,4777500
1995-01-13,0.8542978763580322,19.291667938232425,19.291667938232425,18.58333206176757,18.791667938232425,7043100
1995-01-16,0.8542978763580322,19.291667938232425,19.33333206176757,19.08333206176757,19.291667938232425,3481800
1995-01-17,0.8506075143814087,19.20833206176757,19.25,19.041667938232425,19.25,2979000
1995-01-18,0.8506075143814087,19.20833206176757,19.20833206176757,19.0,19.125,3329400
1995-01-19,0.8358464241027832,18.875,19.166667938232425,18.70833206176757,19.125,3884700
1995-01-20,0.8413816690444946,19.0,19.08333206176757,18.75,18.83333206176757,6732900
1995-01-23,0.8653684258460999,19.541667938232425,19.541667938232425,18.83333206176757,18.916667938232425,5282400
1995-01-24,0.8598329424858093,19.416667938232425,19.5,19.291667938232425,19.5,3200400
1995-01-25,0.8616780042648315,19.45833206176757,19.791667938232425,19.375,19.416667938232425,5943600
1995-01-26,0.8727490305900574,19.70833206176757,19.70833206176757,19.5,19.58333206176757,6910800
1995-01-27,0.8948909640312195,20.20833206176757,20.416667938232425,19.75,19.791667938232425,10522500
1995-01-30,0.8819746971130371,19.916667938232425,20.125,19.83333206176757,19.95833206176757,3958800
1995-01-31,0.8819746971130371,19.916667938232425,20.08333206176757,19.875,19.95833206176757,4428900
1995-02-01,0.8893553614616394,20.08333206176757,20.166667938232425,19.916667938232425,20.0,4223100
1995-02-02,0.8930452466011047,20.166667938232425,20.166667938232425,19.875,20.0,3857700
1995-02-03,0.8967358469963074,20.25,20.45833206176757,19.875,20.166667938232425,10836900
1995-02-06,0.904116153717041,20.416667938232425,20.5,20.20833206176757,20.20833206176757,5330700
1995-02-07,0.9059607982635498,20.45833206176757,20.541667938232425,20.375,20.375,4342200
1995-02-08,0.9059607982635498,20.45833206176757,20.625,20.375,20.375,3957600
1995-02-09,0.8948909640312195,20.20833206176757,20.5,20.20833206176757,20.45833206176757,3364500
1995-02-10,0.904116153717041,20.416667938232425,20.5,20.25,20.291667938232425,4551900
1995-02-13,0.9059607982635498,20.45833206176757,20.5,20.375,20.416667938232425,2837700
1995-02-14,0.9151874780654908,20.666667938232425,20.666667938232425,20.416667938232425,20.45833206176757,5353200
1995-02-15,0.9004262089729309,20.33333206176757,20.666667938232425,20.25,20.666667938232425,5565000
1995-02-16,0.91149640083313,20.58333206176757,20.58333206176757,20.291667938232425,20.33333206176757,5292300
1995-02-17,0.8893553614616394,20.08333206176757,20.541667938232425,19.95833206176757,20.541667938232425,11653500
1995-02-21,0.8542978763580322,19.291667938232425,19.75,19.25,19.625,17827800
1995-02-22,0.8598329424858093,19.416667938232425,19.58333206176757,19.166667938232425,19.20833206176757,10273200
1995-02-23,0.8782840967178345,19.83333206176757,20.041667938232425,19.75,19.916667938232425,10116300
1995-02-24,0.8967358469963074,20.25,20.291667938232425,19.70833206176757,19.791667938232425,7254900
1995-02-27,0.8930452466011047,20.166667938232425,20.25,20.0,20.166667938232425,5422800
1995-02-28,0.8967358469963074,20.25,20.25,19.95833206176757,20.041667938232425,4992900
1995-03-01,0.8985809683799744,20.291667938232425,20.375,20.08333206176757,20.25,4984800
1995-03-02,0.9004262089729309,20.33333206176757,20.416667938232425,20.08333206176757,20.33333206176757,4699800
1995-03-03,0.9151874780654908,20.666667938232425,20.70833206176757,20.375,20.52083206176757,9102900
1995-03-06,0.9336379170417786,21.08333206176757,21.25,20.416667938232425,20.5,9999300
1995-03-07,0.9281028509140016,20.95833206176757,21.416667938232425,20.875,21.166667938232425,11019600
1995-03-08,0.9317932724952698,21.041667938232425,21.20833206176757,20.916667938232425,21.041667938232425,6964500
1995-03-09,0.9358704090118408,21.041667938232425,21.125,20.70833206176757,20.75,5089500
1995-03-10,0.9395769238471984,21.125,21.25,21.0,21.0,5077200
1995-03-13,0.9377231597900392,21.08333206176757,21.291667938232425,21.08333206176757,21.08333206176757,4879500
1995-03-14,0.9451366066932678,21.25,21.33333206176757,21.20833206176757,21.20833206176757,6772500
1995-03-15,0.9506961703300476,21.375,21.45833206176757,21.166667938232425,21.25,7832700
1995-03-16,0.9395769238471984,21.125,21.375,21.08333206176757,21.25,7089600
1995-03-17,0.9451366066932678,21.25,21.291667938232425,21.08333206176757,21.125,9145500
1995-03-20,0.9877603054046632,22.20833206176757,22.291667938232425,21.541667938232425,21.666667938232425,16643400
1995-03-21,0.991466760635376,22.291667938232425,22.666667938232425,22.08333206176757,22.125,13813800
1995-03-22,0.9877603054046632,22.20833206176757,22.291667938232425,21.916667938232425,22.25,8112300
1995-03-23,0.9859071373939514,22.166667938232425,22.25,22.0,22.08333206176757,5512500
1995-03-24,0.9933197498321532,22.33333206176757,22.5,22.20833206176757,22.20833206176757,6726000
1995-03-27,1.0007325410842896,22.5,22.541667938232425,22.375,22.375,5036700
1995-03-28,1.0025861263275146,22.541667938232425,22.541667938232425,22.416667938232425,22.45833206176757,4518600
1995-03-29,0.9933197498321532,22.33333206176757,22.541667938232425,22.166667938232425,22.375,5990400
1995-03-30,0.97849440574646,22.0,22.291667938232425,21.95833206176757,22.25,5665200
1995-03-31,0.9692281484603882,21.791667938232425,21.95833206176757,21.5,21.791667938232425,8805900
1995-04-03,0.9840540885925292,22.125,22.166667938232425,21.75,21.75,4245600
1995-04-04,0.9951736927032472,22.375,22.45833206176757,22.166667938232425,22.20833206176757,6013800
1995-04-05,0.9933197498321532,22.33333206176757,22.625,22.33333206176757,22.33333206176757,5782200
1995-04-06,1.0007325410842896,22.5,22.5,22.33333206176757,22.416667938232425,3309300
1995-04-07,0.998879075050354,22.45833206176757,22.70833206176757,22.291667938232425,22.45833206176757,6855600
1995-04-10,1.0081459283828735,22.666667938232425,22.916667938232425,22.375,22.416667938232425,7792500
1995-04-11,1.006292462348938,22.625,22.791667938232425,22.58333206176757,22.70833206176757,4005300
1995-04-12,1.0025861263275146,22.541667938232425,22.625,22.33333206176757,22.625,5127600
1995-04-13,1.0044389963150024,22.58333206176757,22.70833206176757,22.416667938232425,22.5,3861000
1995-04-17,1.0007325410842896,22.5,22.916667938232425,22.416667938232425,22.75,5283900
1995-04-18,0.98961341381073,22.25,22.58333206176757,22.166667938232425,22.5,6469200
1995-04-19,0.9951736927032472,22.375,22.58333206176757,22.291667938232425,22.45833206176757,6368400
1995-04-20,0.991466760635376,22.291667938232425,22.33333206176757,22.20833206176757,22.291667938232425,6098400
1995-04-21,0.9970264434814452,22.416667938232425,22.58333206176757,22.291667938232425,22.375,5610300
1995-04-24,1.0044389963150024,22.58333206176757,22.64583206176757,22.375,22.45833206176757,4307100
1995-04-25,1.0137050151824951,22.791667938232425,22.95833206176757,22.541667938232425,22.625,6309000
1995-04-26,1.0044389963150024,22.58333206176757,22.75,22.58333206176757,22.75,3734100
1995-04-27,1.0025861263275146,22.541667938232425,22.70833206176757,22.5,22.625,3854400
1995-04-28,1.0044389963150024,22.58333206176757,22.70833206176757,22.5,22.70833206176757,3780000
1995-05-01,1.024824619293213,23.041667938232425,23.08333206176757,22.58333206176757,22.666667938232425,6282600
1995-05-02,1.0359437465667725,23.291667938232425,23.416667938232425,23.0,23.0,8723100
1995-05-03,1.0767146348953247,24.20833206176757,24.375,23.20833206176757,23.291667938232425,13542300
1995-05-04,1.0470629930496216,23.541667938232425,24.20833206176757,23.5,24.08333206176757,10072200
1995-05-05,1.0600345134735107,23.83333206176757,23.95833206176757,23.58333206176757,23.666667938232425,7310700
1995-05-08,1.056329369544983,23.75,24.041667938232425,23.75,23.791667938232425,5185200
1995-05-09,1.0618886947631836,23.875,23.916667938232425,23.666667938232425,23.75,5676900
1995-05-10,1.0637426376342771,23.916667938232425,24.0,23.625,23.916667938232425,6058800
1995-05-11,1.0600345134735107,23.83333206176757,23.916667938232425,23.625,23.791667938232425,4970700
1995-05-12,1.0415035486221311,23.416667938232425,23.75,23.416667938232425,23.625,5026200
1995-05-15,1.050769567489624,23.625,23.791667938232425,23.166667938232425,23.291667938232425,8961000
1995-05-16,1.0452097654342651,23.5,23.791667938232425,23.5,23.625,5706600
1995-05-17,1.0396502017974854,23.375,23.541667938232425,23.33333206176757,23.45833206176757,3515400
1995-05-18,1.0137050151824951,22.791667938232425,23.291667938232425,22.791667938232425,23.291667938232425,7610100
1995-05-19,1.0266772508621216,23.08333206176757,23.291667938232425,22.70833206176757,22.70833206176757,6442200
1995-05-22,1.0303839445114136,23.166667938232425,23.33333206176757,23.0,23.041667938232425,3902100
1995-05-23,1.0489163398742676,23.58333206176757,23.666667938232425,23.08333206176757,23.166667938232425,6684900
1995-05-24,1.0581823587417605,23.791667938232425,24.0,23.58333206176757,23.666667938232425,6435000
1995-05-25,1.0655947923660278,23.95833206176757,24.041667938232425,23.58333206176757,23.75,4973400
1995-05-26,1.0359437465667725,23.291667938232425,23.916667938232425,23.20833206176757,23.916667938232425,6858600
1995-05-30,1.0489163398742676,23.58333206176757,23.791667938232425,23.291667938232425,23.291667938232425,7028400
1995-05-31,1.080420970916748,24.291667938232425,24.291667938232425,23.58333206176757,23.625,6063000
1995-06-01,1.080420970916748,24.291667938232425,24.291667938232425,24.041667938232425,24.166667938232425,6296400
1995-06-02,1.0952458381652832,24.625,24.625,24.166667938232425,24.291667938232425,8446200
1995-06-05,1.0896873474121094,24.5,24.625,24.45833206176757,24.5,4729800
1995-06-06,1.091539740562439,24.541667938232425,24.70833206176757,24.416667938232425,24.5,7596600
1995-06-07,1.0822741985321045,24.33333206176757,24.541667938232425,24.291667938232425,24.45833206176757,4467000
1995-06-08,1.0600345134735107,23.83333206176757,24.08333206176757,23.625,24.0,9615600
1995-06-09,1.0415035486221311,23.416667938232425,23.70833206176757,23.20833206176757,23.58333206176757,10561500
1995-06-12,1.0526227951049805,23.666667938232425,23.75,23.416667938232425,23.45833206176757,7654500
1995-06-13,1.0518722534179688,23.375,23.58333206176757,23.33333206176757,23.58333206176757,5341800
1995-06-14,1.0631229877471924,23.625,23.916667938232425,23.375,23.375,5488500
1995-06-15,1.091247797012329,24.25,24.45833206176757,23.791667938232425,23.875,9103500
1995-06-16,1.1062473058700562,24.58333206176757,24.875,24.166667938232425,24.25,13200300
1995-06-19,1.1174970865249634,24.83333206176757,24.875,24.416667938232425,24.45833206176757,5330400
1995-06-20,1.1212475299835205,24.916667938232425,24.95833206176757,24.58333206176757,24.666667938232425,6291300
1995-06-21,1.1193722486495972,24.875,25.08333206176757,24.875,24.95833206176757,7195500
1995-06-22,1.1418726444244385,25.375,25.541667938232425,24.875,24.916667938232425,6431400
1995-06-23,1.1343730688095093,25.20833206176757,25.291667938232425,25.125,25.20833206176757,3576900
1995-06-26,1.1193722486495972,24.875,25.166667938232425,24.875,25.08333206176757,4360500
1995-06-27,1.1174970865249634,24.83333206176757,25.125,24.75,24.875,5571900
1995-06-28,1.1193722486495972,24.875,25.08333206176757,24.791667938232425,24.916667938232425,5663100
1995-06-29,1.1099982261657717,24.666667938232425,25.041667938232425,24.58333206176757,24.83333206176757,4840500
1995-06-30,1.1156224012374878,24.791667938232425,24.916667938232425,24.70833206176757,24.75,4191000
1995-07-03,1.1174970865249634,24.83333206176757,24.875,24.70833206176757,24.70833206176757,1380600
1995-07-05,1.1249982118606567,25.0,25.125,24.791667938232425,24.83333206176757,3528000
1995-07-06,1.1399972438812256,25.33333206176757,25.375,24.95833206176757,25.166667938232425,4203600
1995-07-07,1.1493728160858154,25.541667938232425,25.58333206176757,25.166667938232425,25.25,6156300
