Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MCO,MCO,MCO,MCO,MCO,MCO
Date,,,,,,
1995-01-03,6.076490879058838,7.75,7.8125,7.6875,7.8125,1064200
1995-01-04,6.027486324310303,7.6875,7.8125,7.625,7.75,1751600
1995-01-05,6.076490879058838,7.75,7.75,7.625,7.6875,1600200
1995-01-06,6.027486324310303,7.6875,7.8125,7.6875,7.75,2230600
1995-01-09,6.027486324310303,7.6875,7.75,7.625,7.6875,2108800
1995-01-10,6.027486324310303,7.6875,7.75,7.6875,7.6875,1580600
1995-01-11,5.978484153747559,7.625,7.6875,7.5625,7.6875,3488600
1995-01-12,5.880475521087647,7.5,7.5625,7.5,7.5625,1875600
1995-01-13,5.929478168487549,7.5625,7.5625,7.5625,7.5625,2206600
1995-01-16,5.978484153747559,7.625,7.625,7.5625,7.5625,3502000
1995-01-17,5.978484153747559,7.625,7.6875,7.625,7.625,1322800
1995-01-18,5.929478168487549,7.5625,7.625,7.5625,7.625,2150400
1995-01-19,5.880475521087647,7.5,7.5,7.4375,7.5,3214600
1995-01-20,5.880475521087647,7.5,7.5625,7.4375,7.5,2263800
1995-01-23,5.929478168487549,7.5625,7.5625,7.4375,7.5,4176200
1995-01-24,5.929478168487549,7.5625,7.625,7.5,7.5625,1362800
1995-01-25,5.978484153747559,7.625,7.625,7.5625,7.5625,2840000
1995-01-26,5.537446022033691,7.0625,7.125,6.875,7.125,14524000
1995-01-27,5.439439296722412,6.9375,7.125,6.9375,7.0625,7288800
1995-01-30,5.488443851470947,7.0,7.0,6.9375,6.9375,3881000
1995-01-31,5.537446022033691,7.0625,7.0625,7.0,7.0,2975200
1995-02-01,5.439439296722412,6.9375,7.0625,6.875,7.0625,2668000
1995-02-02,5.439439296722412,6.9375,7.0,6.875,6.9375,1846800
1995-02-03,5.537446022033691,7.0625,7.0625,6.9375,6.9375,3790800
1995-02-06,5.537446022033691,7.0625,7.125,7.0,7.0625,2963200
1995-02-07,5.635454654693604,7.1875,7.1875,7.125,7.125,2994800
1995-02-08,5.635454654693604,7.1875,7.3125,7.125,7.1875,3764800
1995-02-09,5.684457778930664,7.25,7.25,7.0625,7.1875,1978400
1995-02-10,5.635454654693604,7.1875,7.25,7.1875,7.25,1724200
1995-02-13,5.586450576782227,7.125,7.1875,7.125,7.1875,1560000
1995-02-14,5.586450576782227,7.125,7.1875,7.0625,7.125,1967200
1995-02-15,5.635454654693604,7.1875,7.1875,7.125,7.125,1822800
1995-02-16,5.635454654693604,7.1875,7.1875,7.125,7.1875,1477000
1995-02-17,5.684457778930664,7.25,7.3125,7.1875,7.1875,3836600
1995-02-21,5.635454654693604,7.1875,7.3125,7.1875,7.25,2169400
1995-02-22,5.635454654693604,7.1875,7.1875,7.125,7.1875,1879800
1995-02-23,5.635454654693604,7.1875,7.25,7.125,7.1875,1599600
1995-02-24,5.684457778930664,7.25,7.25,7.1875,7.1875,1129800
1995-02-27,5.684457778930664,7.25,7.25,7.1875,7.25,910000
1995-02-28,5.733462333679199,7.3125,7.3125,7.1875,7.25,2920200
1995-03-01,5.831470966339111,7.4375,7.4375,7.3125,7.3125,8590400
1995-03-02,5.880475521087647,7.5,7.5,7.375,7.4375,2482800
1995-03-03,5.880475521087647,7.5,7.5625,7.4375,7.5,3257600
1995-03-06,5.831470966339111,7.4375,7.5,7.4375,7.5,1734000
1995-03-07,5.831470966339111,7.4375,7.4375,7.25,7.4375,1985600
1995-03-08,5.831470966339111,7.4375,7.5,7.4375,7.4375,882400
1995-03-09,5.831470966339111,7.4375,7.4375,7.375,7.4375,817000
1995-03-10,5.880475521087647,7.5,7.5,7.375,7.4375,3922600
1995-03-13,5.929478168487549,7.5625,7.5625,7.4375,7.5,2940000
1995-03-14,5.978484153747559,7.625,7.625,7.5625,7.5625,4782600
1995-03-15,5.929478168487549,7.5625,7.625,7.5,7.625,1994000
1995-03-16,5.929478168487549,7.5625,7.5625,7.5,7.5625,1515600
1995-03-17,5.880475521087647,7.5,7.5625,7.5,7.5625,3842200
1995-03-20,5.929478168487549,7.5625,7.5625,7.5,7.5,979000
1995-03-21,5.880475521087647,7.5,7.5625,7.5,7.5625,1926400
1995-03-22,5.880475521087647,7.5,7.5,7.4375,7.5,1438200
1995-03-23,5.929478168487549,7.5625,7.5625,7.4375,7.5,3240000
1995-03-24,5.880475521087647,7.5,7.5625,7.5,7.5625,2071400
1995-03-27,5.831470966339111,7.4375,7.5625,7.4375,7.5,1257800
1995-03-28,5.831470966339111,7.4375,7.5,7.4375,7.4375,1196600
1995-03-29,5.831470966339111,7.4375,7.5,7.375,7.4375,2455400
1995-03-30,5.880475521087647,7.5,7.5,7.4375,7.4375,1952400
1995-03-31,5.831470966339111,7.4375,7.4375,7.375,7.4375,1996000
1995-04-03,5.831470966339111,7.4375,7.5,7.4375,7.4375,1124800
1995-04-04,5.978484153747559,7.625,7.625,7.5,7.5,2177800
1995-04-05,5.880475521087647,7.5,7.625,7.5,7.625,2121400
1995-04-06,5.880475521087647,7.5,7.5625,7.5,7.5,1588200
1995-04-07,5.978484153747559,7.625,7.625,7.5,7.5,1843200
1995-04-10,5.929478168487549,7.5625,7.625,7.5625,7.625,793000
1995-04-11,5.880475521087647,7.5,7.625,7.4375,7.5625,2031400
1995-04-12,5.880475521087647,7.5,7.5625,7.4375,7.5,1231800
1995-04-13,5.831470966339111,7.4375,7.5625,7.4375,7.5,1084600
1995-04-17,5.831470966339111,7.4375,7.5625,7.375,7.4375,1362200
1995-04-18,5.782467365264893,7.375,7.5625,7.375,7.4375,1723400
1995-04-19,5.635454654693604,7.1875,7.4375,7.125,7.375,3671000
1995-04-20,5.635454654693604,7.1875,7.25,7.1875,7.1875,3837400
1995-04-21,5.733462333679199,7.3125,7.375,7.1875,7.1875,3236400
1995-04-24,5.831470966339111,7.4375,7.4375,7.3125,7.3125,1803800
1995-04-25,5.782467365264893,7.375,7.375,7.3125,7.375,1702400
1995-04-26,5.831470966339111,7.4375,7.4375,7.3125,7.375,3831000
1995-04-27,5.782467365264893,7.375,7.375,7.3125,7.375,2932200
1995-04-28,5.782467365264893,7.375,7.375,7.3125,7.375,2072800
1995-05-01,5.782467365264893,7.375,7.4375,7.3125,7.375,2258200
1995-05-02,5.782467365264893,7.375,7.4375,7.3125,7.375,2088400
1995-05-03,5.831470966339111,7.4375,7.4375,7.375,7.375,1419200
1995-05-04,5.880475521087647,7.5,7.5,7.4375,7.4375,2292000
1995-05-05,5.880475521087647,7.5,7.5625,7.4375,7.5,1889800
1995-05-08,5.978484153747559,7.625,7.625,7.5,7.5,2458200
1995-05-09,5.978484153747559,7.625,7.6875,7.625,7.625,1856000
1995-05-10,6.027486324310303,7.6875,7.6875,7.625,7.625,1803000
1995-05-11,6.125494480133057,7.8125,7.875,7.6875,7.6875,2626400
1995-05-12,6.125494480133057,7.8125,7.8125,7.75,7.8125,1720600
1995-05-15,5.978484153747559,7.625,7.6875,7.625,7.6875,1808000
1995-05-16,6.027486324310303,7.6875,7.6875,7.625,7.625,1727000
1995-05-17,6.027486324310303,7.6875,7.6875,7.625,7.6875,4402200
1995-05-18,5.929478168487549,7.5625,7.6875,7.5625,7.6875,2615200
1995-05-19,5.929478168487549,7.5625,7.5625,7.5,7.5625,2234200
1995-05-22,5.929478168487549,7.5625,7.625,7.5625,7.5625,2023600
1995-05-23,6.027486324310303,7.6875,7.6875,7.625,7.625,1925600
1995-05-24,5.978484153747559,7.625,7.6875,7.625,7.6875,2088400
1995-05-25,5.929478168487549,7.5625,7.5625,7.5,7.5625,1848200
1995-05-26,5.880475521087647,7.5,7.5625,7.4375,7.5625,2527800
1995-05-30,5.880475521087647,7.5,7.5625,7.4375,7.5,3125800
1995-05-31,5.880475521087647,7.5,7.5,7.4375,7.5,4049400
1995-06-01,5.880475521087647,7.5,7.5625,7.5,7.5,2725000
1995-06-02,5.831470966339111,7.4375,7.5625,7.4375,7.5,2446800
1995-06-05,5.880475521087647,7.5,7.5,7.4375,7.4375,2436400
1995-06-06,5.880475521087647,7.5,7.5,7.4375,7.5,2003200
1995-06-07,5.880475521087647,7.5,7.5,7.4375,7.5,1657200
1995-06-08,5.880475521087647,7.5,7.5,7.4375,7.5,1802400
1995-06-09,5.831470966339111,7.4375,7.5,7.4375,7.5,1431800
1995-06-12,5.929478168487549,7.5625,7.5625,7.4375,7.4375,1671400
1995-06-13,5.929478168487549,7.5625,7.625,7.5,7.5625,2206000
1995-06-14,5.929478168487549,7.5625,7.5625,7.4375,7.5625,2990000
1995-06-15,5.978484153747559,7.625,7.6875,7.5625,7.5625,1817200
1995-06-16,5.929478168487549,7.5625,7.625,7.5625,7.625,5215800
1995-06-19,5.978484153747559,7.625,7.625,7.5625,7.5625,2878000
1995-06-20,5.978484153747559,7.625,7.6875,7.625,7.625,5134000
1995-06-21,5.929478168487549,7.5625,7.625,7.5625,7.625,3855000
1995-06-22,6.027486324310303,7.6875,7.75,7.625,7.625,3325200
1995-06-23,6.027486324310303,7.6875,7.6875,7.625,7.6875,1763000
1995-06-26,5.978484153747559,7.625,7.75,7.4375,7.6875,1836200
1995-06-27,5.929478168487549,7.5625,7.625,7.5625,7.625,3102000
1995-06-28,5.831470966339111,7.4375,7.5625,7.4375,7.5625,9012400
1995-06-29,5.831470966339111,7.4375,7.5,7.375,7.4375,2116600
1995-06-30,5.831470966339111,7.4375,7.5,7.4375,7.4375,1262800
1995-07-03,5.831470966339111,7.4375,7.4375,7.375,7.4375,773400
1995-07-05,5.782467365264893,7.375,7.4375,7.375,7.4375,2362400
1995-07-06,5.831470966339111,7.4375,7.4375,7.375,7.375,2627200
1995-07-07,5.880475521087647,7.5,7.5,7.4375,7.4375,4824800
1995-07-10,5.880475521087647,7.5,7.5,7.4375,7.5,1996800
1995-07-11,5.831470966339111,7.4375,7.5,7.4375,7.5,2381400
1995-07-12,5.929478168487549,7.5625,7.5625,7.4375,7.4375,2475800
1995-07-13,5.831470966339111,7.4375,7.5625,7.4375,7.5625,3033000
1995-07-14,5.880475521087647,7.5,7.5,7.4375,7.4375,2504600
1995-07-17,5.831470966339111,7.4375,7.5,7.4375,7.5,2429200
1995-07-18,5.782467365264893,7.375,7.5,7.375,7.4375,3196400
1995-07-19,5.733462333679199,7.3125,7.4375,7.1875,7.375,4355800
1995-07-20,5.880475521087647,7.5,7.5625,7.25,7.3125,3983200
1995-07-21,5.929478168487549,7.5625,7.625,7.4375,7.5,5070000
1995-07-24,6.076490879058838,7.75,7.75,7.5625,7.5625,4729000
1995-07-25,6.17449951171875,7.875,7.875,7.75,7.75,3836600
1995-07-26,6.17449951171875,7.875,7.875,7.8125,7.875,2741200
1995-07-27,6.272507667541504,8.0,8.0,7.8125,7.875,1847400
1995-07-28,6.2235026359558105,7.9375,8.0,7.8125,8.0,1829800
1995-07-31,6.2235026359558105,7.9375,8.0,7.875,7.9375,1581200
1995-08-01,6.2235026359558105,7.9375,8.0,7.875,7.9375,1118400
1995-08-02,6.17449951171875,7.875,8.0,7.875,7.9375,2110200
1995-08-03,6.321508884429932,8.0625,8.0625,7.875,7.875,1941800
1995-08-04,6.272507667541504,8.0,8.0625,7.9375,8.0625,2227800
1995-08-07,6.370516777038574,8.125,8.3125,8.125,8.125,3812000
1995-08-08,6.419520854949951,8.1875,8.1875,8.125,8.125,2995600
1995-08-09,6.419520854949951,8.1875,8.1875,8.125,8.1875,2625000
1995-08-10,6.419520854949951,8.1875,8.25,8.125,8.1875,4285200
1995-08-11,6.419520854949951,8.1875,8.25,8.125,8.1875,1350800
1995-08-14,6.468520641326904,8.25,8.25,8.125,8.1875,1155000
1995-08-15,6.419520854949951,8.1875,8.25,8.125,8.25,1943200
1995-08-16,6.468520641326904,8.25,8.25,8.125,8.1875,3196400
1995-08-17,6.370516777038574,8.125,8.1875,8.125,8.1875,1905200
1995-08-18,6.370516777038574,8.125,8.1875,8.125,8.125,1682000
1995-08-21,6.468520641326904,8.25,8.25,8.1875,8.1875,1839000
1995-08-22,6.419520854949951,8.1875,8.25,8.1875,8.25,2399600
