Price,Adj Close,Close,High,Low,Open,Volume
Ticker,D,D,D,D,D,D
Date,,,,,,
1995-01-03,4.6899003982543945,18.25,18.25,17.875,17.875,365200
1995-01-04,4.673838138580322,18.1875,18.3125,18.125,18.25,462200
1995-01-05,4.6256537437438965,18.0,18.1875,17.9375,18.125,353800
1995-01-06,4.609592914581299,17.9375,18.0625,17.9375,18.0,536800
1995-01-09,4.593531131744385,17.875,18.0,17.875,18.0,376000
1995-01-10,4.593531131744385,17.875,18.0,17.875,17.875,863800
1995-01-11,4.593531131744385,17.875,17.9375,17.75,17.9375,629000
1995-01-12,4.6256537437438965,18.0,18.125,17.875,17.875,692800
1995-01-13,4.641716480255127,18.0625,18.125,18.0,18.125,1078600
1995-01-16,4.6899003982543945,18.25,18.4375,18.125,18.125,381800
1995-01-17,4.75414514541626,18.5,18.5,18.125,18.1875,393600
1995-01-18,4.722021102905273,18.375,18.5,18.3125,18.5,446600
1995-01-19,4.738083362579346,18.4375,18.4375,18.3125,18.3125,785800
1995-01-20,4.705960750579834,18.3125,18.4375,18.25,18.4375,462800
1995-01-23,4.75414514541626,18.5,18.5,18.25,18.3125,498600
1995-01-24,4.786264419555664,18.625,18.625,18.4375,18.4375,522000
1995-01-25,4.802328109741211,18.6875,18.75,18.5625,18.6875,330400
1995-01-26,4.834449291229248,18.8125,18.8125,18.625,18.6875,600200
1995-01-27,4.834449291229248,18.8125,18.8125,18.75,18.8125,466200
1995-01-30,4.834449291229248,18.8125,18.875,18.75,18.8125,265000
1995-01-31,4.898698329925537,19.0625,19.125,18.75,18.8125,783800
1995-02-01,4.866573810577393,18.9375,19.125,18.9375,19.0,433000
1995-02-02,4.882635116577148,19.0,19.0,18.9375,18.9375,732000
1995-02-03,4.979004383087158,19.375,19.4375,19.125,19.125,449600
1995-02-06,5.011126518249512,19.5,19.5625,19.375,19.4375,403400
1995-02-07,4.995064735412598,19.4375,19.5625,19.375,19.5625,365600
1995-02-08,4.946879863739014,19.25,19.5,19.25,19.5,200000
1995-02-09,4.882635116577148,19.0,19.25,18.9375,19.125,324800
1995-02-10,4.882635116577148,19.0,19.0625,18.9375,18.9375,148000
1995-02-13,4.850512504577637,18.875,19.1875,18.875,19.125,561400
1995-02-14,4.834449291229248,18.8125,19.0,18.75,19.0,662200
1995-02-15,4.850512504577637,18.875,18.875,18.75,18.875,794200
1995-02-16,4.898698329925537,19.0625,19.125,18.8125,18.875,519800
1995-02-17,4.882635116577148,19.0,19.125,19.0,19.125,358600
1995-02-21,4.946879863739014,19.25,19.3125,19.0,19.0625,522800
1995-02-22,4.995064735412598,19.4375,19.4375,19.1875,19.25,545600
1995-02-23,4.995064735412598,19.4375,19.625,19.375,19.5625,1917800
1995-02-24,4.916015148162842,18.8125,19.0625,18.8125,18.9375,1434800
1995-02-27,4.916015148162842,18.8125,19.0,18.75,18.875,1071800
1995-02-28,4.965013027191162,19.0,19.0,18.75,18.875,219200
1995-03-01,4.899683952331543,18.75,19.0,18.625,18.9375,672800
1995-03-02,4.8506855964660645,18.5625,18.75,18.4375,18.75,1706200
1995-03-03,4.883351802825928,18.6875,18.6875,18.375,18.5,802200
1995-03-06,4.80169153213501,18.375,18.625,18.25,18.625,1547800
1995-03-07,4.80169153213501,18.375,18.5,18.25,18.3125,439200
1995-03-08,4.785358428955078,18.3125,18.375,18.125,18.3125,605600
1995-03-09,4.736361980438232,18.125,18.3125,18.125,18.25,436400
1995-03-10,4.785358428955078,18.3125,18.4375,18.0,18.1875,446200
1995-03-13,4.752694129943848,18.1875,18.4375,18.1875,18.3125,174800
1995-03-14,4.769026279449463,18.25,18.375,18.1875,18.3125,254800
1995-03-15,4.769026279449463,18.25,18.3125,18.1875,18.3125,123200
1995-03-16,4.752694129943848,18.1875,18.375,18.1875,18.25,228400
1995-03-17,4.736361980438232,18.125,18.1875,18.0625,18.1875,670000
1995-03-20,4.703697204589844,18.0,18.125,17.875,18.0625,411200
1995-03-21,4.671031475067139,17.875,18.0,17.8125,18.0,428400
1995-03-22,4.671031475067139,17.875,17.9375,17.8125,17.875,376200
1995-03-23,4.6873650550842285,17.9375,17.9375,17.75,17.9375,403000
1995-03-24,4.720029830932617,18.0625,18.125,17.9375,18.0,578200
1995-03-27,4.703697204589844,18.0,18.1875,17.9375,18.1875,195000
1995-03-28,4.769026279449463,18.25,18.25,17.9375,18.0,375800
1995-03-29,4.769026279449463,18.25,18.4375,18.0625,18.1875,419400
1995-03-30,4.769026279449463,18.25,18.4375,18.1875,18.375,231600
1995-03-31,4.703697204589844,18.0,18.1875,17.875,18.1875,680200
1995-04-03,4.720029830932617,18.0625,18.125,17.9375,17.9375,296400
1995-04-04,4.80169153213501,18.375,18.375,18.125,18.25,335200
1995-04-05,4.834353446960449,18.5,18.5,18.3125,18.3125,444200
1995-04-06,4.867015838623047,18.625,18.625,18.375,18.5625,423800
1995-04-07,4.80169153213501,18.375,18.625,18.375,18.5625,871400
1995-04-10,4.80169153213501,18.375,18.375,18.1875,18.375,496000
1995-04-11,4.80169153213501,18.375,18.4375,18.25,18.4375,345000
