Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EMN,EMN,EMN,EMN,EMN,EMN
Date,,,,,,
1995-01-03,9.5145845413208,25.1875,25.375,25.0625,25.1875,369000
1995-01-04,9.585408210754396,25.375,25.4375,25.1875,25.4375,167200
1995-01-05,9.561805725097656,25.3125,25.4375,25.125,25.375,139600
1995-01-06,9.845115661621094,26.0625,26.25,25.25,25.25,584600
1995-01-09,9.868721961975098,26.125,26.1875,25.6875,25.6875,209600
1995-01-10,9.986774444580078,26.4375,26.625,26.1875,26.25,706600
1995-01-11,9.915938377380373,26.25,26.4375,26.0625,26.4375,330000
1995-01-12,9.821504592895508,26.0,26.3125,26.0,26.3125,363800
1995-01-13,9.797894477844238,25.9375,26.1875,25.75,26.125,521000
1995-01-16,9.963160514831545,26.375,26.4375,26.0,26.0,432200
1995-01-17,10.104813575744627,26.75,26.75,26.3125,26.375,578400
1995-01-18,10.128421783447266,26.8125,26.9375,26.625,26.75,315600
1995-01-19,10.057602882385254,26.625,26.8125,26.5625,26.6875,491000
1995-01-20,9.915938377380373,26.25,26.625,26.1875,26.5625,481800
1995-01-23,9.868721961975098,26.125,26.375,26.0,26.125,558200
1995-01-24,9.845115661621094,26.0625,26.1875,26.0,26.125,319400
1995-01-25,9.892333030700684,26.1875,26.3125,25.875,26.125,278000
1995-01-26,9.727069854736328,25.75,26.25,25.75,26.25,307200
1995-01-27,9.656240463256836,25.5625,25.75,25.3125,25.6875,436000
1995-01-30,9.254881858825684,24.5,25.625,24.25,25.625,521800
1995-01-31,9.396533966064451,24.875,25.1875,24.5,24.5,512400
1995-02-01,9.5145845413208,25.1875,25.3125,24.875,24.875,475400
1995-02-02,9.538190841674805,25.25,25.25,24.6875,25.125,289000
1995-02-03,9.727069854736328,25.75,25.875,25.4375,25.5,294200
1995-02-06,9.585408210754396,25.375,25.625,25.25,25.625,324000
1995-02-07,9.632628440856934,25.5,25.5,25.25,25.5,471600
1995-02-08,9.5145845413208,25.1875,25.5,25.125,25.5,252800
1995-02-09,9.632628440856934,25.5,25.8125,25.1875,25.1875,411800
1995-02-10,9.727069854736328,25.75,25.8125,25.4375,25.4375,388400
1995-02-13,9.797894477844238,25.9375,26.0,25.625,25.625,428200
1995-02-14,9.892333030700684,26.1875,26.25,25.75,25.9375,414800
1995-02-15,9.939550399780272,26.3125,26.375,26.0625,26.25,400200
1995-02-16,9.7742919921875,25.875,26.4375,25.8125,26.375,512000
1995-02-17,9.821504592895508,26.0,26.25,25.75,25.875,446400
1995-02-21,9.868721961975098,26.125,26.125,25.875,26.0,304600
1995-02-22,10.010376930236816,26.5,26.5,26.125,26.25,400800
1995-02-23,9.963160514831545,26.375,26.5625,26.125,26.5,441400
1995-02-24,10.033987045288086,26.5625,26.5625,26.3125,26.4375,459600
1995-02-27,9.963160514831545,26.375,26.5625,26.3125,26.375,264400
1995-02-28,10.34090805053711,27.375,27.5,26.4375,26.5,1107800
1995-03-01,10.48257064819336,27.75,27.8125,27.4375,27.5,1737400
1995-03-02,10.317302703857422,27.3125,27.5,27.25,27.375,992600
1995-03-03,10.388131141662598,27.5,27.5,27.0625,27.3125,671800
1995-03-06,10.270074844360352,27.1875,27.3125,27.1875,27.3125,368800
1995-03-07,10.246478080749512,27.125,27.5,27.0,27.3125,825600
1995-03-08,10.411741256713867,27.5625,27.625,27.25,27.3125,561600
1995-03-09,10.411741256713867,27.5625,28.0,27.5625,28.0,780000
1995-03-10,10.250021934509276,26.9375,27.375,26.9375,27.375,700800
1995-03-13,10.321372985839844,27.125,27.4375,26.875,27.0625,307800
1995-03-14,10.416494369506836,27.375,27.5,27.1875,27.25,384600
1995-03-15,10.440272331237791,27.4375,27.4375,27.125,27.375,399200
1995-03-16,10.416494369506836,27.375,27.625,27.25,27.4375,347800
1995-03-17,10.440272331237791,27.4375,27.5625,27.3125,27.4375,467000
1995-03-20,10.606749534606934,27.875,27.875,27.4375,27.5,256800
1995-03-21,10.464058876037598,27.5,28.0,27.5,27.75,664600
1995-03-22,10.464058876037598,27.5,27.625,27.3125,27.5625,467200
1995-03-23,10.2738037109375,27.0,27.4375,26.875,27.25,517800
1995-03-24,10.29758358001709,27.0625,27.125,26.9375,27.0,722200
1995-03-27,10.345149993896484,27.1875,27.1875,26.96875,27.1875,475800
1995-03-28,10.345149993896484,27.1875,27.375,27.0625,27.25,447200
1995-03-29,10.464058876037598,27.5,27.75,27.125,27.1875,804200
1995-03-30,10.630531311035156,27.9375,28.0625,27.625,27.6875,579200
1995-03-31,10.582971572875977,27.8125,27.9375,27.6875,27.875,267600
1995-04-03,10.535402297973633,27.6875,27.9375,27.625,27.8125,225400
