Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EIX,EIX,EIX,EIX,EIX,EIX
Date,,,,,,
1995-01-03,5.506048202514648,14.75,14.75,14.375,14.625,544200
1995-01-04,5.506048202514648,14.75,14.875,14.75,14.75,629300
1995-01-05,5.506048202514648,14.75,14.875,14.75,14.75,254800
1995-01-06,5.552709102630615,14.875,15.0,14.75,14.75,411800
1995-01-09,5.64603328704834,15.125,15.125,14.875,14.875,677700
1995-01-10,5.64603328704834,15.125,15.375,15.125,15.125,487200
1995-01-11,5.552709102630615,14.875,15.25,14.875,15.125,481000
1995-01-12,5.599369525909424,15.0,15.125,14.875,15.0,893300
1995-01-13,5.599369525909424,15.0,15.125,14.875,15.0,892600
1995-01-16,5.64603328704834,15.125,15.25,15.0,15.0,584300
1995-01-17,5.599369525909424,15.0,15.125,15.0,15.0,603100
1995-01-18,5.69269323348999,15.25,15.25,15.0,15.0,625000
1995-01-19,5.69269323348999,15.25,15.5,15.0,15.125,1266300
1995-01-20,5.832679748535156,15.625,15.625,15.25,15.5,2001800
1995-01-23,5.739352703094482,15.375,15.625,15.375,15.5,939900
1995-01-24,5.739352703094482,15.375,15.5,15.25,15.375,1087400
1995-01-25,5.78601598739624,15.5,15.5,15.375,15.375,643300
1995-01-26,5.832679748535156,15.625,15.625,15.375,15.5,604100
1995-01-27,5.832679748535156,15.625,16.0,15.625,15.875,1881600
1995-01-30,5.9726643562316895,16.0,16.0,15.625,15.625,1009600
1995-01-31,6.065986633300781,16.25,16.5,15.875,15.875,1551000
1995-02-01,6.159308910369873,16.5,16.75,16.25,16.5,1711800
1995-02-02,6.112646579742432,16.375,16.5,16.25,16.5,1149900
1995-02-03,6.159308910369873,16.5,16.625,16.375,16.5,1103300
1995-02-06,6.112646579742432,16.375,16.5,16.125,16.5,538500
1995-02-07,6.112646579742432,16.375,16.5,16.25,16.375,528600
1995-02-08,6.112646579742432,16.375,16.75,16.25,16.375,937900
1995-02-09,6.065986633300781,16.25,16.375,16.125,16.375,649700
1995-02-10,6.112646579742432,16.375,16.375,16.25,16.25,699600
1995-02-13,6.112646579742432,16.375,16.625,16.25,16.25,537000
1995-02-14,6.112646579742432,16.375,16.5,16.375,16.375,740200
1995-02-15,6.159308910369873,16.5,16.875,16.375,16.375,797600
1995-02-16,6.112646579742432,16.375,16.5,16.375,16.5,422900
1995-02-17,6.159308910369873,16.5,16.5,16.25,16.375,1219700
1995-02-21,6.159308910369873,16.5,16.5,16.375,16.5,635700
1995-02-22,6.20596981048584,16.625,16.625,16.375,16.375,1655900
1995-02-23,6.159308910369873,16.5,16.625,16.5,16.625,600200
1995-02-24,6.159308910369873,16.5,16.625,16.5,16.5,307600
