Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PEG,PEG,PEG,PEG,PEG,PEG
Date,,,,,,
1995-01-03,3.3837547302246094,13.3125,13.3125,13.1875,13.1875,416000
1995-01-04,3.3837547302246094,13.3125,13.375,13.25,13.3125,352000
1995-01-05,3.3519837856292725,13.1875,13.25,13.125,13.25,425000
1995-01-06,3.3202104568481445,13.0625,13.3125,13.0625,13.25,597200
1995-01-09,3.3360960483551025,13.125,13.1875,13.0,13.0625,276800
1995-01-10,3.3678696155548096,13.25,13.3125,13.125,13.1875,415400
1995-01-11,3.3519837856292725,13.1875,13.3125,13.125,13.25,263600
1995-01-12,3.3678696155548096,13.25,13.25,13.0,13.125,328200
1995-01-13,3.3996410369873047,13.375,13.375,13.25,13.375,322600
1995-01-16,3.4473001956939697,13.5625,13.6875,13.375,13.375,914200
1995-01-17,3.479074001312256,13.6875,13.6875,13.5625,13.5625,615000
1995-01-18,3.46318793296814,13.625,13.6875,13.5625,13.625,568600
1995-01-19,3.431413650512696,13.5,13.5625,13.375,13.5,576800
1995-01-20,3.431413650512696,13.5,13.5,13.375,13.5,461800
1995-01-23,3.46318793296814,13.625,13.625,13.4375,13.4375,840200
1995-01-24,3.479074001312256,13.6875,13.75,13.5,13.5,774800
1995-01-25,3.5108442306518555,13.8125,13.9375,13.625,13.75,356400
1995-01-26,3.558504343032837,14.0,14.0,13.875,13.9375,1221600
1995-01-27,3.6061606407165527,14.1875,14.3125,14.0,14.0,1097800
1995-01-30,3.653820276260376,14.375,14.375,14.1875,14.1875,849800
1995-01-31,3.653820276260376,14.375,14.5,14.3125,14.3125,1915600
1995-02-01,3.653820276260376,14.375,14.5,14.375,14.4375,985200
1995-02-02,3.6379334926605225,14.3125,14.375,14.1875,14.375,596600
1995-02-03,3.701478958129883,14.5625,14.5625,14.4375,14.4375,1237600
1995-02-06,3.685592412948608,14.5,14.625,14.4375,14.5625,442600
1995-02-07,3.685592412948608,14.5,14.5,14.375,14.5,309400
1995-02-08,3.685592412948608,14.5,14.6875,14.4375,14.5,1671800
1995-02-09,3.622048139572144,14.25,14.5,14.1875,14.4375,426800
1995-02-10,3.6379334926605225,14.3125,14.4375,14.1875,14.3125,478400
1995-02-13,3.622048139572144,14.25,14.375,14.1875,14.3125,235000
1995-02-14,3.685592412948608,14.5,14.5,14.3125,14.375,656400
1995-02-15,3.733252048492432,14.6875,14.6875,14.5,14.5,494000
1995-02-16,3.685592412948608,14.5,14.6875,14.5,14.6875,737400
1995-02-17,3.701478958129883,14.5625,14.5625,14.4375,14.5,525800
1995-02-21,3.701478958129883,14.5625,14.5625,14.4375,14.5625,713400
1995-02-22,3.765023946762085,14.8125,14.8125,14.5,14.5,472400
1995-02-23,3.7491374015808105,14.75,14.9375,14.75,14.875,338200
1995-02-24,3.7491374015808105,14.75,14.8125,14.625,14.75,246000
1995-02-27,3.717362880706787,14.625,14.75,14.5,14.6875,395000
1995-02-28,3.701478958129883,14.5625,14.5625,14.4375,14.5625,2371000
1995-03-01,3.641914129257202,14.0625,14.3125,14.0,14.25,2660600
1995-03-02,3.5447981357574463,13.6875,14.0625,13.6875,14.0,2679600
1995-03-03,3.5933544635772705,13.875,13.875,13.5625,13.6875,704800
1995-03-06,3.577167272567749,13.8125,13.875,13.6875,13.8125,315000
1995-03-07,3.5286099910736084,13.625,13.8125,13.5,13.6875,457000
1995-03-08,3.5609827041625977,13.75,13.75,13.625,13.75,892200
1995-03-09,3.5286099910736084,13.625,13.75,13.5,13.6875,1187600
1995-03-10,3.5447981357574463,13.6875,13.8125,13.5625,13.6875,435800
1995-03-13,3.5447981357574463,13.6875,13.8125,13.625,13.75,274000
1995-03-14,3.609540224075317,13.9375,14.0,13.6875,13.75,696800
1995-03-15,3.577167272567749,13.8125,13.9375,13.6875,13.875,353800
1995-03-16,3.5447981357574463,13.6875,13.875,13.6875,13.75,547200
1995-03-17,3.5447981357574463,13.6875,13.8125,13.625,13.75,907800
1995-03-20,3.5124244689941406,13.5625,13.6875,13.5,13.625,326600
1995-03-21,3.5286099910736084,13.625,13.625,13.3125,13.4375,1462600
1995-03-22,3.5447981357574463,13.6875,13.8125,13.5,13.5625,1036600
1995-03-23,3.5286099910736084,13.625,13.6875,13.5,13.6875,446400
1995-03-24,3.5447981357574463,13.6875,13.8125,13.625,13.6875,400800
1995-03-27,3.609540224075317,13.9375,13.9375,13.75,13.8125,464600
1995-03-28,3.5933544635772705,13.875,13.9375,13.8125,13.875,595800
1995-03-29,3.577167272567749,13.8125,13.875,13.75,13.8125,1221800
1995-03-30,3.5933544635772705,13.875,13.9375,13.8125,13.875,732200
1995-03-31,3.5447981357574463,13.6875,13.875,13.625,13.875,1034600
1995-04-03,3.5286099910736084,13.625,13.75,13.625,13.75,345400
1995-04-04,3.609540224075317,13.9375,14.0,13.6875,13.6875,678000
1995-04-05,3.6580989360809326,14.125,14.1875,13.9375,13.9375,402400
1995-04-06,3.641914129257202,14.0625,14.1875,14.0625,14.125,422400
1995-04-07,3.641914129257202,14.0625,14.0625,13.875,14.0,686600
1995-04-10,3.6257269382476807,14.0,14.0625,13.875,14.0,278800
1995-04-11,3.5933544635772705,13.875,14.0625,13.8125,14.0,545800
1995-04-12,3.577167272567749,13.8125,13.9375,13.75,13.875,170200
1995-04-13,3.5933544635772705,13.875,14.0625,13.8125,13.9375,599000
1995-04-17,3.4800498485565186,13.4375,13.9375,13.4375,13.875,940400
1995-04-18,3.49623703956604,13.5,13.625,13.4375,13.5,388400
1995-04-19,3.4800498485565186,13.4375,13.75,13.375,13.4375,434800
1995-04-20,3.5447981357574463,13.6875,13.75,13.5625,13.6875,256000
1995-04-21,3.5447981357574463,13.6875,13.75,13.5,13.75,1089800
1995-04-24,3.5609827041625977,13.75,13.8125,13.5625,13.6875,453600
1995-04-25,3.5609827041625977,13.75,13.75,13.625,13.75,684600
1995-04-26,3.577167272567749,13.8125,13.875,13.6875,13.75,373000
1995-04-27,3.577167272567749,13.8125,13.8125,13.6875,13.75,798600
1995-04-28,3.5609827041625977,13.75,13.875,13.75,13.8125,692400
1995-05-01,3.5447981357574463,13.6875,13.75,13.5625,13.75,557200
1995-05-02,3.5124244689941406,13.5625,13.6875,13.5,13.625,974600
1995-05-03,3.5609827041625977,13.75,13.75,13.5,13.625,443200
1995-05-04,3.5447981357574463,13.6875,13.875,13.6875,13.8125,786400
1995-05-05,3.6257269382476807,14.0,14.0,13.75,13.8125,1033600
1995-05-08,3.609540224075317,13.9375,14.0625,13.8125,13.9375,600800
1995-05-09,3.6257269382476807,14.0,14.0625,13.875,14.0,604200
1995-05-10,3.6257269382476807,14.0,14.0625,13.9375,14.0625,652800
1995-05-11,3.5933544635772705,13.875,14.0625,13.875,14.0,377600
1995-05-12,3.641914129257202,14.0625,14.0625,13.8125,13.875,438600
1995-05-15,3.67428469657898,14.1875,14.1875,14.0,14.0625,302800
1995-05-16,3.69047212600708,14.25,14.25,14.1875,14.1875,267200
1995-05-17,3.67428469657898,14.1875,14.3125,14.125,14.1875,1352600
1995-05-18,3.6257269382476807,14.0,14.1875,14.0,14.1875,541000
1995-05-19,3.609540224075317,13.9375,14.0,13.875,13.875,525400
1995-05-22,3.6580989360809326,14.125,14.125,13.9375,14.0,293000
1995-05-23,3.67428469657898,14.1875,14.1875,14.0,14.0625,485200
1995-05-24,3.69047212600708,14.25,14.3125,14.1875,14.25,355800
1995-05-25,3.7552175521850586,14.5,14.5625,14.3125,14.375,872000
1995-05-26,3.7552175521850586,14.5,14.6875,14.4375,14.5625,570400
1995-05-30,3.803777933120728,14.6875,14.75,14.5,14.5,736200
1995-05-31,3.8523380756378174,14.875,14.875,14.5625,14.6875,1337400
1995-06-01,3.874096393585205,14.6875,14.6875,14.4375,14.5625,1343600
1995-06-02,3.923552513122559,14.875,14.9375,14.6875,14.75,1353600
1995-06-05,3.956523895263672,15.0,15.125,14.9375,14.9375,708400
1995-06-06,3.956523895263672,15.0,15.0,14.875,14.9375,425800
1995-06-07,3.907068252563477,14.8125,15.0,14.6875,14.9375,577200
1995-06-08,3.824639558792114,14.5,14.75,14.4375,14.6875,329400
1995-06-09,3.74221134185791,14.1875,14.5,14.125,14.4375,548600
1995-06-12,3.775182008743286,14.3125,14.5,14.25,14.3125,660800
1995-06-13,3.791669130325317,14.375,14.4375,14.3125,14.4375,874400
1995-06-14,3.5773582458496094,13.5625,14.0,13.5,14.0,2643800
1995-06-15,3.5773582458496094,13.5625,13.625,13.5,13.5625,1961400
1995-06-16,3.593843460083008,13.625,13.6875,13.5625,13.625,1309800
1995-06-19,3.626811981201172,13.75,13.8125,13.625,13.6875,768000
1995-06-20,3.610327005386353,13.6875,13.8125,13.6875,13.75,452600
1995-06-21,3.610327005386353,13.6875,13.75,13.6875,13.6875,461800
1995-06-22,3.676271438598633,13.9375,14.0,13.8125,13.8125,1028800
1995-06-23,3.676271438598633,13.9375,13.9375,13.875,13.875,559400
1995-06-26,3.676271438598633,13.9375,13.9375,13.8125,13.9375,754200
1995-06-27,3.676271438598633,13.9375,14.0,13.875,13.875,678200
1995-06-28,3.709239006042481,14.0625,14.125,13.9375,13.9375,1271800
1995-06-29,3.676271438598633,13.9375,14.0625,13.9375,14.0625,1298400
1995-06-30,3.6597824096679688,13.875,14.0,13.8125,14.0,1158800
1995-07-03,3.6597824096679688,13.875,13.875,13.8125,13.875,353000
1995-07-05,3.676271438598633,13.9375,13.9375,13.875,13.875,736800
1995-07-06,3.692756414413452,14.0,14.0,13.875,13.9375,2555400
1995-07-07,3.692756414413452,14.0,14.0625,13.9375,14.0,1680000
1995-07-10,3.692756414413452,14.0,14.0,13.9375,14.0,626400
1995-07-11,3.6597824096679688,13.875,13.9375,13.875,13.9375,904200
1995-07-12,3.709239006042481,14.0625,14.0625,13.875,13.875,1044600
1995-07-13,3.692756414413452,14.0,14.0625,13.9375,14.0,394400
1995-07-14,3.692756414413452,14.0,14.0625,13.9375,13.9375,456600
1995-07-17,3.709239006042481,14.0625,14.0625,13.9375,14.0,618000
1995-07-18,3.676271438598633,13.9375,14.0,13.875,14.0,771800
1995-07-19,3.643298864364624,13.8125,14.25,13.6875,13.875,1377400
1995-07-20,3.626811981201172,13.75,13.8125,13.6875,13.75,1125400
1995-07-21,3.610327005386353,13.6875,13.8125,13.625,13.75,1612200
1995-07-24,3.610327005386353,13.6875,13.8125,13.625,13.75,688200
1995-07-25,3.643298864364624,13.8125,13.875,13.625,13.75,488800
1995-07-26,3.626811981201172,13.75,13.8125,13.75,13.75,834800
1995-07-27,3.643298864364624,13.8125,13.8125,13.6875,13.75,981200
1995-07-28,3.626811981201172,13.75,13.8125,13.6875,13.75,667200
1995-07-31,3.6597824096679688,13.875,13.9375,13.75,13.8125,927800
1995-08-01,3.676271438598633,13.9375,13.9375,13.8125,13.875,1274000
1995-08-02,3.692756414413452,14.0,14.0,13.9375,14.0,1113400
1995-08-03,3.692756414413452,14.0,14.0,13.875,13.9375,894000
1995-08-04,3.676271438598633,13.9375,14.0625,13.9375,14.0625,259400
1995-08-07,3.676271438598633,13.9375,14.0,13.9375,13.9375,559200
1995-08-08,3.692756414413452,14.0,14.0,13.9375,14.0,630000
1995-08-09,3.6597824096679688,13.875,14.0,13.875,13.9375,384000
1995-08-10,3.676271438598633,13.9375,13.9375,13.875,13.9375,684400
1995-08-11,3.626811981201172,13.75,14.0,13.6875,13.9375,898400
1995-08-14,3.643298864364624,13.8125,13.8125,13.6875,13.75,287400
1995-08-15,3.626811981201172,13.75,13.8125,13.625,13.75,514400
1995-08-16,3.6597824096679688,13.875,13.875,13.6875,13.75,451800
1995-08-17,3.692756414413452,14.0,14.0,13.8125,13.875,293600
1995-08-18,3.676271438598633,13.9375,14.0,13.875,14.0,534400
1995-08-21,3.676271438598633,13.9375,14.0,13.875,13.9375,271000
1995-08-22,3.6597824096679688,13.875,13.9375,13.875,13.9375,254800
1995-08-23,3.643298864364624,13.8125,13.9375,13.75,13.875,258800
1995-08-24,3.626811981201172,13.75,13.8125,13.6875,13.6875,1849400
1995-08-25,3.676271438598633,13.9375,14.0,13.8125,13.8125,1355400
1995-08-28,3.6597824096679688,13.875,14.0,13.8125,14.0,605600
1995-08-29,3.626811981201172,13.75,13.875,13.75,13.875,366800
1995-08-30,3.626811981201172,13.75,13.8125,13.6875,13.8125,284400
1995-08-31,3.626811981201172,13.75,13.8125,13.6875,13.75,738600
1995-09-01,3.6597824096679688,13.875,13.875,13.6875,13.75,550400
1995-09-05,3.676271438598633,13.9375,13.9375,13.8125,13.875,1850800
1995-09-06,3.614404201507568,13.4375,13.6875,13.4375,13.625,1768200
1995-09-07,3.631214141845703,13.5,13.5625,13.4375,13.5,1300200
1995-09-08,3.614404201507568,13.4375,13.5625,13.4375,13.5625,713800
1995-09-11,3.614404201507568,13.4375,13.5,13.375,13.5,379000
1995-09-12,3.631214141845703,13.5,13.5,13.375,13.4375,758600
1995-09-13,3.5975940227508545,13.375,13.5,13.375,13.5,1118000
1995-09-14,3.614404201507568,13.4375,13.5625,13.375,13.375,1542400
1995-09-15,3.614404201507568,13.4375,13.5,13.4375,13.5,1122400
1995-09-18,3.631214141845703,13.5,13.5,13.4375,13.4375,338600
1995-09-19,3.664839029312134,13.625,13.625,13.4375,13.5,1392600
1995-09-20,3.715272903442383,13.8125,13.8125,13.5,13.625,2073000
1995-09-21,3.6984593868255615,13.75,13.8125,13.625,13.75,795600
1995-09-22,3.715272903442383,13.8125,13.9375,13.6875,13.75,437400
1995-09-25,3.7488958835601807,13.9375,13.9375,13.8125,13.875,336000
1995-09-26,3.816138982772827,14.1875,14.3125,13.6875,13.9375,2477000
1995-09-27,3.866574048995972,14.375,14.375,14.125,14.125,836000
1995-09-28,3.967440366744995,14.75,14.75,14.375,14.375,1191000
1995-09-29,4.00106143951416,14.875,14.875,14.6875,14.6875,1955800
1995-10-02,4.0178728103637695,14.9375,14.9375,14.875,14.875,641800
1995-10-03,4.00106143951416,14.875,14.9375,14.8125,14.875,898000
1995-10-04,3.984253406524658,14.8125,14.9375,14.75,14.875,640600
1995-10-05,3.950630187988281,14.6875,14.8125,14.625,14.75,1636600
1995-10-06,3.950630187988281,14.6875,14.75,14.5,14.625,1201400
1995-10-09,3.984253406524658,14.8125,14.8125,14.625,14.6875,415000
1995-10-10,3.984253406524658,14.8125,14.9375,14.75,14.75,997000
1995-10-11,4.0178728103637695,14.9375,14.9375,14.875,14.875,742600
1995-10-12,4.00106143951416,14.875,14.96875,14.875,14.9375,454400
1995-10-13,3.9338183403015137,14.625,14.9375,14.625,14.9375,615400
1995-10-16,3.9170053005218506,14.5625,14.625,14.5,14.625,372800
1995-10-17,3.8833823204040527,14.4375,14.625,14.4375,14.5625,406400
1995-10-18,3.9170053005218506,14.5625,14.75,14.5,14.5,497200
1995-10-19,4.00106143951416,14.875,14.875,14.5,14.5625,431800
1995-10-20,4.0178728103637695,14.9375,15.0,14.8125,14.875,778200
1995-10-23,4.0178728103637695,14.9375,14.9375,14.75,14.875,889400
1995-10-24,4.00106143951416,14.875,14.9375,14.8125,14.875,734000
1995-10-25,3.984253406524658,14.8125,14.875,14.625,14.8125,729800
1995-10-26,3.984253406524658,14.8125,14.8125,14.6875,14.75,501000
1995-10-27,3.9170053005218506,14.5625,14.8125,14.5,14.75,1272000
1995-10-30,3.9338183403015137,14.625,14.75,14.5625,14.5625,470200
1995-10-31,3.950630187988281,14.6875,14.8125,14.6875,14.6875,494400
1995-11-01,3.9338183403015137,14.625,14.75,14.5625,14.6875,669800
1995-11-02,3.9170053005218506,14.5625,14.8125,14.5625,14.6875,676000
1995-11-03,3.900196075439453,14.5,14.625,14.4375,14.5625,847400
1995-11-06,3.9170053005218506,14.5625,14.625,14.5,14.5625,1893200
1995-11-07,3.9170053005218506,14.5625,14.625,14.5,14.625,323400
1995-11-08,3.9338183403015137,14.625,14.625,14.5625,14.5625,409200
1995-11-09,3.9338183403015137,14.625,14.75,14.5625,14.625,1127400
1995-11-10,3.9338183403015137,14.625,14.75,14.5,14.625,499400
1995-11-13,3.8833823204040527,14.4375,14.625,14.375,14.625,967000
1995-11-14,3.866574048995972,14.375,14.5,14.375,14.4375,509400
1995-11-15,3.900196075439453,14.5,14.5,14.375,14.375,357000
1995-11-16,3.950630187988281,14.6875,14.75,14.5,14.5625,665600
1995-11-17,3.967440366744995,14.75,14.75,14.625,14.6875,892000
1995-11-20,3.967440366744995,14.75,14.75,14.6875,14.75,510200
1995-11-21,3.967440366744995,14.75,14.8125,14.6875,14.6875,399600
1995-11-22,3.9170053005218506,14.5625,14.8125,14.5,14.8125,1537400
1995-11-24,3.950630187988281,14.6875,14.6875,14.5625,14.625,158400
1995-11-27,3.967440366744995,14.75,14.8125,14.625,14.625,1539800
1995-11-28,3.984253406524658,14.8125,14.8125,14.6875,14.75,1219000
1995-11-29,3.984253406524658,14.8125,14.8125,14.6875,14.75,1094600
1995-11-30,3.984253406524658,14.8125,14.9375,14.8125,14.875,635600
1995-12-01,3.984253406524658,14.8125,14.875,14.75,14.875,317600
1995-12-04,4.0178728103637695,14.9375,14.9375,14.75,14.8125,2373600
1995-12-05,4.006231784820557,14.625,14.75,14.5625,14.625,2601000
1995-12-06,4.10895586013794,15.0,15.25,14.6875,14.6875,2364000
1995-12-07,4.091835021972656,14.9375,14.9375,14.875,14.9375,1224400
1995-12-08,4.091835021972656,14.9375,14.9375,14.875,14.9375,432200
1995-12-11,4.040472984313965,14.75,14.875,14.6875,14.875,1058800
1995-12-12,4.006231784820557,14.625,14.75,14.5625,14.75,365200
