Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FCX,FCX,FCX,FCX,FCX,FCX
Date,,,,,,
1995-07-10,6.666723251342773,12.25,12.25,11.8125,11.8125,5438000
1995-07-11,6.802781581878662,12.5,12.5625,12.375,12.5625,4907000
1995-07-12,7.108903884887695,13.0625,13.0625,12.4375,12.5,1055800
1995-07-13,7.108903884887695,13.0625,13.125,12.9375,13.0,1373600
1995-07-14,7.074892520904541,13.0,13.0625,12.9375,13.0,985600
1995-07-17,7.04088020324707,12.9375,13.0,12.875,13.0,947600
1995-07-18,6.870809078216553,12.625,12.9375,12.5625,12.9375,727400
1995-07-19,6.462638854980469,11.875,12.5625,11.6875,12.5625,558200
1995-07-20,6.428628444671631,11.8125,11.8125,11.75,11.75,464600
1995-07-21,6.564682960510254,12.0625,12.1875,11.875,11.875,721200
1995-07-24,6.564682960510254,12.0625,12.25,12.0625,12.0625,509000
1995-07-25,6.598696708679199,12.125,12.375,12.0625,12.125,847000
1995-07-26,6.836794376373291,12.5625,12.5625,12.25,12.25,1584800
1995-07-27,7.00686502456665,12.875,12.875,12.5,12.5,2082600
1995-07-28,7.44904613494873,13.6875,13.6875,12.6875,12.875,14640800
1995-07-31,7.3470048904418945,13.5,13.625,13.25,13.625,2544600
1995-08-01,7.244963645935059,13.3125,13.4375,13.25,13.4375,1956000
1995-08-02,6.904821395874023,12.6875,13.3125,12.625,13.3125,2307600
1995-08-03,7.074892520904541,13.0,13.0,12.5625,12.5625,1762800
1995-08-04,6.904821395874023,12.6875,12.9375,12.5,12.875,903800
1995-08-07,6.836794376373291,12.5625,12.625,12.4375,12.625,837000
1995-08-08,6.768764972686768,12.4375,12.5625,12.4375,12.5,729000
1995-08-09,6.666723251342773,12.25,12.4375,12.1875,12.4375,586600
1995-08-10,6.734755039215088,12.375,12.5625,12.25,12.25,1319400
1995-08-11,6.802781581878662,12.5,12.625,12.375,12.375,1152000
1995-08-14,6.666723251342773,12.25,12.5,12.125,12.5,379800
1995-08-15,6.700737953186035,12.3125,12.375,12.25,12.25,349600
1995-08-16,6.734755039215088,12.375,12.5,12.3125,12.4375,440200
1995-08-17,6.836794376373291,12.5625,12.5625,12.3125,12.375,410600
1995-08-18,6.666723251342773,12.25,12.5625,12.1875,12.5625,598800
1995-08-21,6.598696708679199,12.125,12.4375,12.125,12.3125,440400
1995-08-22,6.530665397644043,12.0,12.25,11.875,12.1875,444200
1995-08-23,6.428628444671631,11.8125,12.0625,11.5625,12.0625,193200
1995-08-24,6.326587200164795,11.625,11.8125,11.5625,11.8125,1284000
1995-08-25,6.428628444671631,11.8125,11.9375,11.4375,11.625,733400
1995-08-28,6.326587200164795,11.625,11.8125,11.5,11.8125,447600
1995-08-29,6.224544048309326,11.4375,11.625,11.3125,11.625,368600
1995-08-30,6.292572021484375,11.5625,11.75,11.3125,11.3125,398000
1995-08-31,6.360597610473633,11.6875,11.6875,11.5625,11.625,417400
1995-09-01,6.394613265991211,11.75,11.8125,11.625,11.625,594600
1995-09-05,6.428628444671631,11.8125,11.9375,11.6875,11.875,487600
1995-09-06,6.496657371520996,11.9375,12.0,11.8125,11.875,476400
1995-09-07,6.326587200164795,11.625,11.875,11.5625,11.875,618000
1995-09-08,6.326587200164795,11.625,11.6875,11.5625,11.625,1015600
1995-09-11,6.462638854980469,11.875,12.0,11.5625,11.625,279000
1995-09-12,6.530665397644043,12.0,12.0,11.6875,11.875,290000
1995-09-13,6.6327104568481445,12.1875,12.4375,12.1875,12.1875,325000
1995-09-14,6.666723251342773,12.25,12.25,12.0625,12.1875,491800
1995-09-15,6.734755039215088,12.375,12.4375,12.25,12.375,1108600
1995-09-18,6.768764972686768,12.4375,12.4375,12.3125,12.375,609400
1995-09-19,6.768764972686768,12.4375,12.4375,12.3125,12.375,581600
1995-09-20,6.734755039215088,12.375,12.4375,12.3125,12.375,597600
1995-09-21,6.734755039215088,12.375,12.4375,12.3125,12.375,437400
1995-09-22,6.700737953186035,12.3125,12.375,12.1875,12.25,832200
1995-09-25,6.734755039215088,12.375,12.4375,12.25,12.375,436400
1995-09-26,6.700737953186035,12.3125,12.4375,12.25,12.3125,571000
