Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PPG,PPG,PPG,PPG,PPG,PPG
Date,,,,,,
1995-01-03,9.091302871704102,18.75,18.9375,18.5625,18.5625,800000
1995-01-04,9.121604919433594,18.8125,18.8125,18.5625,18.5625,734200
1995-01-05,9.212519645690918,19.0,19.0625,18.625,18.6875,409800
1995-01-06,9.333735466003418,19.25,19.25,19.0625,19.125,878600
1995-01-09,9.3943452835083,19.375,19.5625,19.125,19.125,838200
1995-01-10,9.454954147338867,19.5,19.75,19.4375,19.4375,521600
1995-01-11,9.5155611038208,19.625,19.8125,19.4375,19.6875,493000
1995-01-12,9.485254287719728,19.5625,19.75,19.4375,19.5625,292000
1995-01-13,9.5155611038208,19.625,19.9375,19.5625,19.75,711000
1995-01-16,9.3943452835083,19.375,19.8125,19.3125,19.75,321400
1995-01-17,9.212519645690918,19.0,19.3125,18.875,19.3125,642400
1995-01-18,9.30343246459961,19.1875,19.1875,18.9375,19.0,402000
1995-01-19,8.97008228302002,18.5,19.3125,18.5,19.0,1003400
1995-01-20,9.091302871704102,18.75,18.90625,18.625,18.625,340200
1995-01-23,8.757954597473145,18.0625,18.1875,18.0,18.0,545400
1995-01-24,8.757954597473145,18.0625,18.3125,18.0625,18.0625,490600
1995-01-25,8.757954597473145,18.0625,18.1875,17.9375,17.9375,694800
1995-01-26,8.606424331665039,17.75,18.0,17.5625,18.0,1344000
1995-01-27,8.667040824890137,17.875,18.125,17.8125,17.9375,787400
1995-01-30,8.51551628112793,17.5625,17.8125,17.4375,17.8125,1170600
1995-01-31,8.51551628112793,17.5625,17.75,17.5625,17.5625,721200
1995-02-01,8.606424331665039,17.75,17.875,17.5625,17.625,871600
1995-02-02,8.727644920349121,18.0,18.0,17.875,17.9375,509800
1995-02-03,8.818558692932129,18.1875,18.25,18.0,18.125,984200
1995-02-06,8.879168510437012,18.3125,18.4375,18.1875,18.25,702400
1995-02-07,9.000389099121094,18.5625,18.625,18.3125,18.3125,906600
1995-02-08,9.121604919433594,18.8125,18.875,18.625,18.625,320600
1995-02-09,9.091302871704102,18.75,19.0,18.625,18.875,548200
1995-02-10,9.03069305419922,18.625,18.9375,18.5625,18.75,445800
1995-02-13,9.151910781860352,18.875,18.875,18.5625,18.625,370000
1995-02-14,9.131143569946287,18.6875,18.75,18.625,18.75,206200
1995-02-15,9.161681175231934,18.75,19.0,18.625,18.75,693400
1995-02-16,9.161681175231934,18.75,18.875,18.625,18.75,523400
1995-02-17,9.039525985717772,18.5,18.75,18.5,18.75,601800
1995-02-21,9.070066452026367,18.5625,18.6875,18.5625,18.625,557400
1995-02-22,9.039525985717772,18.5,18.6875,18.5,18.625,501200
1995-02-23,9.222761154174805,18.875,18.9375,18.5625,18.6875,312200
1995-02-24,9.039525985717772,18.5,18.875,18.4375,18.875,633800
1995-02-27,8.947909355163574,18.3125,18.5625,18.25,18.5,537400
1995-02-28,8.978446960449219,18.375,18.5,18.25,18.375,815800
1995-03-01,9.131143569946287,18.6875,18.6875,18.3125,18.5,973600
1995-03-02,8.947909355163574,18.3125,18.625,18.25,18.625,519800
1995-03-03,8.978446960449219,18.375,18.375,18.25,18.25,230800
1995-03-06,8.947909355163574,18.3125,18.4375,18.25,18.3125,186200
1995-03-07,8.795211791992188,18.0,18.3125,17.875,18.3125,504800
1995-03-08,8.795211791992188,18.0,18.125,17.875,18.0,218600
1995-03-09,8.673053741455078,17.75,18.0625,17.75,17.875,1040200
1995-03-10,8.734139442443848,17.875,18.0625,17.8125,17.875,676200
1995-03-13,8.734139442443848,17.875,18.0,17.8125,17.875,567600
1995-03-14,8.611980438232422,17.625,18.0625,17.5625,18.0,1186400
1995-03-15,8.611980438232422,17.625,17.71875,17.5625,17.6875,717000
1995-03-16,8.795211791992188,18.0,18.0,17.625,17.625,958400
1995-03-17,8.734139442443848,17.875,18.0,17.75,18.0,981600
1995-03-20,8.734139442443848,17.875,18.0,17.8125,17.9375,675000
1995-03-21,8.795211791992188,18.0,18.125,17.875,17.875,362000
1995-03-22,8.825754165649414,18.0625,18.1875,18.0,18.0,373000
1995-03-23,8.856292724609375,18.125,18.125,18.0,18.0625,596000
1995-03-24,9.070066452026367,18.5625,18.625,18.0625,18.0625,495800
1995-03-27,9.314374923706056,19.0625,19.125,18.625,18.625,429000
1995-03-28,9.253302574157717,18.9375,19.1875,18.875,19.125,655000
1995-03-29,9.528149604797363,19.5,19.5,18.875,18.9375,1507800
1995-03-30,9.528149604797363,19.5,19.625,19.1875,19.375,982400
1995-03-31,9.222761154174805,18.875,19.4375,18.875,19.3125,631200
1995-04-03,9.314374923706056,19.0625,19.1875,18.9375,19.125,335000
1995-04-04,9.436532020568848,19.3125,19.375,19.125,19.25,559800
1995-04-05,9.283839225769045,19.0,19.25,19.0,19.125,377800
1995-04-06,9.10060214996338,18.625,19.125,18.625,19.125,767800
1995-04-07,9.131143569946287,18.6875,18.6875,18.4375,18.6875,828600
1995-04-10,9.070066452026367,18.5625,18.8125,18.5,18.5625,278600
1995-04-11,9.10060214996338,18.625,18.75,18.4375,18.6875,213800
1995-04-12,9.192219734191896,18.8125,18.8125,18.5,18.5,193200
1995-04-13,9.253302574157717,18.9375,19.0625,18.75,18.875,285800
1995-04-17,9.039525985717772,18.5,19.0,18.3125,18.9375,908200
1995-04-18,9.00898551940918,18.4375,18.5625,18.375,18.5625,631600
1995-04-19,9.131143569946287,18.6875,18.75,18.375,18.4375,257600
1995-04-20,9.375454902648926,19.1875,19.3125,18.625,18.6875,611800
1995-04-21,9.405993461608888,19.25,19.375,19.0,19.375,1654000
1995-04-24,9.528149604797363,19.5,19.5,19.125,19.25,523800
1995-04-25,9.680846214294434,19.8125,19.9375,19.375,19.375,574400
1995-04-26,9.650308609008787,19.75,19.8125,19.5625,19.6875,285800
1995-04-27,9.558685302734377,19.5625,19.625,19.25,19.625,843000
1995-04-28,9.619769096374512,19.6875,19.6875,19.4375,19.5625,641800
1995-05-01,9.650308609008787,19.75,19.75,19.5,19.5625,508800
1995-05-02,9.711383819580078,19.875,19.9375,19.625,19.625,580800
1995-05-03,9.619769096374512,19.6875,19.875,19.625,19.8125,496200
1995-05-04,9.66037654876709,19.625,19.9375,19.4375,19.4375,836000
1995-05-05,9.629609107971191,19.5625,19.9375,19.5,19.75,960000
1995-05-08,9.537312507629396,19.375,19.5,19.25,19.4375,1023200
1995-05-09,9.568084716796877,19.4375,19.5625,19.3125,19.4375,1403200
1995-05-10,9.537312507629396,19.375,19.5,19.3125,19.5,792800
1995-05-11,9.41425323486328,19.125,19.3125,18.875,19.1875,1585000
1995-05-12,9.41425323486328,19.125,19.1875,19.0,19.125,1102400
1995-05-15,9.968034744262695,20.25,20.25,19.375,19.375,1258600
1995-05-16,9.998804092407228,20.3125,20.5625,20.25,20.375,563200
1995-05-17,9.937264442443848,20.1875,20.25,20.0,20.25,762400
1995-05-18,9.844974517822266,20.0,20.1875,19.9375,20.1875,710000
1995-05-19,9.844974517822266,20.0,20.0,19.875,19.9375,659800
1995-05-22,9.844974517822266,20.0,20.125,19.875,20.0625,408800
1995-05-23,9.814204216003418,19.9375,20.0,19.8125,19.9375,704800
1995-05-24,9.937264442443848,20.1875,20.25,20.0625,20.0625,689400
1995-05-25,9.721912384033203,19.75,20.0,19.75,20.0,760000
1995-05-26,9.75267505645752,19.8125,19.875,19.6875,19.8125,864800
1995-05-30,10.091094017028809,20.5,20.5,20.0,20.0,828600
1995-05-31,10.244919776916504,20.8125,20.875,20.25,20.375,1040200
1995-06-01,10.214153289794922,20.75,20.75,20.5,20.625,660400
1995-06-02,10.152624130249023,20.625,20.625,20.25,20.25,886600
1995-06-05,10.214153289794922,20.75,20.75,20.25,20.25,783200
1995-06-06,10.306450843811035,20.9375,20.9375,20.625,20.6875,582400
1995-06-07,10.337217330932615,21.0,21.125,20.8125,20.8125,407000
1995-06-08,10.398751258850098,21.125,21.3125,20.9375,21.0,1028000
1995-06-09,10.214153289794922,20.75,21.0625,20.75,21.0,440800
1995-06-12,10.367982864379885,21.0625,21.125,20.8125,20.8125,650800
1995-06-13,10.02956199645996,20.375,21.375,20.375,21.25,1589600
1995-06-14,10.091094017028809,20.5,20.625,19.75,20.25,2565800
1995-06-15,10.18338680267334,20.6875,20.75,20.4375,20.5,291400
1995-06-16,9.968034744262695,20.25,20.5625,20.25,20.5625,1061600
1995-06-19,10.275690078735352,20.875,20.875,20.25,20.3125,440800
1995-06-20,10.244919776916504,20.8125,20.8125,20.5625,20.6875,515800
1995-06-21,10.367982864379885,21.0625,21.0625,20.875,21.0,836000
1995-06-22,10.337217330932615,21.0,21.0,20.875,21.0,803400
1995-06-23,10.337217330932615,21.0,21.0,20.8125,20.875,422600
1995-06-26,10.337217330932615,21.0,21.0,20.875,20.9375,297200
1995-06-27,10.337217330932615,21.0,21.0,20.875,20.9375,353800
1995-06-28,10.337217330932615,21.0,21.0,20.875,20.9375,462000
1995-06-29,10.398751258850098,21.125,21.125,20.875,21.0,351000
1995-06-30,10.55258083343506,21.4375,21.5,21.125,21.1875,546000
1995-07-03,10.58334255218506,21.5,21.5,21.3125,21.375,164200
1995-07-05,10.55258083343506,21.4375,21.625,21.3125,21.375,387400
1995-07-06,10.675640106201172,21.6875,21.75,21.25,21.5625,398200
1995-07-07,11.07558536529541,22.5,22.75,21.625,21.625,1688000
1995-07-10,11.22941780090332,22.8125,23.0,22.4375,22.5,691600
1995-07-11,10.952526092529297,22.25,22.6875,22.25,22.6875,556800
1995-07-12,11.01406478881836,22.375,22.5,22.0,22.1875,406200
1995-07-13,11.137125015258787,22.625,22.625,22.3125,22.5,442400
1995-07-14,11.044824600219728,22.4375,22.5625,22.25,22.5,396400
1995-07-17,10.983293533325195,22.3125,22.375,22.25,22.3125,578400
1995-07-18,10.706403732299805,21.75,22.1875,21.625,22.1875,835800
1995-07-19,10.61410903930664,21.5625,21.6875,21.125,21.6875,1137400
1995-07-20,10.55258083343506,21.4375,21.6875,21.1875,21.4375,779200
1995-07-21,10.73716926574707,21.8125,21.8125,21.3125,21.375,1020800
1995-07-24,10.798696517944336,21.9375,22.0,21.6875,21.9375,817600
1995-07-25,10.829459190368652,22.0,22.0625,21.8125,21.8125,654000
1995-07-26,11.044824600219728,22.4375,22.5625,22.0,22.0,1366200
1995-07-27,11.137125015258787,22.625,22.625,22.1875,22.25,601800
1995-07-28,11.10635757446289,22.5625,22.6875,22.4375,22.625,695400
1995-07-31,11.260184288024902,22.875,23.1875,22.4375,22.4375,990800
1995-08-01,11.321720123291016,23.0,23.0625,22.875,22.9375,972800
1995-08-02,11.260184288024902,22.875,22.9375,22.8125,22.8125,1060800
1995-08-03,11.198651313781738,22.75,22.75,22.5,22.6875,559000
1995-08-04,11.137125015258787,22.625,22.75,22.625,22.75,1406000
1995-08-07,11.137125015258787,22.625,22.75,22.5625,22.6875,498000
1995-08-08,11.11854076385498,22.4375,22.625,22.4375,22.5,510000
1995-08-09,10.9636869430542,22.125,22.5,22.0625,22.5,496000
