Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SYY,SYY,SYY,SYY,SYY,SYY
Date,,,,,,
1995-01-03,3.2064363956451416,6.5,6.53125,6.40625,6.40625,1894800
1995-01-04,3.175604343414306,6.4375,6.53125,6.40625,6.46875,1120400
1995-01-05,3.1601881980896,6.40625,6.4375,6.375,6.40625,808000
1995-01-06,3.12935733795166,6.34375,6.46875,6.25,6.375,906800
1995-01-09,3.083111047744751,6.25,6.34375,6.21875,6.3125,1011200
1995-01-10,3.1601881980896,6.40625,6.46875,6.25,6.25,1715200
1995-01-11,3.144772529602051,6.375,6.40625,6.21875,6.40625,1214400
1995-01-12,3.1601881980896,6.40625,6.5,6.34375,6.375,1095200
1995-01-13,3.191019058227539,6.46875,6.5,6.40625,6.40625,1426800
1995-01-16,3.2526817321777344,6.59375,6.59375,6.46875,6.46875,739600
1995-01-17,3.268097162246704,6.625,6.625,6.53125,6.5625,943200
1995-01-18,3.2218503952026367,6.53125,6.59375,6.46875,6.5,1216400
1995-01-19,3.2064363956451416,6.5,6.5625,6.46875,6.5,890000
1995-01-20,3.191019058227539,6.46875,6.53125,6.40625,6.5,1167600
1995-01-23,3.2201247215271,6.5,6.5625,6.375,6.375,928800
1995-01-24,3.251086950302124,6.5625,6.625,6.53125,6.5625,782800
1995-01-25,3.266568660736084,6.59375,6.625,6.53125,6.5625,800000
1995-01-26,3.282050609588623,6.625,6.625,6.5625,6.59375,932400
1995-01-27,3.282050609588623,6.625,6.6875,6.59375,6.59375,2551600
1995-01-30,3.282050609588623,6.625,6.71875,6.625,6.625,1205600
1995-01-31,3.3594582080841064,6.78125,6.78125,6.65625,6.65625,1107600
1995-02-01,3.374939441680908,6.8125,6.84375,6.6875,6.78125,2002800
1995-02-02,3.3439743518829346,6.75,6.8125,6.71875,6.78125,692800
1995-02-03,3.436863899230957,6.9375,7.03125,6.71875,6.8125,1726800
1995-02-06,3.467827558517456,7.0,7.0625,6.90625,6.9375,1226000
1995-02-07,3.483307123184204,7.03125,7.03125,7.0,7.0,472000
1995-02-08,3.5142714977264404,7.09375,7.1875,6.96875,6.96875,1752400
1995-02-09,3.452345371246338,6.96875,7.03125,6.9375,7.03125,2075600
1995-02-10,3.452345371246338,6.96875,7.0,6.8125,6.96875,1106400
1995-02-13,3.467827558517456,7.0,7.0,6.90625,6.90625,544800
1995-02-14,3.436863899230957,6.9375,7.03125,6.84375,7.03125,1162000
1995-02-15,3.405902147293091,6.875,6.9375,6.84375,6.90625,868000
1995-02-16,3.374939441680908,6.8125,6.875,6.75,6.875,2453600
1995-02-17,3.374939441680908,6.8125,6.84375,6.75,6.8125,1588400
1995-02-21,3.421382427215576,6.90625,6.90625,6.8125,6.84375,841600
1995-02-22,3.483307123184204,7.03125,7.03125,6.875,6.875,5512000
1995-02-23,3.5142714977264404,7.09375,7.15625,7.03125,7.0625,2688000
