Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CCI,CCI,CCI,CCI,CCI,CCI
Date,,,,,,
1998-08-18,8.456210136413574,13.0,13.125,12.875,12.875,5783000
1998-08-19,8.456210136413574,13.0,13.25,13.0,13.0,388700
1998-08-20,8.456210136413574,13.0,13.25,13.0,13.125,348500
1998-08-21,8.456210136413574,13.0,13.0,13.0,13.0,804000
1998-08-24,8.456210136413574,13.0,13.0,13.0,13.0,119700
1998-08-25,8.456210136413574,13.0,13.0,12.875,13.0,294100
1998-08-26,7.96835470199585,12.25,13.0,12.125,13.0,383800
1998-08-27,7.236563205718994,11.125,12.375,10.75,12.25,435300
1998-08-28,6.504777431488037,10.0,11.375,10.0,11.375,192400
1998-08-31,5.285133361816406,8.125,10.125,7.625,10.0,150800
1998-09-01,5.529060363769531,8.5,9.0,6.6875,8.25,440700
1998-09-02,6.220192909240723,9.5625,10.5,8.5,8.5,509200
1998-09-03,5.691680908203125,8.75,9.75,8.5,9.75,165900
1998-09-04,5.447750568389893,8.375,9.0,8.125,9.0,155700
1998-09-08,6.423469066619873,9.875,10.0,8.75,9.0,149300
1998-09-09,6.179538726806641,9.5,10.0,9.5,9.875,116900
1998-09-10,6.0169219970703125,9.25,9.375,9.0,9.375,80700
1998-09-11,5.854299545288086,9.0,9.375,9.0,9.3125,84800
1998-09-14,5.854299545288086,9.0,9.625,9.0,9.25,90800
1998-09-15,5.691680908203125,8.75,9.25,8.625,9.125,200400
1998-09-16,5.122513294219971,7.875,8.75,7.75,8.75,221300
1998-09-17,5.386770725250244,8.28125,8.625,7.875,7.875,87300
1998-09-18,5.3664422035217285,8.25,8.6875,7.75,8.375,147300
1998-09-21,4.553346157073975,7.0,8.0,6.875,7.875,472900
1998-09-22,5.20382022857666,8.0,8.125,7.0625,7.125,728300
1998-09-23,5.447750568389893,8.375,8.625,8.0,8.25,382500
1998-09-24,5.89495325088501,9.0625,9.375,8.5,8.5,280800
1998-09-25,6.098228454589844,9.375,9.4375,8.75,8.75,44400
1998-09-28,6.098228454589844,9.375,9.875,9.375,9.5,26500
