Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NUE,NUE,NUE,NUE,NUE,NUE
Date,,,,,,
1995-01-03,6.822059631347656,13.6875,13.6875,13.53125,13.65625,1050400
1995-01-04,6.946669578552246,13.9375,14.0625,13.625,13.65625,1000800
1995-01-05,6.853211879730225,13.75,13.90625,13.5625,13.90625,878000
1995-01-06,7.164724826812744,14.375,14.4375,13.5625,13.6875,1329200
1995-01-09,7.040120124816895,14.125,14.4375,13.96875,14.4375,597200
1995-01-10,7.164724826812744,14.375,14.40625,14.1875,14.1875,536000
1995-01-11,7.211447715759277,14.46875,14.625,14.375,14.4375,581600
1995-01-12,7.242602825164795,14.53125,14.59375,14.375,14.46875,408400
1995-01-13,7.273751258850098,14.59375,14.59375,14.46875,14.59375,422000
1995-01-16,7.211447715759277,14.46875,14.59375,14.4375,14.59375,442800
1995-01-17,7.320480346679687,14.6875,14.71875,14.4375,14.46875,770800
1995-01-18,7.413929462432861,14.875,14.90625,14.59375,14.6875,807200
1995-01-19,7.382780075073242,14.8125,14.875,14.65625,14.8125,735200
1995-01-20,7.258175373077393,14.5625,14.8125,14.53125,14.8125,803200
1995-01-23,7.102420330047607,14.25,14.5,14.125,14.5,1088400
1995-01-24,7.102420330047607,14.25,14.34375,14.15625,14.25,738800
1995-01-25,7.0712666511535645,14.1875,14.375,14.1875,14.25,510400
1995-01-26,7.040120124816895,14.125,14.21875,14.09375,14.125,420000
1995-01-27,6.853211879730225,13.75,14.15625,13.6875,14.125,962400
1995-01-30,6.588425159454346,13.21875,13.75,13.15625,13.6875,980800
1995-01-31,6.354799747467041,12.75,13.21875,12.5,13.21875,7388000
1995-02-01,6.47939920425415,13.0,13.0625,12.75,12.9375,2583600
1995-02-02,6.52612829208374,13.09375,13.125,12.875,13.03125,1532800
1995-02-03,6.60400390625,13.25,13.46875,13.1875,13.1875,1968800
1995-02-06,6.681879997253418,13.40625,13.4375,13.25,13.25,832000
1995-02-07,6.744180679321289,13.53125,13.625,13.375,13.4375,517600
1995-02-08,6.744180679321289,13.53125,13.65625,13.5,13.59375,566400
1995-02-09,6.775330543518066,13.59375,13.6875,13.46875,13.53125,903600
1995-02-10,6.759755611419678,13.5625,13.65625,13.5625,13.65625,520800
1995-02-13,6.697458267211914,13.4375,13.5625,13.25,13.5625,586400
1995-02-14,6.588425159454346,13.21875,13.4375,13.1875,13.40625,838000
1995-02-15,6.7130303382873535,13.46875,13.5,13.25,13.28125,632000
1995-02-16,6.837637424468994,13.71875,13.71875,13.375,13.40625,1122000
1995-02-17,6.822059631347656,13.6875,13.75,13.46875,13.71875,952000
1995-02-21,6.790910720825195,13.625,13.78125,13.625,13.71875,712000
1995-02-22,6.650729179382324,13.34375,13.71875,13.34375,13.6875,1284400
1995-02-23,6.72860860824585,13.5,13.5,13.3125,13.40625,1381600
1995-02-24,7.008964538574219,14.0625,14.09375,13.71875,13.75,1254800
1995-02-27,6.946669578552246,13.9375,14.1875,13.9375,14.0625,1194400
1995-02-28,6.993391513824463,14.03125,14.125,13.78125,13.90625,775600
1995-03-01,6.993391513824463,14.03125,14.09375,13.9375,13.96875,554400
1995-03-02,6.931087970733643,13.90625,14.03125,13.6875,14.03125,616400
1995-03-03,6.977818012237549,14.0,14.1875,13.90625,13.90625,695200
1995-03-06,6.759755611419678,13.5625,14.0,13.375,14.0,1096400
1995-03-07,6.66630744934082,13.375,13.5,13.3125,13.3125,1044400
1995-03-08,6.697458267211914,13.4375,13.5,13.375,13.40625,917600
1995-03-09,6.7130303382873535,13.46875,13.5625,13.375,13.46875,478800
1995-03-10,6.775330543518066,13.59375,13.875,13.375,13.53125,694800
1995-03-13,6.759755611419678,13.5625,13.6875,13.34375,13.625,410800
1995-03-14,6.697458267211914,13.4375,13.71875,13.34375,13.625,1244800
1995-03-15,6.775330543518066,13.59375,13.6875,13.46875,13.46875,1501200
1995-03-16,6.775330543518066,13.59375,13.71875,13.5625,13.59375,700000
1995-03-17,6.7130303382873535,13.46875,13.625,13.40625,13.59375,1089600
1995-03-20,6.448248386383057,12.9375,13.0625,12.5,12.5,2643600
1995-03-21,6.417096614837647,12.875,13.25,12.84375,13.0,1567600
1995-03-22,6.448248386383057,12.9375,13.03125,12.875,12.90625,771200
1995-03-23,6.276915550231934,12.59375,12.9375,12.59375,12.84375,1638000
1995-03-24,6.3859453201293945,12.8125,12.875,12.59375,12.59375,1259600
1995-03-27,6.53505277633667,13.09375,13.125,12.90625,12.90625,762800
1995-03-28,6.45706844329834,12.9375,13.09375,12.90625,13.03125,526800
1995-03-29,6.613035202026367,13.25,13.3125,12.90625,12.9375,1402000
1995-03-30,6.862584590911865,13.75,13.75,13.34375,13.46875,1951600
1995-03-31,7.018550872802734,14.0625,14.0625,13.53125,13.6875,2062800
1995-04-03,6.971763610839844,13.96875,14.0625,13.875,13.96875,940400
1995-04-04,6.878185272216797,13.78125,14.0,13.625,13.9375,1424400
1995-04-05,6.84699010848999,13.71875,13.75,13.625,13.75,1083200
1995-04-06,6.971763610839844,13.96875,13.96875,13.75,13.75,600800
1995-04-07,6.862584590911865,13.75,14.0,13.65625,13.96875,530400
1995-04-10,6.784598350524902,13.59375,13.6875,13.53125,13.6875,818000
1995-04-11,6.613035202026367,13.25,13.5625,13.21875,13.5625,1419200
1995-04-12,6.84699010848999,13.71875,13.71875,13.34375,13.375,932800
1995-04-13,6.909379482269287,13.84375,13.875,13.625,13.71875,635600
1995-04-17,6.862584590911865,13.75,13.9375,13.71875,13.78125,833600
1995-04-18,6.831390380859375,13.6875,13.75,13.5,13.75,1233200
1995-04-19,6.84699010848999,13.71875,13.84375,13.59375,13.625,690800
1995-04-20,6.769001483917236,13.5625,13.625,13.4375,13.625,1206800
1995-04-21,6.613035202026367,13.25,13.59375,13.21875,13.5625,2888400
1995-04-24,6.363492012023926,12.75,13.21875,12.625,13.21875,3752000
1995-04-25,6.051551818847656,12.125,12.8125,12.03125,12.78125,3647600
1995-04-26,5.552453994750977,11.125,11.3125,10.625,11.1875,8418800
1995-04-27,5.957971572875977,11.9375,12.09375,11.71875,11.75,4654000
1995-04-28,6.020358562469482,12.0625,12.0625,11.96875,11.96875,1650400
1995-05-01,5.942373752593994,11.90625,12.0,11.75,12.0,1158400
1995-05-02,6.051551818847656,12.125,12.1875,11.9375,11.96875,1091200
1995-05-03,5.957971572875977,11.9375,12.46875,11.90625,12.25,1411200
1995-05-04,5.833197593688965,11.6875,12.28125,11.625,11.96875,1185200
1995-05-05,5.802003860473633,11.625,12.03125,11.59375,11.9375,1482400
1995-05-08,5.70842170715332,11.4375,11.59375,11.34375,11.5625,1566400
1995-05-09,5.770809173583984,11.5625,11.6875,11.4375,11.5625,1283200
1995-05-10,6.035955905914307,12.09375,12.09375,11.59375,11.625,2106800
1995-05-11,6.223118782043457,12.46875,12.46875,11.9375,12.0,2065200
1995-05-12,6.207519054412842,12.4375,12.46875,12.21875,12.46875,1151200
1995-05-15,6.472663879394531,12.96875,13.0,12.40625,12.46875,1844400
1995-05-16,6.503859519958496,13.03125,13.09375,12.8125,12.96875,1273600
1995-05-17,6.316695690155029,12.65625,13.03125,12.625,12.96875,1138400
1995-05-18,6.347891807556152,12.71875,12.8125,12.65625,12.6875,574000
1995-05-19,6.223118782043457,12.46875,12.625,12.375,12.625,613200
1995-05-22,6.363492012023926,12.75,12.84375,12.46875,12.5,810800
1995-05-23,6.301101207733154,12.625,12.84375,12.5625,12.78125,1083600
1995-05-24,6.301101207733154,12.625,12.90625,12.53125,12.75,951200
1995-05-25,6.0827460289001465,12.1875,12.625,12.15625,12.625,1085600
1995-05-26,5.911183834075928,11.84375,12.21875,11.78125,12.21875,1631200
1995-05-30,5.70842170715332,11.4375,11.90625,11.375,11.84375,2113600
1995-05-31,5.957971572875977,11.9375,12.125,11.0625,11.4375,3997200
1995-06-01,6.0827460289001465,12.1875,12.1875,11.90625,12.0,1752800
1995-06-02,6.067148208618164,12.15625,12.15625,11.75,11.875,2339600
1995-06-05,6.0827460289001465,12.1875,12.25,12.03125,12.15625,1971200
1995-06-06,6.223118782043457,12.46875,12.46875,12.125,12.125,1310800
1995-06-07,6.316695690155029,12.65625,12.71875,12.1875,12.40625,1442000
1995-06-08,6.160727500915527,12.34375,12.75,12.34375,12.71875,865600
1995-06-09,6.0827460289001465,12.1875,12.4375,12.15625,12.375,958000
1995-06-12,6.176326274871826,12.375,12.5,12.125,12.1875,1286000
1995-06-13,6.14513111114502,12.3125,12.46875,12.25,12.4375,410800
1995-06-14,6.113935470581055,12.25,12.3125,12.125,12.25,632800
1995-06-15,6.098342418670654,12.21875,12.25,12.09375,12.25,1588800
1995-06-16,6.254310607910156,12.53125,12.5625,12.21875,12.25,1308800
1995-06-19,6.176326274871826,12.375,12.46875,12.3125,12.4375,808000
1995-06-20,6.14513111114502,12.3125,12.46875,12.28125,12.375,968000
1995-06-21,6.051551818847656,12.125,12.34375,12.09375,12.3125,616400
1995-06-22,6.14513111114502,12.3125,12.375,12.15625,12.21875,1034000
1995-06-23,6.285501003265381,12.59375,12.6875,12.28125,12.28125,781600
1995-06-26,6.176326274871826,12.375,12.59375,12.28125,12.53125,377200
1995-06-27,6.441468238830566,12.90625,12.9375,12.4375,12.4375,1065200
1995-06-28,6.731340408325195,13.46875,13.53125,12.90625,12.9375,2414800
1995-06-29,6.575161933898926,13.15625,13.46875,12.90625,13.46875,1354800
1995-06-30,6.684489727020264,13.375,13.375,13.1875,13.1875,667200
1995-07-03,6.934371471405029,13.875,13.875,13.28125,13.28125,717200
1995-07-05,7.215494632720947,14.4375,14.46875,13.8125,13.875,2356000
1995-07-06,7.324822425842285,14.65625,14.71875,14.5,14.625,1778400
1995-07-07,7.887065887451172,15.78125,15.8125,14.90625,14.90625,2455200
1995-07-10,7.652800559997559,15.3125,15.65625,15.0625,15.65625,1930800
1995-07-11,7.512239933013916,15.03125,15.375,14.90625,15.28125,1843200
1995-07-12,7.231116771697998,14.46875,14.5625,14.15625,14.4375,2719200
1995-07-13,7.402915000915527,14.8125,15.0,14.6875,14.6875,1508400
1995-07-14,7.293588638305664,14.59375,14.78125,14.3125,14.78125,1490000
1995-07-17,7.043704032897949,14.09375,14.59375,14.0625,14.59375,1257600
1995-07-18,6.918758869171143,13.84375,14.15625,13.53125,14.15625,2453200
1995-07-19,6.85628604888916,13.71875,13.8125,13.375,13.71875,1029200
1995-07-20,7.012463569641113,14.03125,14.15625,13.75,13.75,1004000
1995-07-21,6.778192520141602,13.5625,13.9375,13.4375,13.875,1295600
1995-07-24,7.090551376342773,14.1875,14.21875,13.59375,13.65625,1186800
1995-07-25,7.012463569641113,14.03125,14.3125,13.8125,14.25,882000
1995-07-26,6.825049877166748,13.65625,14.0,13.59375,13.96875,1288800
1995-07-27,6.85628604888916,13.71875,13.90625,13.625,13.71875,600000
1995-07-28,6.684489727020264,13.375,13.75,13.3125,13.75,1456000
1995-07-31,6.684489727020264,13.375,13.65625,13.375,13.5,1561600
1995-08-01,6.606395721435547,13.21875,13.4375,13.21875,13.4375,1232000
1995-08-02,6.715724468231201,13.4375,13.71875,13.34375,13.375,1327200
1995-08-03,6.559548377990723,13.125,13.5,13.09375,13.40625,1722800
1995-08-04,6.59077787399292,13.1875,13.375,12.96875,13.09375,1069600
1995-08-07,6.434598922729492,12.875,13.21875,12.84375,13.21875,703200
1995-08-08,6.465834617614746,12.9375,13.0625,12.8125,12.84375,1468000
1995-08-09,6.372131824493408,12.75,13.0625,12.65625,13.0,1998000
1995-08-10,6.247184753417969,12.5,12.75,12.4375,12.75,1126800
1995-08-11,6.231567859649658,12.46875,12.5625,12.4375,12.5625,1514400
1995-08-14,6.247184753417969,12.5,12.5625,12.40625,12.46875,859600
1995-08-15,6.200329780578613,12.40625,12.5,12.3125,12.5,909200
1995-08-16,6.372131824493408,12.75,12.84375,12.4375,12.46875,1452800
1995-08-17,6.2940354347229,12.59375,12.71875,12.5625,12.65625,1027600
1995-08-18,6.372131824493408,12.75,12.90625,12.6875,12.6875,1280000
1995-08-21,6.450214385986328,12.90625,12.96875,12.75,12.75,1127200
1995-08-22,6.559548377990723,13.125,13.1875,12.90625,12.90625,1514400
1995-08-23,6.387747287750244,12.78125,13.09375,12.4375,13.0625,1874400
1995-08-24,6.278419494628906,12.5625,12.75,12.53125,12.71875,617600
1995-08-25,6.309656620025635,12.625,12.6875,12.5625,12.59375,489200
1995-08-28,6.309656620025635,12.625,12.84375,12.625,12.6875,799200
1995-08-29,6.153473854064941,12.3125,12.59375,12.21875,12.59375,3108800
1995-08-30,6.215948104858398,12.4375,12.6875,12.375,12.375,900800
1995-08-31,6.122237205505371,12.25,12.46875,12.1875,12.46875,928800
1995-09-01,6.215948104858398,12.4375,12.46875,12.1875,12.1875,839200
1995-09-05,6.497069835662842,13.0,13.0,12.46875,12.46875,1201200
1995-09-06,6.434598922729492,12.875,13.125,12.75,12.96875,974800
1995-09-07,6.434598922729492,12.875,13.0625,12.84375,12.9375,918400
1995-09-08,6.481451988220215,12.96875,13.0625,12.84375,12.96875,1495200
1995-09-11,6.481451988220215,12.96875,13.125,12.84375,12.90625,600800
1995-09-12,6.137858867645264,12.28125,13.09375,12.15625,12.96875,2973600
1995-09-13,5.9192094802856445,11.84375,12.28125,11.59375,12.28125,4254800
1995-09-14,5.794262886047363,11.59375,11.84375,11.53125,11.78125,5206000
1995-09-15,5.747410774230957,11.5,11.53125,11.3125,11.5,4884400
1995-09-18,5.747410774230957,11.5,11.625,11.4375,11.5,4198800
1995-09-19,5.5912275314331055,11.1875,11.3125,10.9375,11.25,6258800
1995-09-20,5.763027667999268,11.53125,11.625,11.1875,11.21875,3936400
1995-09-21,5.700555801391602,11.40625,11.6875,11.28125,11.625,1803200
1995-09-22,5.6693196296691895,11.34375,11.4375,11.25,11.3125,1945200
1995-09-25,5.638085842132568,11.28125,11.375,11.1875,11.28125,992800
1995-09-26,5.653701305389404,11.3125,11.46875,11.28125,11.3125,1454800
1995-09-27,5.537322521209717,11.0625,11.25,10.875,11.03125,2969200
1995-09-28,5.584251403808594,11.15625,11.1875,10.9375,11.0625,1562000
1995-09-29,5.599892139434815,11.1875,11.28125,11.09375,11.1875,920400
1995-10-02,5.584251403808594,11.15625,11.21875,11.09375,11.1875,1468000
1995-10-03,5.552966117858887,11.09375,11.125,11.0,11.09375,1851200
1995-10-04,5.380903720855713,10.75,11.09375,10.71875,11.09375,1846800
1995-10-05,5.30269193649292,10.59375,10.75,10.5,10.71875,1862000
1995-10-06,5.318334579467773,10.625,10.6875,10.53125,10.59375,1276000
1995-10-09,5.365262985229492,10.71875,10.8125,10.5625,10.625,953600
1995-10-10,5.318334579467773,10.625,10.71875,10.5625,10.65625,1430400
1995-10-11,5.427827835083008,10.84375,10.875,10.625,10.625,1918800
1995-10-12,5.599892139434815,11.1875,11.1875,10.84375,10.875,2268800
1995-10-13,5.709387302398682,11.40625,11.5625,11.34375,11.5625,1635600
1995-10-16,5.912736415863037,11.8125,11.8125,11.4375,11.625,2097200
1995-10-17,5.8501691818237305,11.6875,11.90625,11.5,11.8125,1299600
1995-10-18,5.584251403808594,11.15625,11.71875,11.15625,11.65625,800800
1995-10-19,5.584251403808594,11.15625,11.375,11.0625,11.34375,1142000
1995-10-20,5.771955966949463,11.53125,11.53125,11.21875,11.21875,1458000
1995-10-23,5.787597179412842,11.5625,11.71875,11.46875,11.53125,1199600
1995-10-24,5.944024562835693,11.875,11.90625,11.53125,11.53125,1097600
1995-10-25,5.756313800811768,11.5,11.875,11.4375,11.84375,638000
1995-10-26,5.897092342376709,11.78125,11.875,11.46875,11.53125,1404400
1995-10-27,5.959661483764648,11.90625,11.9375,11.59375,11.75,1213200
1995-10-30,6.0848002433776855,12.15625,12.25,11.9375,12.0,2446800
1995-10-31,6.02223014831543,12.03125,12.15625,11.96875,12.15625,981200
1995-11-01,5.865807056427002,11.71875,12.03125,11.71875,11.96875,624400
1995-11-02,5.881453037261963,11.75,11.8125,11.6875,11.78125,708800
1995-11-03,5.756313800811768,11.5,11.75,11.5,11.75,1013200
1995-11-06,5.756313800811768,11.5,11.6875,11.4375,11.4375,1456400
1995-11-07,5.771955966949463,11.53125,11.5625,11.4375,11.5625,845200
1995-11-08,5.756313800811768,11.5,11.59375,11.4375,11.5625,520000
1995-11-09,5.756313800811768,11.5,11.53125,11.34375,11.53125,880400
1995-11-10,5.725032329559326,11.4375,11.5,11.34375,11.5,357600
1995-11-13,5.756313800811768,11.5,11.53125,11.40625,11.4375,631200
1995-11-14,5.6468186378479,11.28125,11.625,11.25,11.5,1521200
1995-11-15,5.678104400634766,11.34375,11.46875,11.28125,11.28125,1057600
1995-11-16,5.6937456130981445,11.375,11.4375,11.28125,11.34375,1081600
1995-11-17,5.615537643432617,11.21875,11.375,11.21875,11.375,557200
1995-11-20,5.678104400634766,11.34375,11.34375,11.21875,11.28125,641200
1995-11-21,5.881453037261963,11.75,11.78125,11.28125,11.34375,2585600
1995-11-22,6.350718975067139,12.6875,12.6875,11.90625,12.0,4678800
1995-11-24,6.335075855255127,12.65625,12.78125,12.625,12.71875,886800
1995-11-27,6.288148880004883,12.5625,12.75,12.34375,12.75,1547200
1995-11-28,6.350718975067139,12.6875,12.71875,12.53125,12.5625,886000
1995-11-29,6.428928852081299,12.84375,12.875,12.65625,12.875,1177200
