Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NTRS,NTRS,NTRS,NTRS,NTRS,NTRS
Date,,,,,,
1997-01-30,12.130340576171877,21.5,21.5,20.75,20.75,707200
1997-01-31,11.566134452819824,20.5,21.625,20.5,21.5625,1134400
1997-02-03,11.60140323638916,20.5625,20.6875,20.25,20.5625,560600
1997-02-04,12.236127853393556,21.6875,21.6875,20.5,20.625,1271400
1997-02-05,12.236127853393556,21.6875,22.625,21.625,21.6875,1296400
1997-02-06,12.341914176940918,21.875,22.125,21.6875,21.875,586200
1997-02-07,12.482964515686035,22.125,22.25,21.875,22.125,648400
1997-02-10,12.518229484558104,22.1875,22.5,22.0,22.125,1494400
1997-02-11,12.482964515686035,22.125,22.375,22.0,22.375,716600
1997-02-12,12.412436485290527,22.0,22.25,21.75,22.25,421800
1997-02-13,12.518229484558104,22.1875,22.25,22.0,22.0,1066200
1997-02-14,12.553489685058594,22.25,22.25,22.125,22.125,400000
1997-02-18,12.553489685058594,22.25,22.25,22.0,22.25,505800
1997-02-19,12.43006992340088,22.03125,22.25,21.875,22.25,701600
1997-02-20,11.989296913146973,21.25,22.0,21.25,21.875,922600
1997-02-21,11.777719497680664,20.875,21.375,20.71875,21.25,1318400
1997-02-24,11.9187650680542,21.125,21.4375,20.875,21.0,991000
1997-02-25,12.200862884521484,21.625,21.875,21.25,21.25,674600
1997-02-26,12.042183876037598,21.34375,21.5625,21.25,21.375,1127800
1997-02-27,11.989296913146973,21.25,21.5,21.0,21.3125,207200
1997-02-28,11.989296913146973,21.25,21.5,20.625,21.0,562400
1997-03-03,11.742454528808594,20.8125,21.0,20.375,21.0,953400
1997-03-04,11.830602645874023,20.96875,21.125,20.9375,21.0625,273800
1997-03-05,11.812980651855469,20.9375,21.0625,20.75,21.0625,556200
1997-03-06,11.89938735961914,21.0,21.0625,20.875,21.0,737800
1997-03-07,11.828558921813965,20.875,21.375,20.625,20.9375,647000
1997-03-10,12.182703971862791,21.5,21.5625,20.875,21.0,1045000
1997-03-11,12.359787940979004,21.8125,22.0625,21.5,21.625,1492800
1997-03-12,12.111879348754885,21.375,21.8125,21.25,21.75,258400
1997-03-13,11.54524040222168,20.375,21.375,20.3125,21.375,487200
1997-03-14,11.793145179748535,20.8125,21.0,20.5,20.625,331200
1997-03-17,11.438993453979492,20.1875,20.8125,19.75,20.75,818400
1997-03-18,11.474408149719238,20.25,20.3125,20.0625,20.125,585600
1997-03-19,11.368162155151367,20.0625,20.3125,19.9375,20.3125,704600
1997-03-20,11.332755088806152,20.0,20.25,19.8125,20.25,293600
1997-03-21,11.226503372192385,19.8125,20.0,19.75,20.0,747400
1997-03-24,11.669191360473633,20.59375,20.875,19.875,20.0,1332800
1997-03-25,11.828558921813965,20.875,21.0625,20.5625,20.5625,1529800
1997-03-26,11.438993453979492,20.1875,21.0,20.125,20.9375,1025600
1997-03-27,10.907771110534668,19.25,20.3125,19.25,20.3125,1149600
1997-03-31,10.62445068359375,18.75,19.4375,18.6875,19.4375,1339800
1997-04-01,10.518206596374512,18.5625,19.0625,18.25,18.75,1050200
1997-04-02,10.465089797973633,18.46875,18.75,18.375,18.75,598400
1997-04-03,10.659870147705078,18.8125,19.0,17.9375,18.25,1197000
1997-04-04,10.907771110534668,19.25,19.375,18.5,18.75,1581400
1997-04-07,11.120257377624512,19.625,19.875,19.3125,19.3125,1322400
1997-04-08,11.120257377624512,19.625,19.75,19.1875,19.75,770400
1997-04-09,11.014015197753906,19.4375,19.8125,19.375,19.8125,578600
1997-04-10,11.155678749084473,19.6875,19.6875,19.375,19.5,510200
1997-04-11,10.76611042022705,19.0,19.5625,18.78125,19.5,1968200
1997-04-14,11.102557182312012,19.59375,19.625,18.875,19.0,1239000
