Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CCL,CCL,CCL,CCL,CCL,CCL
Date,,,,,,
1997-12-22,15.523398399353027,25.75,25.84375,25.1875,25.375,802000
1997-12-23,16.088563919067383,26.6875,27.0,25.8125,25.875,1055800
1997-12-24,15.95668601989746,26.46875,26.84375,26.375,26.71875,235200
1997-12-26,15.975526809692385,26.5,26.625,26.375,26.5,89800
1997-12-29,16.20159912109375,26.875,26.9375,26.4375,26.625,863400
1997-12-30,16.446508407592773,27.28125,27.625,27.0,27.0,818600
1997-12-31,16.69141387939453,27.6875,27.9375,27.46875,27.5,620000
1998-01-02,16.389995574951172,27.1875,27.8125,27.0,27.75,554400
1998-01-05,16.57839012145996,27.5,27.90625,27.0,27.21875,787600
1998-01-06,16.27695655822754,27.0,27.5,27.0,27.3125,436600
1998-01-07,16.729093551635742,27.75,27.78125,27.03125,27.03125,621400
1998-01-08,16.766773223876953,27.8125,28.0,27.125,27.625,1349600
1998-01-09,16.050888061523438,26.625,27.8125,26.53125,27.8125,1195400
1998-01-12,16.03204917907715,26.59375,26.59375,26.21875,26.375,1007800
1998-01-13,15.82482624053955,26.25,26.65625,25.96875,26.65625,1168400
1998-01-14,15.975526809692385,26.5,26.5,25.96875,26.21875,587800
1998-01-15,15.975526809692385,26.5,26.5625,26.34375,26.5,402800
1998-01-16,16.352310180664062,27.125,27.125,26.5,26.5625,699600
1998-01-20,16.57839012145996,27.5,27.75,27.34375,27.625,677600
1998-01-21,16.540706634521484,27.4375,27.53125,27.1875,27.5,476400
1998-01-22,16.65373992919922,27.625,27.75,27.4375,27.4375,543200
1998-01-23,16.672578811645508,27.65625,27.90625,27.625,27.75,912400
1998-01-26,16.8044490814209,27.875,27.9375,27.53125,27.53125,838600
1998-01-27,16.87980842590332,28.0,28.125,27.5,27.96875,1121400
1998-01-28,16.992847442626953,28.1875,28.375,27.875,27.9375,684400
1998-01-29,16.992847442626953,28.1875,28.5,28.0625,28.4375,705400
1998-01-30,16.823293685913086,27.90625,28.25,27.875,28.21875,928400
1998-02-02,16.992847442626953,28.1875,28.40625,27.6875,28.0,871400
1998-02-03,16.729093551635742,27.75,28.3125,27.625,28.25,903800
1998-02-04,16.766773223876953,27.8125,28.0,27.59375,27.71875,842600
1998-02-05,16.8609619140625,27.96875,28.21875,27.96875,28.0625,619600
1998-02-06,17.049354553222656,28.28125,28.59375,28.0625,28.0625,487000
1998-02-09,17.20006561279297,28.53125,28.875,28.4375,28.5,407000
1998-02-10,17.331945419311523,28.75,28.96875,28.375,28.5625,533400
1998-02-11,17.698381423950195,29.28125,29.3125,28.78125,28.78125,735600
1998-02-12,17.339500427246094,28.6875,29.15625,28.5,29.15625,2540200
1998-02-13,17.282827377319336,28.59375,28.71875,28.5,28.5,1495000
1998-02-17,17.056175231933594,28.21875,28.65625,28.1875,28.65625,585800
1998-02-18,17.377277374267578,28.75,28.84375,28.1875,28.28125,646400
1998-02-19,17.41504669189453,28.8125,28.875,28.5,28.71875,606600
1998-02-20,17.377277374267578,28.75,28.96875,28.5,28.875,232800
1998-02-23,17.339500427246094,28.6875,29.0625,28.59375,28.875,699000
1998-02-24,17.245058059692383,28.53125,28.8125,28.53125,28.71875,570000
1998-02-25,17.566160202026367,29.0625,29.25,28.75,28.78125,728200
1998-02-26,17.698381423950195,29.28125,29.375,29.0625,29.125,798600
1998-02-27,17.792814254760742,29.4375,29.53125,29.15625,29.40625,764800
1998-03-02,17.943927764892578,29.6875,29.75,29.53125,29.5625,440400
1998-03-03,17.943927764892578,29.6875,29.875,29.59375,29.625,791800
1998-03-04,18.13280296325684,30.0,30.4375,29.9375,30.0,692400
1998-03-05,18.283916473388672,30.25,30.75,29.875,29.9375,963600
1998-03-06,18.680572509765625,30.90625,31.25,30.5,30.5,742200
1998-03-09,19.00166893005371,31.4375,31.5,30.96875,31.03125,933800
1998-03-10,18.737239837646484,31.0,31.65625,31.0,31.375,949000
1998-03-11,18.35947036743164,30.375,31.0,30.25,31.0,827200
1998-03-12,18.586122512817383,30.75,30.75,30.3125,30.4375,963800
1998-03-13,18.416133880615234,30.46875,31.0625,30.34375,30.78125,780000
1998-03-16,18.321691513061523,30.3125,30.46875,30.15625,30.46875,828400
1998-03-17,19.09611320495605,31.59375,31.71875,30.75,30.8125,855200
1998-03-18,19.07723045349121,31.5625,31.875,31.125,31.5625,955800
1998-03-19,19.77610206604004,32.71875,33.0,31.59375,31.59375,1320000
1998-03-20,20.116085052490234,33.28125,33.75,32.9375,33.125,1552400
1998-03-23,20.02164077758789,33.125,33.71875,33.0625,33.5,755000
1998-03-24,20.02164077758789,33.125,33.125,32.46875,33.0,2002600
1998-03-25,20.437196731567383,33.8125,34.0625,33.5,33.75,1290600
1998-03-26,20.456073760986328,33.84375,33.875,33.5625,33.78125,441600
1998-03-27,19.889434814453125,32.90625,34.25,32.875,34.0625,794000
1998-03-30,20.49385070800781,33.90625,34.0,33.125,33.25,708600
1998-03-31,21.079391479492188,34.875,34.875,33.59375,33.9375,1022600
1998-04-01,21.57048225402832,35.6875,36.0,34.875,34.875,1472800
1998-04-02,21.759370803833008,36.0,36.0,35.1875,35.6875,1312800
1998-04-03,22.363800048828125,37.0,37.84375,35.875,35.875,1613600
1998-04-06,22.91156578063965,37.90625,38.25,37.53125,37.625,1430400
1998-04-07,21.664928436279297,35.84375,37.8125,35.59375,37.75,2139000
1998-04-08,21.608266830444336,35.75,36.09375,35.65625,35.75,1413000
1998-04-09,21.079391479492188,34.875,35.78125,34.53125,35.75,1964600
1998-04-13,21.154943466186523,35.0,35.03125,34.78125,34.875,1200800
1998-04-14,21.83492660522461,36.125,36.46875,35.5,35.5,2310200
1998-04-15,21.759370803833008,36.0,36.625,35.875,36.5,1262600
1998-04-16,21.381610870361328,35.375,35.90625,35.3125,35.875,1295400
1998-04-17,21.438270568847656,35.46875,35.65625,35.125,35.5,906000
1998-04-20,21.21160697937012,35.09375,35.46875,34.6875,35.46875,1286800
1998-04-21,21.21160697937012,35.09375,35.125,34.125,35.0,2205600
1998-04-22,20.96606636047364,34.6875,35.375,34.65625,35.21875,644200
