Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NBR,NBR,NBR,NBR,NBR,NBR
Date,,,,,,
1999-10-19,468.60577392578125,548.4375,565.625,548.4375,551.5625,25372
1999-10-20,485.96148681640625,568.75,579.6875,550.0,553.125,27448
1999-10-21,511.3275146484375,598.4375,609.375,559.375,570.3125,43228
1999-10-22,526.0132446289062,615.625,625.0,612.5,615.625,25724
1999-10-25,518.0029907226562,606.25,632.8125,606.25,625.0,34104
1999-10-26,513.9977416992188,601.5625,610.9375,590.625,607.8125,22272
1999-10-27,515.3327026367188,603.125,621.875,601.5625,610.9375,15792
1999-10-28,489.966796875,573.4375,598.4375,559.375,596.875,50052
1999-10-29,484.6264953613281,567.1875,593.75,565.625,578.125,32712
1999-11-01,507.322265625,593.75,598.4375,562.5,575.0,47992
1999-11-02,513.9977416992188,601.5625,606.25,581.25,593.75,44720
1999-11-03,516.6679077148438,604.6875,617.1875,590.625,601.5625,22884
1999-11-04,512.6627197265625,600.0,615.625,596.875,609.375,26012
1999-11-05,495.30694580078125,579.6875,609.375,557.8125,606.25,46640
1999-11-08,566.0651245117188,662.5,662.5,580.46875,606.25,69692
1999-11-09,568.7352905273438,665.625,668.75,631.25,646.875,62584
1999-11-10,558.0548095703125,653.125,681.25,651.5625,668.75,42488
1999-11-11,552.7144775390625,646.875,657.8125,635.9375,637.5,45404
1999-11-12,578.0807495117188,676.5625,681.25,643.75,653.125,57180
1999-11-15,612.7921142578125,717.1875,718.75,675.0,681.25,50576
1999-11-16,587.4259033203125,687.5,717.1875,679.6875,706.25,52468
1999-11-17,616.7971801757812,721.875,731.25,695.3125,696.875,55556
1999-11-18,590.0962524414062,690.625,720.3125,684.375,718.75,48184
1999-11-19,587.4259033203125,687.5,707.8125,676.5625,687.5,45740
1999-11-22,590.0962524414062,690.625,728.125,687.5,709.375,70772
1999-11-23,568.7352905273438,665.625,695.3125,660.9375,690.625,65296
1999-11-24,583.4208374023438,682.8125,704.6875,670.3125,687.5,59520
1999-11-26,576.7455444335938,675.0,687.5,671.875,687.5,17228
1999-11-29,559.389892578125,654.6875,675.0,643.75,675.0,51556
1999-11-30,567.3999633789062,664.0625,676.5625,639.0625,640.625,48684
1999-12-01,614.1273193359375,718.75,718.75,662.5,662.5,36296
1999-12-02,608.7869262695312,712.5,714.0625,670.3125,703.125,50284
1999-12-03,580.750732421875,679.6875,710.9375,662.5,706.25,30560
1999-12-06,563.3948974609375,659.375,700.0,654.6875,679.6875,30928
1999-12-07,528.68359375,618.75,676.5625,612.5,656.25,31160
1999-12-08,563.3948974609375,659.375,678.125,590.625,612.5,49752
1999-12-09,551.3793334960938,645.3125,665.625,625.0,643.75,28652
1999-12-10,539.3638916015625,631.25,648.4375,609.375,646.875,31612
1999-12-13,538.0288696289062,629.6875,657.8125,621.875,634.375,24780
1999-12-14,552.7144775390625,646.875,653.125,625.0,628.125,27332
1999-12-15,584.7560424804688,684.375,685.9375,659.375,659.375,43964
1999-12-16,590.0962524414062,690.625,693.75,665.625,678.125,29548
1999-12-17,567.3999633789062,664.0625,684.375,650.0,650.0,35904
1999-12-20,562.0599365234375,657.8125,673.4375,648.4375,659.375,18348
1999-12-21,568.7352905273438,665.625,678.125,653.125,653.125,22112
1999-12-22,575.4103393554688,673.4375,678.125,659.375,678.125,17676
1999-12-23,614.1273193359375,718.75,718.75,667.1875,675.0,26456
1999-12-27,628.8129272460938,735.9375,750.0,712.5,712.5,42836
1999-12-28,639.4932250976562,748.4375,753.125,732.8125,735.9375,46812
1999-12-29,666.1944580078125,779.6875,781.25,737.5,742.1875,59944
1999-12-30,630.1480102539062,737.5,775.0,737.5,773.4375,32788
