Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EOG,EOG,EOG,EOG,EOG,EOG
Date,,,,,,
1999-11-03,3.452439308166504,4.921875,4.96875,4.765625,4.796875,5707600
1999-11-04,3.320918321609497,4.734375,4.96875,4.625,4.921875,1625600
1999-11-05,3.211318254470825,4.578125,4.78125,4.34375,4.75,9891600
1999-11-08,3.288039207458496,4.6875,4.71875,4.578125,4.578125,3473600
1999-11-09,3.397639513015747,4.84375,4.859375,4.671875,4.703125,4055600
1999-11-10,3.463400363922119,4.9375,5.0625,4.828125,4.859375,2160800
1999-11-11,3.397639513015747,4.84375,4.96875,4.78125,4.96875,1836400
1999-11-12,3.4414803981781006,4.90625,5.015625,4.78125,4.8125,2381600
1999-11-15,3.529160261154175,5.03125,5.0625,4.90625,4.90625,1271600
1999-11-16,3.408599138259888,4.859375,5.0,4.78125,4.96875,1710400
1999-11-17,3.660680532455444,5.21875,5.453125,4.890625,4.90625,3100400
1999-11-18,3.573002338409424,5.09375,5.15625,4.921875,5.0625,2759200
1999-11-19,3.4414803981781006,4.90625,5.015625,4.859375,4.96875,4571600
1999-11-22,3.408599138259888,4.859375,4.984375,4.75,4.875,2540400
1999-11-23,3.3757195472717285,4.8125,4.875,4.59375,4.84375,8740800
1999-11-24,3.463400363922119,4.9375,4.984375,4.84375,4.84375,5987200
1999-11-26,3.463400363922119,4.9375,4.96875,4.921875,4.9375,1155600
1999-11-29,3.288039207458496,4.6875,4.890625,4.6875,4.875,4353600
1999-11-30,3.2441983222961426,4.625,4.75,4.546875,4.6875,3780000
1999-12-01,3.277077436447144,4.671875,4.75,4.578125,4.6875,2977600
1999-12-02,3.13459587097168,4.46875,4.625,4.453125,4.625,2751600
1999-12-03,3.046915292739868,4.34375,4.546875,4.25,4.53125,1984400
1999-12-06,2.893474102020264,4.125,4.328125,4.125,4.25,1987600
1999-12-07,2.6523513793945312,3.78125,3.953125,3.625,3.875,19160000
1999-12-08,2.740030527114868,3.90625,4.0,3.59375,3.78125,9156800
1999-12-09,2.772911310195923,3.953125,4.0625,3.75,4.015625,4218800
1999-12-10,2.740030527114868,3.90625,3.984375,3.765625,3.984375,3742000
1999-12-13,2.8057923316955566,4.0,4.25,3.9375,3.96875,4740400
1999-12-14,2.783872365951538,3.96875,4.09375,3.9375,4.046875,2705600
1999-12-15,2.827712297439575,4.03125,4.140625,3.96875,3.96875,6146800
1999-12-16,2.970194101333618,4.234375,4.234375,4.0625,4.0625,6224000
1999-12-17,3.014035701751709,4.296875,4.296875,4.21875,4.296875,4254800
1999-12-20,2.9921140670776367,4.265625,4.3125,4.15625,4.296875,3943200
1999-12-21,2.9811553955078125,4.25,4.296875,4.171875,4.265625,2204800
1999-12-22,2.948275089263916,4.203125,4.25,4.125,4.21875,2402000
1999-12-23,2.9921140670776367,4.265625,4.375,4.125,4.140625,4230800
1999-12-27,2.893474102020264,4.125,4.296875,4.046875,4.234375,2252800
1999-12-28,2.9811553955078125,4.25,4.28125,4.015625,4.25,3511200
1999-12-29,3.035956382751465,4.328125,4.421875,4.25,4.3125,1347200
1999-12-30,2.9921140670776367,4.265625,4.421875,4.125,4.421875,1889600
1999-12-31,3.079796075820923,4.390625,4.390625,4.140625,4.21875,924400
2000-01-03,2.7181107997894287,3.875,4.34375,3.75,4.296875,3971200
2000-01-04,2.7181107997894287,3.875,3.90625,3.6875,3.75,5402800
2000-01-05,2.6413915157318115,3.765625,3.875,3.71875,3.8125,3598000
2000-01-06,2.8605923652648926,4.078125,4.125,3.734375,3.765625,3956000
2000-01-07,2.827712297439575,4.03125,4.1875,3.984375,4.125,2756400
2000-01-10,2.849632501602173,4.0625,4.0625,3.90625,3.96875,1998800
2000-01-11,2.871553421020508,4.09375,4.15625,4.0,4.0,2788400
2000-01-12,2.8768246173858643,4.09375,4.140625,4.015625,4.078125,2079200
2000-01-13,2.93172550201416,4.171875,4.234375,4.109375,4.125,4296400
2000-01-14,2.986626625061035,4.25,4.28125,4.140625,4.234375,5099200
2000-01-18,2.9976067543029785,4.265625,4.484375,4.171875,4.3125,3706800
2000-01-19,3.008584976196289,4.28125,4.453125,4.28125,4.328125,1662400
2000-01-20,2.9427061080932617,4.1875,4.28125,4.0,4.265625,4240800
2000-01-21,2.854863166809082,4.0625,4.328125,4.03125,4.234375,7760000
2000-01-24,2.7889821529388428,3.96875,4.046875,3.859375,4.0,5458400
2000-01-25,2.745059967041016,3.90625,4.046875,3.890625,3.96875,5332000
2000-01-26,2.778001546859741,3.953125,4.0625,3.921875,3.921875,4566400
2000-01-27,2.712120294570923,3.859375,4.03125,3.8125,3.96875,2605200
2000-01-28,2.679177761077881,3.8125,3.921875,3.796875,3.859375,2298000
2000-01-31,2.7889821529388428,3.96875,3.984375,3.765625,3.875,3082800
2000-02-01,2.8109426498413086,4.0,4.046875,3.90625,3.9375,2764000
2000-02-02,2.898784875869751,4.125,4.171875,4.0625,4.0625,4101200
2000-02-03,2.832902193069458,4.03125,4.203125,4.03125,4.15625,3419200
2000-02-04,2.7560410499572754,3.921875,4.140625,3.8125,4.015625,2589200
2000-02-07,2.7340798377990723,3.890625,4.03125,3.859375,3.984375,3120800
2000-02-08,2.7231006622314453,3.875,3.96875,3.828125,3.921875,2361600
2000-02-09,2.646239280700684,3.765625,3.96875,3.71875,3.90625,3786400
2000-02-10,2.7889821529388428,3.96875,3.96875,3.765625,3.765625,3636800
2000-02-11,2.745059967041016,3.90625,3.984375,3.8125,3.984375,3043600
2000-02-14,2.76702094078064,3.9375,3.96875,3.828125,3.90625,2067200
2000-02-15,2.854863166809082,4.0625,4.125,3.921875,3.9375,2679600
2000-02-16,2.799962043762207,3.984375,4.140625,3.984375,4.09375,2467600
2000-02-17,2.8438825607299805,4.046875,4.046875,3.96875,4.015625,4590800
2000-02-18,2.7560410499572754,3.921875,4.0625,3.921875,4.046875,2795200
2000-02-22,2.7231006622314453,3.875,3.953125,3.796875,3.90625,1354400
2000-02-23,2.591336727142334,3.6875,3.9375,3.671875,3.84375,2829600
2000-02-24,2.4595746994018555,3.5,3.734375,3.4375,3.734375,5046800
2000-02-25,2.4376144409179688,3.46875,3.5625,3.421875,3.515625,5426400
2000-02-28,2.4925153255462646,3.546875,3.625,3.453125,3.515625,3141200
2000-02-29,2.679177761077881,3.8125,3.8125,3.53125,3.546875,8637600
2000-03-01,2.745059967041016,3.90625,3.9375,3.8125,3.875,6214400
2000-03-02,3.1183886528015137,4.4375,4.46875,4.0,4.0,8708800
2000-03-03,3.0415284633636475,4.328125,4.53125,4.15625,4.4375,6155200
2000-03-06,3.0525076389312744,4.34375,4.46875,4.25,4.28125,1912400
2000-03-07,3.2830922603607178,4.671875,4.734375,4.40625,4.53125,4027600
2000-03-08,3.3160345554351807,4.71875,4.859375,4.53125,4.65625,6978400
2000-03-09,3.294072151184082,4.6875,4.78125,4.59375,4.75,2698800
2000-03-10,3.261133909225464,4.640625,4.78125,4.5,4.609375,4815600
2000-03-13,3.206230878829956,4.5625,4.734375,4.546875,4.578125,1570000
2000-03-14,3.250151395797729,4.625,4.703125,4.53125,4.578125,2675200
2000-03-15,3.2172117233276367,4.578125,4.71875,4.46875,4.6875,2478400
2000-03-16,3.294072151184082,4.6875,4.84375,4.5625,4.578125,3574800
2000-03-17,3.250151395797729,4.625,4.75,4.578125,4.6875,1438800
2000-03-20,3.228190898895264,4.59375,4.609375,4.4375,4.578125,2441600
2000-03-21,3.2830922603607178,4.671875,4.71875,4.546875,4.59375,3318400
2000-03-22,3.3270153999328613,4.734375,4.921875,4.59375,4.78125,7837600
2000-03-23,3.3379950523376465,4.75,4.765625,4.6875,4.75,2806000
2000-03-24,3.2391719818115234,4.609375,4.78125,4.59375,4.734375,3700000
2000-03-27,3.2391719818115234,4.609375,4.71875,4.5625,4.59375,3110800
2000-03-28,3.392894506454468,4.828125,4.96875,4.671875,4.671875,3733600
2000-03-29,3.705833196640015,5.273437976837158,5.421875,4.84375,4.84375,5833600
2000-03-30,4.040729522705078,5.75,6.015625,5.375,5.421875,11296000
2000-03-31,3.722303628921509,5.296875,5.9375,5.296875,5.734375,6144800
2000-04-03,4.084650039672852,5.8125,5.84375,5.4375,5.5,4421600
2000-04-04,3.985827922821045,5.671875,6.015625,5.453125,5.96875,8818400
2000-04-05,3.9199466705322266,5.578125,5.875,5.46875,5.78125,4235200
2000-04-06,4.084650039672852,5.8125,5.84375,5.609375,5.640625,2180800
2000-04-07,4.150531768798828,5.90625,5.953125,5.75,5.796875,2288000
2000-04-10,3.952887296676636,5.625,5.90625,5.515625,5.890625,3462000
2000-04-11,4.117590427398682,5.859375,5.96875,5.640625,5.640625,3255600
2000-04-12,4.27678918838501,6.078125,6.234375,5.953125,5.96875,6724400
2000-04-13,4.309772968292236,6.125,6.171875,5.984375,6.0,3855200
2000-04-14,4.089886665344238,5.8125,6.140625,5.71875,6.140625,4076000
2000-04-17,4.034914016723633,5.734375,5.859375,5.625,5.859375,2638800
2000-04-18,4.177840709686279,5.9375,5.96875,5.625,5.671875,2716800
2000-04-19,4.078892230987549,5.796875,6.125,5.71875,5.90625,4382400
2000-04-20,4.188833236694336,5.953125,6.140625,5.78125,6.125,5895600
2000-04-24,4.089886665344238,5.8125,5.90625,5.765625,5.890625,4030800
2000-04-25,4.1558518409729,5.90625,5.984375,5.875,5.875,3372400
2000-04-26,4.1558518409729,5.90625,5.984375,5.875,5.9375,2989200
2000-04-27,4.221816062927246,6.0,6.046875,5.828125,5.875,4181600
2000-04-28,4.375739574432373,6.21875,6.21875,5.984375,5.984375,4572800
2000-05-01,4.551648616790772,6.46875,6.53125,6.21875,6.25,8929600
2000-05-02,4.727554798126221,6.71875,6.84375,6.484375,6.5,7471200
2000-05-03,4.617610931396484,6.5625,6.796875,6.53125,6.703125,7364800
2000-05-04,4.870482444763184,6.921875,7.03125,6.53125,6.5625,8126800
2000-05-05,5.002413749694824,7.109375,7.15625,6.84375,6.859375,5255200
2000-05-08,5.101361274719238,7.25,7.359375,7.0,7.03125,6769200
2000-05-09,5.024402141571045,7.140625,7.34375,6.9375,7.234375,6667200
2000-05-10,5.05738639831543,7.1875,7.203125,6.953125,7.109375,2924800
2000-05-11,5.178321838378906,7.359375,7.375,7.203125,7.25,4901200
2000-05-12,5.222297668457031,7.421875,7.4375,7.21875,7.375,3829600
2000-05-15,5.1893157958984375,7.375,7.484375,7.375,7.390625,6628800
2000-05-16,4.925452709197998,7.0,7.375,6.953125,7.375,5500400
2000-05-17,5.255285263061523,7.46875,7.625,7.0,7.03125,7666400
