Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JBL,JBL,JBL,JBL,JBL,JBL
Date,,,,,,
2000-01-31,24.589920043945312,31.625,32.25,30.875,31.28125,865800
2000-02-01,25.44036293029785,32.71875,33.0,31.875,32.0,862200
2000-02-02,26.48519897460937,34.0625,34.40625,32.1875,32.71875,757600
2000-02-03,27.602922439575195,35.5,35.6875,34.4375,34.875,1266200
2000-02-04,27.06835556030273,34.8125,35.96875,34.78125,35.8125,549600
2000-02-07,27.311336517333984,35.125,35.4375,34.5625,34.875,373200
2000-02-08,29.449596405029297,37.875,38.5,36.09375,36.15625,2191600
2000-02-09,30.00844955444336,38.59375,39.65625,38.21875,38.21875,1513600
2000-02-10,29.255205154418945,37.625,38.90625,37.15625,38.6875,993200
2000-02-11,28.69635391235352,36.90625,38.0,36.84375,37.75,916800
2000-02-14,28.30756568908692,36.40625,37.75,36.25,37.03125,801400
2000-02-15,28.599145889282227,36.78125,37.125,35.75,36.46875,1005000
2000-02-16,28.67205238342285,36.875,37.34375,36.25,36.6875,1656200
2000-02-17,27.40852165222168,35.25,36.4375,34.9375,36.25,1370600
2000-02-18,26.46088600158692,34.03125,35.375,33.65625,35.375,1474400
2000-02-22,26.14501190185547,33.625,35.21875,33.375,34.9375,1303200
2000-02-23,26.77677345275879,34.4375,35.0625,33.59375,33.90625,978200
2000-02-24,26.67956924438477,34.3125,35.09375,33.5,34.5,706200
2000-02-25,27.797298431396484,35.75,36.1875,34.21875,34.4375,1111200
2000-02-28,27.45712852478028,35.3125,36.3125,34.4375,35.78125,749200
2000-02-29,26.99544715881348,34.71875,36.125,34.71875,35.4375,713000
2000-03-01,27.06835556030273,34.8125,35.375,34.6875,34.84375,754000
2000-03-02,27.530027389526367,35.40625,36.6875,34.9375,34.9375,913800
2000-03-03,28.453350067138672,36.59375,37.0,35.34375,36.25,2019400
2000-03-06,31.879432678222656,41.0,41.0625,37.84375,38.0,4181600
2000-03-07,31.126171112060547,40.03125,41.875,39.40625,41.34375,2070400
2000-03-08,30.421520233154297,39.125,40.75,38.8125,40.15625,892200
2000-03-09,32.02521133422852,41.1875,41.4375,39.53125,39.75,914800
2000-03-10,34.69804382324219,44.625,44.75,41.375,41.5625,2026400
2000-03-13,33.43452453613281,43.0,43.6875,42.0,43.6875,1467800
2000-03-14,33.04573440551758,42.5,45.4375,42.0625,44.125,2372800
2000-03-15,30.37294006347656,39.0625,42.53125,38.625,42.53125,1695200
2000-03-16,33.43452453613281,43.0,43.0,39.6875,41.5,2392000
2000-03-17,32.46259689331055,41.75,42.75,40.125,41.0,3545800
2000-03-20,32.17100143432617,41.375,42.75,41.0,41.25,1301000
2000-03-21,31.685041427612305,40.75,42.1875,39.875,41.5,1599600
2000-03-22,31.928016662597656,41.0625,41.59375,39.75,41.4375,2957400
2000-03-23,31.393455505371094,40.375,41.6875,40.0625,41.125,1696800
2000-03-24,32.000919342041016,41.15625,43.96875,41.0,42.4375,4918000
2000-03-27,34.16347122192383,43.9375,45.0,41.75,41.75,2077400
2000-03-28,34.47934341430664,44.34375,44.875,43.375,44.5,1818000
2000-03-29,32.511165618896484,41.8125,44.03125,41.0,44.0,1739400
2000-03-30,31.247671127319336,40.1875,41.78125,38.8125,41.75,1473000
2000-03-31,33.62890625,43.25,43.9375,39.625,41.375,1768400
2000-04-03,31.879432678222656,41.0,42.8125,40.0625,42.5,1067300
2000-04-04,29.498170852661133,37.9375,41.5,33.5625,41.0,1879400
2000-04-05,30.56731414794922,39.3125,40.0,37.0,37.125,1505200
2000-04-06,31.490636825561523,40.5,41.3125,39.0625,39.5,1557100
2000-04-07,32.07380294799805,41.25,43.0,40.0,41.0,1077100
2000-04-10,30.37294006347656,39.0625,41.875,38.1875,41.5,992400
2000-04-11,29.498170852661133,37.9375,38.8125,36.75,38.8125,883000
2000-04-12,25.75624656677246,33.125,38.4375,32.75,37.8125,1417900
2000-04-13,26.67956924438477,34.3125,36.8125,33.0625,33.625,1640700
2000-04-14,25.075883865356445,32.25,32.875,28.125,32.5,2289800
2000-04-17,25.17308616638184,32.375,32.5,30.5,32.0,1414900
2000-04-18,27.517871856689453,35.390625,36.0,32.9375,33.25,1964100
2000-04-19,29.546775817871094,38.0,39.375,35.6875,36.5,1291800
2000-04-20,28.623443603515625,36.8125,38.9375,36.0,38.0,1242800
2000-04-24,29.10940933227539,37.4375,38.6875,36.25,37.375,983400
2000-04-25,30.81030464172364,39.625,39.8125,38.375,38.75,742500
2000-04-26,30.3243350982666,39.0,41.125,38.625,39.6875,734400
2000-04-27,31.63643455505371,40.6875,41.9375,37.25,38.5,1184400
2000-04-28,31.685041427612305,40.75,42.25,40.625,41.5,544300
2000-05-01,32.55977249145508,41.875,41.875,38.875,40.625,1507900
2000-05-02,30.56731414794922,39.3125,41.375,39.25,41.125,688500
2000-05-03,29.9841537475586,38.5625,39.625,37.125,39.5,792600
2000-05-04,30.51871109008789,39.25,40.375,38.8125,39.25,844200
2000-05-05,29.64398193359375,38.125,39.1875,38.125,39.0,636900
2000-05-08,28.283266067504883,36.375,39.0,36.25,39.0,843700
2000-05-09,27.94308853149414,35.9375,37.0,35.0625,36.125,1234400
