Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SSP,SSP,SSP,SSP,SSP,SSP
Date,,,,,,
2004-12-20,8.062561988830566,121.51730346679688,121.91659545898438,120.90505981445312,120.90505981445312,142265
2004-12-21,8.256841659545898,124.44542694091797,124.5252914428711,121.11801147460938,121.11801147460938,259248
2004-12-22,8.491742134094238,127.98580169677734,128.17213439941406,124.81809997558594,124.84471893310547,385021
2004-12-23,8.43345832824707,127.10736846923828,128.118896484375,127.02750396728516,127.98580169677734,218713
2004-12-27,8.451122283935547,127.3735580444336,127.95918273925781,126.30878448486328,126.70807647705078,103083
2004-12-28,8.493509292602539,128.01242065429688,128.6779022216797,126.70807647705078,126.70807647705078,180808
2004-12-29,8.504105567932129,128.17213439941406,128.83761596679688,127.71961212158203,128.2786102294922,112662
2004-12-30,8.56945514678955,129.1570587158203,129.3433837890625,127.58650970458984,127.7728500366211,100528
2004-12-31,8.527067184448242,128.5181884765625,129.3167724609375,128.5181884765625,128.57142639160156,98462
2005-01-03,8.42286205291748,126.94764709472656,129.02395629882812,126.94764709472656,128.54481506347656,255040
2005-01-04,8.43522834777832,127.13398742675781,127.98580169677734,126.84117126464844,127.61312866210938,213153
2005-01-05,8.438759803771973,127.18722534179688,127.98580169677734,126.57498168945312,126.9742660522461,176188
2005-01-06,8.523534774780273,128.46495056152344,128.7843780517578,126.76131439208984,126.9742660522461,221531
2005-01-07,8.548260688781738,128.83761596679688,129.23690795898438,128.17213439941406,128.46495056152344,116945
2005-01-10,8.572985649108887,129.21029663085938,129.8757781982422,128.86424255371094,129.10382080078125,108079
2005-01-11,8.572985649108887,129.21029663085938,129.42324829101562,128.43833923339844,128.97071838378906,176225
2005-01-12,8.5941801071167,129.52972412109375,129.76930236816406,128.57142639160156,129.63619995117188,201470
2005-01-13,8.565922737121582,129.10382080078125,129.66282653808594,128.19876098632812,129.5563507080078,201996
2005-01-14,8.523534774780273,128.46495056152344,129.716064453125,127.93256378173828,129.716064453125,225099
2005-01-18,8.539427757263184,128.70452880859375,129.1836700439453,127.87932586669922,128.4915771484375,195196
2005-01-19,8.47231388092041,127.6929931640625,128.73114013671875,127.45341491699219,128.73114013671875,143317
2005-01-20,8.474082946777344,127.71961212158203,128.30523681640625,126.4152603149414,127.95918273925781,193093
2005-01-21,8.567688941955566,129.13043212890625,129.37001037597656,127.05412292480469,127.05412292480469,310376
2005-01-24,8.459951400756836,127.50665283203125,129.13043212890625,127.50665283203125,129.13043212890625,227692
2005-01-25,8.405200958251953,126.68145751953125,128.4915771484375,126.30878448486328,128.17213439941406,345764
2005-01-26,8.357514381408691,125.96273040771484,126.9742660522461,125.51020050048828,126.68145751953125,196624
2005-01-27,8.232114791870117,124.07276153564453,126.17568969726562,124.046142578125,126.17568969726562,309474
2005-01-28,8.207388877868652,123.70008850097656,124.44542694091797,123.11446380615234,124.09938049316406,179644
2005-01-31,8.187963485717773,123.40727233886719,123.77994537353516,122.90150451660156,123.70008850097656,289864
2005-02-01,8.195024490356445,123.51375579833984,123.6468505859375,122.92813110351562,123.38065338134766,436374
2005-02-02,8.193260192871094,123.48713684082031,123.99290466308594,122.95475006103516,123.6468505859375,203874
2005-02-03,8.195024490356445,123.51375579833984,123.88642120361328,122.66193389892578,123.48713684082031,91512
2005-02-04,8.237414360046387,124.15261840820312,124.31233215332031,123.40727233886719,123.51375579833984,117809
2005-02-07,8.272738456726074,124.68500518798828,125.37710571289062,123.77994537353516,124.15261840820312,64239
2005-02-08,8.265673637390137,124.57852935791016,125.11091613769531,123.7267074584961,124.68500518798828,70475
2005-02-09,8.18089771270752,123.30079650878906,124.71162414550781,123.22093963623047,124.60514831542969,92189
2005-02-10,8.187963485717773,123.40727233886719,125.11091613769531,122.20940399169922,123.3274154663086,116382
2005-02-11,8.42639446258545,127.00088500976562,127.48003387451172,123.24755859375,123.43389129638672,277580
2005-02-14,8.339852333068848,125.69654083251953,127.10736846923828,125.37710571289062,127.08074188232422,139973
2005-02-15,8.362812042236328,126.04258728027344,127.34693908691406,125.53681945800781,125.7497787475586,106126
2005-02-16,8.313361167907715,125.29724884033203,127.10736846923828,124.97781372070312,126.04258728027344,169012
2005-02-17,8.292166709899902,124.97781372070312,125.64330291748047,124.84471893310547,125.11091613769531,87568
2005-02-18,8.246244430541992,124.28571319580078,125.61668395996094,124.23247528076172,125.37710571289062,67845
2005-02-22,8.338088035583496,125.669921875,126.04258728027344,123.77994537353516,124.31233215332031,199629
2005-02-23,8.256841659545898,124.44542694091797,125.85625457763672,124.44542694091797,125.69654083251953,293058
2005-02-24,8.320561408996582,125.13753509521484,125.13753509521484,123.54037475585938,124.20585632324219,291330
2005-02-25,8.247991561889648,124.046142578125,125.5900650024414,123.9662857055664,125.51020050048828,202522
2005-02-28,8.170111656188965,122.87488555908203,124.046142578125,122.63531494140625,124.046142578125,279759
2005-03-01,8.247991561889648,124.046142578125,124.44542694091797,122.63531494140625,122.92813110351562,158682
2005-03-02,8.309941291809082,124.97781372070312,125.72315979003906,123.62023162841797,124.046142578125,225738
2005-03-03,8.292241096496582,124.71162414550781,125.64330291748047,124.31233215332031,125.51020050048828,135879
2005-03-04,8.263921737670898,124.28571319580078,125.51020050048828,124.01952362060547,124.71162414550781,120138
2005-03-07,8.318790435791016,125.11091613769531,125.45696258544922,124.9511947631836,125.24401092529297,97448
2005-03-08,8.39666748046875,126.28216552734375,126.28216552734375,124.44542694091797,124.44542694091797,125059
2005-03-09,8.297551155090332,124.7914810180664,126.52173614501953,124.63176727294922,126.06920623779297,115780
2005-03-10,8.262149810791016,124.25909423828125,125.11091613769531,123.54037475585938,125.11091613769531,73819
2005-03-11,8.409058570861816,126.46849822998047,127.13398742675781,124.44542694091797,124.44542694091797,209246
2005-03-14,8.598443984985352,129.3167724609375,129.4764862060547,126.4951171875,126.4951171875,217436
2005-03-15,8.504638671875,127.90594482421875,130.7808380126953,127.7728500366211,129.5829620361328,238323
2005-03-16,8.442686080932617,126.9742660522461,127.87932586669922,126.60160064697266,127.24046325683594,112287
2005-03-17,8.584283828735352,129.10382080078125,129.21029663085938,127.05412292480469,127.05412292480469,250232
2005-03-18,8.548884391784668,128.57142639160156,129.3433837890625,127.90594482421875,128.7843780517578,144369
2005-03-21,8.543575286865234,128.4915771484375,128.86424255371094,127.7728500366211,127.90594482421875,78627
2005-03-22,8.522335052490234,128.17213439941406,128.97071838378906,128.14552307128906,128.43833923339844,194107
2005-03-23,8.5064058303833,127.93256378173828,128.2786102294922,126.9742660522461,128.17213439941406,225926
2005-03-24,8.5311861038208,128.30523681640625,129.02395629882812,127.3735580444336,127.95918273925781,188998
2005-03-28,8.571891784667969,128.91748046875,129.74267578125,128.03904724121094,128.2519989013672,73706
2005-03-29,8.4993257522583,127.82608795166016,129.716064453125,127.79946899414062,129.716064453125,178291
2005-03-30,8.586052894592285,129.13043212890625,129.52972412109375,128.03904724121094,128.3584747314453,118823
2005-03-31,8.628533363342285,129.76930236816406,131.1002655029297,129.1836700439453,130.16859436035156,208345
2005-04-01,8.509944915771484,127.98580169677734,130.91392517089844,127.6929931640625,130.91392517089844,177014
2005-04-04,8.517026901245117,128.09228515625,128.59805297851562,127.61312866210938,128.5181884765625,169388
2005-04-05,8.566584587097168,128.83761596679688,129.23690795898438,128.3850860595703,128.7577667236328,107253
2005-04-06,8.518794059753418,128.118896484375,129.10382080078125,128.06565856933594,129.10382080078125,80205
2005-04-07,8.513486862182617,128.03904724121094,128.86424255371094,127.90594482421875,128.6512908935547,78965
2005-04-08,8.508177757263184,127.95918273925781,128.41171264648438,127.24046325683594,128.03904724121094,109770
2005-04-11,8.548884391784668,128.57142639160156,128.91748046875,127.53327178955078,128.17213439941406,103459
2005-04-12,8.596671104431152,129.29014587402344,129.29014587402344,128.30523681640625,128.59805297851562,114992
2005-04-13,8.552423477172852,128.62466430664062,129.23690795898438,128.09228515625,129.02395629882812,84563
2005-04-14,9.155978202819824,137.7018585205078,140.8429412841797,132.05856323242188,133.09671020507812,803250
2005-04-15,9.265717506408691,139.35226440429688,139.6184539794922,136.10470581054688,137.72848510742188,411656
2005-04-18,9.154208183288574,137.6752471923828,139.5918426513672,137.036376953125,138.42059326171875,333367
2005-04-19,9.044471740722656,136.02484130859375,138.3939666748047,135.75865173339844,138.34072875976562,181109
2005-04-20,8.978982925415039,135.03993225097656,136.31765747070312,133.81544494628906,136.0514678955078,225776
2005-04-21,9.044471740722656,136.02484130859375,136.82342529296875,134.56077575683594,135.03993225097656,175962
2005-04-22,8.932967185974121,134.3478240966797,137.08961486816406,133.6291046142578,136.29103088378906,184527
2005-04-25,8.922343254089355,134.1881103515625,135.19964599609375,134.1881103515625,135.0133056640625,222770
2005-04-26,9.009075164794922,135.49246215820312,136.13131713867188,134.16148376464844,134.26797485351562,201958
2005-04-27,9.026775360107422,135.75865173339844,136.4507598876953,133.6557159423828,134.96006774902344,101129
2005-04-28,8.955972671508789,134.69387817382812,135.1730194091797,134.56077575683594,135.09317016601562,137494
2005-04-29,9.014382362365723,135.5723114013672,136.3442840576172,134.72048950195312,134.72048950195312,168712
2005-05-02,8.911724090576172,134.0283966064453,135.73202514648438,132.963623046875,135.49246215820312,376794
2005-05-03,8.955972671508789,134.69387817382812,135.83851623535156,133.5492401123047,134.0283966064453,241591
2005-05-04,9.154208183288574,137.6752471923828,138.0745391845703,134.8269805908203,134.8269805908203,217887
2005-05-05,9.071023941040039,136.42413330078125,137.94143676757812,135.89175415039062,137.14285278320312,129117
2005-05-06,9.072790145874023,136.4507598876953,137.75509643554688,136.15794372558594,136.8766632080078,146435
2005-05-09,9.152441024780273,137.64862060546875,137.7018585205078,136.42413330078125,136.50399780273438,90573
2005-05-10,9.081640243530273,136.58384704589844,137.62200927734375,136.13131713867188,137.48890686035156,85953
2005-05-11,9.046242713928223,136.0514678955078,136.6370849609375,135.27951049804688,136.18455505371094,151394
2005-05-12,9.053322792053223,136.15794372558594,137.48890686035156,135.62554931640625,135.89175415039062,149365
2005-05-13,9.026775360107422,135.75865173339844,136.7701873779297,135.22625732421875,136.69032287597656,270856
2005-05-16,9.095803260803223,136.7967987060547,136.7967987060547,134.13487243652344,135.49246215820312,222470
2005-05-17,9.150670051574707,137.62200927734375,137.80833435058594,135.62554931640625,136.26441955566406,95232
2005-05-18,9.150670051574707,137.62200927734375,138.28749084472656,136.7967987060547,137.5953826904297,103534
2005-05-19,9.14535903930664,137.54214477539062,138.2608642578125,136.82342529296875,137.22271728515625,70250
2005-05-20,9.056859970092773,136.211181640625,137.75509643554688,135.9716033935547,137.75509643554688,125736
2005-05-23,9.132967948913574,137.35580444335938,137.80833435058594,135.75865173339844,135.7852783203125,149778
2005-05-24,9.140049934387207,137.46229553222656,137.91482543945312,136.53060913085938,136.69032287597656,73030
2005-05-25,8.993144035339355,135.2528839111328,137.62200927734375,134.9866943359375,137.62200927734375,149478
2005-05-26,9.046359062194824,135.75865173339844,136.29103088378906,134.7471160888672,134.7471160888672,125135
2005-05-27,9.087152481079102,136.3708953857422,136.39752197265625,135.35935974121094,135.35935974121094,68559
2005-05-31,9.064091682434082,136.02484130859375,136.6104736328125,135.59893798828125,136.6104736328125,157179
2005-06-01,9.060548782348633,135.9716033935547,136.92990112304688,135.75865173339844,135.89175415039062,66493
2005-06-02,9.090704917907715,136.42413330078125,136.66371154785156,135.49246215820312,136.3708953857422,60182
2005-06-03,9.094250679016113,136.4773712158203,136.69032287597656,135.99822998046875,135.99822998046875,60933
2005-06-06,9.069416046142578,136.10470581054688,136.42413330078125,135.75865173339844,136.29103088378906,127351
2005-06-07,8.88139533996582,133.28305053710938,134.4276885986328,131.71250915527344,134.0283966064453,449448
2005-06-08,8.776742935180664,131.71250915527344,133.30967712402344,131.57940673828125,132.8305206298828,246437
2005-06-09,8.663217544555664,130.00888061523438,131.71250915527344,129.63619995117188,131.71250915527344,219464
2005-06-10,8.70401382446289,130.62112426757812,131.23336791992188,129.10382080078125,129.74267578125,314809
2005-06-13,8.76787281036377,131.57940673828125,131.63265991210938,130.1153564453125,130.56788635253906,190989
2005-06-14,8.691596031188965,130.43478393554688,131.4995574951172,130.3815460205078,131.1002655029297,383706
2005-06-15,8.741266250610352,131.1801300048828,131.366455078125,130.46139526367188,130.9671630859375,151469
2005-06-16,8.782062530517578,131.79237365722656,132.4312286376953,130.86068725585938,131.63265991210938,221005
2005-06-17,8.780287742614746,131.7657470703125,132.11180114746094,131.47293090820312,132.0319366455078,129906
2005-06-20,8.709335327148438,130.7009735107422,131.57940673828125,130.32830810546875,131.366455078125,183400
2005-06-21,8.792705535888672,131.95208740234375,132.2981414794922,130.64773559570312,130.75421142578125,240201
2005-06-22,8.780287742614746,131.7657470703125,132.0319366455078,131.4995574951172,131.95208740234375,199780
2005-06-23,8.682727813720703,130.3016815185547,132.0319366455078,130.3016815185547,131.7657470703125,170402
2005-06-24,8.64725399017334,129.76930236816406,130.8074493408203,129.42324829101562,130.64773559570312,352939
2005-06-27,8.679182052612305,130.24844360351562,130.64773559570312,129.66282653808594,129.716064453125,128966
2005-06-28,8.700468063354492,130.56788635253906,131.44631958007812,130.16859436035156,130.91392517089844,146172
2005-06-29,8.631291389465332,129.52972412109375,130.83407592773438,129.0771942138672,130.72760009765625,214656
2005-06-30,8.656122207641602,129.9023895263672,130.4081573486328,129.42324829101562,129.42324829101562,181034
2005-07-01,8.62419319152832,129.42324829101562,130.22183227539062,128.83761596679688,130.16859436035156,240389
2005-07-05,8.627739906311035,129.4764862060547,130.43478393554688,129.29014587402344,130.2750701904297,167472
2005-07-06,8.56566047668457,128.54481506347656,129.37001037597656,128.3850860595703,129.37001037597656,132084
2005-07-07,8.46987533569336,127.10736846923828,128.30523681640625,126.57498168945312,128.14552307128906,150642
2005-07-08,8.478741645812988,127.24046325683594,127.71961212158203,126.78793334960938,126.84117126464844,175737
2005-07-11,8.508896827697754,127.6929931640625,127.90594482421875,127.32032012939453,127.90594482421875,103233
2005-07-12,8.452136039733887,126.84117126464844,127.50665283203125,126.38864135742188,127.34693908691406,206053
2005-07-13,8.551470756530762,128.33184814453125,131.63265991210938,127.40017700195312,130.43478393554688,498510
2005-07-14,8.443264961242676,126.70807647705078,128.43833923339844,126.54835510253906,128.03904724121094,247226
2005-07-15,8.4574556350708,126.92102813720703,127.13398742675781,126.20230865478516,126.44187927246094,182011
2005-07-18,8.381184577941895,125.77639770507812,127.61312866210938,125.77639770507812,127.24046325683594,140725
2005-07-19,8.668540000915527,130.08872985839844,130.6743621826172,129.0771942138672,129.10382080078125,787961
2005-07-20,8.918645858764648,133.84205627441406,134.0283966064453,130.83407592773438,130.9671630859375,536753
2005-07-21,8.982503890991211,134.80035400390625,135.5457000732422,132.7240447998047,133.3629150390625,390919
2005-07-22,8.984274864196777,134.8269805908203,134.88021850585938,133.76220703125,134.29458618164062,176939
2005-07-25,8.99137020111084,134.93345642089844,135.09317016601562,134.50753784179688,135.09317016601562,172581
2005-07-26,9.04458236694336,135.73202514648438,135.7852783203125,134.8269805908203,135.27951049804688,144557
2005-07-27,9.0286226272583,135.49246215820312,135.6787872314453,134.48092651367188,135.5457000732422,122768
2005-07-28,9.002010345458984,135.09317016601562,135.6787872314453,135.0133056640625,135.22625732421875,109357
2005-07-29,8.962987899780273,134.50753784179688,135.03993225097656,134.4276885986328,134.7471160888672,132986
2005-08-01,8.947025299072266,134.26797485351562,135.03993225097656,134.1881103515625,135.03993225097656,166345
2005-08-02,8.966535568237305,134.56077575683594,134.96006774902344,133.9219207763672,134.93345642089844,123707
2005-08-03,8.929285049438477,134.00177001953125,134.66725158691406,133.6291046142578,134.48092651367188,104398
2005-08-04,8.902677536010742,133.60247802734375,134.08163452148438,133.44276428222656,134.0283966064453,116983
2005-08-05,8.840596199035645,132.67080688476562,133.33628845214844,132.1650390625,133.14996337890625,173783
2005-08-08,8.842371940612793,132.6974334716797,132.88375854492188,131.63265991210938,132.4046173095703,152032
2005-08-09,8.842371940612793,132.6974334716797,133.01686096191406,131.9254608154297,132.6974334716797,96659
2005-08-10,8.877849578857422,133.2298126220703,133.97515869140625,132.5643310546875,132.6974334716797,98688
2005-08-11,8.88848876953125,133.3895263671875,133.6557159423828,132.88375854492188,132.963623046875,66756
2005-08-12,8.861883163452148,132.990234375,133.3629150390625,132.75067138671875,133.09671020507812,106952
2005-08-15,9.00378704071045,135.11978149414062,135.9449920654297,133.33628845214844,133.3629150390625,210749
2005-08-16,8.868977546691895,133.09671020507812,135.43922424316406,132.88375854492188,135.43922424316406,89672
2005-08-17,8.895584106445312,133.49600219726562,134.0283966064453,132.8305206298828,132.8305206298828,52631
2005-08-18,8.868977546691895,133.09671020507812,133.73558044433594,132.4312286376953,133.2298126220703,110108
2005-08-19,8.863656044006348,133.01686096191406,133.76220703125,132.8305206298828,133.76220703125,82233
2005-08-22,8.989595413208008,134.90682983398438,135.22625732421875,133.84205627441406,133.84205627441406,175211
2005-08-23,9.046359062194824,135.75865173339844,136.0780792236328,134.96006774902344,135.5723114013672,139447
2005-08-24,9.010882377624512,135.22625732421875,136.26441955566406,134.69387817382812,135.62554931640625,133174
2005-08-25,8.883169174194336,133.30967712402344,135.22625732421875,133.2298126220703,135.09317016601562,89371
2005-08-26,8.863656044006348,133.01686096191406,133.28305053710938,132.51109313964844,133.09671020507812,94893
2005-08-29,8.900988578796387,133.28305053710938,133.3629150390625,132.4312286376953,132.6974334716797,79566
2005-08-30,8.881434440612793,132.990234375,133.2032012939453,132.4312286376953,133.09671020507812,56350
2005-08-31,8.888545036315918,133.09671020507812,133.25643920898438,132.67080688476562,133.09671020507812,92414
2005-09-01,8.870767593383789,132.8305206298828,133.09671020507812,132.5909423828125,133.01686096191406,87155
2005-09-02,8.877880096435547,132.93699645996094,133.09671020507812,132.51109313964844,133.04347229003906,125923
2005-09-06,8.906323432922363,133.3629150390625,133.60247802734375,132.8305206298828,132.93699645996094,285957
2005-09-07,8.92409896850586,133.6291046142578,133.9219207763672,132.8039093017578,133.04347229003906,108230
