Price,Adj Close,Close,High,Low,Open,Volume
Ticker,POM,POM,POM,POM,POM,POM
Date,,,,,,
2010-04-20,32107.0,32107.0,32107.0,32107.0,32107.0,35147
2010-04-21,33444.80078125,33444.80078125,33444.80078125,33444.80078125,33444.80078125,31694
2010-04-22,35117.1015625,35117.1015625,35117.1015625,35117.1015625,35117.1015625,33024
2010-04-23,35117.1015625,35117.1015625,35117.1015625,35117.1015625,35117.1015625,0
2010-04-26,34782.6015625,34782.6015625,36120.3984375,34782.6015625,36120.3984375,992156
2010-04-27,35117.1015625,35117.1015625,36120.3984375,34113.69921875,34113.69921875,305996
2010-04-28,35117.1015625,35117.1015625,35451.5,34782.6015625,35117.1015625,322232
2010-04-29,35117.1015625,35117.1015625,35117.1015625,34448.19921875,35117.1015625,230663
2010-04-30,35117.1015625,35117.1015625,35117.1015625,35117.1015625,35117.1015625,0
2010-05-03,35117.1015625,35117.1015625,35117.1015625,35117.1015625,35117.1015625,0
2010-05-04,34782.6015625,34782.6015625,35117.1015625,34782.6015625,35117.1015625,269294
2010-05-05,34113.69921875,34113.69921875,34782.6015625,33444.80078125,33444.80078125,161295
2010-05-06,34448.19921875,34448.19921875,34782.6015625,34113.69921875,34782.6015625,133309
2010-05-07,33444.80078125,33444.80078125,34448.19921875,33444.80078125,34448.19921875,179564
2010-05-10,33444.80078125,33444.80078125,34448.19921875,33377.8984375,33779.30078125,75377
2010-05-11,33779.30078125,33779.30078125,34113.69921875,33444.80078125,34113.69921875,154926
2010-05-12,33779.30078125,33779.30078125,33779.30078125,32642.099609375,32709.0,94364
2010-05-13,32775.8984375,32775.8984375,33444.80078125,32709.0,33444.80078125,42293
2010-05-14,33110.3984375,33110.3984375,33377.8984375,32775.8984375,33377.8984375,62341
2010-05-17,33110.3984375,33110.3984375,33444.80078125,32441.5,33444.80078125,47301
2010-05-18,32441.5,32441.5,33110.3984375,32441.5,32775.8984375,7699
2010-05-19,32441.5,32441.5,32441.5,30836.099609375,32107.0,147481
2010-05-20,32107.0,32107.0,32441.5,31103.69921875,31103.69921875,152998
2010-05-21,30568.599609375,30568.599609375,30568.599609375,30501.69921875,30568.599609375,53012
2010-05-24,30434.80078125,30434.80078125,30769.19921875,30167.19921875,30501.69921875,37823
2010-05-25,30434.80078125,30434.80078125,30434.80078125,30434.80078125,30434.80078125,0
2010-05-26,30100.30078125,30100.30078125,30903.0,30100.30078125,30100.30078125,12662
2010-05-27,29431.400390625,29431.400390625,30702.30078125,29431.400390625,30100.30078125,63178
2010-05-28,30903.0,30903.0,30903.0,29832.80078125,30100.30078125,87113
2010-06-01,30100.30078125,30100.30078125,30100.30078125,29832.80078125,30100.30078125,17790
2010-06-02,29163.900390625,29163.900390625,30100.30078125,28628.80078125,30100.30078125,28255
2010-06-03,30434.80078125,30434.80078125,30434.80078125,29431.400390625,30434.80078125,33338
2010-06-04,30100.30078125,30100.30078125,30100.30078125,29097.0,30100.30078125,35446
2010-06-07,28762.5,28762.5,30033.400390625,28762.5,28762.5,266648
2010-06-08,29297.69921875,29297.69921875,29297.69921875,28762.5,29097.0,28449
2010-06-09,29431.400390625,29431.400390625,29431.400390625,28896.30078125,28896.30078125,14411
2010-06-10,29297.69921875,29297.69921875,29765.900390625,29297.69921875,29765.900390625,12423
2010-06-11,29097.0,29097.0,29632.099609375,29097.0,29632.099609375,38585
2010-06-14,29297.69921875,29297.69921875,29364.5,29097.0,29097.0,24413
2010-06-15,29297.69921875,29297.69921875,29297.69921875,29297.69921875,29297.69921875,0
2010-06-16,29297.69921875,29297.69921875,29431.400390625,29163.900390625,29431.400390625,38152
2010-06-17,28695.69921875,28695.69921875,29163.900390625,28227.400390625,29163.900390625,32172
2010-06-18,28695.69921875,28695.69921875,28762.5,28628.80078125,28762.5,84123
2010-06-21,28762.5,28762.5,30100.30078125,28428.099609375,28495.0,93048
2010-06-22,28628.80078125,28628.80078125,28762.5,28495.0,28762.5,70593
2010-06-23,28628.80078125,28628.80078125,28762.5,28628.80078125,28628.80078125,22215
2010-06-24,28093.599609375,28093.599609375,28628.80078125,28093.599609375,28628.80078125,52713
2010-06-25,28093.599609375,28093.599609375,28561.900390625,27491.599609375,28227.400390625,82404
2010-06-28,28561.900390625,28561.900390625,28762.5,27224.099609375,27224.099609375,31813
2010-06-29,28160.5,28160.5,28628.80078125,28160.5,28561.900390625,97234
2010-06-30,27625.400390625,27625.400390625,28695.69921875,26956.5,26956.5,51846
2010-07-01,27023.400390625,27023.400390625,27759.19921875,27023.400390625,27759.19921875,32456
2010-07-02,27090.30078125,27090.30078125,27090.30078125,26822.69921875,26889.599609375,113470
2010-07-06,27090.30078125,27090.30078125,28093.599609375,26755.900390625,28093.599609375,70668
2010-07-07,26755.900390625,26755.900390625,27090.30078125,26755.900390625,27090.30078125,15099
2010-07-08,27424.80078125,27424.80078125,27424.80078125,27090.30078125,27090.30078125,109613
2010-07-09,27692.30078125,27692.30078125,27692.30078125,27224.099609375,27424.80078125,43698
2010-07-12,27558.5,27558.5,27759.19921875,26488.30078125,26488.30078125,34250
2010-07-13,28294.30078125,28294.30078125,28294.30078125,26956.5,27424.80078125,33189
2010-07-14,28294.30078125,28294.30078125,28294.30078125,27558.5,27558.5,85573
2010-07-15,28294.30078125,28294.30078125,28428.099609375,27759.19921875,27759.19921875,63986
2010-07-16,28428.099609375,28428.099609375,28428.099609375,27692.30078125,27692.30078125,93332
2010-07-19,28762.5,28762.5,29431.400390625,28762.5,28829.400390625,88967
2010-07-20,28829.400390625,28829.400390625,29297.69921875,28160.5,29297.69921875,62625
2010-07-21,28561.900390625,28561.900390625,29097.0,28561.900390625,28628.80078125,32785
2010-07-22,25351.19921875,25351.19921875,25752.5,23946.5,23946.5,33652
2010-07-23,25016.69921875,25016.69921875,25284.30078125,24949.80078125,24949.80078125,30288
2010-07-26,25016.69921875,25016.69921875,25016.69921875,25016.69921875,25016.69921875,0
2010-07-27,25016.69921875,25016.69921875,25016.69921875,24949.80078125,25016.69921875,44790
2010-07-28,23879.599609375,23879.599609375,24280.900390625,23879.599609375,24147.19921875,18224
2010-07-29,24816.099609375,24816.099609375,24816.099609375,24347.80078125,24816.099609375,31738
2010-07-30,23745.80078125,23745.80078125,23745.80078125,23745.80078125,23745.80078125,22155
2010-08-02,23946.5,23946.5,23946.5,23745.80078125,23745.80078125,24069
2010-08-03,23010.0,23010.0,24682.30078125,23010.0,24682.30078125,28883
2010-08-04,23076.900390625,23076.900390625,23411.400390625,22408.0,23411.400390625,44939
2010-08-05,22943.099609375,22943.099609375,24214.0,22742.5,24214.0,23949
2010-08-06,22742.5,22742.5,23411.400390625,22006.69921875,22006.69921875,23426
2010-08-09,22073.599609375,22073.599609375,23010.0,21739.099609375,21739.099609375,37001
2010-08-10,21070.19921875,21070.19921875,22341.099609375,21070.19921875,21404.69921875,35760
2010-08-11,21070.19921875,21070.19921875,21070.19921875,20200.69921875,21070.19921875,2003
2010-08-12,20133.80078125,20133.80078125,21070.19921875,20133.80078125,21070.19921875,5785
2010-08-13,21137.099609375,21137.099609375,21137.099609375,20668.900390625,20735.80078125,45687
2010-08-16,22140.5,22140.5,22140.5,22140.5,22140.5,14606
2010-08-17,23210.69921875,23210.69921875,23210.69921875,23210.69921875,23210.69921875,17506
2010-08-18,24347.80078125,24347.80078125,24347.80078125,24347.80078125,24347.80078125,76902
2010-08-19,24749.19921875,24749.19921875,25284.30078125,24347.80078125,25284.30078125,77231
2010-08-20,24749.19921875,24749.19921875,25083.599609375,24347.80078125,25083.599609375,44491
2010-08-23,24749.19921875,24749.19921875,25083.599609375,24749.19921875,25083.599609375,5994
2010-08-24,23545.19921875,23545.19921875,24080.30078125,23545.19921875,24080.30078125,10166
2010-08-25,22408.0,22408.0,22474.900390625,22408.0,22408.0,77441
2010-08-26,22742.5,22742.5,22742.5,21471.599609375,21471.599609375,18896
2010-08-27,22073.599609375,22073.599609375,23411.400390625,21806.0,23411.400390625,8820
2010-08-30,23143.80078125,23143.80078125,23143.80078125,22742.5,22742.5,34594
2010-08-31,23478.30078125,23478.30078125,24080.30078125,23411.400390625,24080.30078125,30811
2010-09-01,24080.30078125,24080.30078125,24080.30078125,22608.69921875,23478.30078125,22918
2010-09-02,24080.30078125,24080.30078125,24080.30078125,24080.30078125,24080.30078125,0
2010-09-03,24080.30078125,24080.30078125,24080.30078125,24080.30078125,24080.30078125,0
2010-09-07,23411.400390625,23411.400390625,23946.5,23411.400390625,23946.5,32934
2010-09-08,23411.400390625,23411.400390625,24013.400390625,22608.69921875,22608.69921875,12767
2010-09-09,23745.80078125,23745.80078125,24080.30078125,23076.900390625,23076.900390625,23008
2010-09-10,23411.400390625,23411.400390625,23411.400390625,23076.900390625,23076.900390625,34205
2010-09-13,22876.30078125,22876.30078125,23411.400390625,22742.5,22742.5,9717
