Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK,BLK
Date,,,,,,
2010-04-05,140.16331481933594,206.0,210.69000244140625,205.57000732421875,210.69000244140625,645300
2010-04-06,135.09426879882812,198.5500030517578,205.08999633789065,198.0599975585937,203.6199951171875,1399900
2010-04-07,135.41409301757812,199.0200042724609,201.4100036621093,197.8600006103516,198.75,1117600
2010-04-08,139.1835174560547,204.5599975585937,204.58999633789065,197.3999938964844,197.5599975585937,1329100
2010-04-09,140.2381591796875,206.1100006103516,208.8999938964844,203.97999572753903,203.97999572753903,774700
2010-04-12,140.0271759033203,205.8000030517578,207.0,204.6499938964844,205.3699951171875,561300
2010-04-13,140.77569580078125,206.8999938964844,207.72000122070312,204.5399932861328,205.69000244140625,335900
2010-04-14,143.82388305664062,211.3800048828125,211.42999267578125,207.509994506836,208.1999969482422,586400
2010-04-15,140.63955688476562,206.6999969482422,212.2700042724609,206.6199951171875,212.0,579800
2010-04-16,136.59117126464844,200.75,206.67999267578125,199.22999572753903,206.1000061035156,821200
2010-04-19,137.856689453125,202.6100006103516,203.6300048828125,199.4199981689453,199.5200042724609,454800
2010-04-20,138.24452209472656,203.17999267578125,204.8500061035156,201.7700042724609,204.8500061035156,319500
2010-04-21,136.89735412597656,201.1999969482422,205.3500061035156,199.27999877929688,202.3999938964844,386700
2010-04-22,141.3811492919922,207.7899932861328,208.3300018310547,200.6600036621093,202.0,698700
2010-04-23,143.5789031982422,211.0200042724609,211.88999938964844,206.9100036621093,206.9100036621093,591600
2010-04-26,131.28404235839844,192.9499969482422,204.3000030517578,192.3999938964844,204.3000030517578,1816800
2010-04-27,126.21500396728516,185.5,193.77999877929688,185.009994506836,192.0,1042000
2010-04-28,125.4937515258789,184.44000244140625,190.9900054931641,181.17999267578125,187.7899932861328,1106400
2010-04-29,129.54217529296875,190.38999938964844,191.1699981689453,185.5200042724609,186.8500061035156,699500
2010-04-30,125.19437408447266,184.0,189.9199981689453,182.47999572753903,189.42999267578125,846600
2010-05-03,126.39188385009766,185.759994506836,187.4100036621093,184.259994506836,185.6100006103516,421000
2010-05-04,120.89423370361328,177.67999267578125,184.5,176.9600067138672,184.0399932861328,668200
2010-05-05,118.93463134765624,174.8000030517578,178.44000244140625,173.49000549316406,174.39999389648438,766600
2010-05-06,116.77098846435548,171.6199951171875,179.4199981689453,167.24000549316406,173.8000030517578,1279100
2010-05-07,117.11115264892578,172.1199951171875,175.99000549316406,169.52999877929688,171.60000610351562,1232400
2010-05-10,120.13898468017578,176.57000732421875,181.1100006103516,174.61000061035156,176.52000427246094,597500
2010-05-11,116.34234619140624,170.99000549316406,174.6199951171875,169.75999450683594,174.6199951171875,940400
2010-05-12,118.36988830566406,173.97000122070312,174.17999267578125,171.00999450683594,171.52999877929688,463900
2010-05-13,117.28128051757812,172.3699951171875,175.25999450683594,172.0500030517578,174.24000549316406,314000
2010-05-14,115.4782257080078,169.72000122070312,172.72999572753906,168.64999389648438,171.60000610351562,517100
2010-05-17,116.34913635253906,171.0,172.6999969482422,167.13999938964844,169.5399932861328,552400
2010-05-18,114.64134979248048,168.49000549316406,175.80999755859375,167.52000427246094,172.25999450683594,582900
2010-05-19,114.27388763427734,167.9499969482422,169.64999389648438,164.0,167.9199981689453,535600
2010-05-20,108.93272399902344,160.10000610351562,165.77000427246094,160.10000610351562,165.77000427246094,657800
2010-05-21,113.26688385009766,166.47000122070312,167.0500030517578,158.0,159.17999267578125,1070800
2010-05-24,110.19827270507812,161.9600067138672,169.67999267578125,161.9499969482422,167.50999450683594,586400
2010-05-25,110.52489471435548,162.44000244140625,162.57000732421875,155.5,158.02000427246094,701800
2010-05-26,111.61351776123048,164.0399932861328,165.77999877929688,162.33999633789062,164.75,1075000
2010-05-27,117.29488372802734,172.38999938964844,172.47999572753906,166.35000610351562,168.63999938964844,725200
2010-05-28,114.22630310058594,167.8800048828125,174.0800018310547,166.72999572753906,172.49000549316406,575900
2010-06-01,111.04198455810548,163.1999969482422,167.8800048828125,162.89999389648438,165.08999633789062,338500
2010-06-02,112.11022186279295,164.77000427246094,165.6999969482422,162.55999755859375,165.39999389648438,495900
2010-06-03,112.15812683105467,163.83999633789062,167.8800048828125,162.22000122070312,167.8800048828125,353600
2010-06-04,109.18029022216795,159.49000549316406,162.3800048828125,159.05999755859375,160.99000549316406,580600
2010-06-07,107.8180160522461,157.5,162.17999267578125,157.32000732421875,160.6199951171875,546200
2010-06-08,107.12667083740234,156.49000549316406,158.3800048828125,151.80999755859375,156.9199981689453,992100
2010-06-09,106.0450668334961,154.91000366210938,158.85000610351562,154.38999938964844,158.85000610351562,507800
2010-06-10,107.4620361328125,156.97999572753906,158.52000427246094,153.9600067138672,156.17999267578125,580800
2010-06-11,108.94068908691406,159.13999938964844,159.25999450683594,154.11000061035156,154.11000061035156,328900
2010-06-14,108.68741607666016,158.77000427246094,161.1999969482422,157.9499969482422,158.9600067138672,421400
2010-06-15,111.77476501464844,163.27999877929688,163.2899932861328,158.83999633789062,159.99000549316406,342900
2010-06-16,110.56995391845705,161.52000427246094,163.4199981689453,160.30999755859375,161.30999755859375,331800
2010-06-17,109.09810638427734,159.3699951171875,162.38999938964844,157.69000244140625,162.25999450683594,341500
2010-06-18,108.68741607666016,158.77000427246094,160.4499969482422,158.39999389648438,158.85000610351562,329100
2010-06-21,108.10555267333984,157.9199981689453,161.85000610351562,157.02000427246094,160.77999877929688,406600
2010-06-22,106.6816864013672,155.83999633789062,158.80999755859375,155.8300018310547,156.89999389648438,246100
2010-06-23,106.14085388183594,155.0500030517578,156.60000610351562,153.9499969482422,155.4600067138672,296600
2010-06-24,103.19042205810548,150.74000549316406,154.7899932861328,150.5500030517578,154.5800018310547,301200
2010-06-25,104.28572082519533,152.33999633789062,155.6699981689453,150.27999877929688,150.66000366210938,676800
2010-06-28,104.14879608154295,152.13999938964844,153.83999633789062,151.52999877929688,152.8000030517578,243400
2010-06-29,99.67179107666016,145.60000610351562,149.92999267578125,145.1999969482422,149.47000122070312,470000
2010-06-30,98.16573333740234,143.39999389648438,147.0500030517578,143.00999450683594,144.86000061035156,311400
2010-07-01,96.05731964111328,140.32000732421875,145.35000610351562,138.4199981689453,145.35000610351562,639800
2010-07-02,97.7481689453125,142.7899932861328,144.02000427246094,139.27999877929688,140.44000244140625,533600
2010-07-06,99.4048309326172,145.2100067138672,147.61000061035156,143.35000610351562,144.17999267578125,473100
2010-07-07,101.64330291748048,148.47999572753906,148.61000061035156,144.6199951171875,145.1999969482422,332600
2010-07-08,104.22412872314452,152.25,152.25,148.8800048828125,149.91000366210938,462800
2010-07-09,106.08611297607422,154.97000122070312,155.25999450683594,150.5500030517578,151.94000244140625,373300
2010-07-12,105.52474975585938,154.14999389648438,155.69000244140625,152.94000244140625,153.9199981689453,194300
2010-07-13,107.40731811523438,156.89999389648438,158.4499969482422,155.10000610351562,155.24000549316406,366900
2010-07-14,106.27777862548828,155.25,156.75999450683594,153.11000061035156,156.67999267578125,267000
2010-07-15,105.41522216796876,153.99000549316406,155.3800048828125,151.02000427246094,154.77000427246094,278700
2010-07-16,102.09512329101562,149.13999938964844,152.97000122070312,148.9600067138672,152.9499969482422,360400
2010-07-19,101.40372467041016,148.1300048828125,150.2100067138672,146.83999633789062,150.0,201900
2010-07-20,102.2457046508789,149.36000061035156,149.47000122070312,145.1999969482422,146.36000061035156,443100
2010-07-21,98.11782836914062,143.3300018310547,150.99000549316406,141.00999450683594,150.25,1127600
2010-07-22,103.5121841430664,151.2100067138672,152.1999969482422,144.0,144.64999389648438,587200
2010-07-23,105.75750732421876,154.49000549316406,155.58999633789062,150.00999450683594,150.27999877929688,466000
2010-07-26,109.28986358642578,159.64999389648438,159.88999938964844,155.00999450683594,155.25,439300
2010-07-27,107.87279510498048,157.5800018310547,162.63999938964844,157.19000244140625,160.2899932861328,388500
2010-07-28,107.47573852539062,157.0,159.99000549316406,155.42999267578125,158.1999969482422,308600
2010-07-29,108.32463073730467,158.24000549316406,159.9600067138672,155.7100067138672,158.0,438100
2010-07-30,107.8111801147461,157.49000549316406,159.24000549316406,156.0,156.60000610351562,313700
2010-08-02,111.48043823242188,162.85000610351562,163.50999450683594,160.0,160.0,369200
2010-08-03,110.1044464111328,160.83999633789062,162.94000244140625,160.35000610351562,162.85000610351562,345300
2010-08-04,109.82376098632812,160.42999267578125,161.25,157.19000244140625,160.63999938964844,489400
2010-08-05,109.8853759765625,160.52000427246094,161.57000732421875,159.05999755859375,159.5,222000
2010-08-06,107.58528900146484,157.16000366210938,159.8300018310547,154.24000549316406,159.8300018310547,542700
2010-08-09,109.28986358642578,159.64999389648438,160.36000061035156,157.61000061035156,158.30999755859375,294200
2010-08-10,109.12552642822266,159.41000366210938,161.00999450683594,157.5,158.88999938964844,329600
2010-08-11,104.70331573486328,152.9499969482422,156.2899932861328,152.72999572753906,154.77999877929688,336700
2010-08-12,102.341552734375,149.5,151.75,149.33999633789062,151.75,423300
2010-08-13,103.76543426513672,151.5800018310547,153.91000366210938,148.99000549316406,149.0,295200
2010-08-16,103.2451629638672,150.82000732421875,151.25,148.99000549316406,150.35000610351562,303100
2010-08-17,103.98451232910156,151.89999389648438,153.39999389648438,151.3699951171875,152.25,203300
2010-08-18,103.01242065429688,150.47999572753906,152.74000549316406,149.50999450683594,151.7100067138672,227500
2010-08-19,100.85606384277344,147.3300018310547,151.42999267578125,147.0,149.9499969482422,411100
2010-08-20,99.53488159179688,145.39999389648438,147.5,144.5,147.0,536800
2010-08-23,97.99462127685548,143.14999389648438,146.0,142.63999938964844,145.7100067138672,433800
2010-08-24,96.78977966308594,141.38999938964844,142.1999969482422,140.0800018310547,141.47000122070312,434900
2010-08-25,96.6597137451172,141.1999969482422,141.63999938964844,139.36000061035156,140.02000427246094,428400
2010-08-26,95.45489501953124,139.44000244140625,142.25,139.44000244140625,141.77000427246094,265500
2010-08-27,96.6254653930664,141.14999389648438,141.72999572753906,139.16000366210938,140.4199981689453,302900
2010-08-30,97.32374572753906,142.1699981689453,143.3000030517578,140.8800048828125,141.33999633789062,337700
2010-08-31,97.86150360107422,141.9499969482422,142.17999267578125,140.25,141.3300018310547,360800
2010-09-01,101.04653930664062,146.57000732421875,147.1199951171875,143.2100067138672,144.6300048828125,318600
2010-09-02,102.92864990234376,149.3000030517578,149.61000061035156,145.5,145.5,317300
2010-09-03,104.47982025146484,151.5500030517578,151.58999633789062,150.08999633789062,150.1999969482422,300400
2010-09-07,103.94895935058594,150.77999877929688,151.8300018310547,150.33999633789062,150.89999389648438,220600
2010-09-08,104.74867248535156,151.94000244140625,152.8300018310547,150.25,150.25,367300
2010-09-09,103.92139434814452,150.74000549316406,156.0,148.5399932861328,154.0500030517578,463300
2010-09-10,104.21092987060548,151.16000366210938,151.57000732421875,149.75,150.77999877929688,292600
2010-09-13,103.88687133789062,150.69000244140625,154.0,149.97999572753906,152.7100067138672,385900
2010-09-14,109.99503326416016,159.5500030517578,160.5,149.9499969482422,150.92999267578125,1011900
2010-09-15,113.68341827392578,164.89999389648438,165.80999755859375,158.30999755859375,158.30999755859375,735900
2010-09-16,112.056396484375,162.5399932861328,164.38999938964844,160.5399932861328,163.3699951171875,429600
2010-09-17,113.7868194580078,165.0500030517578,165.4499969482422,161.05999755859375,163.24000549316406,544100
2010-09-20,118.35757446289062,171.67999267578125,172.19000244140625,165.77999877929688,165.77999877929688,749500
2010-09-21,115.64822387695312,167.75,172.8699951171875,166.67999267578125,172.6699981689453,764700
2010-09-22,114.2624969482422,165.74000549316406,169.39999389648438,164.75999450683594,168.2100067138672,469400
2010-09-23,111.4566421508789,161.6699981689453,165.74000549316406,160.86000061035156,165.74000549316406,676200
2010-09-24,115.2896957397461,167.22999572753906,167.39999389648438,164.0,164.2100067138672,299300
2010-09-27,114.37279510498048,165.89999389648438,167.25,163.41000366210938,163.5800018310547,377200
2010-09-28,116.28246307373048,168.6699981689453,168.7899932861328,164.7899932861328,167.0,394600
2010-09-29,116.34453582763672,168.75999450683594,170.25999450683594,167.61000061035156,167.61000061035156,561300
2010-09-30,117.37174224853516,170.25,172.0,169.5,169.99000549316406,728700
2010-10-01,118.12320709228516,171.33999633789062,171.8000030517578,169.35000610351562,171.8000030517578,416400
2010-10-04,117.8267822265625,170.91000366210938,171.55999755859375,169.05999755859375,171.55999755859375,453400
2010-10-05,118.10252380371094,171.30999755859375,172.47000122070312,166.1699981689453,167.0,846400
2010-10-06,118.13008880615234,171.35000610351562,171.3699951171875,169.58999633789062,170.05999755859375,439900
2010-10-07,117.85435485839844,170.9499969482422,172.86000061035156,170.8000030517578,171.60000610351562,306000
2010-10-08,120.30168914794922,174.5,174.83999633789062,170.9199981689453,172.0,406600
2010-10-11,122.1907196044922,177.24000549316406,177.8000030517578,175.1999969482422,175.72000122070312,566900
2010-10-12,123.13516235351562,178.61000061035156,178.75,174.6300048828125,176.22000122070312,454000
2010-10-13,123.56951141357422,179.24000549316406,181.0,178.02000427246094,179.39999389648438,401600
2010-10-14,122.54227447509766,177.75,180.1300048828125,177.27999877929688,178.61000061035156,724500
2010-10-15,121.15657043457033,175.74000549316406,177.85000610351562,175.0,176.5,339600
2010-10-18,121.68054962158205,176.5,177.3300018310547,175.1199951171875,175.1199951171875,447500
2010-10-19,120.39136505126952,174.6300048828125,176.0,173.0,174.75,380800
2010-10-20,116.8615951538086,169.50999450683594,174.92999267578125,168.07000732421875,174.47999572753906,1435400
2010-10-21,114.62100982666016,166.25999450683594,170.07000732421875,165.1699981689453,169.97999572753906,923300
2010-10-22,115.51724243164062,167.55999755859375,170.0399932861328,166.9199981689453,167.35000610351562,593300
2010-10-25,116.08942413330078,168.38999938964844,169.6300048828125,167.7100067138672,167.7100067138672,765300
2010-10-26,116.24796295166016,168.6199951171875,169.24000549316406,167.0,167.85000610351562,329600
2010-10-27,116.16526794433594,168.5,168.69000244140625,166.2100067138672,167.72000122070312,314300
2010-10-28,115.91019439697266,168.1300048828125,169.85000610351562,167.6999969482422,169.14999389648438,319600
2010-10-29,117.88189697265624,170.99000549316406,171.25,168.25,168.5800018310547,578400
2010-11-01,118.47480010986328,171.85000610351562,174.47000122070312,170.16000366210938,171.74000549316406,302900
2010-11-02,119.29515838623048,173.0399932861328,174.35000610351562,172.60000610351562,173.8300018310547,211500
2010-11-03,114.20732879638672,165.66000366210938,168.89999389648438,164.00999450683594,166.47999572753906,1959200
2010-11-04,116.51687622070312,169.00999450683594,169.9600067138672,166.7100067138672,167.49000549316406,2337800
2010-11-05,119.37105560302734,173.14999389648438,173.9600067138672,169.02999877929688,169.08999633789062,1184600
2010-11-08,116.57201385498048,169.08999633789062,172.27999877929688,168.88999938964844,171.99000549316406,2274300
2010-11-09,113.41455078125,164.50999450683594,167.5,164.33999633789062,165.61000061035156,16343600
2010-11-10,116.1514663696289,168.47999572753906,168.9499969482422,165.11000061035156,165.6300048828125,5091100
2010-11-11,118.0266342163086,171.1999969482422,172.41000366210938,166.0399932861328,168.0,3135500
2010-11-12,119.3158721923828,173.07000732421875,173.0800018310547,167.5,170.32000732421875,3350200
2010-11-15,119.32275390625,173.0800018310547,173.75,170.9199981689453,173.72000122070312,1715400
2010-11-16,115.32418060302734,167.27999877929688,172.35000610351562,165.77999877929688,170.86000061035156,2319400
2010-11-17,116.46175384521484,168.92999267578125,170.00999450683594,167.0399932861328,168.25,1929800
2010-11-18,116.6133804321289,169.14999389648438,171.9199981689453,168.8699951171875,171.3300018310547,2262700
