Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BFH,BFH,BFH,BFH,BFH,BFH
Date,,,,,,
2012-12-24,102.57402038574219,117.01516723632812,117.08699035644531,116.2490005493164,116.4245834350586,175169
2012-12-26,101.47564697265625,115.76216888427734,117.01516723632812,115.09976196289062,116.7198715209961,352344
2012-12-27,101.00689697265625,115.22745513916016,115.89784240722656,113.79888153076172,115.85794067382812,599185
2012-12-28,100.75506591796875,114.94014739990234,115.45092010498047,114.62091064453125,114.95610809326172,330792
2012-12-31,101.27275085449219,115.53072357177734,115.69832611083984,114.2777328491211,114.55706024169922,456719
2013-01-02,104.26699829101562,118.94652557373047,119.0981674194336,116.83160400390625,117.21468353271484,719097
2013-01-03,105.10650634765625,119.90422821044922,121.38866424560547,118.73902893066406,118.8427734375,717593
2013-01-04,105.70816802978516,120.59058380126953,121.69194030761719,119.86432647705078,120.30326843261719,638779
2013-01-07,108.0238265991211,123.23224639892578,123.95850372314453,120.11173248291016,120.11173248291016,1549961
2013-01-08,108.58348083496094,123.87071228027344,125.0359115600586,122.66560363769531,123.599365234375,1316778
2013-01-09,108.83531188964844,124.15802001953125,124.68475341796875,123.71109008789062,124.47725677490234,521749
2013-01-10,108.317626953125,123.56743621826172,124.67677307128906,122.56983184814453,124.26177215576172,708697
2013-01-11,108.80733489990234,124.1260986328125,124.40542602539062,123.17637634277344,123.96647644042969,699801
2013-01-14,109.29007720947266,124.67677307128906,124.67677307128906,122.76935577392578,124.37350463867188,983856
2013-01-15,108.54150390625,123.82282257080078,123.87071228027344,119.57701873779297,121.12529754638672,506964
2013-01-16,109.4369888305664,124.84437561035156,125.75418853759766,123.49561309814453,123.79090118408203,829486
2013-01-17,109.21311950683594,124.5889892578125,126.07342529296875,123.50359344482422,125.45890045166016,648678
2013-01-18,108.99624633789062,124.34158325195312,124.7326431274414,123.38388061523438,124.3335952758789,566356
2013-01-22,109.89171600341797,125.36312866210938,125.40303039550781,123.9744644165039,124.5011978149414,802922
2013-01-23,110.0946044921875,125.59457397460938,125.73822784423828,124.49321746826172,124.49321746826172,552197
2013-01-24,110.20653533935547,125.7222671508789,126.07342529296875,125.06784057617188,125.16360473632812,321896
2013-01-25,110.5702896118164,126.13726806640625,126.7198715209961,125.54668426513672,125.69832611083984,272026
2013-01-28,110.00367736816406,125.4908218383789,126.56025695800781,125.47486114501953,126.56025695800781,297588
2013-01-29,109.12217712402344,124.48523712158203,126.0175552368164,123.78292083740234,125.53870391845703,534530
2013-01-30,107.35218811035156,122.46607971191406,124.9720687866211,122.41021728515625,124.62889099121094,1237839
2013-01-31,110.2555160522461,125.77812957763672,126.93535614013672,124.0462875366211,125.29927825927734,878854
2013-02-01,109.66085052490234,125.09976196289062,127.19872283935547,124.90023803710938,127.19872283935547,617980
2013-02-04,108.36663055419922,123.62330627441406,125.33918762207031,123.39984130859375,124.43734741210938,372141
2013-02-05,108.9612808227539,124.30167388916016,125.21149444580078,123.86273193359375,124.10215759277344,414994
2013-02-06,108.54150390625,123.82282257080078,124.28571319580078,123.46368408203125,124.10215759277344,518116
2013-02-07,107.55509948730469,122.69752502441406,123.55147552490234,121.94732666015625,123.27214813232422,579888
2013-02-08,107.79295349121094,122.9688720703125,123.5195541381836,122.3543472290039,122.80925750732422,272026
2013-02-11,107.33123016357422,122.442138671875,123.18435668945312,122.27454376220703,122.95291137695312,449827
2013-02-12,106.5616683959961,121.56424713134766,122.61771392822266,121.3088607788086,122.49800872802734,487918
2013-02-13,106.5616683959961,121.56424713134766,122.05107879638672,121.05347442626953,121.61212921142578,677622
2013-02-14,106.59664154052734,121.6041488647461,121.80367279052734,121.05347442626953,121.52434539794922,513855
2013-02-15,108.72338104248047,124.03032684326172,125.56265258789062,121.90742492675781,121.90742492675781,852165
2013-02-19,108.39458465576172,123.65522766113281,125.00399017333984,123.5195541381836,124.2138900756836,479273
2013-02-20,106.87646484375,121.92338562011719,124.46129608154297,121.85953521728516,123.65522766113281,453837
2013-02-21,106.37278747558594,121.34876251220703,122.30646514892578,120.83000946044922,121.52434539794922,621864
2013-02-22,107.7509765625,122.92098999023438,123.32003021240234,121.00558471679688,121.52434539794922,422888
2013-02-25,108.73741149902344,124.0462875366211,125.81803894042969,122.88108825683594,123.16839599609375,1172933
2013-02-26,108.88432312011719,124.2138900756836,124.5889892578125,122.98483276367188,124.06224822998047,484285
2013-02-27,110.36045837402344,125.89784240722656,126.43256378173828,123.42378234863281,123.42378234863281,516236
2013-02-28,111.01808166503906,126.6480484008789,127.66161346435547,125.90582275390625,126.14524841308594,710702
2013-03-01,110.94108581542969,126.56025695800781,126.72785186767578,124.7406234741211,125.92977142333984,461605
2013-03-04,111.18596649169922,126.83958435058594,127.12689208984375,125.50678253173828,126.43256378173828,873717
2013-03-05,111.20695495605469,126.863525390625,127.67757415771484,126.30487060546875,127.11891174316406,515359
2013-03-06,111.66169738769531,127.38228607177734,127.69353485107422,126.59217834472656,127.39026641845703,755559
2013-03-07,110.87113189697266,126.4804458618164,127.1827621459961,125.73822784423828,127.1827621459961,623117
2013-03-08,110.43040466308594,125.97765350341797,127.05506896972656,125.55467224121094,126.87948608398438,418753
2013-03-11,110.40943145751953,125.9537124633789,126.60015869140625,125.46688079833984,125.85794067382812,303602
2013-03-12,109.70281982421875,125.14764404296875,126.4884262084961,125.11572265625,125.83399963378906,314879
2013-03-13,109.75879669189453,125.21149444580078,125.81803894042969,124.91619873046875,125.37908935546875,609083
2013-03-14,110.41643524169922,125.9616928100586,126.1851577758789,125.29927825927734,125.62649536132812,482781
2013-03-15,110.42343139648438,125.96967315673828,126.51236724853516,125.65841674804688,125.88986206054688,478145
2013-03-18,109.5349349975586,124.95610809326172,126.24102020263672,124.77254486083984,125.21947479248047,566481
2013-03-19,109.65386199951172,125.09178161621094,125.94573211669922,124.43734741210938,125.36312866210938,606577
2013-03-20,109.27609252929688,124.66081237792969,126.08938598632812,124.41340637207031,125.69832611083984,753680
2013-03-21,109.48595428466797,124.90023803710938,125.47486114501953,123.5115737915039,123.9824447631836,486289
2013-03-22,110.15754699707031,125.6664047241211,125.99361419677734,124.86831665039062,125.32322692871094,438174
2013-03-25,110.2695083618164,125.7940902709961,127.22266387939453,125.47486114501953,126.0255355834961,350715
2013-03-26,110.49336242675781,126.04948425292969,126.9513168334961,124.86033630371094,126.24102020263672,594674
2013-03-27,111.73164367675781,127.46208953857422,127.89305877685547,125.14764404296875,125.40303039550781,458974
2013-03-28,113.25676727294922,129.20191955566406,129.34556579589844,127.07901000976562,127.46208953857422,456343
2013-04-01,112.193359375,127.98883056640625,130.2873077392578,127.53392028808594,128.92259216308594,425644
2013-04-02,111.82259368896484,127.56584167480469,128.57940673828125,127.13487243652344,127.98084259033203,272402
2013-04-03,110.8221664428711,126.4245834350586,127.78132629394531,125.62649536132812,127.37430572509766,488294
2013-04-04,110.54932403564453,126.11332702636719,127.15084075927734,125.6424560546875,126.4166030883789,433037
2013-04-05,108.6814193725586,123.9824447631836,125.33120727539062,123.41580200195312,125.25139617919922,712331
2013-04-08,108.47154998779297,123.7430191040039,124.47725677490234,122.71348571777344,124.0383071899414,568486
2013-04-09,107.96085357666016,123.16041564941406,124.42936706542969,121.94732666015625,124.42936706542969,919326
2013-04-10,109.29007720947266,124.67677307128906,125.46688079833984,123.48763275146484,123.50359344482422,648803
2013-04-11,110.89212799072266,126.50438690185547,126.64006042480469,124.62091064453125,124.90023803710938,546684
2013-04-12,110.44438171386719,125.99361419677734,126.4884262084961,125.13966369628906,126.1931381225586,456719
2013-04-15,109.08718872070312,124.44532775878906,125.6664047241211,124.16600036621094,124.66081237792969,899654
2013-04-16,110.28349304199219,125.81005859375,125.85794067382812,123.87071228027344,124.67677307128906,920830
2013-04-17,109.90570068359375,125.37908935546875,126.28890991210938,124.7964859008789,125.42697143554688,964935
2013-04-18,110.773193359375,126.36871337890625,128.89065551757812,125.51476287841797,126.29689025878906,1383813
2013-04-19,111.98350524902344,127.74939727783203,128.03671264648438,125.88188171386719,126.7198715209961,912435
2013-04-22,115.40448760986328,131.65203857421875,132.29847717285156,127.57382202148438,127.94892120361328,1166418
2013-04-23,116.4259262084961,132.81724548339844,133.68714904785156,132.0750274658203,132.41021728515625,888753
2013-04-24,116.0271224975586,132.36233520507812,133.28012084960938,131.9154052734375,132.78530883789062,518867
2013-04-25,116.26499938964844,132.63368225097656,133.47964477539062,132.0510711669922,132.71348571777344,361491
2013-04-26,116.75472259521484,133.1923370361328,133.55148315429688,132.24261474609375,132.53790283203125,374271
2013-04-29,117.83905029296875,134.4293670654297,134.97206115722656,133.33599853515625,133.38388061523438,454839
2013-04-30,120.16875457763672,137.0869903564453,137.0869903564453,134.08619689941406,134.2857208251953,990497
2013-05-01,119.23823547363281,136.02554321289062,136.9752655029297,135.33120727539062,136.06544494628906,758441
2013-05-02,120.70735168457031,137.70152282714844,137.9249725341797,133.63926696777344,133.63926696777344,526636
2013-05-03,121.69380187988281,138.82681274414062,140.02394104003906,137.94094848632812,139.55307006835938,465740
2013-05-06,120.79133605957031,137.7972869873047,139.25778198242188,137.30247497558594,138.69912719726562,428025
2013-05-07,121.37197875976562,138.45970153808594,139.1859588623047,137.65362548828125,138.16439819335938,509470
2013-05-08,121.96664428710938,139.1380615234375,139.16201782226562,137.9489288330078,138.44374084472656,568737
2013-05-09,123.42878723144531,140.80606079101562,141.6201171875,138.67518615722656,139.04229736328125,591541
2013-05-10,123.96051025390625,141.41261291503906,141.70790100097656,140.37510681152344,140.8619384765625,405972
2013-05-13,123.16297149658203,140.50279235839844,141.93136596679688,140.0718231201172,141.36473083496094,242080
2013-05-14,123.98845672607422,141.4445343017578,141.99520874023438,140.02394104003906,140.02394104003906,434415
2013-05-15,124.97489929199219,142.56983947753906,142.7294464111328,140.6384735107422,141.07740783691406,504708
2013-05-16,124.07940673828125,141.54827880859375,143.64724731445312,141.42857360839844,142.40223693847656,359862
2013-05-17,124.58316040039062,142.12290954589844,142.76934814453125,141.516357421875,141.54029846191406,357230
2013-05-20,125.6605224609375,143.35195922851562,144.08619689941406,141.9074249267578,142.12290954589844,359611
2013-05-21,126.5419921875,144.3575439453125,145.45889282226562,143.38388061523438,143.38388061523438,445692
2013-05-22,125.24775695800781,142.88108825683594,145.82601928710938,142.2186737060547,144.62091064453125,374647
2013-05-23,124.8349609375,142.41021728515625,143.18435668945312,140.27932739257812,142.17079162597656,615348
2013-05-24,127.06668090820312,144.9561004638672,145.53073120117188,142.86512756347656,143.6552276611328,665218
2013-05-28,128.0460968017578,146.07342529296875,147.90103149414062,145.33120727539062,145.84996032714844,698923
2013-05-29,126.71691131591797,144.55706787109375,146.12130737304688,144.0702362060547,144.85235595703125,725988
2013-05-30,126.60493469238281,144.4293670654297,144.77255249023438,142.00318908691406,144.54908752441406,1443331
2013-05-31,123.8905029296875,141.33279418945312,144.5810089111328,141.2928924560547,143.87071228027344,1656466
2013-06-03,121.74977111816406,138.89065551757812,142.3703155517578,138.40382385253906,141.8515625,1588428
2013-06-04,123.58970642089844,140.9896240234375,142.4501190185547,139.09017944335938,139.19393920898438,1272296
2013-06-05,121.43492889404297,138.53152465820312,140.90184020996094,138.36392211914062,140.66241455078125,1158148
2013-06-06,124.7440185546875,142.30645751953125,142.3703155517578,138.43576049804688,138.43576049804688,1102014
2013-06-07,124.78599548339844,142.35435485839844,144.0223388671875,141.4604949951172,142.48204040527344,1121560
2013-06-10,123.47075653076172,140.8539581298828,143.03271484375,140.6943359375,142.4980010986328,1086476
2013-06-11,124.12140655517578,141.59617614746094,142.5139617919922,138.69912719726562,139.3615264892578,1168172
2013-06-12,124.92594146728516,142.5139617919922,145.0438995361328,141.8196258544922,141.9233856201172,1377423
2013-06-13,126.17118072509766,143.93455505371094,144.3655242919922,141.284912109375,142.3224334716797,900030
2013-06-14,124.3802261352539,141.89146423339844,144.45330810546875,141.35675048828125,143.28811645507812,772224
2013-06-17,125.10082244873047,142.71348571777344,143.9664764404297,141.58021545410156,143.41580200195312,911432
2013-06-18,125.81442260742188,143.52752685546875,143.99041748046875,141.82762145996094,142.4501190185547,1050641
2013-06-19,125.03785705566406,142.64166259765625,144.97206115722656,142.5139617919922,143.21627807617188,983354
2013-06-20,121.09214782714844,138.1404571533203,141.95530700683594,137.7972869873047,141.2928924560547,1328305
2013-06-21,120.77032470703125,137.77334594726562,138.92259216308594,136.36871337890625,138.66720581054688,1318407
2013-06-24,120.44152069091797,137.3982391357422,138.52354431152344,135.61851501464844,136.90342712402344,1292344
2013-06-25,121.79878234863281,138.946533203125,139.537109375,136.87948608398438,138.1484375,1061166
2013-06-26,124.77899932861328,142.34637451171875,144.45330810546875,140.54269409179688,141.14126586914062,1349356
2013-06-27,125.97529602050781,143.71109008789062,144.30966186523438,142.65762329101562,142.93695068359375,1017561
2013-06-28,126.64689636230469,144.4772491455078,145.77015686035156,143.26416015625,143.39186096191406,1649073
2013-07-01,126.05929565429688,143.80686950683594,145.85794067382812,143.6552276611328,144.44532775878906,1086727
2013-07-02,125.58352661132812,143.26416015625,144.40542602539062,142.2825164794922,143.95849609375,918449
2013-07-03,125.98927307128906,143.72705078125,145.0039825439453,136.71188354492188,142.4501190185547,881110
2013-07-05,127.5494155883789,145.5067901611328,146.2649688720703,143.35195922851562,144.65283203125,832994
2013-07-08,128.62672424316406,146.73583984375,147.36631774902344,145.21946716308594,145.82601928710938,993504
2013-07-09,128.57080078125,146.67198181152344,147.64564514160156,146.27294921875,146.94332885742188,856300
2013-07-10,127.82919311523438,145.82601928710938,147.9489288330078,144.56504821777344,146.36871337890625,1461875
2013-07-11,131.25021362304688,149.72865295410156,149.96009826660156,146.3367919921875,146.75180053710938,1805824
2013-07-12,133.2790069580078,152.0430908203125,152.71348571777344,149.6009521484375,149.9920196533203,1647946
2013-07-15,132.9572296142578,151.6759796142578,153.367919921875,151.32481384277344,152.80126953125,835125
2013-07-16,131.4950408935547,150.0079803466797,152.4341583251953,149.68077087402344,151.40463256835938,1136346
2013-07-17,131.59303283691406,150.11972045898438,151.1652069091797,149.10614013671875,150.6304931640625,1065802
2013-07-18,132.06874084472656,150.66241455078125,152.0510711669922,149.72067260742188,150.20750427246094,990371
2013-07-19,132.0757293701172,150.67039489746094,150.83798217773438,149.0662384033203,149.8403778076172,1163411
2013-07-22,132.05471801757812,150.64645385742188,150.83798217773438,149.4174041748047,150.36712646484375,960800
2013-07-23,133.13909912109375,151.88348388671875,152.6017608642578,150.359130859375,150.9337615966797,1140355
2013-07-24,133.30003356933594,152.06703186035156,153.0247344970703,151.1572265625,152.16281127929688,1215285
2013-07-25,133.82472229003906,152.6656036376953,152.87310791015625,150.84596252441406,151.6839599609375,1594067
2013-07-26,134.1534881591797,153.0406951904297,153.2082977294922,151.9074249267578,152.54588317871094,1643811
2013-07-29,134.33541870117188,153.24819946289062,154.15802001953125,152.55386352539062,153.34397888183594,1495831
2013-07-30,135.42678833007812,154.4932098388672,155.68235778808594,151.82762145996094,153.23223876953125,1505605
2013-07-31,138.36509704589844,157.8451690673828,159.5450897216797,154.62091064453125,155.5147705078125,1019065
2013-08-01,142.17782592773438,162.19473266601562,162.6656036376953,157.7174835205078,159.12210083007812,932232
2013-08-02,142.09385681152344,162.09896850585938,162.75338745117188,160.8699188232422,161.02952575683594,420632
2013-08-05,143.44407653808594,163.63926696777344,163.69512939453125,160.9976043701172,161.979248046875,499571
2013-08-06,143.1712646484375,163.32801818847656,165.09976196289062,162.1388702392578,163.24021911621094,602067
2013-08-07,142.3387908935547,162.3782958984375,163.2003173828125,160.78211975097656,163.2003173828125,367254
2013-08-08,144.21365356445312,164.5171661376953,165.29928588867188,162.10694885253906,163.32801818847656,303477
2013-08-09,144.12269592285156,164.4134063720703,164.85235595703125,163.18435668945312,164.7086944580078,263130
2013-08-12,144.60536193847656,164.96408081054688,165.53073120117188,163.62330627441406,164.10215759277344,264759
2013-08-13,145.3399658203125,165.8020782470703,166.06544494628906,164.79649353027344,165.20350646972656,400835
2013-08-14,143.68894958496094,163.91859436035156,166.67198181152344,163.85475158691406,165.56265258789062,316633
2013-08-15,139.70822143554688,159.3774871826172,162.45809936523438,158.73104858398438,161.25299072265625,983981
2013-08-16,141.70213317871094,161.65203857421875,162.09896850585938,158.22825622558594,159.45730590820312,702056
2013-08-19,139.8131866455078,159.49720764160156,162.0909881591797,159.49720764160156,160.90184020996094,497190
2013-08-20,141.0374755859375,160.89385986328125,161.24501037597656,159.3056640625,159.537109375,764205
2013-08-21,140.91856384277344,160.7581787109375,162.53790283203125,160.25538635253906,160.56663513183594,526636
2013-08-22,141.49224853515625,161.41261291503906,161.79568481445312,160.03990173339844,161.10934448242188,414367
2013-08-23,141.52723693847656,161.4525146484375,162.02713012695312,160.33518981933594,161.5083770751953,224663
2013-08-26,140.8555908203125,160.6863555908203,162.2745361328125,160.25538635253906,161.26895141601562,234060
2013-08-27,137.2737274169922,156.60015869140625,160.0,156.4086151123047,159.537109375,449702
2013-08-28,137.54647827148438,156.91140747070312,157.34237670898438,155.83399963378906,156.60813903808594,278793
2013-08-29,139.00868225097656,158.57940673828125,159.2338409423828,156.64804077148438,156.90342712402344,366127
2013-08-30,136.90988159179688,156.18515014648438,159.4652862548828,155.84197998046875,158.51556396484375,330291
2013-09-03,137.6374969482422,157.01516723632812,160.0,155.0598602294922,158.2442169189453,1102640
2013-09-04,139.11361694335938,158.69912719726562,158.89065551757812,156.54429626464844,156.9593048095703,311371
2013-09-05,138.4979705810547,157.99681091308594,158.8347930908203,157.23863220214844,158.3080596923828,249723
2013-09-06,139.51943969726562,159.16201782226562,161.4604949951172,156.5762176513672,158.30007934570312,647300
2013-09-09,141.9609832763672,161.94732666015625,162.4980010986328,158.93057250976562,159.2498016357422,437422
2013-09-10,144.06666564941406,164.3495635986328,164.4293670654297,161.99520874023438,163.1284942626953,350088
2013-09-11,144.99017333984375,165.4030303955078,165.76217651367188,163.28012084960938,163.94253540039062,355852
2013-09-12,145.5498046875,166.04150390625,167.1029510498047,164.67677307128906,165.16360473632812,439552
2013-09-13,144.1786346435547,164.4772491455078,166.20111083984375,164.11013793945312,166.20111083984375,268267
2013-09-16,143.45806884765625,163.6552276611328,166.52035522460938,162.5059814453125,166.52035522460938,484535
2013-09-17,146.73916625976562,167.3982391357422,167.45411682128906,163.5913848876953,163.5913848876953,357857
2013-09-18,147.43878173828125,168.1963348388672,168.86671447753906,165.7462158203125,167.35833740234375,359611
2013-09-19,147.2148895263672,167.94094848632812,169.39346313476562,167.66958618164062,168.39584350585938,364247
2013-09-20,146.73916625976562,167.3982391357422,175.59457397460938,166.6959228515625,168.05267333984375,607329
2013-09-23,146.10252380371094,166.67198181152344,167.47007751464844,164.78053283691406,166.83958435058594,266889
2013-09-24,147.3967742919922,168.1484375,169.72067260742188,165.22744750976562,166.9353485107422,503831
2013-09-25,146.57823181152344,167.21469116210938,168.96249389648438,166.83160400390625,167.7174835205078,261501
2013-09-26,147.73956298828125,168.5395050048828,169.20989990234375,167.23065185546875,167.23065185546875,314754
2013-09-27,146.41038513183594,167.0231475830078,168.1883544921875,166.78372192382812,167.5498809814453,249848
2013-09-30,147.9425048828125,168.7709503173828,169.1859588623047,165.20350646972656,165.3551483154297,461229
