Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMG,AMG,AMG,AMG,AMG,AMG
Date,,,,,,
2013-07-01,157.0111846923828,162.13999938964844,163.75,161.66000366210938,163.5,712700
2013-07-02,157.93109130859375,163.08999633789062,165.97999572753906,161.22999572753906,162.4600067138672,613100
2013-07-03,156.86590576171875,161.99000549316406,162.99000549316406,156.61000061035156,162.0800018310547,189600
2013-07-05,160.25514221191406,165.49000549316406,165.77000427246094,163.25999450683594,165.52000427246094,330800
2013-07-08,160.28424072265625,165.52000427246094,167.55999755859375,165.13999938964844,165.94000244140625,253600
2013-07-09,161.14605712890625,166.41000366210938,167.2100067138672,164.91000366210938,166.75999450683594,384000
2013-07-10,160.4972686767578,165.74000549316406,166.8800048828125,164.72000122070312,166.02999877929688,275800
2013-07-11,165.5424346923828,170.9499969482422,171.0399932861328,167.5500030517578,168.08999633789062,504200
2013-07-12,167.00474548339844,172.4600067138672,172.77000427246094,170.7100067138672,170.9199981689453,317200
2013-07-15,170.01637268066406,175.57000732421875,175.77000427246094,172.27999877929688,173.50999450683594,512100
2013-07-16,168.60255432128906,174.11000061035156,176.5,173.99000549316406,175.58999633789062,726100
2013-07-17,169.44496154785156,174.97999572753906,176.3699951171875,173.66000366210938,174.72000122070312,521000
2013-07-18,170.89752197265625,176.47999572753906,176.77000427246094,174.6199951171875,175.22999572753906,397800
2013-07-19,169.67739868164062,175.22000122070312,176.77999877929688,174.4499969482422,175.24000549316406,424200
2013-07-22,170.56834411621094,176.13999938964844,176.32000732421875,175.02000427246094,175.47999572753906,288300
2013-07-23,169.73548889160156,175.27999877929688,177.1199951171875,174.72999572753906,176.9600067138672,307300
2013-07-24,168.77682495117188,174.2899932861328,176.7899932861328,173.05999755859375,175.72999572753906,279500
2013-07-25,168.42820739746094,173.92999267578125,174.8699951171875,172.80999755859375,173.3000030517578,401500
2013-07-26,168.90269470214844,174.4199981689453,174.74000549316406,172.30999755859375,172.91000366210938,294400
2013-07-29,167.11122131347656,172.57000732421875,175.16000366210938,171.66000366210938,174.2899932861328,340400
2013-07-30,173.39588928222656,179.05999755859375,179.74000549316406,176.67999267578125,177.5,639300
2013-07-31,174.6451416015625,180.35000610351562,182.0,178.5,178.5,826900
2013-08-01,179.70970153808594,185.5800018310547,186.22000122070312,181.57000732421875,182.5,956700
2013-08-02,179.8646240234375,185.74000549316406,185.86000061035156,183.4499969482422,185.2899932861328,382000
2013-08-05,180.1164093017578,186.0,186.72000122070312,184.8800048828125,185.60000610351562,334900
2013-08-06,178.3927001953125,184.22000122070312,186.39999389648438,183.8699951171875,185.7899932861328,442400
2013-08-07,174.49990844726562,180.1999969482422,183.82000732421875,180.1199951171875,183.82000732421875,438700
2013-08-08,174.61605834960938,180.32000732421875,182.63999938964844,179.9199981689453,181.66000366210938,350500
2013-08-09,173.27008056640625,178.92999267578125,181.02000427246094,178.64999389648438,180.19000244140625,299400
2013-08-12,172.44688415527344,178.0800018310547,179.80999755859375,176.67999267578125,178.05999755859375,266500
2013-08-13,175.15838623046875,180.8800048828125,181.6999969482422,177.6199951171875,177.75999450683594,491300
2013-08-14,174.4224395751953,180.1199951171875,182.0,180.02000427246094,180.69000244140625,258000
2013-08-15,170.48118591308594,176.0500030517578,178.94000244140625,174.72999572753906,178.94000244140625,252700
2013-08-16,170.1906280517578,175.75,178.00999450683594,174.9499969482422,176.0800018310547,240900
2013-08-19,169.2512969970703,174.77999877929688,177.52999877929688,174.77999877929688,175.25999450683594,384400
2013-08-20,171.50759887695312,177.11000061035156,178.3300018310547,174.92999267578125,175.19000244140625,358200
2013-08-21,169.6870574951172,175.22999572753906,177.0500030517578,174.6999969482422,175.66000366210938,338300
2013-08-22,172.22418212890625,177.85000610351562,178.1699981689453,175.52000427246094,175.58999633789062,365600
2013-08-23,173.2506866455078,178.91000366210938,180.22999572753906,176.8000030517578,179.02999877929688,308300
2013-08-26,171.93370056152344,177.5500030517578,180.5500030517578,177.1300048828125,179.5500030517578,267000
2013-08-27,167.1790313720703,172.63999938964844,179.0,172.55999755859375,179.0,406100
2013-08-28,168.69932556152344,174.2100067138672,175.0500030517578,171.80999755859375,172.55999755859375,330200
2013-08-29,169.14479064941406,174.6699981689453,176.42999267578125,173.75,173.75,468400
2013-08-30,168.805908203125,174.32000732421875,175.85000610351562,173.30999755859375,174.75999450683594,409700
2013-09-03,170.10348510742188,175.66000366210938,178.82000732421875,173.86000061035156,177.2899932861328,639500
2013-09-04,172.46630859375,178.10000610351562,179.1699981689453,175.4499969482422,175.69000244140625,410200
2013-09-05,172.1951446533203,177.82000732421875,179.8300018310547,177.52999877929688,178.55999755859375,237000
2013-09-06,171.23654174804688,176.8300018310547,179.6699981689453,175.19000244140625,178.19000244140625,453100
2013-09-09,174.28688049316406,179.97999572753906,180.32000732421875,177.92999267578125,177.92999267578125,524600
2013-09-10,177.51145935058594,183.30999755859375,183.39999389648438,180.3699951171875,180.3699951171875,402100
2013-09-11,177.80201721191406,183.61000061035156,184.32000732421875,182.2899932861328,183.30999755859375,305200
2013-09-12,177.5599365234375,183.36000061035156,184.77999877929688,182.49000549316406,183.22999572753906,218700
2013-09-13,178.60577392578125,184.44000244140625,184.9199981689453,182.72999572753906,183.36000061035156,253500
2013-09-16,179.51605224609375,185.3800048828125,187.72000122070312,185.1999969482422,187.63999938964844,307300
2013-09-17,180.54251098632812,186.44000244140625,186.75999450683594,185.24000549316406,185.35000610351562,252000
2013-09-18,182.26620483398438,188.22000122070312,188.55999755859375,185.0,185.92999267578125,488500
2013-09-19,181.27842712402344,187.1999969482422,189.42999267578125,187.13999938964844,187.72000122070312,373900
2013-09-20,180.5618896484375,186.4600067138672,188.5500030517578,185.11000061035156,187.25999450683594,559600
2013-09-23,178.42178344726562,184.25,185.58999633789062,183.1699981689453,185.58999633789062,272400
2013-09-24,178.4701690673828,184.3000030517578,186.19000244140625,183.75999450683594,184.30999755859375,325400
2013-09-25,177.6180419921875,183.4199981689453,184.88999938964844,182.88999938964844,184.8000030517578,485000
2013-09-26,178.97372436523438,184.82000732421875,186.08999633789062,183.38999938964844,184.0,293600
2013-09-27,178.12161254882812,183.94000244140625,184.4499969482422,182.99000549316406,183.89999389648438,202100
2013-09-30,176.8626708984375,182.63999938964844,183.2100067138672,180.7899932861328,181.4499969482422,521000
2013-10-01,179.14801025390625,185.0,185.75,182.44000244140625,182.92999267578125,484900
2013-10-02,179.96145629882812,185.83999633789062,185.85000610351562,183.32000732421875,184.2899932861328,301200
2013-10-03,180.09701538085938,185.97999572753906,187.47000122070312,183.11000061035156,183.97999572753906,319200
2013-10-04,182.53733825683594,188.5,188.77000427246094,184.5800018310547,186.38999938964844,216100
2013-10-07,179.4288787841797,185.2899932861328,187.30999755859375,181.72999572753906,181.72999572753906,279100
