Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMCR,AMCR,AMCR,AMCR,AMCR,AMCR
Date,,,,,,
2018-06-07,8.850214958190918,10.5,10.5,10.5,10.5,400
2018-06-08,8.850214958190918,10.5,10.5,10.5,10.5,0
2018-06-11,8.850214958190918,10.5,10.5,10.5,10.5,0
2018-06-12,8.850214958190918,10.5,10.5,10.5,10.5,0
2018-06-13,8.917645454406738,10.579999923706056,10.579999923706056,10.56999969482422,10.56999969482422,31800
2018-06-14,8.917645454406738,10.579999923706056,10.579999923706056,10.579999923706056,10.579999923706056,0
2018-06-15,8.555205345153809,10.149999618530272,10.149999618530272,10.149999618530272,10.149999618530272,100
2018-06-18,8.555205345153809,10.149999618530272,10.149999618530272,10.149999618530272,10.149999618530272,0
2018-06-19,8.4287748336792,10.0,10.3100004196167,10.0,10.3100004196167,400
2018-06-20,8.4287748336792,10.0,10.0,10.0,10.0,0
2018-06-21,8.4287748336792,10.0,10.0,10.0,10.0,0
2018-06-22,8.4287748336792,10.0,10.0,10.0,10.0,0
2018-06-25,8.4287748336792,10.0,10.0,10.0,10.0,0
2018-06-26,8.4287748336792,10.0,10.0,10.0,10.0,0
2018-06-27,9.018790245056152,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,500
2018-06-28,8.850214958190918,10.5,10.5,10.5,10.5,400
2018-06-29,8.850214958190918,10.5,10.5,10.5,10.5,0
2018-07-02,8.850214958190918,10.5,10.5,10.5,10.5,0
2018-07-03,8.555205345153809,10.149999618530272,10.149999618530272,10.149999618530272,10.149999618530272,900
2018-07-05,8.749069213867188,10.380000114440918,10.399999618530272,10.380000114440918,10.399999618530272,700
2018-07-06,8.80806827545166,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,100
2018-07-09,8.80806827545166,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,0
2018-07-10,8.80806827545166,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,0
2018-07-11,8.80806827545166,10.449999809265137,10.449999809265137,10.449999809265137,10.449999809265137,0
2018-07-12,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,17000
2018-07-13,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-16,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-17,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-18,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-19,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-20,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-23,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-24,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-25,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-26,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-27,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-30,8.883927345275879,10.539999961853027,10.539999961853027,10.539999961853027,10.539999961853027,0
2018-07-31,9.35594081878662,11.100000381469728,11.100000381469728,11.100000381469728,11.100000381469728,100
2018-08-01,9.35594081878662,11.100000381469728,11.100000381469728,11.100000381469728,11.100000381469728,2700
2018-08-02,9.35594081878662,11.100000381469728,11.100000381469728,11.100000381469728,11.100000381469728,0
2018-08-03,9.35594081878662,11.100000381469728,11.100000381469728,11.100000381469728,11.100000381469728,0
2018-08-06,9.35594081878662,11.100000381469728,11.100000381469728,11.100000381469728,11.100000381469728,0
2018-08-07,9.35594081878662,11.100000381469728,11.100000381469728,11.100000381469728,11.100000381469728,0
2018-08-08,8.934499740600586,10.600000381469728,10.600000381469728,10.600000381469728,10.600000381469728,1000
2018-08-09,8.934499740600586,10.600000381469728,10.600000381469728,10.600000381469728,10.600000381469728,0
2018-08-10,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,2400
2018-08-13,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0
2018-08-14,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0
2018-08-15,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0
2018-08-16,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0
2018-08-17,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0
2018-08-20,8.68163776397705,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0
2018-08-21,8.765924453735352,10.399999618530272,10.399999618530272,10.399999618530272,10.399999618530272,500
2018-08-22,8.765924453735352,10.399999618530272,10.399999618530272,10.399999618530272,10.399999618530272,0
2018-08-23,8.765924453735352,10.399999618530272,10.399999618530272,10.399999618530272,10.399999618530272,0
2018-08-24,8.765924453735352,10.399999618530272,10.399999618530272,10.399999618530272,10.399999618530272,0
2018-08-27,8.765924453735352,10.399999618530272,10.399999618530272,10.399999618530272,10.399999618530272,0
2018-08-28,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,300
2018-08-29,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-08-30,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-08-31,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-09-04,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-09-05,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-09-06,8.706923484802246,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-09-07,8.909610748291016,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-09-10,8.909610748291016,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,0
2018-09-11,8.495613098144531,9.850000381469728,9.850000381469728,9.850000381469728,9.850000381469728,200
2018-09-12,8.650863647460938,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,1300
2018-09-13,8.650863647460938,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,0
2018-09-14,8.650863647460938,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,0
2018-09-17,8.650863647460938,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,0
2018-09-18,8.650863647460938,10.029999732971191,10.029999732971191,10.029999732971191,10.029999732971191,0
2018-09-19,8.40936279296875,9.75,9.75,9.75,9.75,100
2018-09-20,8.40936279296875,9.75,9.75,9.75,9.75,0
2018-09-21,8.40936279296875,9.75,9.75,9.75,9.75,0
2018-09-24,8.40936279296875,9.75,9.75,9.75,9.75,0
2018-09-25,8.40936279296875,9.75,9.75,9.75,9.75,0
2018-09-26,8.538738250732422,9.899999618530272,9.899999618530272,9.75,9.75,6600
2018-09-27,8.581862449645996,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,200
2018-09-28,8.581862449645996,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0
2018-10-01,8.538738250732422,9.899999618530272,9.899999618530272,9.899999618530272,9.899999618530272,400
2018-10-02,8.538738250732422,9.899999618530272,9.899999618530272,9.899999618530272,9.899999618530272,0
2018-10-03,8.236861228942871,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,100
2018-10-04,8.236861228942871,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0
2018-10-05,8.107488632202148,9.399999618530272,9.399999618530272,9.399999618530272,9.399999618530272,9000
2018-10-08,8.107488632202148,9.399999618530272,9.399999618530272,9.399999618530272,9.399999618530272,0
2018-10-09,8.107488632202148,9.399999618530272,9.399999618530272,9.399999618530272,9.399999618530272,0
2018-10-10,7.9436116218566895,9.210000038146973,9.390000343322754,9.210000038146973,9.390000343322754,700
2018-10-11,7.9436116218566895,9.210000038146973,9.210000038146973,9.210000038146973,9.210000038146973,0
2018-10-12,7.9436116218566895,9.210000038146973,9.210000038146973,9.210000038146973,9.210000038146973,0
2018-10-15,8.021239280700684,9.300000190734863,9.300000190734863,9.300000190734863,9.300000190734863,100
2018-10-16,8.021239280700684,9.300000190734863,9.300000190734863,9.300000190734863,9.300000190734863,0
2018-10-17,8.021239280700684,9.300000190734863,9.300000190734863,9.300000190734863,9.300000190734863,0
2018-10-18,8.021239280700684,9.300000190734863,9.300000190734863,9.300000190734863,9.300000190734863,0
2018-10-19,7.762487888336182,9.0,9.380000114440918,9.0,9.369999885559082,32100
2018-10-22,7.762487888336182,9.0,9.0,9.0,9.0,500
2018-10-23,7.762487888336182,9.0,9.0,9.0,9.0,0
2018-10-24,7.762487888336182,9.0,9.0,9.0,9.0,0
2018-10-25,7.762487888336182,9.0,9.0,9.0,9.0,100
2018-10-26,7.762487888336182,9.0,9.0,9.0,9.0,100
2018-10-29,7.762487888336182,9.0,9.0,9.0,9.0,0
2018-10-30,7.762487888336182,9.0,9.0,9.0,9.0,0
2018-10-31,7.762487888336182,9.0,9.0,9.0,9.0,300
2018-11-01,7.762487888336182,9.0,9.0,9.0,9.0,0
2018-11-02,7.762487888336182,9.0,9.0,9.0,9.0,100
2018-11-05,7.762487888336182,9.0,9.0,9.0,9.0,0
2018-11-06,8.2713623046875,9.59000015258789,9.59000015258789,9.59000015258789,9.59000015258789,14000
2018-11-07,8.2713623046875,9.59000015258789,9.59000015258789,9.59000015258789,9.59000015258789,0
2018-11-08,8.40936279296875,9.75,9.75,9.75,9.75,100
2018-11-09,8.366236686706543,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,500
2018-11-12,8.279987335205078,9.600000381469728,9.75,9.600000381469728,9.75,13900
2018-11-13,8.40936279296875,9.75,9.75,9.75,9.75,9300
2018-11-14,8.417987823486328,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,4600
2018-11-15,8.581862449645996,9.949999809265137,9.949999809265137,9.829999923706056,9.829999923706056,11300
2018-11-16,8.581862449645996,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0
2018-11-19,8.581862449645996,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,100
2018-11-20,8.366236686706543,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,23100
2018-11-21,8.366236686706543,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0
2018-11-23,8.366236686706543,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,100
2018-11-26,8.366236686706543,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0
2018-11-27,8.366236686706543,9.699999809265137,9.699999809265137,9.699999809265137,9.699999809265137,0
2018-11-28,8.254110336303711,9.56999969482422,9.56999969482422,9.56999969482422,9.56999969482422,200
2018-11-29,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,17300
2018-11-30,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0
2018-12-03,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0
2018-12-04,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0
2018-12-06,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0
2018-12-07,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,0
2018-12-10,8.50423526763916,9.859999656677246,9.859999656677246,9.859999656677246,9.859999656677246,2000
