,PCR
2006-11-03,50.0
2006-11-06,37.38736286236445
2006-11-07,60.305893278357416
2006-11-08,67.11700359802684
2006-11-09,45.5399104819309
2006-11-10,47.16999257563071
2006-11-13,30.6318549308534
2006-11-14,42.55359845818413
2006-11-15,52.429698736167964
2006-11-16,66.43933125366745
2006-11-17,74.93933155196211
2006-11-20,82.85073274185925
2006-11-21,84.84234609068919
2006-11-22,70.4640071123864
2006-11-24,58.56113052162793
2006-11-27,70.21898538461592
2006-11-28,50.3381764107283
2006-11-29,41.13018840277937
2006-11-30,57.90371103125226
2006-12-01,62.05077293247918
2006-12-04,62.592760683877124
2006-12-05,51.1246554592464
2006-12-06,59.464285717170625
2006-12-07,69.18248422312254
2006-12-08,48.798172911365796
2006-12-11,60.95165976250382
2006-12-12,65.95365636866957
2006-12-13,45.99317758073834
2006-12-14,56.019859738267016
2006-12-15,70.39055648836663
2006-12-18,78.98559776607017
2006-12-19,73.58283419866888
2006-12-20,53.507241983270156
2006-12-21,65.10799060167938
2006-12-22,76.43918087948595
2006-12-26,56.60365367121592
2006-12-27,51.20223047934211
2006-12-28,37.519837407794355
2006-12-29,25.845046353094883
2007-01-03,46.681596159816976
2007-01-04,52.0599093364462
2007-01-05,66.3222638253913
2007-01-08,65.04667448804264
2007-01-09,44.83326909153796
2007-01-10,34.34200887883226
2007-01-11,46.08636423714424
2007-01-12,60.1503405010299
2007-01-16,66.91021373576389
2007-01-17,71.38714163931807
2007-01-18,75.77995474576427
2007-01-19,68.84880281615565
2007-01-22,74.05462430930399
2007-01-23,62.706497378630154
2007-01-24,48.944127191571475
2007-01-25,55.60700105035776
2007-01-26,38.521173561249185
2007-01-29,31.353761578519045
2007-01-30,39.352761422253764
2007-01-31,29.631431495971185
2007-02-01,46.587885924544096
2007-02-02,56.15086218522366
2007-02-05,39.38942747969252
2007-02-06,51.39298045979734
2007-02-07,62.50367844438892
2007-02-08,48.911355257181434
2007-02-09,57.70257583320256
2007-02-12,41.861659905027146
2007-02-13,28.098689744143595
2007-02-14,19.367781662274353
2007-02-15,17.50556444401531
2007-02-16,41.22936811827005
2007-02-20,55.88947760448487
2007-02-21,44.71841452512811
2007-02-22,31.346052032417624
2007-02-23,26.85195461538314
2007-02-26,18.778313400626498
2007-02-27,13.014106389902484
2007-02-28,8.690234626418771
2007-03-01,6.725164191640034
2007-03-02,4.603058913001184
2007-03-05,3.1910291631647985
2007-03-06,2.128405987460158
2007-03-07,1.7365757893686748
2007-03-08,3.608759586871361
2007-03-09,2.7326205069250666
2007-03-12,1.8970328456497971
2007-03-13,1.8792298334673099
2007-03-14,1.25347882891734
2007-03-15,0.8457780204063052
2007-03-16,0.770187503020796
2007-03-19,0.5609497455014796
2007-03-20,19.897754432885918
2007-03-21,14.52054136112111
2007-03-22,17.78108537771796
2007-03-23,31.507809105450246
2007-03-26,31.096482063747146
2007-03-27,24.613733968856838
2007-03-28,33.688330296277606
2007-03-29,22.470127683224238
2007-03-30,15.535344807815916
2007-04-02,17.09701897167155
2007-04-03,26.635787975266396
2007-04-04,26.285787801709166
2007-04-05,18.545748948438202
2007-04-09,42.48204719561722
2007-04-10,48.56106747565107
2007-04-11,36.50175854066456
2007-04-12,28.49055114400167
2007-04-13,20.381575499274025
2007-04-16,20.554613206696686
2007-04-17,42.92523003610188
2007-04-18,35.56986047367719
2007-04-19,54.646463221180504
2007-04-20,54.392461145454426
2007-04-23,68.82207091097519
2007-04-24,72.27217191678203
2007-04-25,49.54850719312096
2007-04-26,55.635240028266914
2007-04-27,59.67141092857931
2007-04-30,66.17896262994647
2007-05-01,57.00707758835163
2007-05-02,39.375917202041
2007-05-03,55.407915344418065
2007-05-04,45.56385528630782
