Date,Value
2004-01-31,0.19
2004-02-29,0.16
2004-03-31,0.19
2004-04-30,0.23
2004-05-31,0.33
2004-06-30,0.23
2004-07-31,0.32
2004-08-31,0.31
2004-09-30,0.21
2004-10-31,0.25
2004-11-30,0.14
2004-12-31,0.15
2005-01-31,0.26
2005-02-28,0.19
2005-03-31,0.24
2005-04-30,0.41
2005-05-31,0.29
2005-06-30,0.2
2005-07-31,0.19
2005-08-31,0.2
2005-09-30,0.25
2005-10-31,0.38
2005-11-30,0.2
2005-12-31,0.2
2006-01-31,0.2
2006-02-28,0.19
2006-03-31,0.16
2006-04-30,0.19
2006-05-31,0.28
2006-06-30,0.34
2006-07-31,0.37
2006-08-31,0.3
2006-09-30,0.23
2006-10-31,0.15
2006-11-30,0.12
2006-12-31,0.15
2007-01-31,0.15
2007-02-28,0.14
2007-03-31,0.25
2007-04-30,0.15
2007-05-31,0.17
2007-06-30,0.17
2007-07-31,0.33
2007-08-31,0.47
2007-09-30,0.2
2007-10-31,0.25
2007-11-30,0.59
2007-12-31,0.54
2008-01-31,0.95
2008-02-29,0.53
2008-03-31,0.77
2008-04-30,0.37
2008-05-31,0.45
2008-06-30,0.55
2008-07-31,0.81
2008-08-31,0.46
2008-09-30,0.4
2008-10-31,1.58
2008-11-30,2.01
2008-12-31,1.4
2009-01-31,1.15
2009-02-28,1.22
2009-03-31,1.54
2009-04-30,0.46
2009-05-31,0.57
2009-06-30,0.48
2009-07-31,0.32
2009-08-31,0.28
2009-09-30,0.25
2009-10-31,0.34
2009-11-30,0.38
2009-12-31,0.29
2010-01-31,0.32
2010-02-28,0.29
2010-03-31,0.22
2010-04-30,0.18
2010-05-31,0.45
2010-06-30,0.46
2010-07-31,0.38
2010-08-31,0.51
2010-09-30,0.26
2010-10-31,0.24
2010-11-30,0.27
2010-12-31,0.24
2011-01-31,0.38
2011-02-28,0.22
2011-03-31,0.31
2011-04-30,0.26
2011-05-31,0.32
2011-06-30,0.44
2011-07-31,0.34
2011-08-31,1.49
2011-09-30,0.89
2011-10-31,0.34
2011-11-30,0.53
2011-12-31,0.55
2012-01-31,0.29
2012-02-29,0.2
2012-03-31,0.27
2012-04-30,0.33
2012-05-31,0.63
2012-06-30,0.52
2012-07-31,0.38
2012-08-31,0.36
2012-09-30,0.27
2012-10-31,0.43
2012-11-30,0.4
2012-12-31,0.34
2013-01-31,0.25
2013-02-28,0.2
2013-03-31,0.24
2013-04-30,0.32
2013-05-31,0.23
2013-06-30,0.39
2013-07-31,0.26
2013-08-31,0.36
2013-09-30,0.26
2013-10-31,0.26
2013-11-30,0.24
2013-12-31,0.32
2014-01-31,0.27
2014-02-28,0.21
2014-03-31,0.21
2014-04-30,0.36
2014-05-31,0.4
2014-06-30,0.29
2014-07-31,0.44
2014-08-31,0.38
2014-09-30,0.44
2014-10-31,0.42
2014-11-30,0.34
2014-12-31,0.51
2015-01-31,0.34
2015-02-28,0.25
2015-03-31,0.34
2015-04-30,0.33
2015-05-31,0.38
2015-06-30,0.39
2015-07-31,0.47
2015-08-31,0.85
2015-09-30,0.64
2015-10-31,0.49
2015-11-30,0.48
2015-12-31,0.81
