ADS,BFH
BHGE,BKR
BIG,BIGGQ
BLL,BALL
BRCM,AVGO
BRK.B,BRK-B
CDAY,DAY
CMCSK,CMCSA
COG,CTRA
DISCK,WBD
DWDP,DD
FB,META
FBHS,FBIN
FII,FHI
FLT,CPAY
GPS,GAP
HFC,DINO
JEC,J
KORS,CPRI
LEHMQ,LEHKQ
LLL,LHX
NCR,VYX
NRTLQ,ARTM
QEP,FANG
RTN,RTX
TOY,TOY.AX
TUP,TUP.MU
UN,UL
WLTW,WTW
WYND,TNL
AABA,
AAMRQ,
ABC,
ABI,
ABKFQ,
ABMD,
ABS,
ABX,
ACAS,
ACKH,
ACV,
ADCT,
ADT,
AFS-A,
AFS.A,
AGC,
AGN,
AHM,
AKS,
AL,
ALTR,
ALXN,
AM,
AMCC,
AMH,
ANDW,
ANRZQ,
ANTM,
ANV,
APC,
APCC,
APOL,
AR,
ARC,
ARG,
ARNC,
AS,
ASC,
ASND,
ASO,
AT,
ATVI,
AV,
AVP,
AW,
AWE,
AZA-A,
AZA.A,
BAY,
BBBY,
BBI,
BBT,
BCR,
BEAM,
BEV,
BFI,
BFO,
BGEN,
BGG,
BHMSQ,
BJS,
BKB,
BLY,
BMET,
BMGCA,
BNI,
BNL,
BOAT,
BT,
BTUUQ,
BUD,
BVSN,
BXLT,
CA,
CAM,
CBB,
CBH,
CBS,
CBSS,
CCB,
CCE,
CCTYQ,
CELG,
CEN,
CEPH,
CERN,
CFL,
CFN,
CG,
CGP,
CHA,
CHIR,
CHK,
CHRS,
CIT-A,
CIT.A,
CITGQ,
CMB,
CMX,
CNG,
CNW,
CNXT,
COC-B,
COC.B,
COMS,
CPGX,
CPNLQ,
CPQ,
CR,
CRR,
CSE,
CTB,
CTL,
CTX,
CTXS,
CVC,
CVH,
CXO,
CYM,
CYR,
DALRQ,
DCNAQ,
DEC,
DF,
DGN,
DI,
DIGI,
DISCA,
DISH,
DJ,
DNB,
DNR,
DO,
DPHIQ,
DRE,
DTV,
DWD,
DYN,
EC,
ECH,
ECO,
EDS,
EFU,
EKDKQ,
EMC,
ENDP,
ENRNQ,
ENS,
EOP,
EQ,
ESV,
ETFC,
ETS,
FBO,
FDC,
FDO,
FG,
FJ,
FLIR,
FLMIQ,
FLTWQ,
FMY,
FPC,
FRC,
FRO,
FRX,
FSH,
FSL,
FTL-A,
FTL.A,
FTR,
FWLT,
G,
GAPTQ,
GDT,
GENZ,
GFS-A,
GFS.A,
GGP,
GIDL,
GLD,
GMCR,
GNT,
GP,
GPU,
GRA,
GRN,
GSX,
GTE,
GTW,
GWF,
GX,
H,
HBOC,
HCBK,
HCP,
HCR,
HDLM,
HFS,
HI,
HM,
HMA,
HPH,
HRS,
HSH,
HSP,
I,
IKN,
IMNX,
INCLF,
INFO,
INGR,
JAVA,
JCP,
JH,
JHF,
JNS,
JOS,
JOY,
JP,
KATE,
KG,
KHC,
KM,
KRFT,
KRI,
KSE,
KSU,
KWP,
LB,
LDG,
LDW-B,
LDW.B,
LIFE,
LLTC,
LLX,
LM,
LO,
LOR,
LSI,
LU,
LUB,
LVLT,
LXK,
MAY,
MDP,
MDR,
MEA,
MEDI,
MEL,
MER,
MERQ,
MFE,
MHS,
MI,
MII,
MIL,
MIR,
MJN,
MKG,
MMI,
MNK,
MNR,
MOB,
MON,
MST,
MTL,
MTLQQ,
MWI,
MWV,
MWW,
MXIM,
MYG,
MYL,
MZIAQ,
NAE,
NAV,
NBL,
NCC,
NCE,
NE,
NFB,
NGH,
NLC,
NLOK,
NLSN,
NLV,
NOVL,
NSI,
NSM,
NVLS,
NXTL,
NYN,
NYX,
OAT,
OK,
OM,
ONE,
ORX,
OWENQ,
PAC,
PALM,
PAS,
PBCT,
PBY,
PCP,
PCS,
PD,
PDG,
PEAK,
PEL,
PET,
PETM,
PGL,
PGN,
PHA,
PHB,
PKI,
PLL,
PMCS,
PMI,
PNU,
PPW,
PSFT,
PTV,
PVN,
PVT,
PWER,
PWJ,
PX,
PXD,
PZE,
Q,
QLGC,
QTRN,
RAD,
RAI,
RAL,
RATL,
RBD,
RBK,
RDC,
RDS-A,
RDS.A,
RE,
RHT,
RLM,
RML,
RNB,
RRD,
RSHCQ,
RYAN,
RYC,
RYI,
S,
SAF,
SAI,
SAPE,
SB,
SBL,
SBNY,
SDS,
SE,
SEBL,
SEG,
SFA,
SFS,
SGID,
SGP,
SHLD,
SHN,
SIAL,
SIVB,
SK,
SMI,
SMS,
SNDK,
SOTR,
SPLS,
SRR,
STI,
STJ,
STO,
STR,
SUB,
SUNEQ,
SWN,
SWY,
SXCL,
SYMC,
TA,
TCOMA,
TDM,
TE,
TEG,
TEK,
TEN,
THY,
TIF,
TIN,
TMC,
TMC-A,
TMC.A,
TMK,
TNB,
TOS,
TRW,
TSG,
TSS,
TWC,
TWTR,
TX,
TXU,
UAWGQ,
UCC,
UCL,
UCM,
UK,
UMG,
UPC,
UPR,
USBC,
USHC,
USS,
UST,
USW,
UTX,
VAR,
VAT,
VIAB,
VIAC,
VO,
VRTS,
VSTNQ,
VTSS,
WAI,
WB,
WCG,
WCOEQ,
WFM,
WFT,
WIN,
WLA,
WLL,
WLP,
WMX,
WNDXQ,
WPX,
WRK,
WWY,
WYE,
XEC,
XL,
XLNX,
XTO,
YNR,
YRCW,
